SA1_7DIGITCODE_2016	Sex	labourForceParticipation
1100701	F	37.8
1100701	M	53.2
1100702	F	44.4
1100702	M	58.9
1100703	F	57.1
1100703	M	60
1100704	F	43
1100704	M	56
1100705	F	47.2
1100705	M	63.2
1100706	F	54.2
1100706	M	57.6
1100707	F	49.4
1100707	M	49.7
1100708	F	54.1
1100708	M	58.5
1100709	F	69
1100709	M	62.4
1100710	F	44.2
1100710	M	53.1
1100801	F	68.3
1100801	M	77.4
1100802	F	61.7
1100802	M	67.1
1100803	F	52.3
1100803	M	58.5
1100804	F	44.3
1100804	M	57.4
1100805	F	39.6
1100805	M	45.9
1100806	F	62.7
1100806	M	67.6
1100807	F	56.8
1100807	M	66.5
1100808	F	60.3
1100808	M	67.2
1100810	F	72.1
1100810	M	81.4
1100811	F	64
1100811	M	60.4
1100812	F	80
1100812	M	83.2
1100813	F	78
1100813	M	77.6
1100814	F	73.3
1100814	M	78.2
1100815	F	59.8
1100815	M	74.9
1100816	F	47.2
1100816	M	60.1
1100817	F	69.3
1100817	M	70.3
1100818	F	59.6
1100818	M	69.6
1100819	F	78
1100819	M	83.5
1100820	F	66.1
1100820	M	67.3
1100821	F	65.1
1100821	M	74.5
1100822	F	74.4
1100822	M	68.8
1100823	F	72
1100823	M	78.1
1100901	F	66.7
1100901	M	75.6
1100902	F	56.1
1100902	M	60.3
1100904	F	64.3
1100904	M	62
1100905	F	55.1
1100905	M	59.5
1100907	F	73.3
1100907	M	77.5
1100908	F	65.3
1100908	M	75.4
1100909	F	63.2
1100909	M	74.1
1100910	F	67.8
1100910	M	74.3
1100911	F	59.3
1100911	M	72.2
1100912	F	50
1100912	M	63.4
1100913	F	62.8
1100913	M	72.7
1100914	F	58.3
1100914	M	66.9
1100915	F	63.8
1100915	M	72.6
1100916	F	69
1100916	M	71
1100917	F	48
1100917	M	48.5
1100918	F	43.2
1100918	M	62.5
1100919	F	61.9
1100919	M	69
1100920	F	41.2
1100920	M	46.2
1100921	F	72.4
1100921	M	81.7
1100923	F	57.3
1100923	M	68
1100924	F	83.3
1100924	M	42.9
1100925	F	68.8
1100925	M	73.5
1100926	F	73.5
1100926	M	71.8
1100927	F	68.7
1100927	M	81.6
1100928	F	64.4
1100928	M	70.4
1100929	F	43.3
1100929	M	59.6
1101001	F	49.2
1101001	M	64.5
1101002	F	72.8
1101002	M	72.1
1101003	F	63.6
1101003	M	62.6
1101004	F	80.2
1101004	M	83.1
1101006	F	61.2
1101006	M	64.6
1101007	F	58.4
1101007	M	74.6
1101008	F	59.7
1101008	M	73.8
1101009	F	64.8
1101009	M	74.7
1101010	F	73.2
1101010	M	80.1
1101011	F	71.4
1101011	M	77.8
1101012	F	82.9
1101012	M	84.8
1101014	F	62
1101014	M	65.8
1101015	F	63.9
1101015	M	75.3
1101016	F	73.6
1101016	M	79.2
1101017	F	75
1101017	M	72.3
1101101	F	66.3
1101101	M	73.8
1101102	F	62.8
1101102	M	66.3
1101103	F	65.9
1101103	M	72.5
1101104	F	42.2
1101104	M	33.1
1101105	F	64.6
1101105	M	63.8
1101106	F	62.6
1101106	M	62.3
1101107	F	67.2
1101107	M	69.6
1101108	F	62.1
1101108	M	66.9
1101109	F	51.5
1101109	M	56.3
1101110	F	59.7
1101110	M	69.5
1101111	F	65.8
1101111	M	68.3
1101112	F	69.7
1101112	M	60.2
1101113	F	54.4
1101113	M	64.3
1101115	F	77.1
1101115	M	73.2
1101116	F	48.4
1101116	M	57.1
1101117	F	63.8
1101117	M	63.8
1101118	F	63.3
1101118	M	68
1101119	F	63.3
1101119	M	69.9
1101120	F	60.9
1101120	M	67
1101122	F	60.7
1101122	M	59.5
1101123	F	72.9
1101123	M	70.1
1101125	F	76.6
1101125	M	74.7
1101126	F	61.7
1101126	M	69.4
1101127	F	69.2
1101127	M	73.8
1101128	F	69.6
1101128	M	70.5
1101129	F	64.9
1101129	M	69.7
1101130	F	62.9
1101130	M	66
1101131	F	66.7
1101131	M	67.9
1101132	F	67.3
1101132	M	66
1101133	F	63.2
1101133	M	68.9
1101134	F	62.6
1101134	M	70.9
1101135	F	68.8
1101135	M	78
1101136	F	69.2
1101136	M	69.7
1101137	F	66.7
1101137	M	71.3
1101139	F	71.6
1101139	M	68.9
1101140	F	61.1
1101140	M	69.3
1101141	F	68.7
1101141	M	75
1101142	F	81.4
1101142	M	79.6
1101143	F	78.3
1101143	M	85.2
1101144	F	86.2
1101144	M	94.5
1101145	F	76.9
1101145	M	84.6
1101146	F	71.4
1101146	M	74.5
1101147	F	81
1101147	M	81.9
1101148	F	84.3
1101148	M	90
1101149	F	82.7
1101149	M	85.8
1101150	F	72
1101150	M	68.9
1101151	F	72
