SA1_7DIGITCODE_2016	Sex	labourForceParticipation
1101151	M	79.2
1101152	F	76.5
1101152	M	82.3
1101201	F	77.6
1101201	M	74
1101202	F	84.5
1101202	M	88.5
1101203	F	79.9
1101203	M	85.6
1101204	F	78.9
1101204	M	84.3
1101205	F	83.6
1101205	M	88
1101206	F	82
1101206	M	83.9
1101207	F	74.4
1101207	M	66.7
1101208	F	61.6
1101208	M	63.9
1101209	F	71.3
1101209	M	79.4
1101210	F	78.7
1101210	M	82.4
1101211	F	74.4
1101211	M	82.4
1101212	F	78.5
1101212	M	91.7
1101213	F	75
1101213	M	79.6
1101214	F	75.2
1101214	M	78.8
1101215	F	70.3
1101215	M	81.3
1101216	F	73.1
1101216	M	80.3
1101217	F	53.8
1101217	M	54.5
1101218	F	74.7
1101218	M	76.6
1101219	F	63.6
1101219	M	72.2
1101220	F	65.5
1101220	M	79.9
1101221	F	79.7
1101221	M	83.2
1101222	F	77.6
1101222	M	80.2
1101223	F	65.9
1101223	M	68.7
1101224	F	79.8
1101224	M	78.9
1101227	F	76.7
1101227	M	84.1
1101228	F	70.4
1101228	M	75.5
1101229	F	66.1
1101229	M	68.9
1101230	F	54
1101230	M	60.2
1101231	F	62.8
1101231	M	73
1101232	F	84.1
1101232	M	85
1101301	F	49.5
1101301	M	51.1
1101302	F	45.9
1101302	M	58.2
1101303	F	54.5
1101303	M	61.7
1101304	F	53.1
1101304	M	61.8
1101305	F	54.6
1101305	M	67.6
1101306	F	57.9
1101306	M	61.3
1101307	F	53.2
1101307	M	54.7
1101308	F	57.6
1101308	M	70.4
1101401	F	33
1101401	M	44.8
1101402	F	57.9
1101402	M	63.8
1101403	F	47.2
1101403	M	52.4
1101404	F	49.6
1101404	M	57.6
1101405	F	49.4
1101405	M	56.6
1101406	F	52.5
1101406	M	62.3
1101407	F	50.5
1101407	M	65
1101408	F	63.6
1101408	M	65.9
1101409	F	44.3
1101409	M	55.2
1101410	F	47.8
1101410	M	60.7
1101411	F	58.2
1101411	M	26.5
1101412	F	56.6
1101412	M	63.4
1101413	F	46.3
1101413	M	54
1101414	F	50
1101414	M	56.7
1101415	F	52.2
1101415	M	57.8
1101417	F	110
1101417	M	28.6
1101418	F	67.4
1101418	M	70.5
1101419	F	58.6
1101419	M	60.2
1101502	M	100
1101503	F	35.5
1101503	M	43.3
1101505	F	64.9
1101505	M	89.7
1101511	F	44.9
1101511	M	54.7
1101512	F	51.7
1101512	M	48.6
1101514	F	67.6
1101514	M	76.5
1101515	F	60
1101515	M	53.2
1101516	F	61.4
1101516	M	66.7
1101517	F	52.4
1101517	M	67.1
1101518	F	66.1
1101518	M	68.3
1101519	F	61.1
1101519	M	63.9
1101520	F	59.7
1101520	M	61.2
1101521	F	59.5
1101521	M	66.2
1101522	F	62.5
1101522	M	69.6
1101523	F	75.9
1101523	M	76.8
1101524	F	39.8
1101524	M	46.3
1101601	F	85.7
1101601	M	71.4
1101602	F	57.7
1101602	M	63.2
1101603	F	60.7
1101603	M	67.5
1101604	F	63.9
1101604	M	65.6
1101605	F	66.3
1101605	M	82.1
1101606	F	66.5
1101606	M	69.7
1101607	F	57.8
1101607	M	57.9
1101608	F	73.5
1101608	M	63.3
1101609	F	85.4
1101609	M	77.3
1101610	F	71.6
1101610	M	72.4
1101611	F	66.2
1101611	M	56.8
1101612	F	69.6
1101612	M	65.1
1101613	F	73.9
1101613	M	66.3
1101614	F	76.1
1101614	M	75.4
1101615	F	76.5
1101615	M	73.5
1101616	F	71.8
1101616	M	76.4
1101617	F	77.6
1101617	M	77.2
1101618	F	77.3
1101618	M	70
1101619	F	58.2
1101619	M	67.1
1101620	F	67.1
1101620	M	75
1101701	F	31.7
1101701	M	34.6
1101702	F	62.4
1101702	M	65.6
1101703	F	31.8
1101703	M	39.5
1101704	F	44.7
1101704	M	43.7
1101705	F	28.4
1101705	M	36.1
1101706	F	29
1101706	M	35.2
1101708	F	47.6
1101708	M	41.3
1101709	F	50.5
1101709	M	54
1101710	F	41.7
1101710	M	46
1101711	F	48.6
1101711	M	55.7
1101712	F	44.7
1101712	M	52
1101713	F	42
1101713	M	51.8
1101716	F	43.7
1101716	M	44.8
1101717	F	39.6
1101717	M	40.2
1101718	F	36.4
1101718	M	37.1
1101719	F	45.3
1101719	M	47
1101720	F	47.6
1101720	M	49
1101721	F	41.4
1101721	M	52.9
1101722	F	35.1
1101722	M	44
1101801	F	41.8
1101801	M	44.2
1101802	F	46.2
1101802	M	43.6
1101803	F	56.6
1101803	M	54
1101804	F	27.5
1101804	M	44.3
1101805	F	45.4
1101805	M	48.3
1101806	F	38
1101806	M	48
1101807	F	50.8
1101807	M	51.8
1101808	F	39.2
1101808	M	41.1
1101809	F	24.2
1101809	M	23
1101810	F	48
1101810	M	54.8
1101811	F	37.8
1101811	M	40.5
1101812	F	41.9
1101812	M	44.1
1101813	F	40.7
1101813	M	43.2
1101814	F	47.4
1101814	M	54.1
1101815	F	35.4
1101815	M	47.5
1101816	F	39.8
1101816	M	46
1101817	F	54.8
1101817	M	49.8
1101818	F	39.8
1101818	M	45.9
1101819	F	49.7
1101819	M	47.4
1101820	F	31.8
1101820	M	42.3
1101821	F	57.7
1101821	M	56.8
1101822	F	32.8
1101822	M	44.2
1101823	F	35.1
1101823	M	44.3
1101901	F	37.2
1101901	M	49.4
1101902	F	35.6
1101902	M	54.5
1101903	F	49.6
1101903	M	49.5
1101904	F	46.1
1101904	M	49.4
1101905	F	35
1101905	M	43.1
1101906	F	67.4
1101906	M	67.3
1101907	F	53.1
1101907	M	62.6
1101909	F	45.7
1101909	M	56.6
1101911	F	53.9
1101911	M	54.1
1101912	F	54.9
1101912	M	59.8
1101913	F	51.1
1101913	M	51.9
1101914	F	53.3
1101914	M	59.4
1101915	F	60.9
1101915	M	59.8
1101916	F	53
1101916	M	59.3
1101917	F	59.9
1101917	M	64.8
1101918	F	58.5
1101918	M	61.4
1101919	F	54.9
1101919	M	62.9
1101920	F	52.7
1101920	M	59.3
1101921	F	65.1
1101921	M	61.3
1101922	F	38.7
1101922	M	35.7
1101923	F	49.7
1101923	M	59.7
1102001	F	57.6
1102001	M	60.9
1102002	F	57.3
1102002	M	54.3
1102003	F	57
1102003	M	58.8
1102004	F	47.1
1102004	M	48.3
1102005	F	50
1102005	M	43.1
1102006	F	39.6
1102006	M	40.9
1102007	F	57.5
1102007	M	62.9
1102008	F	54.7
1102008	M	58.3
1102009	F	100
1102011	F	61.7
1102011	M	66.9
1102013	F	32.4
1102013	M	50
1102014	F	48.6
1102014	M	58.4
1102015	F	50.6
1102015	M	45.1
1102016	F	51.4
1102016	M	55.4
1102017	F	63.7
1102017	M	67.6
1102018	F	51
1102018	M	56.5
1102019	F	48
1102019	M	52.7
1102020	F	48.8
1102020	M	56
1102022	F	50.8
1102022	M	52.3
1102023	F	61.5
1102023	M	66.9
1102024	F	44
1102024	M	50.4
1102025	F	58
1102025	M	53.3
1102026	F	51.3
1102026	M	60
1102027	F	55.4
1102027	M	63.4
1102028	F	63.6
1102028	M	68.7
1102029	F	44.2
1102029	M	53.1
1102030	F	38.2
1102030	M	40.7
1102031	F	53.3
1102031	M	61.5
1102032	F	47.9
1102032	M	51.9
1102101	F	51.6
1102101	M	56.3
1102102	F	56.5
1102102	M	51.8
1102104	F	26.7
1102104	M	37.7
1102105	F	45.7
1102105	M	47.5
1102106	F	37.5
1102106	M	35.5
1102107	F	56.2
1102107	M	54.6
1102108	F	53
1102108	M	61.7
1102109	F	81.3
1102109	M	70.6
1102201	F	30
1102201	M	53.3
1102301	F	44.5
1102301	M	51.3
1102302	F	48.8
1102302	M	55.2
1102303	F	50.8
1102303	M	64.3
1102304	F	43.9
1102304	M	45.1
1102305	F	43.9
1102305	M	51.3
1102306	F	29.6
1102306	M	40.2
1102307	F	40.7
1102307	M	42.6
1102308	F	37.7
1102308	M	44.3
1102309	F	42.1
1102309	M	50
1102401	F	48
1102401	M	54.5
1102402	F	53.6
1102402	M	50.7
1102403	F	45
1102403	M	52.9
1102404	F	57.4
1102404	M	58.4
1102405	F	54.1
1102405	M	54.8
1102406	F	65.7
1102406	M	55.8
1102407	F	44.1
1102407	M	47.6
1102408	F	54
1102408	M	60.8
1102409	F	43.1
1102409	M	57
1102410	F	49.5
1102410	M	52.7
1102411	F	53.4
1102411	M	52.9
1102412	F	52.1
1102412	M	54.7
1102502	F	39.6
1102502	M	54.6
1102503	F	18.6
1102503	M	27.3
1102504	F	56.1
1102504	M	54.8
1102505	F	41.4
1102505	M	50
1102506	F	50.3
1102506	M	54.8
1102507	F	45.9
1102507	M	52.9
1102508	F	28.1
1102508	M	37.8
1102509	F	50
1102509	M	44.9
1102510	F	35.7
1102510	M	41.9
1102511	F	48.2
1102511	M	50.6
1102512	F	37.3
1102512	M	41.3
1102513	F	54.8
1102513	M	64.2
1102514	F	44.3
1102514	M	50
1102516	F	58.1
1102516	M	57.4
1102517	F	50.7
1102517	M	51.2
1102518	F	48.2
1102518	M	59.7
1102519	F	32.4
1102519	M	45.1
1102520	F	38.1
1102520	M	43.2
1102521	F	54.8
1102521	M	60.2
1102522	F	52.2
1102522	M	51.1
1102523	F	50.7
1102523	M	59.7
1102524	F	55.3
1102524	M	53.6
1102525	F	36.2
1102525	M	42.6
1102526	F	54.9
1102526	M	60.5
1102527	F	50.3
1102527	M	56.9
1102528	F	49
1102528	M	51.8
1102529	F	48.7
1102529	M	42.3
1102530	F	48.2
1102530	M	53.7
1102532	F	31.5
1102532	M	49.7
1102601	F	39
1102601	M	35.6
1102602	F	34.2
1102602	M	38.7
1102603	F	44.6
1102603	M	42.6
1102604	F	39
1102604	M	34.7
1102605	F	31.5
1102605	M	35.3
1102606	F	43.6
1102606	M	48.5
1102607	F	50
1102607	M	51
1102608	F	32.1
1102608	M	38.2
1102609	F	45.1
1102609	M	46.3
1102610	F	40.2
1102610	M	43.3
1102611	F	40.4
1102611	M	47.1
1102612	F	39.8
1102612	M	39.3
1102613	F	52.6
1102613	M	49.2
1102614	F	53.4
1102614	M	53.3
1102615	F	48.2
1102615	M	53.9
1102616	F	54.4
1102616	M	47.4
1102617	F	50
1102617	M	47.1
1102618	F	42.1
1102618	M	54
1102619	F	55.3
1102619	M	57.2
1102620	F	36.1
1102620	M	44.3
1102621	F	39.1
1102621	M	45.2
1102622	F	59.5
1102622	M	57.7
1102623	F	42.3
1102623	M	42.6
1102701	F	36.4
1102701	M	40.6
1102702	F	34
1102702	M	39.5
1102703	F	36.4
1102703	M	42.5
1102704	F	41.5
1102704	M	39.6
1102705	F	38.1
1102705	M	40.9
1102706	F	24.9
1102706	M	33.9
1102707	F	36.5
1102707	M	46.1
1102708	F	21.6
1102708	M	29.9
1102709	F	46.5
1102709	M	43.3
1102710	F	47
1102710	M	45.7
1102712	F	52.9
1102712	M	50
1102713	F	47.9
1102713	M	47.9
1102715	F	42.9
1102715	M	33.3
1102717	F	50.4
1102717	M	52.4
1102718	F	41.4
1102718	M	33.1
1102719	F	37.4
1102719	M	34.6
1102720	F	44.8
1102720	M	52.2
1102721	F	34.8
1102721	M	35.1
1102722	F	8.9
1102722	M	15.9
1102723	F	34.9
1102723	M	44.4
1102724	F	39.2
1102724	M	47.1
1102725	F	21.8
1102725	M	24.3
1102726	F	32
1102726	M	41.2
1102727	F	44.3
1102727	M	40.6
1102728	F	23.9
1102728	M	31.8
1102729	F	31.9
1102729	M	40.1
1102802	F	62.7
1102802	M	74.9
1102803	F	53
1102803	M	62.7
1102804	F	71.4
1102804	M	69.1
1102805	F	62.6
1102805	M	75
1102806	F	56.9
1102806	M	59.5
1102807	F	57.6
1102807	M	65.1
1102808	F	73.8
1102808	M	82.8
1102809	F	69.4
1102809	M	73.6
1102810	F	65.6
1102810	M	69.2
1102811	F	70.6
1102811	M	73.7
1102812	F	70.2
1102812	M	74.1
1102813	F	61.3
1102813	M	68.8
1102814	F	64.7
1102814	M	68
1102815	F	65.5
1102815	M	69.9
1102816	F	67.9
1102816	M	70.4
1102817	F	67.1
1102817	M	71.4
1102818	F	67.1
1102818	M	77.8
1102901	F	52
1102901	M	65.9
1102902	F	55.9
1102902	M	58
1102903	F	55.3
1102903	M	52.2
1102904	F	57.7
1102904	M	67.7
1102905	F	59.1
1102905	M	66.2
1102906	F	46.2
1102906	M	53.3
1102907	F	47.5
1102907	M	52.3
1102908	F	48
1102908	M	59.1
1102909	F	43.4
1102909	M	52.5
1102910	F	58.9
1102910	M	67
1102911	F	53.8
1102911	M	65.3
1102912	F	54.9
1102912	M	53.8
1102913	F	59.3
1102913	M	65.1
1102914	F	64.2
1102914	M	72.4
1102915	F	64.5
1102915	M	70.9
1102916	F	64.5
1102916	M	70.3
1102917	F	50
1102917	M	65.7
1102918	F	58.4
1102918	M	59.4
1102919	F	22.6
1102919	M	28.4
1102922	F	67.6
1102922	M	74.1
1102923	F	67.1
1102923	M	70.7
1102924	F	72.2
1102924	M	79
1102925	F	50.8
1102925	M	62.1
1102926	F	54.4
1102926	M	55.7
1102927	F	45.3
1102927	M	55.6
1102928	F	24
1102928	M	33
1103002	F	56.3
1103002	M	59.8
1103003	F	48.3
1103003	M	59.8
1103004	F	62.3
1103004	M	62.2
1103005	F	69.6
1103005	M	74.6
1103006	F	58.1
1103006	M	69.2
1103007	F	56.5
1103007	M	59.5
1103008	F	56.5
1103008	M	69.1
1103009	F	54.7
1103009	M	61.5
1103010	F	56.3
1103010	M	60.8
1103011	F	37.9
1103011	M	40.6
1103012	F	66.7
1103012	M	73.3
1103013	F	60
1103013	M	18.8
1103014	F	57.3
1103014	M	67.2
1103101	F	56.3
1103101	M	61.5
1103102	F	11.8
1103102	M	22
1103103	F	2.6
1103103	M	5
1103104	F	30.8
1103104	M	36.3
1103105	F	62
1103105	M	70
1103106	F	57.8
1103106	M	55.8
1103107	F	21.4
1103107	M	70
1103108	F	74.7
1103108	M	73.5
1103109	F	71.6
1103109	M	76.7
1103110	F	56.5
1103110	M	59.5
1103111	F	58.9
1103111	M	62.7
1103112	F	67.2
1103112	M	70.5
1103113	F	52.4
1103113	M	60.3
1103114	F	59.5
1103114	M	67.7
1103115	F	66.5
1103115	M	65.6
1103116	F	63.1
1103116	M	52.5
1103117	F	54.5
1103117	M	59.6
1103118	F	58.8
1103118	M	66.9
1103119	F	63.3
1103119	M	70.6
1103120	F	61.4
1103120	M	68.6
1103121	F	51.3
1103121	M	70.1
1103122	F	56.3
1103122	M	71.5
1103123	F	38.2
1103123	M	53.4
1103124	F	57.4
1103124	M	63.2
1103125	F	43.6
1103125	M	48.5
1103126	F	15
1103126	M	20
1103127	F	62.4
1103127	M	68.1
1103128	F	21.1
1103128	M	28.3
1103129	F	61.1
1103129	M	64.3
1103130	F	68
1103130	M	67.2
1103131	F	6.5
1103131	M	13.3
1103133	F	66.5
1103133	M	67.6
1103134	F	60.9
1103134	M	70.1
1103135	F	50.8
1103135	M	65.6
1103136	F	56.2
1103136	M	63.4
1103137	F	5.5
1103137	M	16.9
1103138	F	60.9
1103138	M	65
1103201	F	56.9
1103201	M	69.9
1103202	F	45.2
1103202	M	58.9
1103203	F	74.3
1103203	M	85.4
1103204	F	52.7
1103204	M	66.4
1103205	F	63.4
1103205	M	71.1
1103206	F	58.3
1103206	M	70
1103207	F	65.8
1103207	M	69.5
1103208	F	70.9
1103208	M	72.6
1103210	F	67.2
1103210	M	67.5
1103211	F	58.5
1103211	M	67.1
1103212	F	58
1103212	M	64.9
1103213	F	86.5
1103213	M	78.9
1103214	F	64.5
1103214	M	68.8
1103215	F	67.9
1103215	M	71.4
1103216	F	46.2
1103216	M	73.9
1103217	F	76.1
1103217	M	75.3
1103218	F	70.7
1103218	M	64.4
1103219	F	77.9
1103219	M	84.1
1103220	F	49.7
1103220	M	65.9
1103221	F	60.7
1103221	M	73
1103223	F	100
1103223	M	100
1103224	F	50.8
1103224	M	64.5
1103225	F	64.2
1103225	M	71
1103226	F	60.2
1103226	M	61.3
1103227	F	38.7
1103227	M	48.4
1103228	F	43.5
1103228	M	51.4
1103229	F	46.7
1103229	M	55.7
1103230	F	43.4
1103230	M	49.2
1103231	F	48.6
1103231	M	60.3
1103232	F	45.2
1103232	M	57.1
1103233	F	59.4
1103233	M	80.8
1103234	F	63.4
1103234	M	70.7
1103235	F	49.7
1103235	M	52.6
1103236	F	41.6
1103236	M	59.6
1103237	F	66.9
1103237	M	71.7
1103238	F	61.3
1103238	M	66.2
1103239	F	50.2
1103239	M	56.6
1103240	F	30.6
1103240	M	51.5
1103241	F	54.3
1103241	M	59.6
1103242	F	41
1103242	M	57
1103243	F	49.8
1103243	M	60.4
1103244	F	21.1
1103244	M	36.6
1103245	F	51.2
1103245	M	63.3
1103246	F	72.5
1103246	M	77.6
1103247	F	69
1103247	M	69.9
1103248	F	52.3
1103248	M	61.5
1103301	F	69.4
1103301	M	79
1103302	F	56.6
1103302	M	72.2
1103303	F	65.5
1103303	M	77.1
1103304	F	67.3
1103304	M	85
1103305	F	75
1103305	M	76.3
1103306	F	61.3
1103306	M	75
1103307	F	63.5
1103307	M	86.4
1103308	F	62.1
1103308	M	77.9
1103309	F	18.2
1103309	M	2.9
1103310	F	59.7
1103310	M	81.1
1103311	F	66
1103311	M	66.2
1103312	F	71.4
1103312	M	76
1103313	F	66.9
1103313	M	80.5
1103314	F	69.7
1103314	M	80.5
1103315	F	69.4
1103315	M	76.8
1103317	F	63.1
1103317	M	67.1
1103318	F	68.4
1103318	M	76
1103319	F	67.1
1103319	M	76.3
1103320	M	100
1103401	F	55.3
1103401	M	65.3
1103402	F	54.2
1103402	M	64.2
1103403	F	51.5
1103403	M	63.4
1103404	F	64.3
1103404	M	71.4
1103405	F	63.5
1103405	M	63.6
1103406	F	60
1103406	M	77.8
1103407	F	64.5
1103407	M	63.8
1103408	F	50.3
1103408	M	61.9
1103409	F	74.8
1103409	M	76.9
1103410	F	59.6
1103410	M	73
1103411	F	64
1103411	M	73.9
1103412	F	68.1
1103412	M	71.8
1103413	F	54.1
1103413	M	68.1
1103414	F	28.2
1103414	M	38.3
1103415	F	12
1103415	M	26.3
1103416	F	41.9
1103416	M	51.6
1103417	F	31.1
1103417	M	42.2
1103418	F	3.4
1103418	M	6.1
1103419	F	67.5
1103419	M	74.6
1103501	F	60.6
1103501	M	72
1103502	F	48.5
1103502	M	63.8
1103503	F	62
1103503	M	73.1
1103504	F	57.8
1103504	M	68.8
1103505	F	64.3
1103505	M	70.8
1103506	F	64.5
1103506	M	75
1103507	F	58.6
1103507	M	69.1
1103508	F	71
1103508	M	75
1103509	F	65.3
1103509	M	76.9
1103510	F	59.4
1103510	M	66.5
1103511	F	60.8
1103511	M	74.9
1103512	F	57.5
1103512	M	63.1
1103513	F	65
1103513	M	74.1
1103514	F	58.7
1103514	M	70.1
1103515	F	52.2
1103515	M	64.9
1103516	F	58.8
1103516	M	69
1103517	F	61.1
1103517	M	35.7
1103601	F	66.7
1103601	M	80.8
1103602	F	77.2
1103602	M	79.5
1103603	F	66.2
1103603	M	75.7
1103604	F	68.4
1103604	M	63
1103605	F	67.3
1103605	M	74.4
1103606	F	54.2
1103606	M	70.7
1103607	F	60.2
1103607	M	74.2
1103608	F	28.3
1103608	M	44
1103609	F	72.2
1103609	M	76
1103610	F	59.8
1103610	M	60.7
1103611	F	56.6
1103611	M	68.6
1103612	F	47
1103612	M	66.1
1103613	F	61
1103613	M	66
1103614	F	65
1103614	M	75.1
1103615	F	64.9
1103615	M	69.1
1103616	F	64.7
1103616	M	71.7
1103617	F	55.7
1103617	M	60.7
1103618	F	74.5
1103618	M	86
1103619	F	65
1103619	M	77.9
1103620	F	54.7
1103620	M	69.4
1103621	F	65.5
1103621	M	73.5
1103622	F	57.4
1103622	M	71.4
1103701	F	48.8
1103701	M	56.2
1103702	F	49.2
1103702	M	61.2
1103703	F	53.7
1103703	M	61
1103704	F	64.4
1103704	M	71.3
1103705	F	60.2
1103705	M	67.2
1103706	F	56
1103706	M	62.7
1103707	F	55.3
1103707	M	68.1
1103708	F	52.9
1103708	M	62.7
1103709	F	60.7
1103709	M	62.5
1103710	F	58
1103710	M	68.4
1103711	F	49.6
1103711	M	61.8
1103712	F	63.1
1103712	M	60
1103713	F	43
1103713	M	55.7
1103714	F	62.1
1103714	M	68.9
1103801	F	65.6
1103801	M	66.7
1103802	F	58.5
1103802	M	65.3
1103803	F	48.7
1103803	M	60.1
1103804	F	57.3
1103804	M	60.2
1103805	F	64.5
1103805	M	74.1
1103806	F	56.7
1103806	M	68.8
1103807	F	56.6
1103807	M	65.9
1103808	F	4.5
1103808	M	4.5
1103809	F	60.9
1103809	M	70.1
1103810	F	59.2
1103810	M	70.7
1103811	F	63.2
1103811	M	72.7
1103812	F	56.6
1103812	M	65
1103813	F	69.3
1103813	M	72.1
1103814	F	49.5
1103814	M	57.8
1103815	F	55.8
1103815	M	55.4
1103816	F	73.2
1103816	M	66.4
1103817	F	59.7
1103817	M	70.1
1103901	F	65.4
1103901	M	72.7
1103902	F	57.7
1103902	M	69.3
1103903	F	53.7
1103903	M	70.1
1103904	F	59.1
1103904	M	67.3
1103905	F	64.2
1103905	M	69.3
1103906	F	61.1
1103906	M	67.1
1103908	F	68
1103908	M	66.1
1103909	F	64.9
1103909	M	72.5
1103911	F	60.7
1103911	M	74.5
1103912	F	53.8
1103912	M	61.5
1103913	F	59.9
1103913	M	70.9
1103914	F	62.1
1103914	M	70.9
1103915	F	73.3
1103915	M	74.1
1103916	F	58.2
1103916	M	64.9
1103917	F	60.3
1103917	M	76.5
1103918	F	58.8
1103918	M	65
1103919	F	37.4
1103919	M	44.6
1103920	F	57.2
1103920	M	69.1
1103921	F	60.1
1103921	M	69.6
1103922	F	58.1
1103922	M	68.5
1103923	F	56.5
1103923	M	70.9
1103924	F	9.2
1103924	M	11.5
1103925	F	61.2
1103925	M	60
1103926	F	62.3
1103926	M	68.2
1103927	F	72.6
1103927	M	74.4
1103928	F	65.4
1103928	M	68.6
1103929	F	60
1103929	M	68.8
1103930	F	59.4
1103930	M	62.7
1103931	F	55.7
1103931	M	60.1
1104001	F	43.5
1104001	M	59.9
1104002	F	33.5
1104002	M	39.5
1104003	F	66.7
1104003	M	76.3
1104004	F	52
1104004	M	56.6
1104005	F	51.1
1104005	M	52.4
1104006	F	38.9
1104006	M	50.7
1104007	F	41.6
1104007	M	43.7
1104009	F	32.6
1104009	M	40.1
1104010	F	22.7
1104010	M	31.3
1104011	F	39.4
1104011	M	46
1104012	F	52.8
1104012	M	67
1104013	F	55.8
1104013	M	61.4
1104014	F	20.4
1104014	M	31.4
1104015	F	29.9
1104015	M	43
1104016	F	36.4
1104016	M	41
1104017	F	36.5
1104017	M	48.3
1104018	F	56.3
1104018	M	62.3
1104019	F	56.3
1104019	M	64.1
1104020	F	44.4
1104020	M	60.4
1104021	F	42.9
1104021	M	50.9
1104022	F	38
1104022	M	45.7
1104023	F	38.2
1104023	M	58.9
1104024	F	43.8
1104024	M	51.9
1104025	F	56.8
1104025	M	61.6
1104026	F	40.5
1104026	M	49
1104027	F	45.6
1104027	M	52
