SA1_7DIGITCODE_2016	unemployment
1100701	4
1100702	3.6
1100703	7.2
1100704	5.3
1100705	7.1
1100706	4.8
1100707	6.4
1100708	1.4
1100709	3.1
1100710	2.3
1100801	2.7
1100802	3
1100803	14.1
1100804	7.3
1100805	9.1
1100806	3.5
1100807	3
1100808	8
1100810	2.9
1100812	2.9
1100813	4.4
1100814	2.2
1100815	8
1100816	7.6
1100817	5.8
1100818	9.3
1100819	3
1100820	5.1
1100821	2.7
1100822	7.5
1100823	6.4
1100901	2.2
1100902	2.5
1100904	1.6
1100905	5.5
1100907	4.5
1100908	4.8
1100909	9.2
1100910	5.3
1100911	4
1100912	5.9
1100913	3.2
1100914	2.6
1100915	4.6
1100916	2.5
1100917	9
1100918	5.1
1100919	5.6
1100920	10.4
1100921	2.5
1100923	6.8
1100925	4.4
1100926	9.6
1100927	6.3
1100928	9
1100929	6.8
1101002	4.7
1101003	5
1101004	4.9
1101006	4.6
1101007	3.4
1101008	9.3
1101009	3.8
1101010	6
1101014	5.4
1101015	7.8
1101016	2
1101017	4.9
1101101	4.1
1101103	3.4
1101104	3.5
1101105	2.4
1101106	3.1
1101107	3.8
1101108	8.6
1101109	3.3
1101110	6.3
1101111	2.4
1101112	2.8
1101113	4.2
1101115	3.3
1101116	2.6
1101117	2.7
1101118	2.3
1101119	2.3
1101120	3.7
1101122	2.1
1101123	2.5
1101125	2.1
1101126	4.8
1101127	4.3
1101128	4.8
1101129	1.4
1101130	1.8
1101131	2.6
1101133	2.8
1101135	3
1101136	2.1
1101137	2.5
1101139	5.3
1101140	5.7
1101141	2.3
1101142	1.9
1101143	2.1
1101145	2.9
1101147	1.3
1101148	2
1101149	1.6
1101150	4.2
1101151	3.8
1101152	1.6
1101201	3.4
1101202	1.6
1101203	4.4
1101204	2.3
1101205	2.5
1101206	4.7
1101207	2.3
1101208	2.3
1101209	3.1
1101210	4
1101211	2
1101212	2
1101213	1.6
1101214	2.2
1101215	3.8
1101216	1.5
1101218	4.9
1101219	6.4
1101220	3.8
1101222	3.1
1101223	3.8
1101224	4.2
1101227	3.7
1101228	3.1
1101229	3
1101230	11.4
1101231	3.4
1101232	4.2
1101301	10.9
1101302	4
1101303	4.3
1101304	3.5
1101305	3.1
1101307	2.1
1101401	3.8
1101402	7.3
1101403	4.5
1101404	11.6
1101405	4.5
1101406	3
1101407	1.8
1101409	6.2
1101410	10.9
1101411	5.7
1101412	2.3
1101413	8.2
1101415	5.5
1101418	2
1101419	6.4
1101503	5.8
1101505	5.3
1101511	3.2
1101514	3
1101515	4.6
1101516	3.8
1101518	1.9
1101519	6
1101521	2.3
1101522	7.4
1101602	2.9
1101605	2.1
1101606	2.7
1101610	2.8
1101613	2.4
1101614	3.4
1101615	2.2
1101616	2
1101617	2.2
1101618	1.1
1101619	2
1101620	2.5
1101701	14.8
1101702	10.1
1101703	3.2
1101704	11.3
1101705	21.2
1101706	13.6
1101708	2.2
1101709	4.6
1101710	1.6
1101711	10
1101712	6.7
1101713	9.5
1101716	9.6
1101717	8.9
1101718	9.3
1101719	4.2
1101720	3
1101721	4.4
1101722	10.4
1101801	6.6
1101802	6.7
1101803	4.1
1101805	3.4
1101806	12.1
1101807	10.5
1101808	9.7
1101809	9.6
1101810	12.4
1101811	14.7
1101812	15.9
1101813	3.2
1101814	2.7
1101815	8
1101816	7.1
1101817	7
1101818	7.4
1101819	3.6
1101820	14.3
1101821	3.6
1101822	11
1101823	16.9
1101901	8.8
1101902	9.1
1101903	10
1101904	4.8
1101905	10.7
1101906	6.4
1101907	4.2
1101909	7.6
1101911	4.2
1101912	3.8
1101913	3.8
1101914	4.6
1101915	8.4
1101916	4.9
1101917	3.1
1101918	5
1101919	5.6
1101920	6
1101921	4.4
1101923	5.3
1102001	1.5
1102002	4.1
1102003	7.2
1102004	7.4
1102005	7.1
1102006	15
1102007	4.7
1102008	8.1
1102011	4.2
1102014	6.3
1102015	4.1
1102016	6
1102017	2.4
1102018	7.4
1102019	4.7
1102020	8.3
1102022	4.4
1102023	1.9
1102024	4.8
1102025	9
1102026	5.1
1102027	3.7
1102028	3.2
1102029	7.3
1102030	10
1102032	8.6
1102101	1.7
1102102	4
1102104	5.2
1102105	5.2
1102106	5.8
1102107	3.5
1102108	4.8
1102301	10.3
1102302	1.8
1102303	4.9
1102305	3.2
1102306	5.8
1102307	6.9
1102308	13.6
1102309	11.3
1102401	8.7
1102402	5.8
1102403	10
1102404	6
1102405	2.7
1102407	7
1102408	13.3
1102409	3.5
1102410	3.3
1102411	7.1
1102412	8.1
1102502	8.4
1102503	4.1
1102504	4.2
1102505	6.6
1102506	4
1102507	2.7
1102508	2.4
1102510	5.9
1102511	6
1102512	7.4
1102513	3.7
1102514	9.4
1102516	5
1102517	2.2
1102518	1.9
1102519	3.7
1102520	2.5
1102521	6.6
1102522	2
1102524	2.6
1102525	1.9
1102526	7.2
1102527	4.1
1102528	9.2
1102529	3.7
1102530	4.1
1102532	12
1102601	12.7
1102602	6.6
1102603	3.2
1102604	7.8
1102605	12.9
1102606	4.1
1102607	6.7
1102608	6.9
1102609	5.1
1102610	10.1
1102611	2.9
1102612	6.3
1102613	2.4
1102614	7.9
1102615	5.4
1102616	3.2
1102617	6.5
1102618	4.8
1102619	1.6
1102620	5.5
1102621	8
1102622	6.5
1102623	15.2
1102701	10
