SA1_7DIGITCODE_2016	unemployment
1102702	2.7
1102704	7.5
1102705	6
1102706	9.2
1102707	7.3
1102709	4.8
1102710	11.8
1102712	5.1
1102713	8.1
1102719	8.9
1102720	8
1102721	4.1
1102724	6.2
1102725	6.7
1102726	5.5
1102727	7.6
1102728	7.4
1102729	7.3
1102802	5.8
1102803	3.6
1102804	4.1
1102805	5.4
1102806	2.1
1102807	4.1
1102808	4.3
1102809	7
1102810	4.9
1102811	7.3
1102812	6.9
1102813	10.4
1102814	9.3
1102815	4.9
1102816	6.4
1102817	4.9
1102818	7
1102901	2.5
1102902	4.3
1102903	5.1
1102904	5.2
1102905	3.5
1102906	3.2
1102907	3.8
1102908	2.7
1102909	2.6
1102910	5.5
1102911	5.3
1102912	6.3
1102913	2.4
1102914	1.8
1102915	6.5
1102916	7
1102917	2.5
1102918	4.9
1102919	10.1
1102922	5.8
1102923	4.2
1102924	1.3
1102925	5.3
1102926	3.4
1102927	3.6
1102928	6
1103002	4.5
1103003	12.6
1103004	5.4
1103005	4.2
1103007	4.5
1103008	6.7
1103009	1.7
1103010	4.3
1103011	6.7
1103012	5.2
1103014	3
1103101	1.8
1103102	6.7
1103104	9.2
1103105	7.1
1103106	2.8
1103108	10.1
1103109	2.1
1103110	5.5
1103111	7.9
1103113	1.9
1103114	2.1
1103115	4.7
1103116	4.7
1103117	7.6
1103118	2.9
1103119	4.7
1103120	6.6
1103121	10.9
1103122	4.8
1103123	7.2
1103124	2.4
1103125	3.8
1103126	17.2
1103127	2.7
1103128	4.9
1103129	4.7
1103130	2.4
1103131	6.6
1103133	6.5
1103134	4.9
1103135	2.5
1103136	9.1
1103138	4.7
1103201	6.2
1103202	9.4
1103203	4
1103204	11.3
1103205	12.2
1103206	9.1
1103207	7.3
1103208	5.8
1103210	14.9
1103211	8.1
1103212	7.8
1103213	5.5
1103214	4
1103215	10.4
1103216	3.9
1103217	3.7
1103218	3.1
1103219	5.8
1103220	6
1103221	13.3
1103224	7.6
1103225	3.2
1103226	8.9
1103227	15.5
1103228	6.3
1103229	5.4
1103230	5
1103231	5
1103232	7.1
1103233	8.3
1103234	4.5
1103235	11.6
1103236	16.7
1103237	9.4
1103238	7.3
1103239	4.9
1103240	7
1103241	9.3
1103242	7.9
1103243	4.9
1103244	5.5
1103245	11.7
1103246	6.5
1103247	4.7
1103248	10.9
1103301	8.1
1103302	7.1
1103303	5.2
1103304	3.6
1103305	5.8
1103306	7.1
1103307	11.6
1103308	4.7
1103310	4
1103311	6.8
1103312	1.7
1103313	4.1
1103314	4.2
1103315	7.8
1103317	8.4
1103318	5.7
1103319	6.7
1103401	3.4
1103402	6.8
1103403	7.5
1103404	5.8
1103405	9.5
1103406	9.4
1103408	4.7
1103409	4.1
1103410	3.4
1103411	3.4
1103412	7.2
1103413	2.1
1103414	7.8
1103415	9.4
1103416	6.1
1103417	10.6
1103418	24.1
1103419	6.4
1103501	3.8
1103502	7.5
1103503	6.3
1103504	2.2
1103505	4
1103506	5.5
1103507	8.3
1103508	2.2
1103509	4.2
1103510	5.3
1103511	6.3
1103512	4.5
1103513	8.4
1103514	7.6
1103515	12.1
1103516	7.9
1103601	2.6
1103602	6.1
1103603	5.5
1103604	9
1103605	5.7
1103606	6.4
1103607	3.4
1103608	1.9
1103609	4
1103610	7.7
1103611	8
1103612	11
1103613	3.7
1103614	5.7
1103615	3.7
1103616	5.4
1103617	2.3
1103618	7.8
1103619	7.6
1103620	8.1
1103621	3.9
1103622	5.3
1103701	7
1103702	5.7
1103703	4.8
1103704	10
1103705	3.3
1103706	8.4
1103707	5.8
1103708	4.2
1103709	7.1
1103710	4.1
1103711	7.8
1103712	8.6
1103713	4.3
1103714	6.6
1103801	4.3
1103802	2.4
1103803	5.6
1103804	6.6
1103806	5.7
1103807	7.3
1103809	3.6
1103810	6.1
1103811	5.4
1103812	4
1103813	5.6
1103814	1.4
1103815	4.5
1103816	5.4
1103817	6.8
1103901	3.8
1103902	5.5
1103903	2
1103904	6.4
1103905	4.7
1103906	2.9
1103908	3
1103909	4.7
1103911	7.5
1103912	6.6
1103913	6.1
1103914	4.8
1103915	4.2
1103916	2.7
1103917	2.2
1103918	8.7
1103919	2.8
1103920	5.5
1103921	4.7
1103922	3.4
1103923	1.9
1103924	18.8
1103925	3.6
1103926	3.6
1103927	5.8
1103928	7
1103929	5.6
1103931	3.1
1104001	5.8
1104002	9.8
1104003	8.1
1104004	3
1104005	7.5
1104006	4.2
1104007	6.8
1104009	13.9
1104010	10.1
1104011	7.2
1104012	5.8
1104013	7.5
1104014	11.6
1104015	5.9
1104016	5.5
1104017	10
1104018	7.3
1104019	10.3
1104020	5.9
1104021	9.7
1104022	9.4
1104023	11.3
1104024	10.1
1104025	5.3
1104026	11.9
1104027	12.1
1104028	5.7
1104029	13.9
1104030	7.1
1104031	14.5
1104032	11.8
1104033	9.5
1104034	5.9
1104035	10.4
1104036	8.3
1104037	11
1104038	9
1104039	7.3
1104040	5.5
1104041	2.8
1104042	9.5
1104043	9
1104044	5.1
1104045	10.8
1104046	9.1
1104047	8.2
1104048	7.1
1104049	3.9
1104050	10.4
1104051	9.4
1104052	8.1
1104053	6.3
1104054	10.3
1104055	5.8
1104056	4.5
1104057	4.3
1104058	2
1104101	4.4
1104102	4
1104103	4.3
1104104	6.6
1104105	1.5
1104106	3.1
1104107	6.6
1104109	3.6
1104110	1.3
1104111	5.4
1104112	4.6
1104113	3.6
1104114	2
1104115	4
1104116	4.7
1104117	2.3
1104119	3.9
1104120	4.2
1104121	4.8
1104122	3.5
1104123	4.9
1104124	4.4
1104125	3.6
1104201	10.8
1104202	6.2
1104203	13.8
1104204	12.3
1104205	12.6
1104207	5.3
1104208	8.4
1104209	10.3
1104210	5.7
1104211	6.1
1104213	10.5
1104214	5
1104215	6.3
1104216	5.1
1104217	14.6
1104218	7.1
1104219	8.8
1104220	7.1
1104221	11.7
1104222	5.2
1104223	16.7
1104224	7.1
1104225	9.6
1104226	8.4
1104227	5.9
1104228	9.5
1104229	12.4
1104230	8.7
1104231	8
1104232	7.1
1104233	7.7
1104301	7.1
1104302	10.7
1104303	5.3
1104304	8.8
1104305	9.6
1104307	12.3
1104308	10.4
1104309	6.6
1104310	5.1
1104311	6.9
1104312	33.3
1104313	28.4
1104314	30
1104315	4.1
1104316	5.8
1104317	3.2
1104318	13.5
1104319	7.3
1104320	6.2
1104321	6.2
1104322	7.9
1104323	5.2
1104324	4.5
1104325	10.4
1104326	6.6
1104327	4.3
1104328	6.2
1104329	5.8
1104330	6.8
1104401	2.1
1104402	5.3
1104403	6.5
1104404	10
1104405	3.9
1104406	3.2
1104407	6.6
1104408	5.9
1104409	5.8
1104412	5.4
1104414	5.1
1104415	5.7
1104416	5.3
1104417	8.3
1104419	8.9
1104420	3.9
1104421	3.2
1104422	8.6
1104423	4.6
1104424	9.5
1104426	6.6
1104427	2.4
1104428	5.4
1104429	8.2
1104430	4.3
1104431	7.4
1104432	4.6
1104433	12.4
1104434	6.6
1104435	4.2
1104436	7.9
1104437	5.8
1104438	3.3
1104439	5.9
1104441	6.6
1104442	4.2
1104443	6.2
1104444	8.5
1104445	10.1
1104446	16.3
1104447	15.2
1104448	12.7
1104449	7.6
1104451	6.1
1104452	8
1104453	7.5
1104454	4.2
1104455	10
1104456	5.4
1104457	6.9
1104458	3.5
1104459	3.8
1104501	4.7
1104502	14.9
1104503	12.9
1104504	10.3
1104505	8.4
1104506	8.2
1104507	12.2
1104508	12.5
1104509	6.4
1104510	8.3
1104511	10.4
1104512	3.8
1104513	7.1
1104514	8.8
1104515	10.5
1104516	12.9
1104517	11.5
1104518	7.3
1104519	6.5
1104521	10.6
1104522	11.8
1104523	6.1
1104524	11
1104601	11.5
1104602	7.7
1104603	7
1104604	8.7
1104605	8.3
1104606	8.3
1104607	7.5
1104608	10.9
1104609	9.1
1104610	13.4
1104611	7.7
1104612	3.7
1104614	6.6
1104615	9.6
1104616	8.3
1104617	4.1
1104618	5.7
1104619	13
1104620	16.9
1104621	8.1
1104622	8.3
1104624	5.5
1104625	7.9
1104701	3.9
1104702	6.7
1104704	8.6
1104705	3.4
1104706	5.1
1104707	7.9
1104708	6.5
1104709	3.2
1104710	22.2
1104711	13.3
1104712	3.8
1104713	4.3
1104714	3.1
1104715	6.4
1104716	6.4
1104717	8
1104718	11.2
1104719	6.5
1104720	5.1
1104721	1.6
1104722	5.1
1104723	4.5
1104724	5.7
1104725	3.9
1104726	4.7
1104727	7.2
1104728	5.7
1104729	5.2
1104730	2.3
1104731	8.6
1104732	7.5
1104733	8.1
1104734	6.2
1104735	6.2
1104736	6.4
1104801	13.2
1104802	2.6
1104803	6
1104804	6.2
1104805	4.8
1104806	10.5
1104807	10
1104808	11
1104809	9
1104810	7.9
1104811	10.9
1104812	9.5
1104813	8.6
1104814	9.4
1104815	15
1104816	10.1
1104817	12.1
1104818	12.4
1104819	7.4
1104820	11.9
1104821	11.8
1104822	6.7
1104823	9.8
1104824	6.7
1104825	11.7
1104826	9
1104827	9
1104828	7.5
1104829	11
1104830	16.4
1104831	1.9
1104832	5.6
1104833	11.7
1104834	13.5
1104835	10.9
1104836	6.1
1104837	9.1
1104838	5.7
1104840	5.9
1104841	8.8
1104842	10.4
1104843	12
1104844	7.1
1104845	13.5
1104846	9.4
1104847	9.9
1104848	6
1104849	16.1
1104901	1.6
1104902	3.7
1104903	2.7
1104904	4.1
1104905	4.3
1104906	2.5
1104910	5.5
1105001	7
1105002	7.2
1105003	5.6
1105004	5.1
1105005	5
1105006	14.4
1105007	5
1105008	5
1105009	5.3
1105010	6.6
1105011	8.9
1105012	10.5
1105013	6.7
1105015	8.3
1105017	4.8
1105018	7.1
1105019	6.5
1105020	9.7
1105021	9.1
1105022	11.6
1105024	6.1
1105025	7.8
1105026	9.3
1105028	3.6
1105101	7.8
1105102	6.3
1105103	9
1105104	5.3
1105106	4
1105107	5.6
1105108	3.9
1105109	10.9
1105110	4.9
1105111	6.6
1105112	3.7
1105113	7.3
1105114	1.6
1105116	2.2
1105201	6.1
1105202	4.3
1105203	8
1105204	2.9
1105205	6.6
1105206	9.1
1105207	10.1
1105208	8.8
1105209	6.2
1105210	6.6
1105213	7.4
1105214	10.4
1105215	12.8
1105216	11.5
1105301	13.3
1105302	8.8
1105303	4.3
1105304	9.7
1105305	4.7
1105306	4.3
1105307	12.8
1105308	6.6
1105309	3.8
1105310	4.6
1105311	12
1105312	2.9
1105313	2.9
1105314	4.1
1105315	5.6
1105316	7
1105317	13.4
1105318	13
1105319	5.1
1105320	7.7
1105321	5.8
1105322	3.2
1105324	5.1
1105325	4.9
1105326	6.1
1105327	16.7
1105328	13.1
1105329	13.9
1105330	10.6
1105331	15.8
1105332	6.6
1105333	7.5
1105334	11.7
1105335	11.6
1105336	5.9
1105337	8.3
1105401	7.2
1105402	9.6
1105403	14.9
1105404	15.7
1105405	7.9
1105406	12.5
1105407	3.4
1105408	6
1105409	6.4
1105410	6.2
1105411	6
1105412	4.3
1105413	9.6
1105414	4
1105417	7.5
1105418	8.2
1105419	12.6
1105420	10.4
1105421	8.4
1105422	7
1105423	4.3
1105424	3.1
1105501	9.9
1105502	5.5
1105503	6.3
1105505	5.6
1105506	5.2
1105507	4.9
1105508	11.5
1105509	4.4
1105510	2.3
1105511	9.1
1105512	8.5
1105513	7.1
1105514	5.8
1105601	4
1105602	4.7
1105603	5.5
1105604	5.2
1105605	4.2
1105606	5.9
1105607	7.5
1105608	5
1105609	7.3
1105612	5.9
1105613	7.7
1105614	7.8
1105615	4.7
1105617	4.9
1105618	3.7
1105620	6.2
1105622	6.3
1105623	6.1
1105624	5.1
1105625	2.8
1105626	9.8
1105627	8.6
1105628	4.8
1105629	7.9
1105630	7.2
1105631	5.3
1105632	6.2
1105633	5.4
1105701	6.4
1105702	7.6
1105703	6.2
1105704	9.2
1105705	17.6
1105706	16.3
1105707	10.3
1105708	7.4
1105709	4
1105710	16.9
1105711	7.5
1105712	22.7
1105713	20.7
1105714	8.6
1105715	19.1
1105716	14.3
1105717	11
1105718	4.7
1105719	8.8
1105720	9.1
1105801	2
1105802	4.7
1105804	8.2
1105805	5.6
1105806	3.7
1105807	8.9
1105808	21.9
1105811	2
1105813	4.3
1105814	7.4
1105815	4.6
1105816	2
1105817	8.3
1105818	6.9
1105819	8
1105820	3.8
1105821	7.1
1105822	8.1
1105823	9.6
1105824	7.1
1105825	8.5
1105826	3.8
1105827	6.6
1105828	9.2
1105829	12.2
1105830	6.3
1105831	4.1
1105832	4.7
1105833	17.8
1105834	5.1
1105835	3.4
1105836	10.1
1105837	11.2
1105838	5.1
1105839	3.5
1105840	2.2
1105841	21.8
1105842	2.3
1105843	14.4
1105844	2.5
1105845	2
1105846	7.5
1105847	6.8
1105848	8.5
1105850	5.4
1105851	13.1
1105853	8
1105854	5.7
1105855	6.4
1105856	4.5
1105857	13.4
1105859	1.5
1105861	4
1105862	4.8
1105863	3.5
1105864	7
1105901	5.9
1105902	5.9
1105903	5.1
1105905	22.4
1105906	16.5
1105907	13.4
1105908	22
1105910	5
1105912	9.8
1105913	4.3
1105914	7.9
1105915	4.8
1105916	2.2
1105917	2.7
1105918	3.3
1105919	3.7
1105920	2.9
1105921	2.9
1105922	8.6
1105923	4.5
1105924	6.1
1105925	1.8
1105926	3
1105927	7.5
1106001	2.5
1106003	2.3
1106004	5.2
1106005	12.1
1106006	3.4
1106007	12.8
1106008	4.5
1106009	2.4
1106010	5.3
1106011	4.9
1106012	1.5
1106013	2.7
1106014	5.8
1106015	6.1
1106016	3
1106017	4.5
1106018	3.7
1106019	4.8
1106020	4.9
1106101	6.6
1106102	8.8
1106103	3.1
1106104	7
1106105	3.7
1106106	2.2
1106107	4.4
1106108	5.6
1106109	7.5
1106110	12.2
1106111	11.6
1106112	7.9
1106114	4.4
1106116	8.2
1106201	23.1
1106202	16.1
1106203	3.3
1106204	12.3
1106205	3.4
1106206	8.8
1106207	2.6
1106208	4.7
1106209	2.4
1106210	10.7
1106211	11.2
1106212	5.1
1106214	3.7
1106215	2.5
1106217	3.6
1106218	4.1
1106219	1.7
1106220	3.4
1106221	3
1106222	4.5
1106224	25
1106303	4.6
1106304	0.9
1106305	2.6
1106306	4.8
1106308	12.1
1106309	14.2
1106310	10.8
1106311	11.5
1106312	11.8
1106313	7
1106314	14.3
1106315	6.7
1106316	7.4
1106317	12.8
1106318	22.6
1106319	10.8
1106320	25.8
1106321	10.3
1106322	6.1
1106323	5.1
1106324	8.3
1106325	4.4
1106326	3.4
1106328	2.1
1106401	7.9
1106402	4.7
1106403	8.4
1106404	11.1
1106405	17.7
1106406	7.8
1106407	2.5
1106408	1.6
1106409	3.9
1106411	4.1
1106412	3.3
1106413	2.9
1106414	5.5
1106415	13.1
1106416	3.4
1106417	5.1
1106418	8.1
1106501	5.3
1106502	13.5
1106503	11.9
1106504	8
1106505	4.7
1106506	7.4
1106507	6.3
1106508	4.9
1106509	1.3
1106510	2.1
1106511	1.7
1106512	6.4
1106513	7.8
1106514	3.8
1106515	6.8
1106517	5.1
1106518	2.1
1106519	2.9
1106520	2
1106521	6.8
1106522	7.3
1106523	3.4
1106525	2.9
1106526	5.6
1106527	18.9
1106528	5.7
1106529	3.9
1106601	9.7
1106604	5.4
1106605	2.2
1106606	8
1106607	7.6
1106609	2.4
1106610	12.4
1106611	7.4
1106612	2
1106701	4.9
1106702	3.9
1106703	2.8
1106704	7.5
1106705	1.9
1106706	2.4
1106707	1.6
1106708	5.1
1106709	13
1106710	4.7
1106711	3.5
1106712	9.3
1106713	2.2
1106714	8.7
1106715	8
1106716	3.3
1106717	5
1106718	4.2
1106719	12.3
1106720	11
1106721	3.4
1106722	9.3
1106723	9.3
1106724	9.9
1106725	4.6
1106726	9.5
1106727	17.5
1106728	16.4
1106729	5.9
1106801	7.5
1106802	34.7
1106803	16.8
1106804	10.3
1106805	13
1106806	3.2
1106807	5.7
1106808	4.9
1106809	2.6
1106810	5.2
1106811	2.4
1106901	2.4
1106902	5.1
1106904	2.2
1106906	4
1106909	3.5
1106910	3.3
1106911	26
1106912	5.7
1106913	3
1106914	3.8
1106915	9.6
1106917	2.4
1106918	2.6
1106919	3.1
1107001	1.4
1107003	9.8
1107004	5.8
1107005	8
1107006	12.3
1107007	6
1107008	3.4
1107010	8.8
1107011	11.5
1107012	9.7
1107013	7.5
1107014	5.6
1107015	11
1107016	14.5
1107017	1.9
1107018	5.7
1107019	15.2
1107020	15.1
1107021	32.6
1107022	5.3
1107023	11.7
1107024	6.7
1107025	8.3
1107026	5
1107027	4.2
1107028	6.3
1107029	9.5
1107030	1.9
1107032	13.5
1107101	14.3
1107102	5.6
1107103	13.4
1107104	14
1107105	9.1
1107106	4.6
1107107	12.3
1107108	3.2
1107109	4.1
1107110	6.9
1107111	4.9
1107112	1.7
1107113	7.1
1107114	6.4
1107115	2.5
1107117	4.5
1107119	10.8
1107120	5
1107121	5.4
1107122	14.8
1107123	7.6
1107124	10.1
1107125	3.7
1107126	11.1
1107127	3.4
1107128	5.6
1107201	8.6
1107202	10.3
1107203	7.9
1107204	18.6
1107205	7
1107206	3.6
1107208	7.7
1107209	5.9
1107210	10.2
1107211	3.5
1107212	6
1107214	6.1
1107215	4.3
1107216	12.8
1107217	2.7
1107218	3
1107219	4.9
1107220	6.8
1107221	10
1107222	3.4
1107224	12.8
1107225	4.8
1107226	3.5
1107227	4.1
1107228	2.9
1107302	6.7
1107303	6.8
1107304	9.8
1107305	11.4
1107306	14
1107307	17.9
1107308	24.3
1107309	14.3
1107310	5.6
1107311	7.8
1107312	18.2
1107313	17.5
1107314	2.2
1107401	7.6
1107402	3.8
1107403	6.9
1107404	7.9
1107405	13.1
1107406	12.5
1107407	6.7
1107408	2.9
1107409	10.5
1107410	6.2
1107411	2.9
1107412	12.2
1107413	10.1
1107414	7.8
1107415	4.3
1107416	5.1
1107417	6.1
1107418	4.7
1107419	6.4
1107420	3.1
1107421	3.7
1107422	6.7
1107423	10.8
1107425	13.1
1107426	3.9
1107427	4.6
1107601	2.7
1107603	3.7
1107604	5.4
1107605	9.3
1107606	10.4
1107607	12.8
1107608	8.2
1107609	6.3
1107610	7.5
1107611	6.1
1107612	6.4
1107613	6.3
1107614	3.4
1107615	6
1107616	1.2
1107617	5.9
1107618	4.6
1107619	5.5
1107620	6.9
1107621	1.9
1107701	1.8
1107702	9.2
1107703	7.1
1107704	2.2
1107705	4.9
1107706	3.3
1107707	1.7
1107708	4.7
1107709	4.8
1107710	10.1
1107711	5.6
1107712	2.7
1107713	10.1
1107714	7.4
1107715	4.5
1107716	3.8
1107717	6.3
1107718	4.5
1107719	9
1107720	5.9
1107721	4.8
1107722	17.7
1107723	9.9
1107724	10.1
1107725	2.4
1107726	4.4
1107727	3.3
1107728	5.1
1107729	4.6
1107730	7.8
1107731	3
1107732	6.9
1107733	11
1107734	13.4
1107736	7.4
1107737	6.5
1107738	3.9
1107739	11.1
1107740	4.7
1107741	11.3
1107742	10.6
1107743	10.4
1107744	5.8
1107745	11.3
1107746	7.7
1107747	38.4
1107748	11.6
1107749	21.2
1107750	34.6
1107751	20
1107752	16.2
1107753	4.7
1107754	4.3
1107801	5.9
1107802	10.9
1107804	4.7
1107805	10.1
1107806	5.9
1107807	5.3
1107808	26.1
1107809	6.7
1107810	8.3
1107811	9.9
1107812	4.3
1107813	2.7
1107814	4.9
1107815	9.2
1107816	1.5
1107817	8.2
1107818	3.7
1107820	2.6
1107821	7
1107822	7.3
1107823	3.8
1107824	4
1107825	1.9
1107826	4.7
1107827	3
1107828	2.4
1107829	12.6
1107830	13.1
1107831	2.9
1107833	3
1107834	3.4
1107835	1.2
1107836	9.9
1107837	17.7
1107838	11.1
1107839	9.1
1107840	7.8
1107841	4.8
1107842	3.6
1107843	7.6
1107844	8.2
1107845	4
1107901	13.9
1107902	10.1
1107903	6.2
1107904	3.2
1107905	7.5
1107906	4.1
1107907	1.8
1107908	1.8
1107909	5.6
1107910	3.2
1107912	2.1
1107913	1.6
1107914	3.9
1107916	4.8
1107917	2.8
1107918	3.1
1107919	2.1
1107920	6.2
1107921	2.1
1107922	5.9
1107923	5.6
1107924	3.4
1107925	2.7
1107927	3.4
1107928	4.9
1107929	2.4
1107930	3.2
1107931	3.2
1107932	2.3
1107934	3.7
1107935	2
1107936	3
1108001	2.1
1108003	2.3
1108004	37.5
1108005	6.3
1108006	11.6
1108007	21.5
1108008	24.4
1108009	18.9
1108010	13.7
1108011	10.2
1108012	15.1
1108013	19.4
1108014	16.5
1108015	8.6
1108016	5.5
1108017	8.4
1108018	12.9
1108019	11.4
1108020	11.4
1108021	13.9
1108022	5
1108023	10.3
1108024	9.9
1108025	8.6
1108027	8.9
1108028	6.1
1108029	8.3
1108030	9.4
1108031	7.3
1108032	12.1
1108033	1.8
1108034	7.2
1108037	10.7
1108038	17.9
1108039	8.2
1108040	5.7
1108041	3.9
1108042	8
1108043	7.8
1108044	7.2
1108046	13
1108047	29.9
1108048	9.8
1108049	16.7
1108050	7.1
1108052	20
1108053	9.6
1108054	7.3
1108055	13.2
1108101	5.7
1108102	12.1
1108103	15.1
1108104	5.8
1108105	6.4
1108106	20.3
1108107	13.5
1108108	3.1
1108109	11.1
1108110	21.3
1108112	8.9
1108113	8.6
1108114	14.5
1108115	4.9
1108116	3.1
1108117	5.9
1108118	4.9
1108119	12.2
1108120	6.8
1108121	5.5
1108122	10.8
1108123	16.8
1108124	10.1
1108125	5.2
1108126	5.1
1108127	4.8
1108128	7.9
1108129	10.3
1108130	5.6
1108131	7.6
1108132	8.6
1108133	10.6
1108134	5
1108135	10
1108136	10.9
1108137	10.6
1108138	11.3
1108139	4.4
1108140	12.6
1108143	6.5
1108144	12.8
1108145	9.8
1108146	3.6
1108147	15.2
1108148	19.4
1108149	4.8
1108150	6
1108152	5.1
1108202	4
1108203	6.2
1108204	7.4
1108205	4.7
1108207	7
1108208	4.4
1108209	11.1
1108211	11.7
1108212	11.7
1108213	2.2
1108214	7.7
1108215	7.8
1108216	5.6
1108217	6.6
1108218	10.2
1108219	7.8
1108220	19.7
1108221	8.4
1108222	9.3
1108223	4.2
1108224	8.2
1108225	3.8
1108226	9.5
1108227	7.9
1108228	5.4
1108229	6
1108230	10.9
1108231	11.3
1108232	4.3
1108233	16.5
1108234	3.4
1108235	5.4
1108237	9.5
1108238	3.2
1108239	3.8
1108240	6.8
