SA1_7DIGITCODE_2016	Sex	unemployment
1101801	M	8.8
1101802	F	4.5
1101802	M	5.9
1101803	F	4.9
1101803	M	4.6
1101805	M	5.2
1101806	F	13.9
1101806	M	14.5
1101807	F	7.9
1101807	M	18.6
1101808	F	3.3
1101808	M	12.7
1101809	F	12.8
1101810	F	5
1101810	M	17.4
1101811	F	10.7
1101811	M	9.8
1101812	F	12
1101812	M	21.3
1101813	M	6.3
1101815	M	13.6
1101816	F	4.7
1101816	M	6.8
1101817	F	6.8
1101817	M	4.7
1101818	F	12.2
1101818	M	4.7
1101819	F	5.5
1101819	M	5.5
1101820	M	23.1
1101821	F	6.7
1101821	M	8.7
1101822	F	11.1
1101822	M	12.3
1101823	F	14.7
1101823	M	20
1101901	F	3.5
1101901	M	10.6
1101902	F	11
1101902	M	7.1
1101903	F	6.7
1101903	M	15.4
1101904	M	7.6
1101905	F	14.5
1101905	M	6.1
1101906	F	4.9
1101906	M	7.1
1101907	F	5.8
1101907	M	3.9
1101909	F	5.1
1101909	M	4.3
1101911	F	4.1
1101911	M	3.2
1101912	F	4.5
1101912	M	3.1
1101913	F	3.2
1101913	M	4.3
1101914	F	2.1
1101914	M	5.6
1101915	F	5.4
1101915	M	6.1
1101916	F	2.6
1101916	M	3.9
1101917	F	1.7
1101917	M	3.4
1101918	F	4.2
1101918	M	4.3
1101919	F	4.5
1101919	M	4.5
1101920	F	10.1
1101920	M	4.5
1101921	M	4.4
1101923	F	5.2
1101923	M	9.9
1102001	M	2.9
1102002	F	3.2
1102002	M	6.7
1102003	F	3.5
1102003	M	11.7
1102004	F	9.1
1102004	M	9.9
1102005	F	5.3
1102005	M	11.9
1102006	F	16.4
1102006	M	16.4
1102007	M	4.2
1102008	F	3.7
1102008	M	5.7
1102011	F	4.9
1102014	M	5.1
1102015	F	7.3
1102016	F	5.5
1102016	M	4.5
1102017	M	5.5
1102018	F	7.1
1102018	M	8.8
1102019	F	5
1102019	M	5.9
1102020	F	5.1
1102020	M	8.4
1102022	F	4.5
1102022	M	7.4
1102023	M	3.8
1102024	M	14
1102025	F	4.8
1102025	M	15.1
1102026	F	7.7
1102027	F	5.9
1102028	F	8.6
1102029	F	5.3
1102029	M	7.7
1102030	F	7.6
1102030	M	10.2
1102032	F	8.9
1102032	M	8.9
1102101	F	3.1
1102102	F	5.8
1102102	M	6.8
1102104	F	7.2
1102104	M	5.4
1102105	F	6.3
1102105	M	4.6
1102106	F	3.2
1102106	M	5.4
1102107	F	4.4
1102107	M	3.8
1102108	F	5.7
1102108	M	8
1102301	F	16.9
1102301	M	8.9
1102302	F	5
1102302	M	4.7
1102303	M	8.6
1102305	F	3.2
1102305	M	4.1
1102306	M	7.5
1102307	F	16
1102308	F	15
1102308	M	12.2
1102309	F	8.9
1102309	M	11.6
1102401	F	6.1
1102401	M	7.3
1102402	F	4.5
1102402	M	11.4
1102403	M	14.8
1102404	F	7.2
1102404	M	5.8
1102405	F	6.7
1102405	M	5.3
1102407	M	5
1102408	F	8.2
1102408	M	21.9
1102409	M	4.3
1102410	M	6.3
1102411	F	7.3
1102412	F	5.4
1102412	M	8.5
1102502	F	6.6
1102502	M	9.9
1102504	F	4.1
1102504	M	13.5
1102505	F	6.5
1102505	M	6.5
1102506	F	4.1
1102506	M	5.4
1102507	M	5.6
1102508	M	4.8
1102510	F	7.3
1102511	M	6
1102512	F	8.4
1102512	M	6.5
1102513	M	5.2
1102514	F	8.5
1102514	M	10
1102516	M	10
1102517	F	4.1
1102518	F	2.8
1102518	M	2.6
1102519	F	6.8
1102520	F	4.1
1102520	M	3.1
1102521	F	5
1102521	M	8.8
1102522	M	4.5
1102524	F	5.3
1102526	F	3.3
1102526	M	5.4
1102527	F	3.3
1102527	M	2.8
1102528	F	7.9
1102528	M	11.2
1102529	F	3.9
1102529	M	11.7
1102530	F	7.5
1102530	M	4.1
1102532	F	5.2
1102532	M	9.9
1102601	F	10.6
1102601	M	11.7
1102602	F	4.3
1102602	M	9.4
1102603	F	4.5
1102604	F	14
1102604	M	6
1102605	F	11.4
1102605	M	12.7
1102606	F	5.2
1102606	M	6.3
1102607	F	3.5
1102607	M	9.1
1102608	F	5.8
1102608	M	5.2
1102609	F	8.4
1102609	M	5.4
1102610	M	23.8
1102611	F	9.5
1102611	M	8.9
1102612	F	7.3
1102613	F	5
1102614	F	2.1
1102614	M	10.9
1102615	M	13.4
1102616	F	6.1
1102617	F	6.1
1102617	M	8.3
1102618	M	6.8
1102619	F	5.7
1102619	M	3
1102620	F	5.8
1102620	M	7.4
1102621	F	7.7
1102621	M	5.4
1102622	F	10.6
1102622	M	5
1102623	F	6.8
1102623	M	10.2
1102701	F	10
1102701	M	20.9
1102702	F	5.9
1102702	M	5.2
1102704	F	9.8
1102704	M	5.7
1102705	F	4.1
1102705	M	4.1
1102706	M	11.3
1102707	F	10.6
1102707	M	11.7
1102709	F	2.6
1102709	M	9.6
1102710	F	14.9
1102710	M	7.1
1102712	M	4.2
1102713	F	6.2
1102713	M	6.7
1102719	F	9
1102719	M	14.5
1102720	F	14.3
1102720	M	11.9
1102721	F	6.2
1102721	M	4.2
1102722	M	42.9
1102723	M	7.3
1102724	F	12.5
1102725	M	16.7
1102726	M	10
1102727	F	6.4
1102727	M	6.2
1102728	F	8.8
1102728	M	6
1102729	F	8.1
1102729	M	7.2
1102802	F	3.2
1102802	M	5.4
1102803	F	5.7
1102803	M	2
1102804	M	4.5
1102805	F	9.8
1102805	M	6.7
1102806	F	2.6
1102806	M	5.9
1102807	F	6.9
1102807	M	3.5
1102808	F	5.6
1102808	M	4.8
1102809	F	5.2
1102809	M	7.4
1102810	F	2.4
1102810	M	3.6
1102811	F	10.8
1102811	M	5.4
1102812	F	5.3
1102812	M	2.5
1102813	F	8
1102813	M	10.5
1102814	F	8.9
1102814	M	7.8
1102815	F	6.6
1102815	M	2.8
1102816	F	8.3
1102817	F	3.9
1102817	M	6.7
1102818	F	6.5
1102818	M	7.6
1102901	M	4.6
1102902	F	5.3
1102902	M	11.6
1102903	F	3
1102903	M	5.2
1102904	F	6.9
1102904	M	2.2
1102905	M	7.1
1102907	M	7.4
1102908	F	3.6
1102908	M	3.8
1102909	F	3.9
1102909	M	3.6
1102910	F	6.9
1102910	M	4.9
1102911	F	3.5
1102911	M	7.1
1102912	F	5
1102912	M	3.2
1102913	F	3.8
1102914	M	5.6
1102915	F	3.1
1102915	M	5
1102916	F	8.4
1102916	M	5.8
1102917	M	4.2
1102918	F	2.9
1102918	M	4.7
1102919	F	11.9
1102919	M	6.8
1102922	F	5.1
1102922	M	2.9
1102923	F	3.2
1102923	M	3
1102924	F	2.1
1102924	M	1.9
1102925	F	2.5
1102925	M	10.6
1102926	F	4.1
1102926	M	5.5
1102927	F	2.7
1102927	M	2.2
1102928	F	9.5
1102928	M	10.5
1103002	F	3.7
1103002	M	5.8
1103003	F	9.5
1103003	M	14.1
1103004	F	7.4
1103004	M	4.3
1103005	F	3.8
1103005	M	3.5
1103007	F	4.4
1103010	F	4.4
1103011	F	4.5
1103011	M	8.3
1103012	F	7.5
1103014	F	2.9
1103014	M	4.5
1103104	F	13.8
1103104	M	15.5
1103105	F	5.4
1103105	M	9.5
1103106	M	6.3
1103108	F	4.4
1103108	M	10.7
1103109	F	3.8
1103110	F	6
1103110	M	4
1103111	F	7
1103111	M	11.4
1103113	F	3.1
1103114	M	4
1103115	F	3.9
1103115	M	5.1
1103116	F	5.9
1103116	M	2.6
1103117	F	3.8
1103117	M	3.3
1103118	M	3.1
1103119	F	7.4
1103119	M	5.8
1103120	F	7.8
1103120	M	7.5
1103121	F	13.6
1103121	M	4
1103122	F	3.7
1103122	M	3.9
1103123	F	7.6
1103123	M	8.5
1103124	F	3.8
1103124	M	3.5
1103125	F	5.9
1103125	M	10.6
1103126	F	21.2
1103126	M	19.4
1103127	M	3.1
1103128	M	7.3
1103129	F	4.3
1103129	M	3
1103130	F	6.9
1103131	F	21.4
1103133	F	8.5
1103133	M	5
1103134	M	7.3
1103135	M	4.7
1103136	F	10.5
1103136	M	8.7
1103138	F	3.2
1103138	M	2.3
1103201	F	5.3
1103201	M	4
1103202	F	10.1
1103202	M	10.1
1103203	F	4.7
1103203	M	6
1103204	F	10.1
1103204	M	15.7
1103205	F	8.5
1103205	M	15.9
1103206	F	21.4
1103207	F	3.9
1103207	M	14
1103208	F	5.5
1103208	M	6.7
1103210	F	14.6
1103210	M	5.8
1103211	F	8.1
1103211	M	10.1
1103212	F	2.9
1103212	M	5.6
1103213	F	9.4
1103214	F	1.9
1103214	M	5
1103215	F	20
1103215	M	5
1103216	M	3.4
1103217	F	13
1103218	F	3
1103218	M	2.7
1103219	F	5.3
1103219	M	8.7
1103220	F	7.8
1103220	M	4.5
1103221	F	14.6
1103221	M	11.2
1103224	F	6.1
1103224	M	7.1
1103225	M	4.5
1103226	F	12.3
1103226	M	6.2
1103227	F	9
1103227	M	14.7
1103228	F	3.3
1103228	M	10.9
1103229	F	3.3
1103229	M	6.2
1103230	F	6.1
1103230	M	9.7
1103231	F	2.8
1103231	M	7.2
1103232	F	6.7
1103232	M	8.6
1103233	F	3.8
1103233	M	6.7
1103234	F	5.7
1103234	M	6.3
1103235	F	11
1103235	M	9.9
1103236	F	17.9
1103236	M	15
1103237	F	4.6
1103237	M	10.6
1103238	F	10.9
1103238	M	5.1
1103239	F	4.5
1103239	M	4.4
1103240	F	6.3
1103240	M	4.5
1103241	F	4.4
1103241	M	9.4
1103242	F	7.7
1103242	M	10.4
1103243	F	2.8
1103243	M	5.9
1103244	F	6.8
1103244	M	5.6
1103245	F	4.6
1103245	M	18.1
1103246	F	6.3
1103246	M	3.8
1103247	F	3.7
1103247	M	9.8
1103248	F	14.8
1103248	M	8
1103301	F	5.1
1103301	M	5.1
1103302	F	7.1
1103302	M	6.2
1103303	F	4.1
1103303	M	9
1103304	F	5.9
1103304	M	3.1
1103305	F	3.4
1103305	M	4.6
1103306	F	7.7
1103306	M	3.8
1103307	F	14.9
1103308	F	3
1103308	M	2.6
1103310	F	4.1
1103310	M	4.7
1103311	F	4.1
1103311	M	8.7
1103312	F	3.3
1103313	F	3.6
1103313	M	3.3
1103314	F	8.7
1103315	F	8
1103315	M	6.3
1103317	F	10.9
1103317	M	7.6
1103318	F	11.5
1103319	F	3.2
1103319	M	7.8
1103401	F	6.7
1103401	M	7.1
1103402	F	10.3
1103402	M	3.9
1103403	F	11
1103403	M	4.9
1103404	F	3.7
1103404	M	8.6
1103405	F	3
1103405	M	12.5
1103406	F	9.5
1103408	F	9.3
1103408	M	3.8
1103409	F	9.5
1103409	M	3
1103410	F	3.9
1103410	M	9
1103411	F	6.3
1103412	F	8.5
1103412	M	6.7
1103413	F	3.3
1103413	M	4.1
1103414	F	8.6
1103414	M	14.5
1103415	M	15
1103416	F	3.5
1103416	M	10.1
1103417	F	4.4
1103417	M	8.8
1103418	F	20
1103419	M	9.9
1103501	F	5.5
1103501	M	2.2
1103502	F	9.1
1103503	F	7.9
1103503	M	2.8
1103504	F	2.8
1103505	F	4.2
1103505	M	4.6
1103506	F	8.2
1103506	M	3.2
1103507	F	3.8
1103507	M	6.6
1103508	F	2.2
1103508	M	2.2
1103509	F	3.1
1103509	M	6
1103510	F	7.9
1103510	M	3.6
1103511	F	8.5
1103511	M	5.6
1103512	F	10.1
1103512	M	3.7
1103513	F	5.6
1103513	M	9.7
1103514	F	10.2
1103514	M	9.3
1103515	F	11.3
1103515	M	16.4
1103516	F	15.7
1103516	M	8.7
1103601	F	5.8
1103601	M	6.3
1103602	F	9.8
1103602	M	4.3
1103603	F	4.4
1103603	M	5.7
1103604	F	11.3
1103604	M	8
1103605	F	2.9
1103605	M	9.6
1103606	M	7.3
1103607	M	6.1
1103609	F	7.7
1103609	M	4.3
1103610	F	5.2
1103610	M	10.2
1103611	F	6.5
1103611	M	10.6
1103612	F	23.1
1103612	M	7.7
1103613	F	3.5
1103613	M	3.8
1103614	F	5.2
1103614	M	3.4
1103615	F	11.1
1103616	F	5.3
1103616	M	13.2
1103617	F	6
1103617	M	3.3
1103618	F	6.8
1103618	M	3.5
1103619	F	9
1103619	M	4.3
1103620	F	9.4
1103620	M	3.3
1103621	F	8
1103621	M	3.8
1103622	F	4.3
1103622	M	3.8
1103701	F	7.2
1103701	M	6.8
1103702	F	7.1
1103702	M	5.5
1103703	F	3.8
1103703	M	7.2
1103704	F	12.1
1103704	M	4.8
1103705	F	4.5
1103705	M	2.4
1103706	F	6.5
1103706	M	4.8
1103707	F	7.6
1103707	M	4
1103708	F	5.5
1103708	M	7.8
1103709	F	5.6
1103709	M	10.2
1103710	F	3.3
1103710	M	5.8
1103711	F	11.6
1103711	M	7.4
1103712	F	3.9
1103712	M	8.3
1103713	F	3.9
1103713	M	7.5
1103714	F	6.2
1103714	M	10.7
1103801	F	2.3
1103801	M	5.6
1103802	F	4
1103802	M	2.4
1103803	F	6.6
1103803	M	3.5
1103804	F	8.5
1103804	M	5.5
1103806	F	4.4
1103806	M	3.9
1103807	F	8.2
1103807	M	10
1103809	F	4.5
1103809	M	4.9
1103810	F	4.8
1103810	M	3.2
1103811	F	2.5
1103811	M	9
1103812	F	7.4
1103812	M	3.4
1103813	F	7.3
1103813	M	5.8
1103814	M	2.8
1103815	M	8.3
1103816	F	5.8
1103816	M	4
1103817	F	9
1103817	M	7.9
1103901	F	3.3
1103901	M	3.2
1103902	F	3.3
1103902	M	6.6
1103903	F	4.1
1103904	F	7.1
1103904	M	11.2
1103905	F	3.3
1103905	M	6.1
1103906	F	3.9
1103906	M	6.1
1103908	F	3.5
1103908	M	5.9
1103909	F	2.4
1103909	M	5.6
1103911	F	9.7
1103911	M	7.7
1103912	F	4
1103912	M	5.3
1103913	F	8.6
1103913	M	2.4
1103914	F	3.2
1103914	M	10
1103915	F	6.6
1103915	M	5.6
1103916	M	3.2
1103917	M	3
1103918	F	10.8
1103918	M	6.1
1103919	F	4.3
1103919	M	6.8
1103920	F	6.5
1103920	M	8.4
1103921	F	3.9
1103921	M	4.8
1103922	F	4.5
1103922	M	1.8
1103923	M	3.6
1103924	F	36.4
1103925	F	3.5
1103925	M	2.9
1103926	F	5.6
1103926	M	4.8
1103927	F	7.7
1103927	M	6.1
1103928	F	5
1103928	M	7.5
1103929	F	6.1
1103929	M	5.5
1103931	M	8.1
1104001	F	15
1104001	M	4.5
1104002	F	7.4
1104002	M	6.4
1104003	F	5.1
1104003	M	8.1
1104004	F	6.8
1104005	F	12.9
1104005	M	6.1
1104006	F	9.1
1104006	M	7.3
1104007	F	8.7
1104007	M	5.1
1104009	F	4.7
1104009	M	20.2
1104010	F	9.5
1104010	M	9.5
1104011	F	9
1104011	M	5.3
1104012	F	5.3
1104013	F	5.2
1104013	M	9.1
1104014	F	12.5
1104014	M	20
1104015	F	11.5
1104015	M	7
1104016	F	8.5
1104016	M	6.6
1104017	F	9.8
1104017	M	14.9
1104018	F	2.8
1104018	M	9.6
1104019	F	10.7
1104019	M	7.8
1104020	F	11.4
1104020	M	8.2
1104021	F	9.9
1104021	M	8
1104022	F	7.3
1104022	M	18.6
1104023	F	6
1104023	M	16.7
1104024	F	6.4
1104024	M	9.9
1104025	F	10.4
1104025	M	4.3
1104026	F	12.9
1104026	M	11.3
1104027	F	5.3
1104027	M	12.1
1104028	F	3.4
1104028	M	6.5
1104029	F	16.7
1104029	M	12.5
1104030	F	7
1104030	M	5.9
1104031	F	9.5
1104031	M	13.9
1104032	M	18
1104033	F	8.8
1104033	M	4.8
1104034	F	4.8
1104034	M	5.4
1104035	F	13.2
1104035	M	5.8
1104036	F	4.7
1104036	M	6.1
1104037	F	15.4
1104037	M	5.8
1104038	F	3.8
1104038	M	11.7
1104039	F	7.1
1104039	M	5.4
1104040	F	5.4
1104040	M	7.6
1104041	F	5.7
1104042	F	9.9
1104042	M	11
1104043	F	10.4
1104043	M	11.8
1104044	F	4.7
1104044	M	5.7
1104045	F	12.2
1104045	M	6.9
1104046	F	10.1
1104046	M	8.5
1104047	F	11.1
1104047	M	4.4
1104048	F	9.9
1104048	M	5.5
1104049	F	7.6
1104049	M	5.1
1104050	F	9.1
1104050	M	5.3
1104051	F	11.7
1104051	M	5
1104052	F	3.4
1104052	M	7.1
1104053	F	3.3
1104053	M	13
1104054	F	13.8
1104054	M	6.1
1104055	F	10.3
1104055	M	6.4
1104056	F	7.1
1104056	M	4
1104057	F	5.4
1104057	M	1.9
1104058	F	4
1104101	F	4.1
1104101	M	7.8
1104102	F	4.2
1104102	M	3.4
1104103	F	3.6
1104104	F	2.7
1104104	M	13
1104105	F	3.2
1104106	F	6.3
1104106	M	3
1104107	M	6.9
1104109	F	3.8
1104109	M	5
1104111	F	4.5
1104112	F	3.1
1104112	M	4.5
1104113	F	4.8
1104113	M	3.4
1104114	F	2.2
1104114	M	5.1
1104115	F	8.2
1104116	F	5.6
1104116	M	3.7
1104119	F	4
1104119	M	7.2
1104120	F	2.5
1104120	M	7.9
1104121	F	3.9
1104121	M	2.8
1104122	F	14.8
1104122	M	3.8
1104123	F	2.9
1104123	M	5.7
1104124	F	4.2
1104124	M	7.2
1104125	F	5.4
1104201	F	13.3
1104201	M	9.3
1104202	F	7.4
1104202	M	5.9
1104203	F	10.3
1104203	M	10.3
1104204	F	5.1
1104204	M	17.4
1104205	F	16
1104205	M	12.5
1104207	F	2.3
1104207	M	7.8
1104208	F	9.9
1104208	M	12.5
1104209	F	5.7
1104210	F	7.2
1104210	M	6.9
1104211	F	2.8
1104211	M	3.4
1104213	F	12.7
1104213	M	11.7
1104214	F	6.3
1104214	M	2.2
1104215	F	11.8
1104215	M	5.1
1104216	F	4
1104216	M	9
1104217	F	9
1104217	M	16.5
1104218	F	3
1104218	M	10.2
1104219	M	12.1
1104220	F	5.5
1104220	M	7.1
1104221	F	15.1
1104221	M	9.8
1104222	F	4.7
1104222	M	7.8
1104223	F	24.4
1104223	M	14.5
1104224	F	5.2
1104224	M	5.6
1104225	F	11.2
1104225	M	9.4
1104226	F	12.4
1104226	M	7
1104227	F	3.6
1104227	M	6.8
1104228	F	8.9
1104228	M	11.2
1104229	F	7.8
1104229	M	12.8
1104230	F	3.9
1104230	M	11.8
1104231	F	4.6
1104231	M	4.8
1104232	F	12.3
1104232	M	7.5
1104233	F	3
1104233	M	9.5
1104301	M	19.2
1104302	F	11.4
1104302	M	7.2
1104303	F	7.9
1104303	M	9.8
1104304	F	5
1104304	M	6.4
1104305	F	13.3
1104305	M	15.3
1104307	F	16.1
1104307	M	9.6
1104308	F	7.6
1104308	M	5.8
1104309	F	4.5
1104309	M	11
1104310	M	13.2
1104311	F	7.4
1104311	M	8.6
1104313	F	13.2
1104313	M	29.7
1104314	F	50
1104315	F	4.7
1104315	M	6.9
1104316	F	6.1
1104316	M	7.7
1104317	F	3.5
1104317	M	4.2
1104318	F	15.9
1104318	M	11.3
1104319	F	12.1
1104319	M	5.3
1104320	F	4
1104320	M	9.3
1104321	F	7.4
1104321	M	3
1104322	F	4.3
1104322	M	6.4
1104323	F	2.8
1104323	M	6.2
1104324	F	2.8
1104324	M	4.3
1104325	F	5.1
1104325	M	8.1
1104326	F	8.8
1104326	M	3.3
1104327	F	3.3
1104327	M	2.6
1104328	F	5.6
1104328	M	4.2
1104329	F	8.2
1104330	F	2.8
1104330	M	11.6
1104401	F	4.1
1104402	F	3.6
1104402	M	7
1104403	M	7.5
1104404	F	8.7
1104404	M	9
1104405	F	4.1
1104405	M	3.8
1104406	M	5
1104407	F	7.4
1104407	M	7.6
1104408	F	4.2
1104408	M	6.3
1104409	F	9.1
1104412	F	4
1104412	M	4.8
1104414	F	8.1
1104414	M	2.7
1104415	F	7.8
1104416	F	4.6
1104416	M	6.1
1104417	F	8
1104417	M	3.3
1104419	F	6.5
1104419	M	14.3
1104421	M	5.6
1104422	F	7.5
1104422	M	10.3
1104423	F	7.6
1104423	M	2
1104424	F	6.3
1104424	M	9.3
1104425	M	5.5
1104426	F	5.4
1104426	M	7
1104428	F	8.2
1104428	M	6.8
1104429	F	7
1104429	M	9.8
1104430	F	11
1104430	M	4.5
1104431	F	11.3
1104432	M	5.2
1104433	F	10.1
1104433	M	12.4
1104434	F	11.3
1104434	M	5.3
1104435	F	4.1
1104435	M	5.5
1104436	F	7.8
1104436	M	5.3
1104437	F	5.3
1104437	M	5.9
1104438	F	2.5
1104438	M	3.1
1104439	F	3.1
1104439	M	9.7
1104441	F	7.4
1104441	M	6.9
1104442	F	5.6
1104442	M	2.9
1104443	M	17
1104444	F	9.3
1104444	M	8.6
1104445	F	10.3
1104445	M	11.9
1104446	F	15.2
1104446	M	11.6
1104447	F	11.4
1104447	M	13
1104448	F	12.2
1104448	M	12.4
1104449	F	14.3
1104449	M	4.9
1104451	F	11.5
1104451	M	3.6
1104452	M	8.8
1104453	F	11.7
1104453	M	4.4
1104454	M	5.7
1104455	F	6.7
1104455	M	8.8
1104456	F	6.1
1104456	M	7.9
1104457	F	9.1
1104457	M	7.7
1104458	F	4.9
1104458	M	4.6
1104459	F	6.6
1104501	F	7.6
1104501	M	10
1104502	F	17
1104502	M	13.4
1104503	F	10.3
1104503	M	15.7
1104504	F	7.9
1104504	M	8.8
1104505	F	6
1104505	M	12.3
1104506	F	6.9
1104506	M	5.3
1104507	F	13.1
1104507	M	13.9
1104508	F	16.3
1104508	M	7
1104509	F	9.9
1104509	M	5.6
1104510	F	8.5
1104510	M	10.2
1104511	F	10.2
1104511	M	12.1
1104512	F	4.3
1104512	M	3.1
1104513	F	7.5
1104513	M	6.2
