SA1_7DIGITCODE_2016	Sex	unemployment
1100701	M	12.1
1100702	F	9
1100702	M	5.1
1100703	F	7.7
1100703	M	3.4
1100704	F	3.3
1100704	M	3.6
1100705	F	3.5
1100705	M	9.2
1100706	F	5.8
1100706	M	5.3
1100707	M	6
1100708	F	4
1100708	M	2.5
1100709	F	3.1
1100709	M	3.1
1100710	M	3.1
1100801	F	2.7
1100802	F	5.7
1100802	M	5.5
1100803	F	7.4
1100803	M	10.8
1100804	F	3.9
1100804	M	5.6
1100805	F	7.9
1100805	M	8.8
1100806	F	2.8
1100807	F	3.8
1100807	M	4.9
1100808	F	5.7
1100808	M	12.2
1100810	F	3.8
1100810	M	3.3
1100812	F	3.6
1100813	M	4.9
1100814	M	1.8
1100815	F	7.4
1100815	M	9
1100816	F	4.8
1100816	M	6.7
1100817	F	3.8
1100817	M	3.8
1100818	F	14.5
1100818	M	10.3
1100819	F	2.2
1100819	M	3.7
1100820	F	10
1100821	M	2.1
1100822	F	6
1100822	M	6.1
1100823	F	5.6
1100823	M	7
1100902	M	4.5
1100904	M	3.2
1100905	F	2.9
1100905	M	4.3
1100907	F	6.4
1100907	M	5.2
1100908	F	2.6
1100908	M	5.7
1100909	F	11.3
1100909	M	7.2
1100910	F	2.9
1100910	M	8.4
1100911	F	8.1
1100911	M	2.2
1100912	M	7
1100913	F	1.9
1100913	M	4.3
1100914	M	3.3
1100915	F	4.7
1100915	M	6.9
1100916	F	2.1
1100916	M	5.3
1100917	F	6.3
1100917	M	16.3
1100918	M	5.8
1100919	F	3
1100919	M	6.4
1100920	F	7.5
1100920	M	10.7
1100921	F	6.7
1100921	M	2.6
1100923	F	3.9
1100923	M	4.1
1100925	F	2.9
1100925	M	5.1
1100926	F	9.3
1100926	M	14.6
1100927	F	3.8
1100927	M	5
1100928	F	9.4
1100928	M	8.4
1100929	F	4.2
1100929	M	7
1101002	F	2.7
1101002	M	2.8
1101003	F	3.3
1101003	M	3.4
1101004	F	5.9
1101004	M	4.1
1101006	F	8
1101006	M	3.9
1101007	F	5.1
1101008	F	10.8
1101008	M	7.1
1101009	F	2.9
1101009	M	7
1101010	F	6.5
1101010	M	4.7
1101014	M	10.4
1101015	F	10.3
1101015	M	5.2
1101016	M	5.3
1101017	F	7.9
1101017	M	7.5
1101101	F	6
1101101	M	4.6
1101103	M	3.4
1101104	F	3.8
1101104	M	6.6
1101105	F	2.4
1101105	M	3.9
1101106	F	4.1
1101106	M	3.1
1101107	F	3.3
1101107	M	3.1
1101108	F	7
1101108	M	8.3
1101109	F	4.3
1101110	M	5.3
1101111	M	2.4
1101115	M	3.8
1101116	M	3.3
1101117	F	4.1
1101117	M	5.4
1101118	M	2.6
1101119	F	3.9
1101119	M	3
1101120	F	3.3
1101120	M	2.9
1101123	M	4.9
1101125	F	4.8
1101125	M	1.8
1101126	F	2.5
1101126	M	3.9
1101127	F	8.1
1101127	M	2.8
1101128	F	4.2
1101128	M	6.3
1101129	F	3
1101129	M	4.6
1101130	F	3.7
1101130	M	4.4
1101131	F	8.9
1101133	M	5.4
1101135	F	3.2
1101135	M	2.9
1101136	F	3.3
1101136	M	3
1101137	F	5.2
1101139	F	4.8
1101140	F	3.4
1101140	M	6.6
1101141	F	2.7
1101142	F	4.8
1101145	F	2.3
1101145	M	2
1101147	M	2.7
1101148	M	4
1101149	F	3.3
1101150	F	2.8
1101150	M	2.9
1101151	M	7.1
1101203	F	4.1
1101203	M	1.7
1101204	M	5.3
1101205	F	3.1
1101205	M	6.4
1101206	F	6.1
1101206	M	2.5
1101207	M	4.7
1101208	F	2.8
1101208	M	4.6
1101209	F	1.4
1101209	M	4.9
1101210	F	2.3
1101210	M	3.3
1101211	F	5
1101211	M	3.6
1101212	F	2.9
1101212	M	4
1101213	M	3.1
1101214	F	4.5
1101215	F	3.3
1101215	M	2.2
1101216	F	3.4
1101218	F	3.4
1101218	M	5.7
1101219	F	5.3
1101219	M	3.7
1101220	F	5.2
1101222	F	3.8
1101222	M	1.8
1101223	F	1.8
1101223	M	3.4
1101224	M	8.1
1101227	F	4.9
1101227	M	4.2
1101228	F	5.3
1101228	M	4.3
1101229	F	2.6
1101229	M	3.6
1101230	F	7.4
1101230	M	16
1101231	F	3.5
1101231	M	3.3
1101232	F	2.7
1101232	M	2.1
1101301	F	14.8
1101301	M	14.9
1101302	F	7.9
1101302	M	2.7
1101303	F	4.5
1101304	F	3.2
1101305	M	5.3
1101307	F	4.5
1101307	M	3.9
1101308	F	6.1
1101401	M	7
1101402	F	3
1101402	M	4.9
1101403	F	3.6
1101403	M	6.8
1101404	F	8.1
1101404	M	12.3
1101405	F	3.6
1101405	M	11.2
1101406	F	3.5
1101406	M	3.2
1101407	M	3.4
1101409	F	3.5
1101409	M	5.5
1101410	F	11.4
1101410	M	14.8
1101411	F	3.5
1101411	M	5.5
1101412	F	4.8
1101412	M	2.1
1101413	F	4.8
1101413	M	4
1101415	F	3.8
1101415	M	4.3
1101418	M	4.9
1101419	F	7.6
1101419	M	2.6
1101503	F	9.1
1101503	M	15.4
1101511	M	5.8
1101514	F	10
1101515	M	6.8
1101516	M	7.5
1101518	M	4.8
1101519	F	6.5
1101519	M	11.8
1101521	F	5.1
1101521	M	3.2
1101522	F	14.4
1101602	M	4.3
1101605	M	3.4
1101606	F	2.4
1101606	M	2.1
1101610	F	2.9
1101610	M	3
1101613	M	5.3
1101614	F	2.9
1101614	M	3.1
1101615	F	2.9
1101616	F	2.4
1101616	M	3
1101617	F	2.3
1101618	F	2.1
1101618	M	1.8
1101619	F	2.6
1101619	M	3.5
1101701	F	11.8
1101701	M	15.9
1101702	F	15.5
1101702	M	6.3
1101703	F	4.7
1101704	F	4.2
1101704	M	12.5
1101705	F	18.2
1101705	M	16.7
1101706	F	14.5
1101706	M	19.5
1101709	F	6.5
1101709	M	2.8
1101710	M	3.8
1101711	F	16.2
1101711	M	5.5
1101712	F	7.6
1101712	M	7.7
1101713	F	6.3
1101713	M	11.5
1101716	F	8.8
1101716	M	5.4
1101717	M	10.6
1101718	F	7.3
1101718	M	9.5
1101719	F	5.6
1101719	M	5.7
1101720	M	8
1101721	F	5
1101721	M	12.3
1101722	F	6.9
1101722	M	10.9
