SA1_7DIGITCODE_2016	labourForceParticipation
1100701	47.2
1100702	52.8
1100703	59.9
1100704	47.2
1100705	55.3
1100706	51.2
1100707	48.5
1100708	54.5
1100709	64.6
1100710	48.2
1100801	72.9
1100802	63.7
1100803	55.1
1100804	49.8
1100805	38.8
1100806	63.8
1100807	62.2
1100808	63.5
1100810	77.4
1100811	61.4
1100812	86.3
1100813	77.1
1100814	75.5
1100815	65.4
1100816	52.1
1100817	66.7
1100818	65.4
1100819	80.1
1100820	68.6
1100821	70.1
1100822	71.7
1100823	72.7
1100901	74.2
1100902	57.3
1100904	63.1
1100905	58.9
1100907	74.7
1100908	69.2
1100909	68.5
1100910	71.5
1100911	67.2
1100912	59.5
1100913	68.3
1100914	63.4
1100915	67
1100916	71.4
1100917	49.3
1100918	51.2
1100919	65
1100920	44.2
1100921	74.9
1100923	63.2
1100924	58.3
1100925	71.2
1100926	72.5
1100927	74.3
1100928	66.3
1100929	49.3
1101001	55.6
1101002	70.9
1101003	63.2
1101004	81.4
1101006	61.8
1101007	66.2
1101008	65.9
1101009	68.9
1101010	76.1
1101011	93.8
1101012	83.8
1101014	64.3
1101015	71.4
1101016	78.3
1101017	73.4
1101101	69.8
1101102	67.4
1101103	69.7
1101104	37.1
1101105	62.8
1101106	63.7
1101107	67.6
1101108	64.1
1101109	53.7
1101110	64.2
1101111	65.4
1101112	63.2
1101113	56.8
1101115	73.4
1101116	53.9
1101117	63.2
1101118	63.1
1101119	67
1101120	66.4
1101122	59.6
1101123	69.6
1101125	74.9
1101126	66.5
1101127	70.9
1101128	66.8
1101129	65.9
1101130	64.9
1101131	68.3
1101132	66.2
1101133	67.7
1101134	65.6
1101135	74.1
1101136	67.9
1101137	70
1101139	66.7
1101140	65.3
1101141	70.6
1101142	79.3
1101143	79.1
1101144	83.4
1101145	79.8
1101146	69.6
1101147	82.6
1101148	88.7
1101149	85.4
1101150	70.4
1101151	73.4
1101152	80.6
1101201	77.8
1101202	89.2
1101203	82.5
1101204	81.6
1101205	82.8
1101206	82.5
1101207	69.9
1101208	63.6
1101209	76.2
1101210	79.3
1101211	78.8
1101212	84.2
1101213	75.7
1101214	76.1
1101215	77.2
1101216	76.5
1101217	54.5
1101218	75.1
1101219	68.9
1101220	70.5
1101221	81.4
1101222	79.2
1101223	68
1101224	78.2
1101227	83.1
1101228	72.3
1101229	68.5
1101230	57.4
1101231	66.4
1101232	82.6
1101301	53.8
1101302	51.8
1101303	58.2
1101304	57.2
1101305	58.7
1101306	60.2
1101307	54.1
1101308	63.8
1101401	37.4
1101402	59.5
1101403	51.3
1101404	53.6
1101405	52.5
1101406	56.2
1101407	59.2
1101408	62
1101409	50
1101410	52.3
1101411	35.1
1101412	59.7
1101413	49.3
1101414	50.7
1101415	55.6
1101417	70
1101418	69.9
1101419	59.3
1101502	100
1101503	38.1
1101505	74
1101511	51.6
1101512	51.5
1101514	68.5
1101515	52.9
1101516	64.5
1101517	62.7
1101518	65.6
1101519	60.9
1101520	57.7
1101521	64.1
1101522	67.6
1101523	79.5
1101524	44.2
1101601	71.7
1101602	58.7
1101603	64.1
1101604	63.7
1101605	75.6
1101606	68.3
1101607	61.5
1101608	66.9
1101609	78.3
1101610	71.6
1101611	60.8
1101612	62.3
1101613	73.8
1101614	76.8
1101615	73.3
1101616	75.5
1101617	76.5
1101618	74.3
1101619	62.4
1101620	71.9
1101701	33.8
1101702	65
1101703	35.7
1101704	43.4
1101705	33
1101706	32.1
1101707	100
1101708	46
1101709	52.1
1101710	41.4
1101711	51.1
1101712	47.5
1101713	47
1101716	45.6
1101717	39.8
1101718	35.9
1101719	45.7
1101720	46.7
1101721	48.4
1101722	39.5
1101801	45.2
1101802	45.1
1101803	55
1101804	37.3
1101805	46.8
1101806	43.2
1101807	52.6
1101808	39
1101809	23.9
1101810	50.8
1101811	40.1
1101812	43.1
1101813	40.3
1101814	50
1101815	39
1101816	42.8
1101817	51.3
1101818	42.5
1101819	50.9
1101820	36
1101821	51.9
1101822	35.4
1101823	40.4
1101901	42.3
1101902	45.9
1101903	54.1
1101904	49
1101905	39.1
1101906	67.2
1101907	55.7
1101909	48.4
1101911	54
1101912	56.5
1101913	50.1
1101914	56.9
1101915	60.5
1101916	57.2
1101917	62
1101918	57
1101919	54.5
1101920	54.7
1101921	62.6
1101922	38.3
1101923	54.8
1102001	58.5
1102002	55.5
1102003	58.3
1102004	46.9
1102005	45.2
1102006	43
1102007	60
1102008	56.8
1102011	62.9
1102013	46.2
1102014	55.8
1102015	44.8
1102016	52
1102017	64.1
1102018	54.1
1102019	51.4
1102020	52.4
1102022	52.5
1102023	62.6
1102024	49.5
1102025	54.8
1102026	52.3
1102027	56
1102028	64.2
1102029	49.6
1102030	40.5
1102031	54.7
1102032	52
1102101	50.7
1102102	55.3
1102104	31.1
1102105	48.1
1102106	36.8
1102107	54.3
1102108	56.6
1102109	96.6
1102201	24
1102301	48
1102302	52.5
1102303	56
1102304	44.2
1102305	47.3
1102306	34.2
1102307	41.8
1102308	40.7
1102309	45.4
1102310	37.5
1102401	50
1102402	51.9
1102403	50.5
1102404	58.8
1102405	51.9
1102406	60.8
1102407	46.2
1102408	57.4
1102409	49.8
1102410	51.4
1102411	53
1102412	51
1102502	46.3
1102503	22.8
1102504	53
1102505	43.3
1102506	53.4
1102507	52.6
1102508	33.1
1102509	51.1
1102510	39.2
1102511	49.7
1102512	39.8
1102513	58.7
1102514	47.8
1102516	57.3
1102517	52.3
1102518	51.9
1102519	35.4
1102520	41.5
1102521	58.5
1102522	51.9
1102523	51
1102524	58.4
1102525	40
1102526	56.8
1102527	52.8
1102528	50.3
1102529	45.3
1102530	48.5
1102532	38.3
1102601	37.8
1102602	38.2
1102603	41.5
1102604	39.4
1102605	32.8
1102606	46.2
1102607	50.2
1102608	36.8
1102609	45.5
1102610	39.9
1102611	46.4
1102612	41.7
1102613	50
1102614	52.6
1102615	52
1102616	52.2
1102617	46.2
1102618	46.3
1102619	58.3
1102620	40.7
1102621	43.9
1102622	57.1
1102623	46.5
1102701	36.7
1102702	36.7
1102703	37.6
1102704	41.4
1102705	40.1
1102706	27.8
1102707	40.2
1102708	25.5
1102709	44.8
1102710	49.2
1102712	52
1102713	48.5
1102714	75
1102715	42.9
1102717	50
1102718	37.1
1102719	36.5
1102720	46.9
1102721	35.6
1102722	13.5
1102723	38.7
1102724	42.4
1102725	24.8
1102726	36.3
1102727	42.8
1102728	27.1
1102729	37.4
1102802	68.8
1102803	58
1102804	71.9
1102805	68
1102806	57.2
1102807	61.4
1102808	77.5
1102809	71
1102810	66.8
1102811	72.1
1102812	70.6
1102813	63.4
1102814	66.1
1102815	69.3
1102816	64.5
1102817	68.2
1102818	73.7
1102901	62.5
1102902	56.9
1102903	53.4
1102904	61.2
1102905	64.3
1102906	52.2
1102907	49.6
1102908	53.6
1102909	47.3
1102910	62.3
1102911	58.4
1102912	53.8
1102913	62.8
1102914	65.7
1102915	66.4
1102916	67.9
1102917	58.3
1102918	57.1
1102919	25.6
1102920	50
1102922	70.8
1102923	67.7
1102924	76.6
1102925	55.8
1102926	56.5
1102927	51.2
1102928	28.5
1103002	58.1
1103003	52.8
1103004	60.9
1103005	70.9
1103006	65.2
1103007	60.7
1103008	65.4
