SA1_7DIGITCODE_2016	labourForceParticipation
1103009	57.6
1103010	60.8
1103011	39.8
1103012	67.9
1103013	36
1103014	63
1103101	59.7
1103102	15.4
1103103	4.3
1103104	33.1
1103105	65.1
1103106	56.8
1103107	70
1103108	72.4
1103109	71.7
1103110	59
1103111	60.3
1103112	73.1
1103113	58.4
1103114	63.5
1103115	63.9
1103116	57.7
1103117	58.8
1103118	62.2
1103119	65.9
1103120	66.1
1103121	63
1103122	62.3
1103123	44.8
1103124	60.2
1103125	47.7
1103126	16.2
1103127	65.5
1103128	22
1103129	63.2
1103130	66.5
1103131	9.2
1103132	100
1103133	65.7
1103134	63.2
1103135	57.7
1103136	59.6
1103137	5.9
1103138	61.6
1103201	63.1
1103202	51.1
1103203	79.8
1103204	59.2
1103205	64.1
1103206	60
1103207	69.5
1103208	71.6
1103210	68.6
1103211	62.1
1103212	62.2
1103213	69.6
1103214	66.3
1103215	69.3
1103216	58.5
1103217	72.7
1103218	70.3
1103219	82.4
1103220	56.8
1103221	66.8
1103223	100
1103224	58.2
1103225	67
1103226	62.8
1103227	43.1
1103228	45.1
1103229	49.6
1103230	44.2
1103231	54.3
1103232	52
1103233	69.6
1103234	67.1
1103235	52.2
1103236	50.6
1103237	69
1103238	63
1103239	52.6
1103240	37.4
1103241	58.6
1103242	48.3
1103243	56.1
1103244	27.3
1103245	58.6
1103246	76
1103247	69.5
1103248	57.1
1103301	74.3
1103302	64
1103303	72.6
1103304	73.6
1103305	72.5
1103306	68.4
1103307	67.4
1103308	69.6
1103309	7
1103310	67.6
1103311	67.8
1103312	73.8
1103313	72.6
1103314	74
1103315	72.9
1103317	65.8
1103318	67.9
1103319	70
1103320	166.7
1103401	57.1
1103402	62.2
1103403	56.4
1103404	71.1
1103405	65
1103406	68.5
1103407	63.4
1103408	54
1103409	76.2
1103410	66.7
1103411	68.9
1103412	69.7
1103413	59.8
1103414	34.5
1103415	17.7
1103416	45.2
1103417	34.9
1103418	4.4
1103419	71.5
1103501	66.3
1103502	57.5
1103503	68.1
1103504	62.7
1103505	68.6
1103506	68.3
1103507	63.7
1103508	72.6
1103509	68.2
1103510	63.7
1103511	70
1103512	62.1
1103513	69.3
1103514	64.6
1103515	53.4
1103516	62.2
1103517	37.1
1103601	73
1103602	78.1
1103603	70.2
1103604	66
1103605	70.9
1103606	62.8
1103607	65
1103608	34.6
1103609	75.4
1103610	59.8
1103611	63.8
1103612	53.7
1103613	63.1
1103614	70.3
1103615	71.3
1103616	71.5
1103617	58.5
1103618	77.4
1103619	71.3
1103620	61.3
1103621	69.4
1103622	65.7
1103701	52.1
1103702	55.9
1103703	58
1103704	67
1103705	65.2
1103706	60.1
1103707	61.4
1103708	58.3
1103709	61.4
1103710	64
1103711	55.5
1103712	62.1
1103713	49.3
1103714	63.9
1103801	67.5
1103802	60.8
1103803	53.9
1103804	59
1103805	66
1103806	61
1103807	60.1
1103808	4.9
1103809	64.6
1103810	65.3
1103811	68.7
1103812	61.3
1103813	71.4
1103814	52.6
1103815	54.8
1103816	70.6
1103817	65.3
1103901	68.3
1103902	64.2
1103903	59.7
1103904	63.9
1103905	65.8
1103906	63.3
1103908	66.9
1103909	68.4
1103911	66.3
1103912	58.1
1103913	64.4
1103914	67.6
1103915	75.3
1103916	62.5
1103917	69.1
1103918	62.2
1103919	40.5
1103920	63.7
1103921	63.5
1103922	64.4
1103923	62.3
1103924	7.6
1103925	61.2
1103926	65.6
1103927	72.7
1103928	67.4
1103929	66
1103930	62.9
1103931	57.7
1104001	54.4
1104002	36.2
1104003	68.2
1104004	54.6
1104005	50
1104006	43.2
1104007	44.9
1104009	35.7
1104010	25.1
1104011	42.8
1104012	56.3
1104013	58.1
1104014	24.6
1104015	36.6
1104016	38
1104017	42.2
1104018	56.6
1104019	57.8
1104020	53.2
1104021	48.2
1104022	41.5
1104023	47.9
1104024	46.6
1104025	57.8
1104026	43.6
1104027	48.4
1104028	53.8
1104029	36.2
1104030	47.7
1104031	59.9
1104032	41.1
1104033	50.6
1104034	62.6
1104035	56.3
1104036	58.8
1104037	48.2
1104038	58.5
1104039	56.7
1104040	51.4
1104041	47.6
1104042	50.1
1104043	48.2
1104044	45.2
1104045	52.2
1104046	51.2
1104047	54.5
1104048	58.2
1104049	63.8
1104050	57.5
1104051	58.2
1104052	60.6
1104053	43.6
1104054	66.4
1104055	65.9
1104056	61.4
1104057	57.6
1104058	58.8
1104101	58.4
1104102	66.9
1104103	70.2
1104104	69.6
1104105	73.1
1104106	60.5
1104107	66.8
1104109	68.6
1104110	64.1
1104111	68.4
1104112	69.2
1104113	58.3
1104114	66.3
1104115	60.5
1104116	65.1
1104117	61.7
1104119	70
1104120	72.8
1104121	36
1104122	56.6
1104123	69.3
1104124	62.1
1104125	68.7
1104201	40.3
1104202	51
1104203	55.9
1104204	28.1
1104205	40.1
1104207	62.2
1104208	33.2
1104209	43.3
1104210	68.3
1104211	63
1104213	47
1104214	51.9
1104215	49.4
1104216	55.5
1104217	47.5
1104218	58.2
1104219	51.8
1104220	43.1
1104221	53.1
1104222	50.3
1104223	32.4
1104224	56.4
1104225	63
1104226	57.7
1104227	50
1104228	57.3
1104229	49.1
1104230	47.2
1104231	29.4
1104232	37.2
1104233	44
1104301	37.8
1104302	61.9
1104303	57.4
1104304	71
1104305	64.7
1104306	100
1104307	66.3
1104308	56
1104309	62.7
1104310	69.2
1104311	71.9
1104312	1.4
1104313	31
1104314	5.1
1104315	55.8
1104316	58.6
1104317	56.7
1104318	58.8
1104319	68.3
1104320	59.4
1104321	67
1104322	63
1104323	59.9
1104324	66.8
1104325	42.3
1104326	69.5
1104327	66.7
1104328	65
1104329	68.7
1104330	61.1
1104401	53
1104402	57.3
1104403	44
1104404	66
1104405	65.5
1104406	56.6
1104407	60.2
1104408	54.7
1104409	53.9
1104410	7.1
1104411	18.2
1104412	56.9
1104414	62.7
1104415	67.1
1104416	60.5
1104417	56.6
1104418	125
1104419	68.3
1104420	27.2
1104421	31.7
1104422	62.1
1104423	66.4
1104424	58.8
1104425	56.8
1104426	69
1104427	58
1104428	65.2
1104429	55.6
1104430	51.5
1104431	58.5
1104432	62.1
1104433	63.3
1104434	62.5
1104435	65.8
1104436	70
1104437	58.9
1104438	65.7
1104439	59.6
1104440	1.3
1104441	58
1104442	63.6
1104443	55.1
1104444	53.1
1104445	43.6
1104446	34.8
1104447	39.2
1104448	56.9
1104449	54.4
1104450	65.8
1104451	68.4
1104452	62.9
1104453	69.6
1104454	55.2
1104455	51.9
1104456	66.9
1104457	69.7
1104458	64.9
1104459	54.3
1104501	58.1
1104502	64.6
1104503	59.9
1104504	62.4
1104505	49.5
1104506	58.4
1104507	63.4
1104508	50.2
1104509	56.4
1104510	54.5
1104511	61.6
1104512	56.2
1104513	58
1104514	66.2
1104515	60.5
1104516	57
1104517	63.8
1104518	67.1
1104519	61.5
1104521	62.7
1104522	62.3
1104523	55.3
1104524	57.8
1104601	52.8
1104602	57
1104603	57.6
1104604	50.4
1104605	54
1104606	59.6
1104607	55.7
1104608	47.5
1104609	49
1104610	51.6
1104611	19.5
1104612	56.7
1104614	53.8
1104615	59.5
1104616	55.1
1104617	42.8
1104618	54.2
1104619	55.7
1104620	51
1104621	60.7
1104622	54.5
1104623	31.8
1104624	57.6
1104625	27.4
1104701	72.6
1104702	73
1104703	66.1
1104704	71.6
1104705	68.1
1104706	68
1104707	63.2
1104708	70.3
1104709	70.4
1104710	18.1
1104711	28.6
1104712	68.2
1104713	30.5
1104714	65.1
1104715	62.9
1104716	70.1
1104717	60.5
1104718	64.8
1104719	67.1
1104720	72.8
1104721	68.6
1104722	68.2
1104723	66.8
1104724	70.9
1104725	62.6
1104726	70.4
1104727	67.5
1104728	66.6
1104729	70.9
1104730	67.2
1104731	67.3
1104732	63.2
1104733	56.5
1104734	61.4
1104735	63.6
1104736	62.5
1104737	55.6
1104801	58.1
1104802	61.6
1104803	63.5
1104804	61
1104805	65.1
1104806	62.7
1104807	60.7
1104808	47.2
1104809	54.8
1104810	46.9
1104811	57
1104812	61
1104813	57
1104814	48.1
1104815	38
1104816	48.8
1104817	48.3
1104818	50.4
1104819	52.6
1104820	44.7
1104821	16.3
1104822	60.1
1104823	55.4
1104824	48.2
1104825	51.4
1104826	42.7
1104827	48.6
1104828	53.8
1104829	43.8
1104830	42.1
1104831	67.6
1104832	56
1104833	49.4
1104834	51
1104835	45.7
1104836	51.8
1104837	50.2
1104838	60.6
1104840	59.8
1104841	56.3
1104842	47.2
1104843	46.5
1104844	62
1104845	44
1104846	32.2
1104847	53.6
1104848	62.6
1104849	7.6
1104901	65.3
1104902	71.9
1104903	64.8
1104904	58.2
1104905	67.7
1104906	55.3
1104907	61.2
1104908	59.6
1104910	55.8
1105001	66.1
1105002	54.5
1105003	65.7
1105004	60.5
1105005	60.5
1105006	62.3
1105007	60.8
1105008	35.7
1105009	63.7
1105010	59.8
1105011	60.2
1105012	64.2
1105013	55.8
1105015	54.3
1105016	33.3
1105017	16.8
1105018	62.9
1105019	60
1105020	9.2
1105021	6.5
1105022	65.9
1105024	53.6
1105025	54
1105026	52.1
1105027	5.4
1105028	25
1105101	70.2
1105102	69.7
1105103	59.5
1105104	69.1
1105106	55.8
1105107	74
1105108	62.4
1105109	63.3
1105110	78
1105111	63
1105112	74.5
1105113	68.6
1105114	72.2
1105115	67.3
1105116	62.6
1105201	46.9
1105202	59.5
1105203	56.6
1105204	62.5
1105205	55.5
1105206	46.7
1105207	53.2
1105208	51.7
1105209	52.1
1105210	50.8
1105213	51.4
1105214	63.4
1105215	53.8
1105216	52
1105301	50.8
1105302	46.1
1105303	50.4
1105304	58.7
1105305	50.9
1105306	59.6
1105307	45.2
1105308	53.5
1105309	60.8
1105310	53.9
1105311	55.6
1105312	51.7
1105313	46.8
1105314	47.8
1105315	56.6
1105316	46.1
1105317	52
1105318	49.2
1105319	47
1105320	59.8
1105321	53.2
1105322	51.1
1105324	60.4
1105325	44.7
1105326	59.8
1105327	43.3
1105328	48.9
1105329	47.7
1105330	49.4
1105331	35.8
1105332	42.8
1105333	48.9
1105334	40.1
1105335	46.8
1105336	50
1105337	58.8
1105401	47.4
1105402	43.3
1105403	38.3
1105404	27.2
1105405	48.3
1105406	13.8
1105407	49.5
1105408	61.7
1105409	56.3
1105410	56.9
1105411	53.4
1105412	56.1
1105413	65
1105414	49
1105417	41.7
1105418	38
1105419	27.6
1105420	53.5
1105421	51.4
1105422	49
1105423	54
1105424	53.6
1105501	54.2
1105502	65.1
1105503	63.1
1105504	83.3
1105505	72.4
1105506	55.8
1105507	67.5
1105508	60.1
1105509	52.7
1105510	61.9
1105511	67.5
1105512	62.4
1105513	61.6
1105514	61.7
1105601	57.2
1105602	70
1105603	70.9
1105604	66.3
1105605	61.8
1105606	66.2
1105607	60.5
1105608	59.9
1105609	62.3
1105612	59.3
1105613	64.4
1105614	60.7
1105615	53.3
1105616	35.7
1105617	70.1
1105618	65.4
1105620	66.3
1105621	100
1105622	67.2
1105623	70.9
1105624	57.2
1105625	50.9
1105626	62.7
1105627	66.3
1105628	71.3
1105629	68.1
1105630	38.1
1105631	64.7
1105632	48.5
1105633	66.9
1105701	64.8
1105702	64.1
1105703	60.4
1105704	57.6
1105705	65.4
1105706	49.2
1105707	46.8
1105708	61.4
1105709	66.2
1105710	32.8
1105711	47.6
1105712	46.4
1105713	45.8
1105714	58.5
1105715	36.9
1105716	50.6
1105717	65.1
1105718	34.2
1105719	48.9
1105720	45.3
1105801	61.3
1105802	61
1105804	58.4
1105805	56.8
1105806	66.8
1105807	62.8
1105808	49.5
1105809	51.5
1105811	68.6
1105813	67.7
1105814	46.9
1105815	62.4
1105816	63.1
1105817	61
1105818	55.2
1105819	55.2
1105820	54.5
1105821	51.1
1105822	56.3
1105823	51.2
1105824	59.9
1105825	56.3
1105826	64.8
1105827	42.3
1105828	63.6
1105829	57
1105830	38.9
1105831	65.1
1105832	44.1
1105833	42.4
1105834	58.2
1105835	72.3
1105836	54
1105837	66.3
1105838	65.5
1105839	70.4
1105840	59.3
1105841	45.4
1105842	71.4
1105843	50.4
1105844	60.3
1105845	67.1
1105846	55.3
1105847	60.1
1105848	62.9
1105850	66.3
1105851	47.8
1105853	45.7
1105854	54.1
1105855	56.1
1105856	59.5
1105857	41.9
1105858	100
1105859	73.6
1105860	66.5
1105861	68.5
1105862	71.8
1105863	73.8
1105864	70.2
1105901	66.8
1105902	63
1105903	61.3
1105905	43.3
1105906	40.9
1105907	43.8
1105908	24.7
1105910	75.1
1105912	54.8
1105913	61.6
1105914	47.1
1105915	53.3
1105916	65.1
1105917	72.8
1105918	55.7
1105919	67.4
1105920	61.3
1105921	60.1
1105922	70.6
1105923	67.1
1105924	56.4
1105925	70.8
1105926	71.1
1105927	56.3
1106001	61.6
1106002	52.8
1106003	60.3
1106004	64.2
1106005	39.4
1106006	67.9
1106007	55.5
1106008	55.8
1106009	64.2
1106010	56.2
1106011	65.8
1106012	64.6
1106013	63
1106014	68.2
1106015	68.7
1106016	61.5
1106017	60.1
1106018	56.3
1106019	58.4
1106020	61
1106101	53.2
1106102	62.4
1106103	60
1106104	64.8
1106105	56.8
1106106	49.3
1106107	26.9
1106108	63
1106109	53.7
1106110	40.6
1106111	45.9
1106112	51.9
1106113	55.6
1106114	55.3
1106115	56.1
1106116	54.4
1106201	37
1106202	46.4
1106203	52.9
1106204	52.1
1106205	61.4
1106206	61.2
1106207	56.5
1106208	47
1106209	48.2
1106210	52.4
1106211	48.3
1106212	41.3
1106213	65.8
1106214	77.3
1106215	68.4
1106216	56
1106217	63.2
1106218	61.6
1106219	70.2
1106220	61.4
1106221	71.2
1106222	46
1106224	63.2
1106303	38.7
1106304	57.6
1106305	52.7
1106306	24.9
1106307	100
1106308	52.2
1106309	37.1
1106310	48.7
1106311	42.5
1106312	45.2
1106313	55.2
1106314	52.5
1106315	55.7
1106316	45.3
1106317	44.2
1106318	34.4
1106319	32
1106320	39.5
1106321	45.8
1106322	50.3
1106323	53
1106324	55
1106325	54.4
1106326	51.5
1106327	60.5
1106328	61.1
1106329	59.1
1106401	53.1
1106402	59.3
1106403	51.7
1106404	45.8
1106405	35.6
1106406	40.4
1106407	59.8
1106408	63.4
1106409	48.6
1106410	53
1106411	58.4
1106412	65.1
1106413	63.6
1106414	52.1
1106415	37.3
1106416	52.7
1106417	59.1
1106418	58
1106501	50.4
1106502	42.2
1106503	42.8
1106504	57.8
1106505	50.2
1106506	56.9
1106507	50.4
1106508	49.5
1106509	55.9
1106510	60
1106511	57.4
1106512	40.5
1106513	56
1106514	56.7
1106515	46.1
1106516	65.9
1106517	70.7
1106518	68.2
1106519	65.1
1106520	69.7
1106521	66.7
1106522	70.5
1106523	49.3
1106524	61.1
1106525	61.3
1106526	57.8
1106527	37.9
1106528	45.8
1106529	46.9
1106601	37.7
1106602	78.7
1106603	65.8
1106604	44.8
1106605	43.6
1106606	43.6
1106607	37.1
1106608	30.6
1106609	48.4
1106610	45.1
1106611	67.1
1106612	49.7
1106613	64.6
1106701	51.6
1106702	64.5
1106703	65.6
1106704	49.6
1106705	64
1106706	63.1
1106707	64.9
1106708	60.4
1106709	50.8
1106710	58.3
1106711	47.1
1106712	32.7
1106713	62.2
1106714	51.4
1106715	59.6
1106716	61.9
1106717	43.5
1106718	68.6
1106719	41.7
1106720	54.5
1106721	47
1106722	47.6
1106723	52.1
1106724	55.2
1106725	71.6
1106726	59.2
1106727	48.3
1106728	45.3
1106729	43.1
1106801	55.2
1106802	37.7
1106803	43.9
1106804	41
1106805	44.3
1106806	58.1
1106807	47.7
1106808	63.1
1106809	53.6
1106810	68.2
1106811	70.9
1106901	63.1
1106902	61
1106903	67.6
1106904	63.8
1106905	79.3
1106906	54.3
1106907	61.3
1106908	58.3
1106909	57.7
1106910	69.2
1106911	27.6
1106912	36
1106913	54.7
1106914	51.7
1106915	54.6
1106916	46.5
1106917	56.1
1106918	46
1106919	61.5
1107001	65.2
1107002	49.4
1107003	42
1107004	46.8
1107005	39
1107006	49
1107007	40.5
1107008	56.1
1107010	47.9
1107011	46.2
1107012	47.3
1107013	51.8
1107014	58.1
1107015	51.2
1107016	44.6
1107017	63.4
1107018	50.4
1107019	40.2
1107020	42
1107021	27.1
1107022	39
1107023	38.9
1107024	54.3
1107025	56.2
1107026	52.9
1107027	57.1
1107028	49.8
1107029	52.2
1107030	59.7
1107032	49.5
1107101	30.4
1107102	52.4
1107103	50.4
1107104	50.9
1107105	56.1
1107106	52.9
1107107	46.5
1107108	58.4
1107109	68.2
1107110	59.5
1107111	47.4
1107112	65.8
1107113	42
1107114	65.1
1107115	61.9
1107116	60.7
1107117	54.8
1107118	100
1107119	51.8
1107120	67.5
1107121	50.5
1107122	40.8
1107123	36.7
1107124	39.3
1107125	46.3
1107126	41.9
1107127	52
1107128	47.4
1107201	43.2
1107202	58.9
1107203	51.8
1107204	35.6
1107205	47.6
1107206	62.5
1107207	68.2
1107208	49.7
1107209	60.5
1107210	45.5
1107211	65.5
1107212	65.4
1107214	64.9
1107215	61.9
1107216	55.2
1107217	63.9
1107218	61.3
1107219	54
1107220	50.9
1107221	57.3
1107222	61.5
1107224	48.4
1107225	64.6
1107226	70.1
1107227	74.9
1107228	70.2
1107302	51.7
1107303	44.2
1107304	41.6
1107305	40.7
1107306	23.9
1107307	30.1
1107308	31.9
1107309	35
1107310	51.4
1107311	34.2
1107312	47.1
1107313	51.6
1107314	53.3
1107401	62.1
1107402	55.2
1107403	50.5
1107404	47.7
1107405	44.3
1107406	37.9
1107407	48.9
1107408	52.5
1107409	46.1
1107410	42.4
1107411	62.4
1107412	53.7
1107413	47.1
1107414	52.6
1107415	49.1
1107416	63.3
1107417	52.6
1107418	69
1107419	53.8
1107420	58.1
1107421	65.1
1107422	55.7
1107423	42
1107425	45.6
1107426	39.6
1107427	59.1
1107601	72.4
1107602	64.1
1107603	62.4
1107604	56.3
1107605	64.5
1107606	46.7
1107607	52.3
1107608	47.4
1107609	61.1
1107610	55.6
1107611	37.3
1107612	49.3
1107613	64
1107614	71.1
1107615	67.7
1107616	72.5
1107617	58.6
1107618	63.1
1107619	63.4
1107620	54.8
1107621	68.4
1107701	58
1107702	37.6
1107703	57.9
1107704	56.5
1107705	37.2
1107706	43.8
1107707	46.6
1107708	62.5
1107709	51.4
1107710	51.1
1107711	54.5
1107712	63.5
1107713	52.4
1107714	55.4
1107715	64.2
1107716	60.1
1107717	65.1
1107718	56.2
1107719	66
1107720	45.3
1107721	58.4
1107722	62.9
1107723	63.2
1107724	37.6
1107725	69.1
1107726	53.1
1107727	49.7
1107728	66.1
1107729	62.6
1107730	54.1
1107731	60.9
1107732	70.7
1107733	43.2
1107734	50.5
1107736	50.9
1107737	70.1
1107738	57.3
1107739	11.5
1107740	61.2
1107741	39.8
1107742	61.8
1107743	51
1107744	55.7
1107745	53.4
1107746	59.3
1107747	27.3
1107748	55.6
1107749	39.5
1107750	32.2
1107751	41.5
1107752	38.2
1107753	60.9
1107754	56.5
1107801	55.3
1107802	55
1107804	64.6
1107805	43.4
1107806	59.2
1107807	78.1
1107808	37.2
1107809	68.2
1107810	62.6
1107811	71.7
1107812	69
1107813	72.1
1107814	72.8
1107815	60.2
1107816	77.1
1107817	65.5
1107818	66.3
1107819	56.9
1107820	63.6
1107821	65.3
1107822	67.4
1107823	72.4
1107824	54
1107825	69
1107826	68
1107827	79.1
1107828	57.3
1107829	54.9
1107830	52
1107831	66.3
1107833	72.3
1107834	75.4
1107835	66.7
1107836	76.4
1107837	33.8
1107838	65.7
1107839	49.7
1107840	74.6
1107841	77.5
1107842	75.7
1107843	74.7
1107844	72.6
1107845	66.6
1107901	46.1
1107902	51.2
1107903	48.5
1107904	44.9
1107905	54
1107906	50
1107907	65.6
1107908	63.3
1107909	66.1
1107910	58.5
1107911	65.6
1107912	65.3
1107913	67.9
1107914	67.3
1107915	69.3
1107916	75.4
1107917	54.2
1107918	62.4
1107919	57.7
1107920	54.2
1107921	54.9
1107922	70.9
1107923	62.1
1107924	69.4
1107925	64
1107926	74.4
1107927	65.9
1107928	76.2
1107929	70.4
1107930	66.9
1107931	77
1107932	62.9
1107933	64.8
1107934	70.3
1107935	70.8
1107936	64.9
1108001	42
1108002	51.2
1108003	44.2
1108004	36.4
1108005	40.6
1108006	44
1108007	37.3
1108008	33
1108009	36
1108010	51.9
1108011	42.4
1108012	42.3
1108013	48.6
1108014	40.7
1108015	54.2
1108016	60.7
1108017	58.5
1108018	30.8
