SA1_7DIGITCODE_2016	Sex	employmentToPopulation
1101519	F	59.5
1101519	M	55.5
1101520	F	56.5
1101520	M	58.2
1101521	F	55.7
1101521	M	63.4
1101522	F	55.6
1101522	M	73.9
1101523	F	77.2
1101523	M	75.6
1101524	F	39.8
1101524	M	48.4
1101601	F	85.7
1101601	M	73
1101602	F	61.9
1101602	M	55.5
1101603	F	58.9
1101603	M	69.2
1101604	F	61.4
1101604	M	73.1
1101605	F	68.5
1101605	M	76.4
1101606	F	65.4
1101606	M	66.7
1101607	F	62.7
1101607	M	61.1
1101608	F	73.5
1101608	M	60.9
1101609	F	81.3
1101609	M	78
1101610	F	68.2
1101610	M	71.2
1101611	F	60.4
1101611	M	59.7
1101612	F	82.6
1101612	M	62.8
1101613	F	60.2
1101613	M	72.1
1101614	F	71.7
1101614	M	69.6
1101615	F	72.1
1101615	M	74.1
1101616	F	69.5
1101616	M	75.5
1101617	F	78.2
1101617	M	77.2
1101618	F	77.3
1101618	M	70
1101619	F	56.7
1101619	M	61.9
1101620	F	63.4
1101620	M	64.8
1101701	F	26.9
1101701	M	31.1
1101702	F	50.5
1101702	M	59.4
1101703	F	27.4
1101703	M	42.9
1101704	F	42.2
1101704	M	38.3
1101705	F	20.7
1101705	M	32.5
1101706	F	25.6
1101706	M	30.6
1101708	F	41.6
1101708	M	43.5
1101709	F	48
1101709	M	50.2
1101710	F	40.7
1101710	M	43.8
1101711	F	40.7
1101711	M	51.9
1101712	F	40.8
1101712	M	45
1101713	F	36.7
1101713	M	44
1101716	F	38.3
1101716	M	40.6
1101717	F	36
1101717	M	42.7
1101718	F	28.5
1101718	M	33.5
1101719	F	38.4
1101719	M	40.3
1101720	F	46.7
1101720	M	43.1
1101721	F	40
1101721	M	50
1101722	F	33.2
1101722	M	38.8
1101801	F	42.6
1101801	M	45
1101802	F	44.8
1101802	M	37.6
1101803	F	55.9
1101803	M	52.2
1101804	F	26.3
1101804	M	40
1101805	F	39.2
1101805	M	50
1101806	F	34.1
1101806	M	45.1
1101807	F	45.7
1101807	M	40.4
1101808	F	35.8
1101808	M	33.3
1101809	F	18.6
1101809	M	22.3
1101810	F	39.2
1101810	M	44.4
1101811	F	35.8
1101811	M	35.7
1101812	F	34.8
1101812	M	34.7
1101813	F	45.5
1101813	M	37.8
1101814	F	47.4
1101814	M	53.2
1101815	F	41
1101815	M	43.9
1101816	F	39.8
1101816	M	38.5
1101817	F	47.8
1101817	M	46.7
1101818	F	35.8
1101818	M	47
1101819	F	50.8
1101819	M	47.4
1101820	F	28.8
1101820	M	39.8
1101821	F	55.1
1101821	M	40.7
1101822	F	29.1
1101822	M	35.8
1101823	F	30.4
1101823	M	35
1101901	F	34.6
1101901	M	44.2
1101902	F	34.6
1101902	M	51.3
1101903	F	52.1
1101903	M	41.9
1101904	F	44.4
1101904	M	48.8
1101905	F	30.6
1101905	M	38.6
1101906	F	65.7
1101906	M	63.1
1101907	F	46.9
1101907	M	55.3
1101909	F	41.1
1101909	M	50.8
1101911	F	51.1
1101911	M	50
1101912	F	50
1101912	M	54.3
1101913	F	51.1
1101913	M	45.9
1101914	F	52.6
1101914	M	59.8
1101915	F	62
1101915	M	59.8
1101916	F	53
1101916	M	51.9
1101917	F	56.2
1101917	M	62.6
1101918	F	56.9
1101918	M	55.3
1101919	F	48.4
1101919	M	63.8
1101920	F	51.1
1101920	M	63.7
1101921	F	60.6
1101921	M	59.5
1101922	F	40.7
1101922	M	37.7
1101923	F	45.1
1101923	M	59.1
1102001	F	56.5
1102001	M	62.1
1102002	F	55.5
1102002	M	54.3
1102003	F	52.3
1102003	M	55.6
1102004	F	44.3
1102004	M	44.9
1102005	F	47.4
1102005	M	38
1102006	F	33.8
1102006	M	34.9
1102007	F	58.2
1102007	M	58.3
1102008	F	53.3
1102008	M	56.3
1102011	F	55.6
1102011	M	66.2
1102013	F	24.3
1102013	M	48.6
1102014	F	44.8
1102014	M	53.5
1102015	F	45.7
1102015	M	40.2
1102016	F	47.7
1102016	M	52.1
1102017	F	67
1102017	M	62
1102018	F	46.9
1102018	M	53.4
1102019	F	41.6
1102019	M	58.9
1102020	F	46.3
1102020	M	50.4
1102022	F	46.2
1102022	M	47.7
1102023	F	62.3
1102023	M	64.4
1102024	F	52
1102024	M	42.5
1102025	F	54.5
1102025	M	48.2
1102026	F	38.2
1102026	M	51.4
1102027	F	55.4
1102027	M	65.6
1102028	F	55.8
1102028	M	64.2
1102029	F	44.2
1102029	M	46.9
1102030	F	32.4
1102030	M	40.7
1102031	F	45
1102031	M	61.5
1102032	F	42.6
1102032	M	46.3
1102101	F	50
1102101	M	55
1102102	F	47.8
1102102	M	45.9
1102104	F	27
1102104	M	34.8
1102105	F	43.4
1102105	M	47.5
1102106	F	38.3
1102106	M	34
1102107	F	54.1
1102107	M	52.9
1102108	F	52.4
1102108	M	60.5
1102109	F	87.5
1102109	M	70.6
1102201	M	40
1102301	F	34.7
1102301	M	48.1
1102302	F	50.6
1102302	M	51.9
1102303	F	50
1102303	M	54.8
1102304	F	40.2
1102304	M	36.6
1102305	F	44.9
1102305	M	46.1
1102306	F	30.2
1102306	M	39.4
1102307	F	35.8
1102307	M	39.1
1102308	F	31.6
1102308	M	39.4
1102309	F	36.1
1102309	M	43.5
1102401	F	51
1102401	M	47.5
1102402	F	51.2
1102402	M	45.7
1102403	F	52
1102403	M	34.3
1102404	F	57.4
1102404	M	48.9
1102405	F	48.6
1102405	M	45.2
1102406	F	63.9
1102406	M	52.2
1102407	F	43.2
1102407	M	42.1
1102408	F	51.3
1102408	M	52.5
1102409	F	45
1102409	M	49.6
1102410	F	45.1
1102410	M	44
1102411	F	49.5
1102411	M	43.5
1102412	F	47.2
1102412	M	47.3
1102502	F	37
1102502	M	48.5
1102503	F	16
1102503	M	28.1
1102504	F	56.1
1102504	M	50.4
1102505	F	39.6
1102505	M	52.2
1102506	F	49.7
1102506	M	55.6
1102507	F	49.5
1102507	M	51
1102508	F	28.5
1102508	M	33.8
1102509	F	51.8
1102509	M	44.9
1102510	F	33.8
1102510	M	42.6
1102511	F	47.6
1102511	M	50
1102512	F	32.9
1102512	M	38.6
1102513	F	54.8
1102513	M	60.3
1102514	F	34.9
1102514	M	45
1102516	F	58.9
1102516	M	53.3
1102517	F	44.4
1102517	M	51.2
1102518	F	45.9
1102518	M	58.1
1102519	F	31.6
1102519	M	41.8
1102520	F	37.4
1102520	M	42.3
1102521	F	54.1
1102521	M	54.1
1102522	F	55.3
1102522	M	50.4
1102523	F	49.3
1102523	M	51.9
1102524	F	51.5
1102524	M	52.6
1102525	F	32.2
1102525	M	41.6
1102526	F	53.6
1102526	M	56.7
1102527	F	48.1
1102527	M	53.7
1102528	F	47.4
1102528	M	45.3
1102529	F	47.4
1102529	M	43.7
1102530	F	45.8
1102530	M	52.9
1102532	F	31.5
1102532	M	42.7
1102601	F	34.9
1102601	M	30.6
1102602	F	32.7
1102602	M	37.1
1102603	F	39.9
1102603	M	38.7
1102604	F	38.4
1102604	M	35.4
1102605	F	27.1
1102605	M	35.3
1102606	F	41.4
1102606	M	43.8
1102607	F	47.6
1102607	M	51
1102608	F	29
1102608	M	42.8
1102609	F	39.1
1102609	M	45
1102610	F	35.3
1102610	M	34
1102611	F	44.2
1102611	M	46.2
1102612	F	36.9
1102612	M	40.4
1102613	F	52.6
1102613	M	50
1102614	F	53
1102614	M	49.6
1102615	F	48.8
1102615	M	48.7
1102616	F	53.3
1102616	M	51.5
1102617	F	46.9
1102617	M	45.1
1102618	F	39.1
1102618	M	46.7
1102619	F	52.2
1102619	M	57.8
1102620	F	38.9
1102620	M	41.8
1102621	F	33.1
1102621	M	46
1102622	F	57.7
1102622	M	56.7
1102623	F	33.7
1102623	M	40.9
1102701	F	30
1102701	M	37.7
1102702	F	34.7
1102702	M	40.8
1102703	F	32.5
1102703	M	42.5
1102704	F	38.2
1102704	M	38.8
1102705	F	36.1
1102705	M	38.7
1102706	F	24.5
1102706	M	31.1
1102707	F	37.8
1102707	M	39.2
1102708	F	19.2
1102708	M	24.7
1102709	F	42.9
1102709	M	42.4
1102710	F	37
1102710	M	42.4
1102712	F	47.1
1102712	M	45.3
1102713	F	44.4
1102713	M	43.1
1102715	F	42.9
1102715	M	33.3
1102717	F	47
1102717	M	51.5
1102718	F	41.4
1102718	M	28.2
1102719	F	37.4
1102719	M	30.8
1102720	F	38.4
1102720	M	43.4
1102721	F	34.8
1102721	M	34.7
1102722	F	6.7
1102723	F	26.6
1102723	M	44.4
1102724	F	36.8
1102724	M	48.8
1102725	F	22.4
1102725	M	25.7
1102726	F	31.1
1102726	M	37.1
1102727	F	37.5
1102727	M	40
1102728	F	24.6
1102728	M	26.1
1102729	F	31.1
1102729	M	35.5
1102802	F	61.1
1102802	M	69.1
1102803	F	52.6
1102803	M	60.2
1102804	F	69.5
1102804	M	72.2
1102805	F	58
1102805	M	68.3
1102806	F	52.9
1102806	M	53.5
1102807	F	55.9
1102807	M	61.1
1102808	F	70.3
1102808	M	82.8
1102809	F	64.1
1102809	M	68.6
1102810	F	63.5
1102810	M	61.2
1102811	F	64.1
1102811	M	63.8
1102812	F	65.2
1102812	M	69.8
1102813	F	58.5
1102813	M	61.6
1102814	F	60.9
1102814	M	59.8
1102815	F	64
1102815	M	71.8
1102816	F	56.6
1102816	M	63
1102817	F	63.2
1102817	M	68
1102818	F	60.2
1102818	M	75.2
1102901	F	54.4
1102901	M	61.4
1102902	F	50
1102902	M	52.9
1102903	F	50.8
1102903	M	51.6
1102904	F	50.7
1102904	M	66.7
1102905	F	54.9
1102905	M	64.2
1102906	F	45.2
1102906	M	53.3
1102907	F	48.9
1102907	M	46.9
1102908	F	47.4
1102908	M	61.4
1102909	F	40.6
1102909	M	53.8
1102910	F	54.8
1102910	M	62.6
1102911	F	50.5
1102911	M	57.2
1102912	F	48.4
1102912	M	49.1
1102913	F	53.3
1102913	M	62
1102914	F	65
1102914	M	72.4
1102915	F	62.4
1102915	M	67.9
1102916	F	57.8
1102916	M	72.3
1102917	F	53.1
1102917	M	64.8
1102918	F	56.7
1102918	M	51.7
1102919	F	22.6
1102919	M	25.8
1102922	F	59.8
1102922	M	69.8
1102923	F	63.6
1102923	M	68.6
1102924	F	73.2
1102924	M	75.4
1102925	F	50.4
1102925	M	57.1
1102926	F	52.2
1102926	M	47.3
1102927	F	48.2
1102927	M	55.6
1102928	F	21.1
1102928	M	29.9
1103002	F	54.6
1103002	M	57.1
1103003	F	41.4
1103003	M	54.2
1103004	F	58.3
1103004	M	60.1
1103005	F	66.1
1103005	M	69.3
1103006	F	62.6
1103006	M	71.1
1103007	F	55.3
1103007	M	58.4
1103008	F	52.9
1103008	M	72.2
1103009	F	54.7
1103009	M	64.7
1103010	F	57.5
1103010	M	63
1103011	F	35.3
1103011	M	38.9
1103012	F	56.6
1103012	M	66.5
1103013	F	60
1103013	M	18.8
1103014	F	57.9
1103014	M	65.7
1103101	F	56.9
1103101	M	65.9
1103102	F	14
1103102	M	21.2
1103103	F	3.9
1103103	M	5
1103104	F	30
1103104	M	32.5
1103105	F	56.3
1103105	M	63.3
1103106	F	50.5
1103106	M	58.1
1103107	F	35.7
1103107	M	30
1103108	F	71.4
1103108	M	65.7
1103109	F	67
1103109	M	67.8
1103110	F	58
1103110	M	58.9
1103111	F	57.5
1103111	M	60.3
1103112	F	67.2
1103112	M	72.1
1103113	F	51.3
1103113	M	60.8
1103114	F	54.2
1103114	M	65.6
1103115	F	63.9
1103115	M	63.2
1103116	F	60.4
1103116	M	50.2
1103117	F	49.7
1103117	M	56.3
1103118	F	61
1103118	M	63.4
1103119	F	62
1103119	M	64.1
1103120	F	60.2
1103120	M	60.3
1103121	F	47.8
1103121	M	62.6
1103122	F	56.3
1103122	M	67.4
1103123	F	37
1103123	M	51.1
1103124	F	53.7
1103124	M	56.6
1103125	F	43.6
1103125	M	44.3
1103126	F	12.3
1103126	M	13.3
1103127	F	58.4
1103127	M	66.7
1103128	F	22.4
1103128	M	20.7
1103129	F	57.2
1103129	M	63.8
1103130	F	63.3
1103130	M	71.4
1103131	F	5.3
1103131	M	13.3
1103133	F	60.2
1103133	M	63.5
1103134	F	59.4
1103134	M	66.2
1103135	F	54.1
1103135	M	60.7
1103136	F	52.1
1103136	M	60
1103137	F	4.8
1103137	M	9.9
1103138	F	59
1103138	M	60
1103201	F	52.7
1103201	M	67.8
1103202	F	42
1103202	M	56.3
1103203	F	70.5
1103203	M	79.1
1103204	F	49.8
1103204	M	57.1
1103205	F	53.8
1103205	M	56.7
1103206	F	50
1103206	M	83.3
1103207	F	64.1
1103207	M	64.9
1103208	F	60.7
1103208	M	66.1
1103210	F	65.6
1103210	M	62.3
1103211	F	53.8
1103211	M	62.8
1103212	F	54.7
1103212	M	60.8
1103213	F	75.7
1103213	M	63.2
1103214	F	64.5
1103214	M	65.8
1103215	F	58
1103215	M	63.1
1103216	F	47.6
1103216	M	68.9
1103217	F	62
1103217	M	67.5
1103218	F	69.1
1103218	M	63.8
1103219	F	69.7
1103219	M	85.4
1103220	F	47.7
1103220	M	60.6
1103221	F	53.3
1103221	M	64.8
1103223	F	100
1103223	M	100
1103224	F	45.1
1103224	M	60.4
1103225	F	65.3
1103225	M	67.7
1103226	F	59.3
1103226	M	55.7
1103227	F	33.9
1103227	M	40
1103228	F	41.2
1103228	M	45.4
1103229	F	44.2
1103229	M	51.7
1103230	F	41.1
1103230	M	44.4
1103231	F	45
1103231	M	59.8
1103232	F	45.2
1103232	M	51.1
1103233	F	56.4
1103233	M	71.5
1103234	F	59.8
1103234	M	68.4
1103235	F	46.4
1103235	M	45.9
1103236	F	36.1
1103236	M	53.8
1103237	F	65.4
1103237	M	62.1
1103238	F	58.7
1103238	M	61.5
1103239	F	50.6
1103239	M	52.5
1103240	F	31.1
1103240	M	48.5
1103241	F	49.5
1103241	M	57.1
1103242	F	38.8
1103242	M	50.2
1103243	F	45.7
1103243	M	55.6
1103244	F	21.4
1103244	M	35.4
1103245	F	42.5
1103245	M	48.8
1103246	F	73.3
1103246	M	77.6
1103247	F	65.2
1103247	M	67.1
1103248	F	45.8
1103248	M	55.5
1103301	F	65.9
1103301	M	71
1103302	F	53
1103302	M	70
1103303	F	62.2
1103303	M	70.8
1103304	F	59.3
1103304	M	72.6
1103305	F	73.3
1103305	M	71.9
1103306	F	62.3
1103306	M	64.4
1103307	F	59.5
1103307	M	71.2
1103308	F	60.2
1103308	M	71.8
1103309	F	27.3
1103309	M	2.3
1103310	F	53.2
1103310	M	72
1103311	F	66
1103311	M	56.7
1103312	F	65.9
1103312	M	75.2
1103313	F	70.2
1103313	M	69.9
1103314	F	62.9
1103314	M	83.7
1103315	F	62.2
1103315	M	69.8
1103317	F	54.7
1103317	M	63.9
1103318	F	60.5
1103318	M	69.3
1103319	F	57.9
1103319	M	68.1
1103401	F	50.3
1103401	M	60.7
1103402	F	52.1
1103402	M	64.2
1103403	F	45.8
1103403	M	59.5
1103404	F	61.1
1103404	M	71.4
1103405	F	57.7
1103405	M	60.3
1103406	F	57.1
1103406	M	77.8
1103407	F	57.3
1103407	M	64.7
1103408	F	47.7
1103408	M	61.1
1103409	F	69.3
1103409	M	76.2
1103410	F	58.5
1103410	M	70.8
1103411	F	60.5
1103411	M	72.8
1103412	F	63.3
1103412	M	71.8
1103413	F	51.8
1103413	M	63.9
1103414	F	28.2
1103414	M	37
1103415	F	15.7
1103415	M	15.8
1103416	F	37.9
1103416	M	46.4
1103417	F	27.4
1103417	M	39.8
1103418	F	3.7
1103418	M	4.4
1103419	F	69.2
1103419	M	66.4
1103501	F	55
1103501	M	71.2
1103502	F	50
1103502	M	68.1
1103503	F	55.1
1103503	M	68.4
1103504	F	55.1
1103504	M	65.9
1103505	F	63.2
1103505	M	67
1103506	F	57.1
1103506	M	71.6
1103507	F	52.6
1103507	M	61.8
1103508	F	68.4
1103508	M	74.5
1103509	F	57.1
1103509	M	69.2
1103510	F	55.7
1103510	M	61.7
1103511	F	56.7
1103511	M	72.1
1103512	F	54.2
1103512	M	60
1103513	F	59.1
1103513	M	66.9
1103514	F	54
1103514	M	63
1103515	F	46.3
1103515	M	56.4
1103516	F	52.9
1103516	M	65
1103517	F	55.6
1103517	M	57.1
1103601	F	59
1103601	M	73.1
1103602	F	70.9
1103602	M	79.5
1103603	F	62.3
1103603	M	73.3
1103604	F	60.7
1103604	M	63.9
1103605	F	64.7
1103605	M	70.2
1103606	F	51.4
1103606	M	69.8
1103607	F	53.8
1103607	M	64
1103608	F	28.3
1103608	M	44.5
1103609	F	68.1
1103609	M	71.4
1103610	F	56.7
1103610	M	54.5
1103611	F	53.7
1103611	M	62
1103612	F	36.1
1103612	M	55.9
1103613	F	55.3
1103613	M	61
1103614	F	61.7
1103614	M	70.5
1103615	F	62.9
1103615	M	69.1
1103616	F	63.8
1103616	M	62.2
1103617	F	54.4
1103617	M	59.3
1103618	F	70.4
1103618	M	80
1103619	F	59.2
1103619	M	74
1103620	F	50.5
1103620	M	64.2
1103621	F	63.3
1103621	M	71.2
1103622	F	55.7
1103622	M	72.3
1103701	F	47
1103701	M	53.1
1103702	F	47.2
1103702	M	56.5
1103703	F	52.7
1103703	M	55
1103704	F	53.3
1103704	M	69
1103705	F	57.5
1103705	M	67.2
1103706	F	53
1103706	M	56.7
1103707	F	54.9
1103707	M	62.2
1103708	F	51
1103708	M	59.8
1103709	F	55.1
1103709	M	61
1103710	F	55.4
1103710	M	61.8
1103711	F	45.3
1103711	M	52.7
1103712	F	59
1103712	M	55
1103713	F	41.8
1103713	M	55.7
1103714	F	58.2
1103714	M	63.2
1103801	F	62.6
1103801	M	60.8
1103802	F	52.8
1103802	M	66.3
1103803	F	44.9
1103803	M	58
1103804	F	51
1103804	M	56.9
1103805	F	57
1103805	M	66.7
1103806	F	50.8
1103806	M	62.5
1103807	F	49.7
1103807	M	62.3
1103808	F	4
1103808	M	2.7
1103809	F	58.6
1103809	M	67.2
1103810	F	58.5
1103810	M	67.7
1103811	F	61.7
1103811	M	66.7
1103812	F	49.7
1103812	M	65.7
1103813	F	65.6
1103813	M	70.5
1103814	F	50
1103814	M	56.8
1103815	F	53.1
1103815	M	52.3
1103816	F	65.2
1103816	M	68.5
1103817	F	58.4
1103817	M	58.3
1103901	F	64.3
1103901	M	70
1103902	F	54.5
1103902	M	66.7
1103903	F	51.5
1103903	M	72.6
1103904	F	59.5
1103904	M	62.8
1103905	F	62
1103905	M	60.8
1103906	F	60.1
1103906	M	61.8
1103908	F	67.5
1103908	M	62.8
1103909	F	62.2
1103909	M	71.7
1103911	F	56.9
1103911	M	67.9
1103912	F	48.7
1103912	M	59.6
1103913	F	56.3
1103913	M	65.4
1103914	F	60.8
1103914	M	70.9
1103915	F	71.1
1103915	M	73.1
1103916	F	57.7
1103916	M	61.8
1103917	F	58.8
1103917	M	72
1103918	F	56.1
1103918	M	61.6
1103919	F	34.2
1103919	M	41
1103920	F	53.2
1103920	M	62.9
1103921	F	57
1103921	M	67.5
1103922	F	56.3
1103922	M	68.5
1103923	F	52.9
1103923	M	70.1
1103924	F	9.2
1103924	M	6.9
1103925	F	57.4
1103925	M	58.9
1103926	F	57.6
1103926	M	66.5
1103927	F	69
1103927	M	71
1103928	F	57.3
1103928	M	64.1
1103929	F	54.5
1103929	M	66.9
1103930	F	64.1
1103930	M	61.2
1103931	F	59.3
1103931	M	58
1104001	F	42
1104001	M	61.9
1104002	F	31.1
1104002	M	38.7
1104003	F	67.5
1104003	M	68
1104004	F	46.5
1104004	M	52
1104005	F	46
1104005	M	50.8
1104006	F	36.3
1104006	M	48.4
1104007	F	42.2
1104007	M	41.5
1104009	F	31.1
1104009	M	32.9
1104010	F	21.6
1104010	M	27.6
1104011	F	37.1
1104011	M	49.1
1104012	F	50
1104012	M	67
1104013	F	52.5
1104013	M	55.8
1104014	F	19.5
1104014	M	25.7
1104015	F	32.2
1104015	M	35
1104016	F	33.7
1104016	M	37.8
1104017	F	33.6
1104017	M	42.4
1104018	F	50
1104018	M	53.9
1104019	F	50.3
1104019	M	58
1104020	F	39.4
1104020	M	57.1
1104021	F	38.6
1104021	M	42.8
1104022	F	33.3
1104022	M	39.4
1104023	F	34.4
1104023	M	49.1
1104024	F	41.4
1104024	M	44.9
1104025	F	54.2
1104025	M	57.1
1104026	F	35
1104026	M	43.5
1104027	F	38.4
1104027	M	50.4
1104028	F	50
1104028	M	54.1
1104029	F	28.4
1104029	M	37.9
