SA1_7DIGITCODE_2016	Sex	employmentToPopulation
1100701	F	33.3
1100701	M	51.6
1100702	F	43
1100702	M	61.3
1100703	F	55.5
1100703	M	58.6
1100704	F	39.7
1100704	M	54.7
1100705	F	43.9
1100705	M	57.4
1100706	F	42.7
1100706	M	55.6
1100707	F	46.1
1100707	M	49.7
1100708	F	48.1
1100708	M	56.6
1100709	F	66.2
1100709	M	58
1100710	F	43.8
1100710	M	50.2
1100801	F	68.3
1100801	M	75.9
1100802	F	61.7
1100802	M	61.8
1100803	F	46.5
1100803	M	48.6
1100804	F	42.5
1100804	M	50.3
1100805	F	33.3
1100805	M	43.2
1100806	F	60.9
1100806	M	62.1
1100807	F	55.1
1100807	M	63.2
1100808	F	59.8
1100808	M	56.8
1100810	F	71.2
1100810	M	76.1
1100811	F	66.9
1100811	M	60.4
1100812	F	74.3
1100812	M	88.4
1100813	F	76.2
1100813	M	70.5
1100814	F	74.4
1100814	M	80.1
1100815	F	53.4
1100815	M	67.6
1100816	F	44.3
1100816	M	52.7
1100817	F	61.4
1100817	M	72.1
1100818	F	54.8
1100818	M	63.4
1100819	F	81.9
1100819	M	77.8
1100820	F	60.3
1100820	M	66.4
1100821	F	65.6
1100821	M	70.7
1100822	F	67.8
1100822	M	66.7
1100823	F	65.3
1100823	M	78.1
1100901	F	68.6
1100901	M	74.4
1100902	F	57.6
1100902	M	54.8
1100904	F	58
1100904	M	62.7
1100905	F	51.9
1100905	M	50
1100907	F	69.1
1100907	M	77
1100908	F	64
1100908	M	70.1
1100909	F	55.6
1100909	M	66.2
1100910	F	68.3
1100910	M	66.4
1100911	F	53.8
1100911	M	71.7
1100912	F	50
1100912	M	57.1
1100913	F	60.8
1100913	M	66.8
1100914	F	56.1
1100914	M	66.9
1100915	F	58.4
1100915	M	67
1100916	F	67
1100916	M	66.7
1100917	F	43
1100917	M	41.6
1100918	F	44.7
1100918	M	62.5
1100919	F	61.9
1100919	M	65.5
1100920	F	38.7
1100920	M	44.5
1100921	F	69.2
1100921	M	79
1100923	F	55.6
1100923	M	65.7
1100924	F	66.7
1100924	M	42.9
1100925	F	63.3
1100925	M	70.7
1100926	F	65.7
1100926	M	61.3
1100927	F	68.7
1100927	M	77.6
1100928	F	60.4
1100928	M	64.5
1100929	F	41.2
1100929	M	52.3
1101001	F	50.8
1101001	M	66.1
1101002	F	67.5
1101002	M	72.8
1101003	F	60.8
1101003	M	57.6
1101004	F	79.2
1101004	M	78.8
1101006	F	59
1101006	M	59.1
1101007	F	56.4
1101007	M	69.7
1101008	F	52.2
1101008	M	67.5
1101009	F	66
1101009	M	69.5
1101010	F	69.6
1101010	M	79.5
1101011	F	42.9
1101011	M	100
1101012	F	87.8
1101012	M	75.8
1101014	F	59.2
1101014	M	61.6
1101015	F	61.2
1101015	M	69.3
1101016	F	74.7
1101016	M	73.6
1101017	F	67.8
1101017	M	69.6
1101101	F	64.3
1101101	M	71.7
1101102	F	59.6
1101102	M	67.4
1101103	F	60.7
1101103	M	73.3
1101104	F	42.2
1101104	M	31.3
1101105	F	63.1
1101105	M	59.8
1101106	F	59.4
1101106	M	67.5
1101107	F	62.8
1101107	M	67.4
1101108	F	52.2
1101108	M	59.7
1101109	F	54.5
1101109	M	56.3
1101110	F	52.2
1101110	M	64.6
1101111	F	66.3
1101111	M	65
1101112	F	67.1
1101112	M	61.3
1101113	F	55.9
1101113	M	64.3
1101115	F	72.9
1101115	M	73.2
1101116	F	46.8
1101116	M	52.8
1101117	F	61.2
1101117	M	58.6
1101118	F	59.2
1101118	M	66.9
1101119	F	60.8
1101119	M	67.1
1101120	F	60.4
1101120	M	66.5
1101122	F	59.8
1101122	M	58.7
1101123	F	72.9
1101123	M	65.5
1101125	F	69.3
1101125	M	72.9
1101126	F	59.2
1101126	M	67.2
1101127	F	61.5
1101127	M	74.5
1101128	F	60.8
1101128	M	61.6
1101129	F	63.6
1101129	M	67.7
1101130	F	62.5
1101130	M	66.4
1101131	F	75
1101131	M	61.9
1101132	F	65.5
1101132	M	66
1101133	F	66.9
1101133	M	62.2
1101134	F	62.6
1101134	M	72.7
1101135	F	64.5
1101135	M	72
1101136	F	65.4
1101136	M	66.9
1101137	F	64.6
1101137	M	68.7
1101139	F	65.9
1101139	M	65.1
1101140	F	60.4
1101140	M	64.1
1101141	F	64.5
1101141	M	72.6
1101142	F	77.5
1101142	M	76.5
1101143	F	66.3
1101143	M	84.1
1101144	F	89.7
1101144	M	90.4
1101145	F	75.7
1101145	M	77.1
1101146	F	72.4
1101146	M	70.9
1101147	F	84.4
1101147	M	82.6
1101148	F	86.1
1101148	M	80
1101149	F	82.7
1101149	M	84.1
1101150	F	70
1101150	M	67.6
1101151	F	74
1101151	M	92.5
1101152	F	72.9
1101152	M	82.9
1101201	F	77.6
1101201	M	69.9
1101202	F	85.4
1101202	M	91.3
1101203	F	74.8
1101203	M	82.6
1101204	F	83.6
1101204	M	81.3
1101205	F	75
1101205	M	81.6
1101206	F	77
1101206	M	82.5
1101207	F	73.3
1101207	M	68.8
1101208	F	58.2
1101208	M	62.7
1101209	F	69.6
1101209	M	75.8
1101210	F	73.8
1101210	M	78
1101211	F	70.2
1101211	M	82
1101212	F	82.3
1101212	M	93.5
1101213	F	75
1101213	M	73.6
1101214	F	72.8
1101214	M	78.4
1101215	F	68.6
1101215	M	81.3
1101216	F	66.4
1101216	M	80.3
1101217	F	30.8
1101217	M	27.3
1101218	F	70.7
1101218	M	73.9
1101219	F	58.2
1101219	M	71.5
1101220	F	66
1101220	M	77.5
1101221	F	82.2
1101221	M	77.3
1101222	F	73.1
1101222	M	81.6
1101223	F	63.9
1101223	M	66.8
1101224	F	77.4
1101224	M	74.3
1101227	F	77.4
1101227	M	81.8
1101228	F	70.4
1101228	M	67.7
1101229	F	59.3
1101229	M	68.9
1101230	F	48
1101230	M	47
1101231	F	62
1101231	M	71.4
1101232	F	79.5
1101232	M	83.8
1101301	F	47.7
1101301	M	48.1
1101302	F	40.2
1101302	M	56.2
1101303	F	47.9
1101303	M	58.3
1101304	F	51.4
1101304	M	60
1101305	F	46.3
1101305	M	67.6
1101306	F	57.9
1101306	M	62.7
1101307	F	48.4
1101307	M	56.8
1101308	F	57.6
1101308	M	64.8
1101401	F	38.4
1101401	M	43.8
1101402	F	52.6
1101402	M	62.2
1101403	F	43.8
1101403	M	50
1101404	F	41.5
1101404	M	51.6
1101405	F	45.8
1101405	M	52
1101406	F	50.2
1101406	M	60.8
1101407	F	49.5
1101407	M	60.6
1101408	F	62.6
1101408	M	62.4
1101409	F	40.2
1101409	M	53.9
1101410	F	46.7
1101410	M	53.8
1101411	F	62.3
1101411	M	22.7
1101412	F	52.5
1101412	M	60.7
1101413	F	41.8
1101413	M	48.9
1101414	F	40.5
1101414	M	46.3
1101415	F	52.2
1101415	M	50.9
1101417	F	110
1101417	M	57.1
1101418	F	68.9
1101418	M	71.2
1101419	F	52.2
1101419	M	57.1
1101502	M	50
1101503	F	33.3
1101503	M	43.3
1101505	F	67.6
1101505	M	71.8
1101511	F	42.7
1101511	M	47.4
1101512	F	48.3
1101512	M	50
1101514	F	71.6
1101514	M	67.6
1101515	F	48.9
1101515	M	48.6
1101516	F	56.1
1101516	M	63.3
1101517	F	50.8
1101517	M	62
1101518	F	70.3
1101518	M	69.1
