SA1_7DIGITCODE_2016	medianRent
1100701	
1100702	6396
1100703	14040
1100704	14560
1100705	15236
1100706	15600
1100707	7800
1100708	7384
1100709	15600
1100710	
1100801	20020
1100802	20800
1100803	11076
1100804	11960
1100805	9620
1100806	18200
1100807	16276
1100808	17160
1100809	
1100810	24180
1100811	20540
1100812	21840
1100813	19500
1100814	20800
1100815	13000
1100816	8996
1100817	18200
1100818	14040
1100819	18200
1100820	13260
1100821	26832
1100822	
1100823	19240
1100901	19760
1100902	19240
1100904	20800
1100905	16796
1100907	14092
1100908	14040
1100909	13000
1100910	13000
1100911	13000
1100912	13000
1100913	19760
1100914	19760
1100915	13000
1100916	16640
1100917	10400
1100918	18200
1100919	17420
1100920	11960
1100921	15080
1100923	20020
1100924	
1100925	18200
1100926	13520
1100927	19500
1100928	13260
1100929	16120
1101001	20800
1101002	7800
1101003	23660
1101004	23920
1101006	10920
1101007	13520
1101008	15340
1101009	16120
1101010	14820
1101011	
1101012	18200
1101013	
1101014	26000
1101015	13000
1101016	15704
1101017	15600
1101101	23400
1101102	17160
1101103	15600
1101104	12480
1101105	18200
1101106	18460
1101107	18200
1101108	15236
1101109	16640
1101110	21216
1101111	18200
1101112	13000
1101113	10920
1101115	27300
1101116	10400
1101117	16640
1101118	11440
1101119	
1101120	26780
1101122	26000
1101123	
1101125	20800
1101126	20020
1101127	25480
1101128	25480
1101129	
1101130	19240
1101131	22360
1101132	11700
1101133	11700
1101134	18460
1101135	26520
1101136	13416
1101137	17680
1101139	23400
1101140	13000
1101141	19240
1101142	28600
1101143	29120
1101144	
1101145	30160
1101146	30160
1101147	28600
1101148	20384
1101149	18720
1101150	16276
1101151	32760
1101152	28600
1101201	20800
1101202	31720
1101203	17160
1101204	22880
1101205	28600
1101206	28600
1101207	20020
1101208	17680
1101209	17212
1101210	22880
1101211	26780
1101212	23400
1101213	26936
1101214	20800
1101215	24440
1101216	18980
1101217	9360
1101218	18876
1101219	17160
1101220	19240
1101221	13000
1101222	20800
1101223	20020
1101224	20800
1101225	
1101226	
1101227	33800
1101228	20800
1101229	13000
1101230	12376
1101231	17628
1101232	18720
1101301	4940
1101302	8320
1101303	9620
1101304	9100
1101305	4836
1101306	
1101307	5200
1101308	6760
1101401	12272
1101402	12480
1101403	10400
1101404	10140
1101405	11440
1101406	13000
1101407	13260
1101408	14560
1101409	12220
1101410	11804
1101411	8840
1101412	13000
1101413	8476
1101414	14820
1101415	12324
1101417	8008
1101418	13000
1101419	11440
1101501	
1101502	
1101503	9256
1101505	
1101511	7800
1101512	2600
1101514	2600
1101515	13000
1101516	
1101517	4680
1101518	7280
1101519	14300
1101520	4160
1101521	9100
1101522	13000
1101523	2600
1101524	
1101601	
1101602	10400
1101603	7696
1101604	14560
1101605	7800
1101606	14300
1101607	7800
1101608	14300
1101609	16380
1101610	9100
1101611	12740
1101612	
1101613	19760
1101614	20540
1101615	15600
1101616	14716
1101617	16900
1101618	18200
1101619	12480
1101620	15600
1101701	10400
1101702	16120
1101703	14560
1101704	11700
1101705	12480
1101706	11960
1101707	
1101708	15080
1101709	17940
1101710	18980
1101711	16640
1101712	15600
1101713	13000
1101714	
1101715	
1101716	15132
1101717	13000
1101718	11440
1101719	16380
1101720	16120
1101721	14196
1101722	15600
1101801	16016
1101802	17940
1101803	18200
1101804	13000
1101805	18200
1101806	13520
1101807	15600
1101808	12740
1101809	18200
1101810	15860
1101811	14144
1101812	14560
1101813	10920
1101814	15080
1101815	18200
1101816	15600
1101817	18200
1101818	17160
1101819	15600
1101820	14300
1101821	15600
1101822	13000
1101823	13000
1101824	
1101901	13520
1101902	10816
1101903	11960
1101904	14456
1101905	11752
1101906	16640
1101907	15080
1101909	12480
1101911	15600
1101912	14040
1101913	13780
1101914	15860
1101915	16120
1101916	15080
1101917	16640
1101918	11960
1101919	10660
1101920	15600
1101921	19500
1101922	11180
1101923	15600
1102001	10660
1102002	13000
1102003	13520
1102004	9776
1102005	5200
1102006	7800
1102007	7696
1102008	16016
1102009	
1102010	
1102011	7800
1102012	
1102013	10400
1102014	10400
1102015	10400
1102016	5980
1102017	13520
1102018	10400
1102019	7800
1102020	7800
1102021	
1102022	9620
1102023	12480
1102024	7800
1102025	12220
1102026	10400
1102027	1300
1102028	11440
1102029	10400
1102030	10660
1102031	
1102032	8060
1102101	14040
1102102	14300
1102104	15600
1102105	15964
1102106	13000
1102107	15600
1102108	13000
1102109	10400
1102201	
1102301	11596
1102302	16900
1102303	17680
