SA1_7DIGITCODE_2016	medianRent
1102304	11856
1102305	12480
1102306	11960
1102307	9620
1102308	10400
1102309	14456
1102310	
1102401	8840
1102402	1300
1102403	8320
1102404	9620
1102405	10400
1102406	9360
1102407	5200
1102408	9620
1102409	9360
1102410	7800
1102411	16640
1102412	10400
1102501	
1102502	14560
1102503	7800
1102504	11960
1102505	12480
1102506	15600
1102507	14820
1102508	17160
1102509	11440
1102510	18980
1102511	19240
1102512	17160
1102513	14040
1102514	12740
1102516	14300
1102517	16120
1102518	19760
1102519	15600
1102520	14560
1102521	14560
1102522	16120
1102523	11596
1102524	18200
1102525	10400
1102526	17680
1102527	17160
1102528	11596
1102529	12480
1102530	18200
1102531	
1102532	12480
1102601	14976
1102602	14196
1102603	12220
1102604	13520
1102605	13520
1102606	15600
1102607	13676
1102608	12480
1102609	11700
1102610	10660
1102611	13000
1102612	12324
1102613	9516
1102614	13260
1102615	16640
1102616	9100
1102617	15340
1102618	10140
1102619	17160
1102620	11128
1102621	11960
1102622	17680
1102623	9360
1102701	13000
1102702	11596
1102703	
1102704	10660
1102705	11440
1102706	12480
1102707	13000
1102708	11336
1102709	12480
1102710	11180
1102711	
1102712	10400
1102713	
1102714	
1102715	
1102716	
1102717	12480
1102718	12480
1102719	11960
1102720	13156
1102721	12012
1102722	8320
1102723	11960
1102724	13000
1102725	15600
1102726	14820
1102727	13000
1102728	10296
1102729	10608
1102801	
1102802	22880
1102803	22880
1102804	23920
1102805	23400
1102806	21060
1102807	23400
1102808	25480
1102809	23140
1102810	24076
1102811	23400
1102812	21320
1102813	19240
1102814	23400
1102815	20800
1102816	23400
1102817	20800
1102818	23920
1102901	17160
1102902	18200
1102903	17160
1102904	19760
1102905	20540
1102906	15600
1102907	23400
1102908	25376
1102909	27560
1102910	11960
1102911	19708
1102912	21476
1102913	24180
1102914	
1102915	25220
1102916	18200
1102917	22360
1102918	23660
1102919	13000
1102920	
1102921	
1102922	18460
1102923	24076
1102924	24700
1102925	18720
1102926	26520
1102927	19916
1102928	10400
1103002	11440
1103003	17160
1103004	13000
1103005	15600
1103006	13000
1103007	15600
1103008	7800
1103009	8320
1103010	10920
1103011	11180
1103012	18200
1103013	
1103014	14716
1103101	29380
1103102	7852
1103103	8580
1103104	13000
1103105	20280
1103106	18200
1103107	
1103108	30420
1103109	26520
1103110	19760
1103111	20436
1103112	19500
1103113	30836
1103114	9100
1103115	20800
1103116	23400
1103117	21580
1103118	13156
1103119	24960
1103120	24960
1103121	24700
1103122	20956
1103123	16120
1103124	23400
1103125	18200
1103126	7696
1103127	20020
1103128	18616
1103129	31200
1103130	31980
1103131	10920
1103132	
1103133	26000
1103134	20800
1103135	25480
1103136	14560
1103137	10608
1103138	21840
1103201	21996
1103202	11388
1103203	20540
1103204	17576
1103205	17680
1103206	
1103207	18200
1103208	17940
1103210	17160
1103211	15600
1103212	19500
1103213	21840
1103214	18200
1103215	22360
1103216	21060
1103217	20800
1103218	20800
1103219	20280
1103220	18876
1103221	19136
1103223	
1103224	17680
1103225	19760
1103226	18096
1103227	10504
1103228	13780
1103229	14040
1103230	15600
1103231	19760
1103232	12740
1103233	21060
1103234	20800
1103235	16120
1103236	15600
1103237	18200
1103238	20540
1103239	19136
1103240	15600
1103241	17160
1103242	16120
1103243	18200
1103244	17160
1103245	16640
1103246	20800
1103247	29016
1103248	16120
1103301	20800
1103302	19136
1103303	21320
1103304	21840
1103305	20540
1103306	20800
1103307	20800
1103308	22620
1103309	13000
1103310	21840
1103311	19396
1103312	19500
1103313	20540
1103314	23400
1103315	21320
1103316	
1103317	20800
1103318	20280
1103319	21320
1103320	
1103401	10712
1103402	19396
1103403	16640
1103404	17420
1103405	11752
1103406	15080
1103407	25740
1103408	16640
1103409	22360
1103410	20020
1103411	21840
1103412	19760
1103413	29900
1103414	9984
1103415	17056
1103416	20176
1103417	20280
1103418	5980
1103419	22360
1103501	17420
1103502	13000
1103503	20020
1103504	18720
1103505	19240
1103506	21840
1103507	18200
1103508	23400
1103509	18616
1103510	20800
1103511	20020
1103512	20800
1103513	21840
1103514	17992
1103515	14040
1103516	19760
1103517	
1103601	22880
1103602	22360
1103603	21320
1103604	20540
1103605	22100
1103606	20800
1103607	
1103608	11960
1103609	22360
1103610	6084
1103611	19760
1103612	10400
1103613	19240
1103614	19760
1103615	19760
1103616	18720
1103617	14040
1103618	27300
1103619	20800
1103620	18200
1103621	23400
1103622	21476
1103701	13520
1103702	21320
1103703	18460
1103704	16640
1103705	19500
1103706	18200
1103707	27040
1103708	21840
1103709	20800
1103710	22880
1103711	25376
1103712	23036
1103713	15340
1103714	20280
1103801	23920
1103802	20280
1103803	17940
1103804	18200
1103805	21840
1103806	16640
1103807	20280
1103808	7280
1103809	20540
1103810	26000
1103811	19656
1103812	20540
1103813	20800
1103814	19240
1103815	24700
1103816	22880
1103817	19136
1103901	20800
1103902	23140
1103903	22360
1103904	25740
1103905	25896
1103906	21840
1103908	24700
1103909	23400
1103911	23400
1103912	21736
1103913	25220
1103914	23400
1103915	20800
1103916	22620
1103917	23400
1103918	29900
1103919	9360
1103920	23400
1103921	23400
1103922	35256
1103923	27820
1103924	10140
1103925	31200
1103926	25220
1103927	26000
1103928	24440
1103929	24440
1103930	10400
1103931	23400
1104001	18720
1104002	18616
1104003	23400
1104004	18720
1104005	16900
1104006	18200
1104007	18460
1104008	
1104009	17940
1104010	17160
1104011	18096
1104012	17160
1104013	18720
1104014	17160
1104015	15600
1104016	20800
1104017	17160
1104018	18980
1104019	18876
1104020	17836
1104021	17420
1104022	19240
1104023	17680
1104024	19240
1104025	16276
1104026	18200
1104027	16120
1104028	22880
1104029	18460
1104030	18200
1104031	18200
1104032	17160
1104033	12636
1104034	20280
1104035	19396
1104036	19240
1104037	18460
1104038	17160
1104039	18460
1104040	18200
1104041	18356
1104042	18200
1104043	19240
1104044	20800
1104045	18200
1104046	18460
1104047	18200
1104048	18200
1104049	18720
1104050	17680
1104051	21580
1104052	19760
1104053	18720
1104054	22880
1104055	20800
1104056	21320
1104057	23296
1104058	19240
1104101	21216
1104102	20800
1104103	23660
1104104	24180
1104105	20800
1104106	18200
1104107	20280
1104108	
1104109	21840
1104110	23920
1104111	20696
1104112	21216
1104113	23920
1104114	21736
1104115	26676
1104116	22360
1104117	23920
1104118	
1104119	18720
1104120	21320
1104121	18460
1104122	28600
1104123	21840
1104124	23712
1104125	23400
1104201	10088
1104202	14820
1104203	18512
1104204	6240
1104205	18720
1104206	
1104207	22620
1104208	18200
1104209	18720
1104210	19240
1104211	20800
1104212	
1104213	20020
1104214	21580
1104215	12740
1104216	18200
1104217	18200
1104218	17940
1104219	17160
1104220	17940
1104221	17680
1104222	17680
1104223	10920
1104224	19760
1104225	18720
1104226	19240
1104227	19240
1104228	19500
1104229	18616
1104230	15600
1104231	15600
1104232	15600
1104233	19240
1104301	13520
1104302	18980
1104303	16900
1104304	19760
1104305	19500
1104306	
1104307	21840
1104308	17940
1104309	19500
1104310	18720
1104311	20540
1104312	5148
1104313	9360
1104314	14040
1104315	21320
1104316	16380
1104317	18200
1104318	19916
1104319	20800
1104320	15860
1104321	20800
1104322	21840
1104323	19656
1104324	20800
1104325	20800
1104326	19760
1104327	21476
1104328	20800
1104329	18720
1104330	20020
1104401	17680
1104402	19656
1104403	16952
1104404	21476
1104405	22724
1104406	15080
1104407	21840
1104408	19760
1104409	18200
1104410	9204
1104411	17576
1104412	16900
1104413	
1104414	20800
1104415	18616
1104416	19240
1104417	18720
1104418	
1104419	22360
1104420	19916
1104421	9880
1104422	20800
1104423	21060
1104424	15860
1104425	18720
1104426	20280
1104427	18720
1104428	20280
1104429	18980
1104430	17420
1104431	18200
1104432	19500
1104433	19500
1104434	17680
1104435	24960
1104436	18200
1104437	19240
1104438	20800
1104439	20540
1104440	4316
1104441	18876
1104442	20020
1104443	17680
1104444	20020
1104445	10556
1104446	7800
1104447	13416
1104448	18200
1104449	18460
1104450	20800
1104451	19240
1104452	20696
1104453	18200
1104454	20020
1104455	18720
1104456	24700
1104457	18200
1104458	20280
1104459	23400
1104501	18876
1104502	19136
1104503	18200
1104504	19240
1104505	17160
1104506	19240
1104507	17576
1104508	18200
1104509	16380
1104510	17160
1104511	17420
1104512	18200
1104513	19760
1104514	18564
1104515	17680
1104516	18720
1104517	20800
1104518	20800
1104519	17940
1104520	
1104521	19240
1104522	22360
1104523	21840
1104524	17680
1104601	18720
1104602	16016
1104603	16640
1104604	15860
1104605	18720
1104606	17160
1104607	17576
1104608	17576
1104609	15340
1104610	13000
1104611	8684
1104612	17160
1104613	
1104614	17680
1104615	16640
1104616	17680
1104617	15236
1104618	15600
1104619	16120
1104620	17160
1104621	17160
1104622	17160
1104623	
1104624	14716
1104625	13000
1104701	22360
1104702	22880
1104703	
1104704	19760
1104705	19760
1104706	22880
1104707	18980
1104708	19760
1104709	19240
1104710	7904
1104711	18200
1104712	25480
1104713	22100
1104714	
1104715	20800
1104716	18200
1104717	19656
1104718	20280
1104719	18720
1104720	23400
1104721	20176
1104722	20436
1104723	28600
1104724	25480
1104725	22360
1104726	18980
1104727	19240
1104728	19500
1104729	18200
1104730	18200
1104731	20280
1104732	17940
1104733	10920
1104734	15600
1104735	18720
1104736	18720
1104737	
1104801	17420
1104802	18720
1104803	17680
1104804	16640
1104805	15860
1104806	18200
1104807	18200
1104808	10920
1104809	15600
1104810	16016
1104811	18200
1104812	16640
1104813	18200
1104814	16640
1104815	13520
1104816	17940
1104817	18200
1104818	17680
1104819	17160
1104820	17160
1104821	10400
1104822	17680
1104823	15600
1104824	15600
1104825	15496
1104826	16120
1104827	16640
1104828	16900
1104829	14040
1104830	11596
1104831	18200
1104832	20176
1104833	16120
1104834	17576
1104835	15496
1104836	17680
1104837	17160
1104838	18980
1104840	18200
1104841	18720
1104842	17160
1104843	15600
1104844	19760
1104845	15080
1104846	15600
1104847	18720
1104848	17316
1104849	17160
1104901	
1104902	
1104903	23400
1104904	16016
1104905	11440
1104906	16380
1104907	20800
1104908	18200
1104909	
1104910	10400
1105001	17680
1105002	19500
1105003	17316
1105004	18460
1105005	17056
1105006	16900
1105007	16640
1105008	17420
1105009	17680
1105010	16640
1105011	18200
1105012	18200
1105013	15600
1105014	
1105015	14040
1105016	
1105017	7800
1105018	16900
1105019	18720
1105020	8268
1105021	7540
1105022	16640
1105024	17420
1105025	18200
1105026	17940
1105027	9048
1105028	9100
1105101	18460
1105102	17316
1105103	17420
1105104	22360
1105105	
1105106	10400
1105107	
1105108	13000
1105109	17680
1105110	19760
1105111	19760
1105112	17160
1105113	19240
1105114	16380
1105115	17680
1105116	14040
1105201	15600
1105202	21320
1105203	15860
1105204	18876
1105205	22880
1105206	16640
1105207	17680
1105208	17940
1105209	15600
1105210	17420
1105211	
1105213	18200
1105214	16900
1105215	17680
1105216	18720
1105301	16640
1105302	13416
1105303	15860
1105304	18720
1105305	22100
1105306	19760
1105307	13000
1105308	17576
1105309	17160
1105310	18200
1105311	18200
1105312	20800
1105313	13000
1105314	19240
1105315	17836
1105316	15600
1105317	17420
1105318	16640
1105319	19500
1105320	19760
1105321	16796
1105322	28600
1105323	
1105324	19240
1105325	15600
1105326	18720
1105327	16640
1105328	16640
1105329	17680
1105330	15600
1105331	13520
1105332	15600
1105333	18200
1105334	18200
1105335	17056
1105336	16120
1105337	18200
1105401	16640
1105402	14716
1105403	14560
1105404	11700
1105405	15600
1105406	12376
1105407	16640
1105408	16640
1105409	17576
1105410	17160
1105411	16640
1105412	18200
1105413	17680
1105414	16900
1105415	
1105416	
1105417	16640
1105418	15600
1105419	14820
1105420	15860
1105421	16900
1105422	17160
1105423	18200
1105424	15756
1105501	15340
1105502	19240
1105503	18616
1105504	
1105505	24440
1105506	20176
1105507	18876
1105508	19240
1105509	26520
1105510	22100
1105511	24960
1105512	25480
1105513	24700
1105514	15080
1105601	24440
1105602	23920
1105603	23660
1105604	23920
1105605	23920
1105606	25740
1105607	23920
1105608	24596
1105609	20800
1105612	25740
1105613	24076
1105614	23400
1105615	24440
1105616	
1105617	19760
1105618	26000
1105620	23400
1105621	
1105622	23400
1105623	22620
1105624	20800
1105625	24960
1105626	21840
1105627	19500
1105628	23400
1105629	23400
1105630	13000
1105631	23400
1105632	21580
1105633	23400
1105701	19240
1105702	19240
1105703	19396
1105704	18200
1105705	20020
1105706	16120
1105707	16640
1105708	17160
1105709	18460
1105710	10920
1105711	16380
1105712	10816
1105713	14560
1105714	18200
1105715	9308
1105716	15600
1105717	18876
1105718	23400
1105719	14976
1105720	20800
1105801	18200
1105802	20800
1105804	14560
1105805	10920
1105806	7176
1105807	15080
1105808	9880
1105809	15600
1105811	17680
1105813	15600
1105814	17160
1105815	16640
1105816	18460
1105817	14560
1105818	13000
1105819	14300
1105820	12480
1105821	11960
1105822	12376
1105823	13000
1105824	13000
1105825	13780
1105826	18720
1105827	12168
1105828	14560
1105829	13520
1105830	17680
1105831	16276
1105832	15340
1105833	10868
1105834	15080
1105835	18720
1105836	12480
1105837	17680
1105838	18200
1105839	17680
1105840	17680
1105841	
1105842	21840
1105843	13000
1105844	17680
1105845	16640
1105846	14560
1105847	13520
1105848	13520
1105849	
1105850	15236
1105851	13000
1105852	
1105853	11232
1105854	14976
1105855	15340
1105856	15600
1105857	10660
1105858	
1105859	21840
1105860	15600
1105861	20280
1105862	11960
1105863	20800
1105864	19396
1105901	16640
1105902	16120
1105903	10400
1105904	
1105905	10504
1105906	9620
1105907	10400
1105908	12480
1105910	19656
1105912	16536
1105913	18720
1105914	14560
1105915	16484
1105916	
1105917	19760
1105918	19760
1105919	19240
1105920	19396
1105921	10920
1105922	16120
1105923	19240
1105924	13520
1105925	20800
1105926	19240
1105927	13000
1106001	7488
1106002	11180
1106003	1976
1106004	8580
1106005	9360
1106006	10400
1106007	3900
1106008	7228
1106009	13260
1106010	4784
1106011	11180
1106012	12740
1106013	12636
1106014	10400
1106015	9360
1106016	13000
1106017	13000
1106018	5876
1106019	11960
1106020	10400
1106021	
1106101	12220
1106102	9360
1106103	10140
1106104	4836
1106105	
1106106	8580
1106107	1820
1106108	14820
1106109	10660
1106110	11440
1106111	11440
1106112	13520
1106113	
1106114	9880
1106115	13520
1106116	11440
1106201	8840
1106202	8320
1106203	8424
1106204	9360
1106205	10400
1106206	10036
1106207	9880
1106208	4316
1106209	6916
1106210	8320
1106211	7800
1106212	7800
1106213	1300
1106214	
1106215	
1106216	2600
1106217	
1106218	2600
1106219	4680
1106220	5408
1106221	
1106222	5460
1106223	
1106224	7800
1106225	
1106301	
1106302	
1106303	8840
1106304	12480
1106305	12376
1106306	7904
1106307	
1106308	6916
1106309	8320
1106310	9880
1106311	10140
1106312	10816
1106313	11440
1106314	11440
1106315	10140
1106316	10400
1106317	9100
1106318	10036
1106319	8840
1106320	9100
1106321	11440
1106322	9620
1106323	11700
1106324	9360
1106325	12636
1106326	
1106327	6760
1106328	9360
1106329	15600
1106401	10036
1106402	10400
1106403	9880
1106404	9776
1106405	7800
1106406	8320
1106407	3640
1106408	4160
1106409	6240
1106410	5720
1106411	10400
1106412	5616
1106413	7800
1106414	8320
1106415	5200
1106416	5200
1106417	5096
1106418	10400
1106501	10920
1106502	8840
1106503	9880
1106504	9360
1106505	10400
1106506	9100
1106507	8996
1106508	11440
1106509	9880
1106510	9880
1106511	11440
1106512	10556
1106513	10296
1106514	9360
1106515	7800
1106516	6240
1106517	3120
1106518	2600
1106519	
1106520	
1106521	3900
1106522	
1106523	8320
1106524	3588
1106525	12480
1106526	8840
1106527	7800
1106528	10400
1106529	8320
1106601	5772
1106602	2600
1106603	5720
1106604	8840
1106605	8840
1106606	9620
1106607	6240
1106608	9880
1106609	7540
1106610	5096
1106611	5200
1106612	5200
1106613	
1106701	10400
1106702	10400
1106703	13260
1106704	9620
1106705	
1106706	14300
1106707	10972
1106708	11596
1106709	9360
1106710	13260
1106711	10400
1106712	10192
1106713	15600
1106714	13000
1106715	13000
1106716	14300
1106717	9776
1106718	11960
1106719	7904
1106720	11960
1106721	9360
1106722	10400
1106723	9360
1106724	11076
1106725	12220
1106726	12480
1106727	9880
1106728	9516
1106729	10400
1106801	7280
1106802	6760
1106803	6240
1106804	8580
1106805	6396
1106806	1352
1106807	9360
1106808	2080
1106809	5200
1106810	5200
1106811	6500
1106901	10400
1106902	10920
1106903	936
1106904	5200
1106905	780
1106906	
1106907	
1106908	
1106909	
1106910	
1106911	7800
1106912	3640
1106913	15080
1106914	8424
1106915	10400
1106916	7956
1106917	8580
1106918	8996
1106919	8840
1107001	18720
1107002	16900
1107003	11336
1107004	
1107005	9620
1107006	12740
1107007	12740
1107008	17940
1107009	
1107010	13000
1107011	12480
1107012	13936
1107013	13000
1107014	14560
1107015	12480
1107016	11960
1107017	16640
1107018	13520
1107019	7124
1107020	8996
1107021	9308
1107022	19760
1107023	11960
1107024	10400
1107025	11440
1107026	14040
1107027	13416
1107028	13260
1107029	13260
1107030	10400
1107031	
1107032	12636
1107101	10400
1107102	15600
1107103	11180
1107104	11440
1107105	12480
1107106	11700
1107107	10400
1107108	10400
1107109	
1107110	10920
1107111	
1107112	12480
1107113	8060
1107114	14612
1107115	11180
1107116	11596
1107117	15600
1107118	
1107119	14248
1107120	17420
1107121	11180
1107122	11440
1107123	10140
1107124	9776
1107125	6916
1107126	
1107127	7800
1107128	6656
1107201	13520
1107202	14040
1107203	15600
1107204	11440
1107205	15028
1107206	17680
1107207	5200
1107208	15080
1107209	14560
1107210	13520
1107211	18200
1107212	17160
1107214	16640
1107215	16640
1107216	13104
1107217	17680
1107218	18200
1107219	15340
1107220	15236
1107221	13260
1107222	11700
1107224	12740
1107225	19240
1107226	20540
1107227	20800
1107228	19760
1107301	
1107302	3120
1107303	11180
1107304	13780
1107305	9880
1107306	9776
1107307	9880
1107308	9880
1107309	10400
1107310	7800
1107311	10920
1107312	7800
1107313	
1107314	
1107401	11180
1107402	14716
1107403	13000
1107404	6240
1107405	9360
1107406	3120
1107407	11440
1107408	6656
1107409	14300
1107410	7280
1107411	4160
1107412	14456
1107413	12480
1107414	12636
1107415	12480
1107416	11960
1107417	7020
1107418	11856
1107419	11180
1107420	13000
1107421	10660
1107422	6396
1107423	6396
1107425	5720
1107426	9360
1107427	12168
1107501	
1107601	11596
1107602	14560
1107603	14196
1107604	10920
1107605	14040
1107606	10920
1107607	10920
1107608	11960
1107609	11960
1107610	13520
1107611	5980
1107612	10400
1107613	16640
1107614	11440
1107615	10400
1107616	7800
1107617	9100
1107618	10400
1107619	5616
1107620	10920
1107621	10400
1107701	17420
1107702	12480
1107703	13000
1107704	13676
1107705	13000
1107706	11180
1107707	10920
1107708	17680
1107709	19136
1107710	13000
1107711	10400
1107712	15080
1107713	12480
1107714	11440
1107715	15600
1107716	15600
1107717	15600
1107718	13000
1107719	13260
1107720	13000
1107721	14040
1107722	12896
1107723	13000
1107724	11960
1107725	15600
1107726	13000
1107727	14300
1107728	12220
1107729	15600
1107730	14404
1107731	14560
1107732	15600
1107733	10400
1107734	11596
1107735	
1107736	
1107737	7800
1107738	11180
1107739	10400
1107740	15600
1107741	7800
1107742	13676
1107743	9620
1107744	11388
1107745	13000
1107746	14560
1107747	10400
1107748	13000
1107749	10400
1107750	9880
1107751	10400
1107752	9100
1107753	14820
1107754	17160
1107801	13260
1107802	13520
1107804	14560
1107805	9620
1107806	14040
1107807	17680
1107808	10400
1107809	
1107810	
1107811	17056
1107812	16536
1107813	17680
1107814	16640
1107815	13520
1107816	16640
1107817	15860
1107818	19136
1107819	15600
1107820	18876
1107821	15860
1107822	15600
1107823	20956
1107824	19760
1107825	15080
1107826	17680
1107827	19760
1107828	15600
1107829	11960
1107830	13000
1107831	23712
1107833	21840
1107834	21840
1107835	22100
1107836	18980
1107837	10400
1107838	13520
1107839	12688
1107840	18772
1107841	19760
1107842	20176
1107843	18200
1107844	18200
1107845	19916
1107901	8580
1107902	9360
1107903	11596
1107904	13000
1107905	7384
1107906	7904
1107907	572
1107908	5200
1107909	7800
1107910	8788
1107911	12376
1107912	13000
1107913	9100
1107914	13520
1107915	12012
1107916	13000
1107917	13000
1107918	13000
1107919	14820
1107920	10400
1107921	13780
1107922	14456
1107923	10920
1107924	10140
1107925	9360
1107926	15600
1107927	10400
1107928	4784
1107929	15080
1107930	9360
1107931	12376
1107932	14560
1107933	7176
1107934	4420
1107935	7800
1107936	3588
1108001	16640
1108002	
1108003	14040
1108004	
1108005	13000
1108006	17160
1108007	11960
1108008	9880
1108009	11180
1108010	14040
1108011	13000
1108012	9360
1108013	10400
1108014	12012
1108015	17420
1108016	15080
1108017	14560
1108018	6188
1108019	14300
1108020	12480
1108021	11180
1108022	14820
1108023	11440
1108024	17160
1108025	16120
1108026	
1108027	15600
1108028	13000
1108029	13520
1108030	15600
1108031	12480
1108032	12220
1108033	16120
1108034	15600
1108036	14300
1108037	13000
1108038	11960
1108039	13416
1108040	16120
1108041	14560
1108042	14716
1108043	13520
1108044	14456
1108046	10660
1108047	13000
1108048	13000
1108049	10400
1108050	13780
1108051	
1108052	11648
1108053	12480
1108054	10920
1108055	10660
1108101	11700
1108102	11700
1108103	
1108104	5200
1108105	12480
1108106	2340
1108107	10400
1108108	13000
1108109	14820
1108110	7800
1108111	
1108112	13000
1108113	11440
1108114	14300
1108115	10400
1108116	16900
1108117	14300
1108118	20020
1108119	10920
1108120	13000
1108121	13780
1108122	5200
1108123	11440
1108124	13000
1108125	15600
1108126	13000
1108127	10400
1108128	11440
1108129	14300
1108130	15340
1108131	10400
1108132	13000
1108133	11180
1108134	15080
1108135	14040
1108136	13000
1108137	10400
1108138	14040
1108139	12896
1108140	10920
1108141	16900
1108143	7800
1108144	7540
1108145	10400
1108146	9360
1108147	14040
1108148	11960
1108149	12740
1108150	13000
1108151	
1108152	13000
1108201	8320
1108202	15860
1108203	16120
1108204	16900
1108205	16640
1108206	
1108207	19916
1108208	16640
1108209	11960
1108210	
1108211	10400
1108212	15600
1108213	20800
1108214	18460
1108215	12480
1108216	13000
1108217	14560
1108218	14456
1108219	15860
1108220	15080
1108221	12480
1108222	11180
1108223	11440
1108224	14560
1108225	13000
1108226	12480
1108227	18200
1108228	15340
1108229	12896
1108230	11440
1108231	14040
1108232	17940
1108233	15600
1108234	15600
1108235	12220
1108236	
1108237	15080
1108238	18720
1108239	
1108240	13000
1108241	14300
1108242	14196
1108243	14560
1108244	12220
1108245	17940
1108301	18200
1108302	16640
1108303	17160
1108304	16640
1108305	16640
1108306	15080
1108307	14560
1108308	13000
1108309	13520
1108310	14820
1108311	13260
1108312	11700
1108313	15080
1108314	11440
1108315	13520
1108316	18200
1108317	15600
1108401	20280
1108402	
1108403	12480
1108404	19656
1108405	10400
1108406	20800
1108407	19500
1108408	15496
1108409	18720
1108410	16380
1108411	15496
1108412	20800
1108413	16900
1108414	16120
1108415	20020
1108416	16380
1108417	19760
1108418	11180
1108419	15340
1108420	16640
1108421	17160
1108422	15600
1108423	19136
1108424	11440
1108425	23400
1108426	16900
1108427	19760
1108428	18616
1108429	8892
1108430	22360
1108431	13520
1108432	17160
1108433	14976
1108434	15860
1108435	12480
1108436	13520
1108438	18200
1108439	22880
1108440	16120
1108441	14144
1108442	18460
1108443	19500
1108444	18460
1108445	13260
1108446	13000
1108501	
