SA1_7DIGITCODE_2016	HomeCensusNight	persons
1101417	0	3
1101417	1	19
1101418	0	48
1101418	1	316
1101419	0	31
1101419	1	434
1101502	1	6
1101503	0	8
1101503	1	223
1101505	0	12
1101505	1	77
1101511	0	18
1101511	1	187
1101512	0	10
1101512	1	133
1101514	0	14
1101514	1	164
1101515	0	25
1101515	1	233
1101516	0	12
1101516	1	144
1101517	0	10
1101517	1	165
1101518	0	12
1101518	1	271
1101519	0	16
1101519	1	308
1101520	0	9
1101520	1	145
1101521	0	17
1101521	1	306
1101522	0	23
1101522	1	325
1101523	0	9
1101523	1	188
1101524	0	15
1101524	1	207
1101601	1	100
1101602	0	21
1101602	1	416
1101603	0	27
1101603	1	258
1101604	0	17
1101604	1	195
1101605	0	25
1101605	1	212
1101606	0	43
1101606	1	442
1101607	0	19
1101607	1	185
1101608	0	23
1101608	1	286
1101609	0	16
1101609	1	285
1101610	0	61
1101610	1	720
1101611	0	22
1101611	1	367
1101612	1	75
1101613	0	9
1101613	1	216
1101614	0	22
1101614	1	334
1101615	0	34
1101615	1	332
1101616	0	45
1101616	1	388
1101617	0	36
1101617	1	386
1101618	0	54
1101618	1	556
1101619	0	27
1101619	1	492
1101620	0	18
1101620	1	185
1101701	0	28
1101701	1	568
1101702	0	17
1101702	1	232
1101703	0	26
1101703	1	365
1101704	0	29
1101704	1	389
1101705	0	14
1101705	1	221
1101706	0	38
1101706	1	457
1101707	1	3
1101708	0	34
1101708	1	317
1101709	0	33
1101709	1	627
1101710	0	70
1101710	1	450
1101711	0	33
1101711	1	279
1101712	0	28
1101712	1	498
1101713	0	26
1101713	1	365
1101716	0	25
1101716	1	432
1101717	0	14
1101717	1	230
1101718	0	36
1101718	1	339
1101719	0	20
1101719	1	350
1101720	0	13
1101720	1	230
1101721	0	20
1101721	1	333
1101722	0	36
1101722	1	450
1101801	0	26
1101801	1	293
1101802	0	15
1101802	1	271
1101803	0	31
1101803	1	348
1101804	0	6
1101804	1	162
1101805	0	19
1101805	1	270
1101806	0	29
1101806	1	420
1101807	0	17
1101807	1	424
1101808	0	22
1101808	1	486
1101809	0	29
1101809	1	313
1101810	0	25
1101810	1	283
1101811	0	8
1101811	1	305
1101812	0	27
1101812	1	389
1101813	0	26
1101813	1	252
1101814	0	26
1101814	1	232
1101815	0	37
1101815	1	277
1101816	0	23
1101816	1	359
1101817	0	51
1101817	1	594
1101818	0	27
1101818	1	469
1101819	0	22
1101819	1	386
1101820	0	22
1101820	1	275
1101821	0	10
1101821	1	175
1101822	0	38
1101822	1	417
1101823	0	33
1101823	1	404
1101901	0	42
1101901	1	444
1101902	0	20
1101902	1	418
1101903	0	21
1101903	1	235
1101904	0	21
1101904	1	400
1101905	0	23
1101905	1	379
1101906	0	17
1101906	1	434
1101907	0	26
1101907	1	305
1101909	0	22
1101909	1	283
1101911	0	40
1101911	1	365
1101912	0	24
1101912	1	359
1101913	0	30
1101913	1	389
1101914	0	52
1101914	1	655
1101915	0	12
1101915	1	199
1101916	0	61
1101916	1	460
1101917	0	39
1101917	1	692
1101918	0	30
1101918	1	254
1101919	0	30
1101919	1	240
1101920	0	17
1101920	1	279
1101921	0	25
1101921	1	260
1101922	0	45
1101922	1	287
1101923	0	32
1101923	1	454
1102001	0	37
1102001	1	399
1102002	0	45
1102002	1	480
1102003	0	24
1102003	1	370
1102004	0	30
1102004	1	298
1102005	0	24
1102005	1	263
1102006	0	15
1102006	1	313
1102007	0	30
1102007	1	330
1102008	0	34
1102008	1	317
1102009	1	11
1102011	0	21
1102011	1	315
1102013	0	20
1102013	1	147
1102014	0	14
1102014	1	224
1102015	0	16
1102015	1	176
1102016	0	21
1102016	1	238
1102017	0	9
1102017	1	225
1102018	0	28
1102018	1	380
1102019	0	25
1102019	1	260
1102020	0	47
1102020	1	455
1102022	0	18
1102022	1	299
1102023	0	13
1102023	1	291
1102024	0	21
1102024	1	239
1102025	0	20
1102025	1	332
1102026	0	11
1102026	1	184
1102027	0	20
1102027	1	216
1102028	0	36
1102028	1	377
1102029	0	28
1102029	1	285
1102030	0	27
1102030	1	363
1102031	0	9
1102031	1	141
1102032	0	28
1102032	1	199
1102101	0	44
1102101	1	363
1102102	0	18
1102102	1	199
1102104	0	46
1102104	1	591
1102105	0	27
1102105	1	405
1102106	0	40
1102106	1	531
1102107	0	58
1102107	1	508
1102108	0	33
1102108	1	387
1102109	1	38
1102201	0	3
1102201	1	23
1102301	0	27
1102301	1	346
1102302	0	47
1102302	1	348
1102303	0	28
1102303	1	283
1102304	0	19
1102304	1	153
1102305	0	22
1102305	1	472
1102306	0	15
1102306	1	335
1102307	0	30
1102307	1	256
1102308	0	24
1102308	1	504
1102309	0	30
1102309	1	269
1102310	1	4
1102401	0	20
1102401	1	226
1102402	0	24
1102402	1	276
1102403	0	10
1102403	1	245
1102404	0	34
1102404	1	387
1102405	0	13
1102405	1	235
1102406	0	19
1102406	1	223
1102407	0	25
1102407	1	253
1102408	0	10
1102408	1	277
1102409	0	13
1102409	1	238
1102410	0	10
1102410	1	205
1102411	0	15
1102411	1	197
1102412	0	28
1102412	1	311
1102502	0	23
1102502	1	303
1102503	0	24
1102503	1	312
1102504	0	29
1102504	1	256
1102505	0	18
1102505	1	205
1102506	0	32
1102506	1	290
1102507	0	41
1102507	1	204
1102508	0	54
1102508	1	509
1102509	0	14
1102509	1	149
1102510	0	35
1102510	1	316
1102511	0	36
1102511	1	365
1102512	0	50
1102512	1	489
1102513	0	34
1102513	1	430
1102514	0	11
1102514	1	215
1102516	0	17
1102516	1	286
1102517	0	25
1102517	1	304
1102518	0	31
