SA1_7DIGITCODE_2016	medianTotalPersonalIncome
1134302	85020
1134303	83408
1134304	80860
1134305	95056
1134306	86528
1134307	85124
1134308	71500
1134309	59072
1134310	77116
1134311	85124
1134312	66560
1134313	75816
1134314	82472
1134315	9932
1134316	79612
1134317	77376
1134318	50648
1134319	66976
1134320	69576
1134321	61152
1134322	57564
1134323	65832
1134324	61620
1134325	78468
1134326	74204
1134327	69316
1134328	75712
1134329	72020
1134330	66404
1134331	85696
1134332	67704
1134333	71864
1134334	75972
1134335	72488
1134336	64792
1134337	67756
1134338	69420
1134339	69940
1134340	73476
1134341	67496
1134342	65988
1134343	56056
1134344	75816
1134345	74048
1134346	70096
1134347	69264
1134348	90324
1134349	85696
1134350	73424
1134351	71084
1134352	78572
1134353	72124
1134354	91468
1134355	85696
1134356	72280
1134357	78260
1134401	53716
1134402	61880
1134403	57824
1134404	59956
1134405	57460
1134406	53456
1134407	52728
1134408	56316
1134409	57720
1134410	56108
1134411	48516
1134412	47528
1134413	63804
1134414	50024
1134415	45032
1134416	64376
1134417	62140
1134418	56472
1134419	54548
1134420	63492
1134421	59176
1134422	57408
1134423	60216
1134424	58656
1134501	69264
1134502	78416
1134503	88140
1134504	74932
1134505	75712
1134506	72332
1134507	75088
1134508	77272
1134509	67496
1134510	74724
1134511	82940
1134512	86372
1134513	80288
1134514	46800
1134515	
1134516	84656
1134517	84084
1134518	67808
1134519	45240
1134520	69108
1134521	77428
1134522	97500
1134523	63232
1134524	66820
1134525	76388
1134526	62816
1134527	80756
1134528	74048
1134529	78468
1134530	66508
1134531	95160
1134532	66092
1134533	76856
1134534	69420
1134535	62452
1134536	56524
1134537	64532
1134601	66924
1134602	58968
1134603	50024
1134604	58032
1134605	69316
1134606	75296
1134607	
1134608	68692
1134609	24856
1134610	61828
1134611	
1134612	71760
1134613	57408
1134614	60216
1134615	62608
1134616	52208
1134617	54704
1134618	58604
1134619	55224
1134620	73372
1134621	59592
1134622	62972
1134623	67496
1134624	59020
1134625	54028
1134626	50388
1134627	62816
1134628	65468
1134629	53820
1134630	84136
1134631	58864
1134632	51584
1134701	70928
1134702	77636
1134703	34996
1134704	79092
1134705	84968
1134706	71864
1134707	66508
1134708	71032
1134709	60892
1134710	80288
1134711	70980
1134712	67652
1134713	60528
1134714	87516
1134715	67964
1134716	72748
1134717	49608
1134801	69628
1134802	63232
1134803	65208
1134804	23296
1134805	66144
1134806	68796
1134807	69992
1134808	63336
1134809	62660
1134810	72072
1134811	75452
1134812	73372
1134813	72280
1134814	61516
1134815	65260
1134816	76180
1134817	67236
1134818	49660
1134819	66092
1134820	73112
1134821	69160
1134822	74984
1134823	62192
1134824	72072
1134825	71916
1134826	65208
1134827	18824
1134828	60320
1134829	52936
1134830	70720
1134831	74048
1134832	59748
1134833	56628
1134834	60112
1134835	63648
1134836	73892
1134837	54080
1134838	66404
1134839	67600
1134840	75608
1134841	69420
1134842	65624
1134843	69212
1134844	63076
1134845	64740
1134846	59436
1134847	70824
1134848	47372
1134849	60320
1134850	58500
1134851	62556
1134852	72384
1134853	56056
1134854	72540
1134855	66976
1134856	53040
1134857	46800
1134858	54600
1134859	18616
1134860	55484
1135001	27352
1135002	49348
1135003	32812
1135004	45552
1135006	41704
1135007	24440
1135008	37336
1135009	47736
1135010	49868
1135011	50076
1135012	44980
1135013	19708
1135014	36868
1135015	49348
1135017	25844
1135018	46904
1135019	36764
1135020	24544
1135021	36348
1135022	45812
1135023	36764
1135024	
1135025	60112
1135026	33748
1135027	39728
1135028	24284
1135029	45032
1135030	42172
1135031	18460
1135032	27040
1135033	35464
1135034	38324
1135035	24128
1135036	34008
1135037	38792
1135038	39936
1135039	43732
1135040	37908
1135041	32864
1135042	43160
1135043	39364
1135044	34060
1135047	36452
1135048	32032
1135049	39832
1135050	45032
1135051	43316
1135052	60892
1135053	34788
1135054	39208
1135055	58136
1135056	45032
1135057	39624
1135401	35932
1135402	30524
1135403	25324
1135404	27300
1135405	27300
1135406	29900
1135407	29536
1135408	21424
1135409	22412
1135410	21788
1135411	25896
1135412	21736
1135413	22308
1135414	30004
1135415	31356
1135416	
1135417	32084
1135418	29744
1135419	23088
1135420	30628
1135421	19240
1135422	20332
1135423	27924
1135424	28340
1135425	29432
1135426	30680
1135427	31096
1135428	30888
1135429	25480
1135430	29328
1135431	27456
1135432	33540
1135433	30212
1135434	28288
1135435	27872
1135436	28444
1135437	
1135438	27144
1135439	24648
1135440	30368
1135441	23504
1135442	23660
1135443	30264
1135444	25324
1135445	17732
1135446	19240
1135447	18980
1135448	24284
1135449	27092
1135450	21788
1135451	34892
1135452	14716
1135453	20956
1135454	19344
1135501	22516
1135502	40820
1135601	23400
1135602	
1135603	21268
1135604	
1135605	
1135606	27664
1135607	30212
1135608	24804
1135609	24232
1135610	23296
1135611	24180
1135612	26988
1135613	31564
1135614	23504
1135615	25844
1135616	26728
1135617	27092
1135618	28288
1135619	26728
1135620	
1135621	24752
1135622	
1135623	30212
1135624	23920
1135625	21996
1135626	22672
1135627	21268
1135628	29068
1135629	33488
1135701	22568
1135702	21840
1135703	20176
1135704	21424
1135705	34788
1135706	22308
1135707	23192
1135708	26468
1135709	26208
1135710	24388
1135711	21060
1135712	24128
1135713	22152
1135714	22776
1135715	26416
1135716	24596
1135717	20332
1135718	23920
1135719	23972
1135720	24804
1135721	23400
1135722	23608
1135723	22100
1135724	20644
1135725	20696
1135726	22308
1135727	20852
1135728	21632
1135729	26156
1135730	22100
1135731	22516
1135732	19396
1135733	24128
1135734	25012
1135735	30420
1135736	22776
1135737	22360
1135738	19292
1135739	22412
1135740	22828
1135741	23452
1135742	27092
1135743	29744
1135744	23504
1135745	22360
1135746	21580
1135747	21944
1135748	18408
1135749	
1135750	14768
1135751	18876
1135752	26156
1135753	22776
1135754	20904
1135755	19604
1135756	22308
1135757	28132
1135758	20228
1135801	25324
1135802	28704
1135803	34528
1135804	34944
1135805	36296
1135806	27924
1135807	31304
1135808	34892
1135809	34268
1135810	35464
1135811	27872
1135812	36348
1135813	33488
1135814	29068
1135815	36764
1135816	28912
1135817	
1135818	37232
1135819	26468
1135820	31616
1135821	31148
1135822	26624
1135823	32500
1135824	37700
1135825	39312
1135826	25844
1135827	39728
1135828	32708
1135829	24804
1135830	38168
1135831	31356
1135832	32604
1135833	34580
1135834	37544
1135835	
1135836	37700
1135837	34424
1135838	25584
1135839	29068
1135840	43836
1135841	38584
1135842	33540
1135901	35256
1135902	32708
1135903	37492
1135904	36296
1135905	43056
1135906	36920
1135907	29744
1135908	37076
1135909	42588
1135910	58500
1135911	40508
1135912	39780
1135913	43004
1135914	43940
1135915	35464
1135916	39520
1135917	28964
1135918	27508
1135919	23400
1135920	31460
1135921	36452
1135922	74724
1135923	49140
1135924	40612
1135925	35984
1135926	40560
1135927	30108
1135928	42276
1135929	39624
1135930	42380
1135931	36192
1135932	35256
1135933	34268
1135934	34424
1135935	35932
1135936	35568
1135937	36816
1135938	41756
1135939	36660
1135940	37492
1135941	11700
1135942	48360
1135943	37440
1135944	34788
1135945	33540
1135946	26884
1135947	34632
1135948	36036
1135949	31460
1135950	39988
1135951	40976
1135952	
1135953	36036
1135954	33228
1135955	36452
1135956	30316
1135957	38324
1135958	25740
1135959	39676
1135960	32188
1135961	29328
1136001	24128
1136002	26728
1136003	32448
1136004	28392
1136005	29120
1136006	32708
1136007	35256
1136008	28704
1136009	31408
1136010	34788
1136011	29692
1136012	31720
1136013	35308
1136014	27456
1136015	46020
1136016	44408
1136017	42484
1136018	33956
1136019	38480
1136020	23192
1136021	33020
1136022	24284
1136023	29276
1136024	27352
1136025	33124
1136026	36504
1136027	30264
1136028	27352
1136029	26104
1136030	39468
1136031	44876
1136032	34216
1136033	37492
1136034	41028
1136035	30732
1136101	25324
1136102	
1136103	22672
1136104	25636
1136105	19604
1136106	23140
1136107	18824
1136108	20176
1136109	23868
1136110	31096
1136111	24960
1136112	28548
1136113	27352
1136114	22568
1136115	25480
1136116	20436
1136117	24388
1136118	23920
1136119	31460
1136120	24908
1136121	24700
1136122	24180
1136123	22568
1136124	23764
1136125	25844
1136126	23088
1136127	25116
1136128	24492
1136129	28236
1136130	26312
1136131	27144
1136132	25116
1136133	25324
1136134	26728
1136135	25844
1136136	25064
1136137	24232
1136138	26156
1136139	27924
1136140	25480
1136141	28236
1136142	25636
1136143	20904
1136144	22776
1136145	23244
1136146	27716
1136201	28964
1136202	21684
1136203	26624
1136204	25636
1136205	24856
1136206	25220
1136207	33228
1136208	29016
1136209	26624
1136210	29172
1136211	24960
1136212	24440
1136213	25844
1136214	24440
1136215	25688
1136216	26104
1136217	31044
1136218	23868
1136219	30212
1136220	30888
1136221	32500
1136222	25116
1136223	27612
1136224	25272
1136225	28600
1136226	33176
1136227	32188
1136228	25168
1136229	28080
1136230	24128
1136231	22880
1136232	30940
1136233	26728
1136234	30524
1136235	27924
1136236	26208
1136237	24804
1136238	25532
1136239	23556
1136240	32500
1136241	26572
1136242	23504
1136243	26312
1136301	24804
1136302	21632
1136303	23972
1136304	27092
1136305	31096
1136306	23920
1136307	26832
1136308	25012
1136309	25116
1136310	23192
1136311	23712
1136312	32448
1136313	36192
1136314	27820
1136315	35256
1136316	22828
1136317	24960
1136318	22984
1136319	30836
1136320	29536
1136321	18980
1136322	23816
1136323	26416
1136324	25012
1136325	24180
1136326	21788
1136327	26052
1136328	23192
1136329	29692
1136330	24700
1136331	23556
1136332	25168
1136333	27300
1136334	22880
1136335	29276
1136336	25220
1136337	25012
1136338	26156
1136339	27092
1136340	24960
1136341	24700
1136342	26208
1136343	29276
1136344	36088
1136345	31616
1136346	26676
1136347	40612
1136348	
1136349	29900
1136350	33904
1136351	26364
1136352	24388
1136353	25428
1136354	28808
1136355	23400
1136356	20852
1136357	24388
1136358	23192
1136359	25116
1136360	23140
1136361	20280
1136362	22308
1136363	25272
1136364	25376
1136365	22360
1136366	32448
1136367	27560
1136401	39364
1136402	34268
1136403	40300
1136404	28756
1136405	40664
1136406	38428
1136407	40612
1136408	36140
1136409	31928
1136410	43316
1136411	35152
1136412	23764
1136413	38636
1136414	35828
1136415	35464
1136416	33436
1136417	27144
1136418	44460
1136419	25428
1136420	44980
1136421	36504
1136422	34008
1136423	30784
1136424	42536
1136425	26468
1136426	35932
1136427	31512
1136428	34320
1136429	
1136430	29016
1136431	33436
1136432	29900
1136433	28132
1136434	34008
1136435	33592
1136436	29224
1136437	36556
1136438	27612
1136439	29588
1136440	36348
1136441	30264
1136442	31148
1136443	35256
1136444	26676
1136445	25376
1136446	36400
1136447	33904
1136448	39624
1136449	36868
1136450	38584
1136451	28704
1136452	44616
1136453	25272
1136454	37700
1136455	39520
1136456	33436
1136457	39104
1136458	30524
1136601	23192
1136602	23660
1136603	19188
1136604	25116
1136605	23868
1136606	21060
1136607	22672
1136608	23088
1136609	20852
1136610	20488
1136611	19968
1136612	26468
1136613	20644
1136614	21840
1136615	22048
1136616	22152
1136617	23036
1136618	24128
1136619	20904
1136620	18876
1136621	22308
1136622	23140
1136623	21476
1136624	20384
1136625	22464
1136626	20592
1136627	22152
1136628	20384
1136629	22256
1136630	22828
1136631	21944
1136632	21060
1136633	23192
1136634	23452
1136635	21840
1136636	19656
1136637	20852
1136638	20124
1136639	24180
1136640	23920
1136641	
1136642	28288
1136643	23972
1136644	22048
1136645	27768
1136646	25688
1136647	22568
1136648	23556
1136701	33904
1136702	25428
1136703	33176
1136704	30680
1136705	24388
1136706	22308
1136707	26884
1136708	29692
1136709	25116
1136710	23972
1136711	32344
1136712	32760
1136713	30056
1136714	31876
1136715	34008
1136716	28184
1136717	28444
1136718	32864
1136719	25428
1136720	28184
1136721	30264
1136722	24752
1136723	30420
1136724	26832
1136725	32812
1136726	26364
1136727	32760
1136728	27976
1136801	25376
1136802	23088
1136803	23608
1136804	31304
1136805	29328
1136806	29328
1136807	25792
1136808	27508
1136809	27352
1136810	22100
1136811	33956
1136812	28652
1136813	25480
1136814	27404
1136815	27508
1136816	21372
1136817	22672
1136818	20540
1136819	27976
1136820	27560
1136821	26208
1136822	23400
1136823	20904
1136824	22932
1136825	23972
1136826	22828
1136827	19240
1136828	20176
1136829	26884
1136830	20852
1136831	19448
1136832	24544
1136833	20280
1136834	28444
1136835	22620
1136836	25740
1136837	29692
1136838	34216
1136839	28652
1136840	30004
1136841	24908
1136842	27040
1136843	26260
1136901	41860
1136902	39416
1136903	41080
1136904	
1136905	36816
1136906	47684
1136907	43992
1136908	42172
1136909	39208
1136910	42640
1136911	36244
1136912	35776
1136913	37128
1136914	44356
1136915	46384
1136916	40248
1136917	48828
1136918	54548
1136919	36400
1136920	44200
1136921	36192
1136922	36868
1136923	32864
1136924	32188
1136925	29432
1136926	31876
1136927	37752
1136928	38168
1136929	35516
1136930	35932
1136931	34788
1136932	39260
1136933	38168
1136934	26156
1136935	29744
1136936	26104
1136937	30784
1136938	39624
1136939	35828
1136940	24336
1136941	37076
1136942	40976
1136943	39624
1136944	44720
1136945	38220
1136946	39884
1136947	
1136948	43316
1136949	32864
1136950	51792
1137001	31876
1137002	34112
1137003	34528
1137004	24284
1137005	29224
1137006	20332
1137007	39624
1137008	37336
1137009	21268
1137010	32760
1137011	28132
1137012	27508
1137013	29900
1137014	28028
1137015	21580
1137016	19760
1137017	26260
1137018	26312
1137019	29796
1137020	29744
1137021	24180
1137022	31408
1137023	32188
1137024	34216
1137025	34736
1137026	30472
1137027	31096
1137028	29588
1137029	33540
1137030	31980
1137101	42068
1137102	47320
1137103	44876
1137104	48204
1137105	50440
1137106	26624
1137107	36244
1137108	40352
1137109	35412
1137110	42640
1137111	45344
1137112	43004
1137113	48360
1137114	48048
1137115	36712
1137116	38896
1137117	47944
1137118	43420
1137119	36244
1137120	36816
1137121	31772
1137122	30316
1137123	35308
1137124	43316
1137125	41236
1137126	51272
1137127	56108
1137128	45084
1137129	33592
1137130	36452
1137131	35256
1137201	39832
1137202	44928
1137203	38168
1137204	35724
1137205	44720
1137206	43524
1137207	39000
1137208	39624
1137209	
1137210	28496
1137211	29172
1137212	34372
1137213	40144
1137214	40040
1137215	32188
1137216	25064
1137217	22776
1137218	30212
1137219	33852
1137220	34528
1137221	29432
1137222	43108
1137223	31824
1137224	40144
1137225	37908
1137226	42432
1137227	24596
1137228	30316
1137229	43472
1137230	41912
1137231	40976
1137232	33020
1137233	34060
1137234	38064
1137235	24804
1137236	46540
1137237	37804
1137238	37492
1137239	31356
1137240	34632
1137241	30108
1137242	35308
1137243	37128
1137244	39416
1137245	43316
1137301	31356
1137302	27560
1137303	34060
1137304	26260
1137305	30680
1137306	25428
1137307	
1137308	18096
1137309	17108
1137310	23764
1137311	
1137312	17628
1137313	17628
1137314	18200
1137315	
1137316	28444
1137317	28236
1137318	30316
1137319	24804
1137320	22048
1137321	25740
1137322	27508
1137323	22984
1137324	20696
1137325	32812
1137401	28860
1137402	25532
1137403	28080
1137404	24440
1137405	23660
1137406	34528
1137407	28444
1137408	35620
1137409	29380
1137410	27404
1137411	25116
1137412	29900
1137413	31408
1137414	27092
1137415	25220
1137416	28600
1137417	31668
1137418	33904
1137419	34320
1137420	22100
1137421	25792
1137422	24284
1137423	22152
1137424	25428
1137425	22828
1137426	24752
1137427	24284
1137428	25376
1137429	25688
1137430	38740
1137431	63856
1137432	38948
1137433	38636
1137434	35256
1137435	36192
1137436	40196
1137437	44460
1137438	49504
1137439	47944
1137440	50232
1137441	38116
1137442	50440
1137443	46800
1137444	32708
1137445	45136
1137446	45396
1137447	31876
1137448	37492
1137449	33956
1137450	21996
1137451	28704
1137452	39156
1137453	
1137454	30680
1137455	47736
1137456	46800
1137457	50388
1137458	46800
1137501	29900
1137502	33020
1137503	33852
1137504	35100
1137505	25064
1137506	33124
1137507	29016
1137508	
1137509	43836
1137510	32708
1137511	28756
1137512	34008
1137513	24752
1137514	31096
1137515	39884
1137516	39156
1137517	35568
1137518	28600
1137521	
1137522	34580
1137523	39156
1137524	30576
1137525	26416
1137526	29900
1137527	24076
1137528	32760
1137529	36660
1137530	30836
1137531	35776
1137532	30628
1137533	23868
1137534	29900
1137535	37336
1137536	43420
1137537	46696
1137538	47580
1137539	42380
1137601	32344
1137602	31096
1137603	24076
1137604	30160
1137605	25168
1137606	35828
1137607	25324
1137608	34580
1137609	32864
1137610	26156
1137611	31512
1137612	24128
1137613	29900
1137614	29172
1137615	29120
1137616	37284
1137617	31356
1137618	34528
1137619	32396
1137620	28860
1137621	28912
1137622	35984
1137623	27144
1137624	26572
1137625	32188
1137626	30888
1137627	34164
1137628	33592
1137629	29796
1137630	34216
1137631	34112
1137632	29588
1137633	31824
1137634	34112
1137635	30784
1137636	36244
1137637	33436
1137638	33228
1137639	42380
1137640	30108
1137641	29952
1137642	28392
1137643	30004
1137644	32708
1137645	31928
1137646	24596
1137647	39624
1137648	30836
1137649	30836
1137650	34632
1137651	37856
1137652	32344
1137653	29380
1137654	32604
1137655	25844
1137656	29484
1137657	27820
1137701	26208
1137702	33020
1137703	25792
1137704	28964
1137705	27924
1137706	27768
1137707	34424
1137708	27040
1137709	37388
1137710	32032
1137711	34996
1137712	37440
1137713	35412
1137714	32448
1137715	30264
1137716	25272
1137717	22516
1137718	31824
1137719	34372
1137720	28028
1137721	31304
1137722	27144
1137723	24648
1137724	31876
1137725	33332
1137726	30056
1137727	39260
1137728	42952
1137729	42640
1137730	38168
1137731	38636
1137732	39520
1137733	37492
1137734	30992
1137801	28184
1137802	35880
1137803	35100
1137804	38636
1137805	37440
1137806	36400
1137807	38324
1137808	37336
1137809	
1137810	37700
1137811	31980
1137812	
1137813	31460
1137814	31044
1137815	
1137816	38376
1137817	36140
1137818	35724
1137819	38792
1137820	32240
1137821	27300
1137822	38376
1137823	34060
1137824	37284
1137825	40300
1137826	35412
1137827	33280
1137901	27924
1137902	26988
1137903	31096
1137904	30992
1137905	33488
1137906	29536
1137907	35672
1137908	30420
1137909	31252
1137910	35256
1137911	37700
1137912	36192
1137913	39208
1137914	34632
1137915	33436
1137916	34112
1137917	30472
1137918	31928
1137919	39936
1137920	40508
1137921	35100
1137922	42224
1137923	32136
1137924	41756
1137925	42848
1137926	46800
1137927	45500
1137928	28808
1137929	32500
1137930	34320
1137931	37700
1137932	38012
1137933	36192
1137934	29588
1137935	34840
1137936	38116
1137937	38584
1138001	35516
1138002	31564
1138003	27924
1138004	34684
1138005	30056
1138006	34684
1138007	33904
1138008	35100
1138009	36088
1138010	33644
1138011	41964
1138012	30472
1138013	39624
1138014	39884
1138015	31148
1138016	34996
1138017	43524
1138018	42848
1138019	43628
1138020	34320
1138021	20852
1138022	37856
1138023	39312
1138024	40456
1138025	26988
1138026	41652
1138027	34736
1138028	39312
1138029	33488
1138030	36920
1138031	39052
1138032	37700
1138101	32136
1138102	29172
1138103	23556
1138104	30576
1138106	27144
1138107	27196
1138108	25688
1138109	29692
1138110	28340
1138111	30056
1138112	35204
1138113	34320
1138114	36504
1138115	
1138116	25584
1138117	28600
1138118	25792
1138120	32864
1138121	28288
1138122	40144
1138124	30888
1138125	48516
1138126	42744
1138127	30784
1138128	47632
1138129	41236
1138130	35100
1138131	33852
1138132	33904
1138133	32812
1138135	31512
1138136	34580
1138138	41080
1138139	31148
1138140	40300
1138141	35828
1138142	33956
1138143	25584
1138144	25532
1138145	38480
1138146	40300
1138147	29900
1138148	39416
1138149	34424
1138150	29900
1138151	23868
1138152	36868
1138153	38168
1138154	30576
1138155	34476
1138156	31512
1138201	38376
1138202	42952
1138203	48412
1138204	34684
1138205	32552
1138206	39260
1138207	39000
1138208	33644
1138209	32708
1138210	41340
1138211	40040
1138212	42952
1138213	33176
1138214	32500
1138215	36504
1138216	34788
1138217	25896
1138218	33280
1138219	33280
1138220	32604
1138221	41860
1138222	42900
1138223	40092
1138224	37700
1138225	43316
1138226	41704
1138227	37284
1138228	35204
1138229	40040
1138230	37284
1138231	26260
1138232	45136
1138233	41912
1138234	39260
1138235	45604
1138236	43992
1138237	31616
1138238	48620
1138239	38272
1138301	37024
1138302	38896
1138303	
1138304	31408
1138305	
1138306	34372
1138307	51272
1138308	42068
1138309	36504
1138310	40560
1138311	42588
1138312	39676
1138313	39936
1138314	28496
1138315	35880
1138316	47268
1138317	50232
1138318	39936
1138319	61620
1138320	60424
1138321	52988
1138322	40976
1138323	31980
1138324	34268
1138325	31876
1138326	45500
1138327	43004
1138328	54652
1138329	45292
1138330	33644
1138331	37128
1138332	12948
1138333	50232
1138334	39624
1138335	31980
1138336	
1138337	43836
1138338	43004
1138339	63336
1138340	53612
1138341	59540
1138342	36400
1138343	48984
1138345	57408
1138346	
1138347	40248
1138348	40352
1138349	54496
1138350	54860
1138351	58500
1138401	34320
1138402	35464
1138403	26936
1138404	57564
1138405	
1138406	31460
1138407	36296
1138408	38636
1138409	29900
1138410	38376
1138411	33488
1138412	69732
1138413	
1138414	
1138415	46540
1138417	48100
1138418	38636
1138419	39832
1138420	38168
1138421	52520
1138422	49816
1138423	45812
1138426	
1138428	45552
1138429	42536
1138430	42328
1138431	39364
1138432	49816
1138433	46228
1138434	37492
1138435	35048
1138436	46956
1138437	29900
1138438	51168
1138440	24752
1138441	38064
1138442	35360
1138443	34060
1138444	42900
1138445	41340
1138446	32656
1138447	43108
1138448	47580
1138449	31512
1138450	42120
1138451	50908
1138452	80132
1138453	32864
1138454	33020
1138455	45500
1138456	38428
1138457	53924
1138458	39052
1138501	69368
1138502	62088
1138503	64792
1138504	77012
1138505	66612
1138506	67236
1138507	58968
1138508	70096
1138509	61620
1138510	37180
1138511	50700
1138512	40092
1138513	39052
1138514	53300
1138515	36868
1138516	36400
1138517	60736
1138518	46800
1138519	59644
1138520	50908
1138521	57044
1138522	48568
1138523	57720
1138524	42484
1138525	53404
1138526	49348
1138527	57200
1138528	59748
1138529	61880
1138530	61256
1138531	41808
1138532	45552
1138533	54392
1138534	56680
1138535	59384
1138536	65312
1138537	79196
1138538	46800
1138539	52468
1138540	40768
1138541	47788
1138542	66352
1138543	65208
1138601	20072
1138602	62868
1138603	61204
1138604	60008
1138605	60632
1138606	42432
1138607	53872
1138608	51012
1138609	65832
1138610	37960
1138611	68224
1138612	
1138613	52468
1138614	31304
1138615	43784
1138616	51428
1138617	43264
1138618	44772
1138619	32448
1138620	38584
1138621	37908
1138622	37284
1138623	46072
1138624	25376
1138625	66768
1138626	56368
1138627	67548
1138628	56836
1138629	53508
1138630	28600
1138631	
1138632	46956
1138633	57356
1138634	46124
1138635	36764
1138636	44356
1138637	36556
1138638	42068
1138639	60736
1138640	73736
1138641	58500
1138642	36920
1138643	53612
1138644	46020
1138645	59956
1138646	37544
1138647	48152
1138648	45760
1138649	51324
1138650	43212
1138701	75036
1138702	73112
1138703	105612
1138704	68068
1138705	104832
1138706	74568
1138707	72956
1138708	78208
1138709	61360
1138710	64376
1138711	85124
1138712	85540
1138713	63544
1138714	34528
1138715	64636
1138716	30576
1138717	74048
1138718	75244
1138719	75608
1138720	75088
1138721	79560
1138722	76232
1138723	65832
1138724	
1138725	81068
1138726	80860
1138727	70772
1138728	56316
1138729	83252
1138730	
1138731	74932
1138732	81016
1138733	60164
1138734	78312
1138735	70252
1138736	70928
1138737	73216
1138738	
1138739	67964
1138740	73944
1138741	35412
1138742	59280
1138801	54080
1138802	62660
1138803	53664
1138804	48724
1138805	54756
1138806	47424
1138807	54652
1138808	62816
1138809	58240
1138810	65416
1138811	56264
1138812	54080
1138813	65364
1138814	71760
1138815	46072
1138816	66040
1138817	45760
1138818	58188
1138819	63700
1138820	60424
1138821	44876
1138822	54392
1138823	54652
1138824	52520
1138825	54288
1138826	54652
1138827	69784
1138828	66404
1138829	49712
1138830	67808
1138831	62972
1138832	61724
1138833	50440
1138834	48516
1138835	54340
1138836	75816
1138837	44096
1138838	46592
1138839	67184
1138840	71812
1138841	61880
1138842	71292
1138843	55224
1138844	55120
1138845	72540
1138846	65208
1138847	54756
1138848	69420
1138849	74828
1138850	62556
1138851	66196
1138852	67548
1138853	57200
1138854	58760
1138855	62868
1138901	27924
1138902	56420
1138903	73216
1138904	79976
1138905	
1138906	79196
1138907	70148
1138908	79092
1138909	
1138910	24232
1138911	53612
1138912	57564
1138913	54080
1138914	22100
1138915	63492
1138916	73684
1138917	74360
1138918	75712
1138919	71084
1138920	66352
1138921	66976
1138922	58500
1138923	87880
1138924	87984
1138925	78832
1138926	71864
1138927	69108
1138928	91208
1138929	69316
1138930	65208
1139001	47684
1139002	29900
1139003	23400
1139004	42484
1139005	44252
1139006	41236
1139007	33332
1139008	46904
1139009	34528
1139010	39312
1139011	34580
1139012	35776
1139013	39156
1139014	36140
1139015	28184
1139016	32344
1139017	29224
1139018	40404
1139019	40716
1139020	39936
1139021	40820
1139022	32552
1139023	34008
1139024	36452
1139025	33852
1139026	35464
1139027	37076
1139028	32864
1139029	37700
1139030	34008
1139031	30680
1139032	47216
1139033	28652
1139034	24076
1139035	34528
1139036	44772
1139037	39208
1139038	40248
1139039	41236
1139040	32812
1139041	35984
1139042	34632
1139043	37284
1139044	41912
1139045	31876
1139046	37128
1139047	33228
1139048	37960
1139049	29900
1139050	27040
1139051	26312
1139052	30108
1139053	52624
1139101	32084
1139102	31720
1139103	29224
1139104	25168
1139105	24024
1139106	24648
1139107	21840
1139108	23036
1139109	21684
1139110	38428
1139111	32500
1139112	34112
1139113	26364
1139114	25896
1139115	33592
1139116	25896
1139117	18928
1139118	29588
1139119	27768
1139120	26624
1139121	36244
1139122	31408
1139124	23400
1139125	26260
1139127	36556
1139128	37180
1139130	14144
1139132	22412
1139133	28340
1139134	42172
1139135	41756
1139136	23244
1139137	27716
1139138	34008
1139139	25584
1139140	30732
1139141	34112
1139142	32760
1139143	24752
1139144	35620
1139145	36868
1139146	50076
1139147	38740
1139148	15340
1139149	34268
1139150	24700
1139151	24804
1139152	20488
1139153	25688
1139154	32968
1139155	24336
1139156	25272
1139157	39520
1139158	23816
1139201	36348
1139202	33540
1139203	24128
1139204	35360
1139205	40716
1139206	28340
1139207	48776
1139208	43316
1139209	
1139210	43004
1139211	34164
1139212	39572
1139213	40508
1139214	38324
1139215	41964
1139216	44876
1139217	32760
1139218	42692
1139219	31148
1139220	41756
1139221	42224
1139222	43524
1139223	39416
1139224	35880
1139225	35932
1139226	37700
1139301	36816
1139302	34528
1139303	32968
1139304	38324
1139305	41080
1139306	24856
1139307	37076
1139308	24752
1139309	37700
1139310	30472
1139311	39416
1139312	36088
1139313	39000
1139314	33644
1139315	34372
1139316	37700
1139317	34788
1139318	36972
1139319	36036
1139320	32656
1139321	35308
1139322	24232
1139323	35360
1139324	34268
1139325	38688
1139326	41132
1139327	32968
1139328	30524
1139329	35880
1139330	31148
1139331	36764
1139332	35672
1139333	26156
1139334	35880
1139335	38168
1139336	42692
1139337	25116
1139338	42744
1139339	30056
1139340	25844
1139401	67392
1139402	44460
1139403	39364
1139404	40300
1139405	43420
1139406	49972
1139407	42380
1139408	27924
1139409	32344
1139410	46800
1139411	64324
1139412	63492
1139413	49712
1139414	46384
1139415	40352
1139416	48776
1139417	49244
1139418	50388
1139419	59800
1139420	52312
1139421	50024
1139422	43212
1139423	40508
1139424	33020
1139425	48672
1139426	34840
1139427	46020
1139428	40456
1139429	37440
1139430	43264
1139431	56784
1139432	47216
1139433	53248
1139434	45968
1139435	52156
1139436	49036
1139437	52416
1139438	54964
1139439	49660
1139501	52676
1139502	51428
1139503	49036
1139504	57720
1139505	40456
1139506	45240
1139507	36868
1139508	35828
1139509	52104
1139510	43992
1139511	57824
1139512	50908
1139513	50856
1139514	49244
1139515	46072
1139516	56628
1139517	56940
1139518	59020
1139519	45448
1139520	52728
1139521	48828
1139522	48152
1139523	54496
1139524	47840
1139525	42224
1139526	37908
1139527	40300
1139528	38948
