SA1_7DIGITCODE_2016	medianTotalPersonalIncome
1102910	36036
1102911	38584
1102912	37544
1102913	36868
1102914	43420
1102915	36660
1102916	34320
1102917	32396
1102918	38844
1102919	24076
1102920	
1102921	
1102922	33072
1102923	37492
1102924	37804
1102925	32136
1102926	34632
1102927	35048
1102928	23972
1103002	36608
1103003	34060
1103004	38740
1103005	34008
1103006	39520
1103007	36400
1103008	32136
1103009	28236
1103010	38584
1103011	29328
1103012	43420
1103013	23348
1103014	32916
1103101	33904
1103102	31720
1103103	24544
1103104	24856
1103105	34164
1103106	29484
1103107	29900
1103108	37128
1103109	35100
1103110	27560
1103111	30732
1103112	45500
1103113	41028
1103114	43888
1103115	43836
1103116	33644
1103117	35412
1103118	48516
1103119	35308
1103120	36764
1103121	34528
1103122	35308
1103123	24648
1103124	37908
1103125	28028
1103126	23868
1103127	33280
1103128	24596
1103129	34788
1103130	35048
1103131	27352
1103132	
1103133	36608
1103134	33644
1103135	32656
1103136	34424
1103137	24440
1103138	35152
1103201	31512
1103202	27560
1103203	42224
1103204	34996
1103205	35568
1103206	36244
1103207	38948
1103208	44252
1103210	36192
1103211	32188
1103212	33176
1103213	42016
1103214	35672
1103215	32604
1103216	34216
1103217	36972
1103218	40092
1103219	49920
1103220	39052
1103221	39832
1103223	58500
1103224	38532
1103225	38376
1103226	39988
1103227	23088
1103228	28340
1103229	29952
1103230	27976
1103231	33592
1103232	25376
1103233	33436
1103234	36556
1103235	27924
1103236	27820
1103237	34372
1103238	55900
1103239	35620
1103240	25168
1103241	35880
1103242	30056
1103243	40560
1103244	24596
1103245	30992
1103246	37700
1103247	38896
1103248	34424
1103301	35724
1103302	36140
1103303	40768
1103304	37700
1103305	36088
1103306	37700
1103307	31044
1103308	34632
1103309	
1103310	39728
1103311	32188
1103312	40352
1103313	39520
1103314	38740
1103315	40924
1103316	
1103317	32708
1103318	37336
1103319	35724
1103320	72748
1103401	31824
1103402	31200
1103403	27872
1103404	34684
1103405	31356
1103406	36504
1103407	39624
1103408	42588
1103409	38532
1103410	33904
1103411	39416
1103412	35464
1103413	35828
1103414	26936
1103415	23296
1103416	29536
1103417	27040
1103418	22776
1103419	34944
1103501	34632
1103502	29900
1103503	37440
1103504	37284
1103505	33228
1103506	38532
1103507	30368
1103508	38688
1103509	37388
1103510	35880
1103511	35620
1103512	32448
1103513	34476
1103514	30680
1103515	27560
1103516	27248
1103517	42900
1103601	43160
1103602	48256
1103603	37700
1103604	33280
1103605	37388
1103606	36764
1103607	37440
1103608	25844
1103609	39104
1103610	30420
1103611	36244
1103612	26312
1103613	31512
1103614	33644
1103615	38116
1103616	36452
1103617	37232
1103618	42016
1103619	33956
1103620	31720
1103621	38376
1103622	32916
1103701	28392
1103702	34476
1103703	31824
1103704	32344
1103705	38272
1103706	32500
1103707	35568
1103708	34528
1103709	36296
1103710	36400
1103711	30108
1103712	43576
1103713	28392
1103714	36920
1103801	36400
1103802	35776
1103803	31980
1103804	34060
1103805	42640
1103806	33488
1103807	32552
1103808	24544
1103809	37076
1103810	38012
1103811	34684
1103812	37856
1103813	35776
1103814	33072
1103815	36504
1103816	40872
1103817	32032
1103901	46800
1103902	37700
1103903	37492
1103904	33644
1103905	32968
1103906	37544
1103908	43940
1103909	41236
1103911	41704
1103912	38012
1103913	39104
1103914	37700
1103915	45604
1103916	38012
1103917	41236
1103918	35412
1103919	23764
1103920	44252
1103921	50076
1103922	36348
1103923	37440
1103924	22308
1103925	34112
1103926	47996
1103927	40768
1103928	44720
1103929	38740
1103930	38740
1103931	48568
1104001	25740
1104002	24076
1104003	40820
1104004	32240
1104005	29588
1104006	30992
1104007	26728
1104008	
1104009	26520
1104010	23920
1104011	29172
1104012	30420
1104013	30732
1104014	25532
1104015	26156
1104016	35568
1104017	25896
1104018	30264
1104019	30368
1104020	26728
1104021	25636
1104022	24700
1104023	28548
1104024	28028
1104025	29900
1104026	25376
1104027	23868
1104028	30680
1104029	24128
1104030	26728
1104031	28028
1104032	29172
1104033	28184
1104034	30628
1104035	26156
1104036	27924
1104037	26416
1104038	27404
1104039	29536
1104040	31616
1104041	24544
1104042	25532
1104043	29484
1104044	24856
1104045	28340
1104046	27508
1104047	31772
1104048	30524
1104049	32448
1104050	28028
1104051	30888
1104052	31304
1104053	27144
1104054	36712
1104055	34684
1104056	34424
1104057	34788
1104058	32448
1104101	34060
1104102	39676
1104103	48516
1104104	38272
1104105	37700
1104106	36816
1104107	41964
1104108	
1104109	46332
1104110	43992
1104111	40248
1104112	43056
1104113	40300
1104114	45812
1104115	52208
1104116	41184
1104117	40924
1104118	
1104119	38792
1104120	44564
1104121	26884
1104122	34112
1104123	36712
1104124	37284
1104125	43004
1104201	24180
1104202	25792
1104203	26260
1104204	23504
1104205	25064
1104206	
1104207	38064
1104208	24856
1104209	30836
1104210	37700
1104211	40612
1104212	
1104213	27924
1104214	38740
1104215	24700
1104216	31720
1104217	26312
1104218	31252
1104219	27768
1104220	23816
1104221	30368
1104222	32656
1104223	23504
1104224	28860
1104225	29588
1104226	31460
1104227	30212
1104228	27924
1104229	26104
1104230	25116
1104231	24440
1104232	24076
1104233	26104
1104301	27144
1104302	30940
1104303	26364
1104304	34736
1104305	31720
1104306	90948
1104307	35724
1104308	29692
1104309	34164
1104310	39052
1104311	36816
1104312	23608
1104313	19448
1104314	20592
1104315	29120
1104316	28080
1104317	29016
1104318	27768
1104319	37440
1104320	31252
1104321	37856
1104322	35204
1104323	33488
1104324	35620
1104325	36088
1104326	36920
1104327	36920
1104328	34476
1104329	38896
1104330	34008
1104401	28548
1104402	32864
1104403	26208
1104404	31876
1104405	35100
1104406	28808
1104407	28912
1104408	30992
1104409	26208
1104410	24336
1104411	23816
1104412	37856
1104413	
1104414	33904
1104415	36452
1104416	30888
1104417	30420
1104418	
1104419	35308
1104420	25844
1104421	25792
1104422	32864
1104423	40352
1104424	29900
1104425	31668
1104426	35412
1104427	32916
1104428	27456
1104429	29276
1104430	28444
1104431	30160
1104432	31252
1104433	30472
1104434	30576
1104435	36920
1104436	33904
1104437	28808
1104438	42276
1104439	33592
1104440	23400
1104441	26104
1104442	34528
1104443	34060
1104444	27092
1104445	23088
1104446	22776
1104447	24804
1104448	29120
1104449	26884
1104450	36816
1104451	34060
1104452	33124
1104453	32344
1104454	36400
1104455	31720
1104456	33488
1104457	35880
1104458	32604
1104459	37492
1104501	30576
1104502	32136
1104503	29224
1104504	27508
1104505	25168
1104506	29224
1104507	26780
1104508	25220
1104509	28288
1104510	25532
1104511	29900
1104512	28132
1104513	30420
1104514	33176
1104515	28548
1104516	26728
1104517	31824
1104518	31772
1104519	26312
1104520	
1104521	28548
1104522	30160
1104523	29276
1104524	28236
1104601	27248
1104602	26728
1104603	30264
1104604	28600
1104605	24076
1104606	34372
1104607	30888
1104608	25792
1104609	27560
1104610	23660
1104611	23972
1104612	25324
1104613	
1104614	26520
1104615	30264
1104616	28444
1104617	25324
1104618	33436
1104619	26520
1104620	25168
1104621	28964
1104622	25220
1104623	22516
1104624	33020
1104625	22776
1104701	36036
1104702	36192
1104703	36140
1104704	34372
1104705	35776
1104706	37440
1104707	35360
1104708	37128
1104709	36452
1104710	22984
1104711	24336
1104712	42016
1104713	28288
1104714	49348
1104715	34736
1104716	35048
1104717	36140
1104718	32812
1104719	36452
1104720	36400
1104721	42536
1104722	36920
1104723	38532
1104724	34996
1104725	32916
1104726	35152
1104727	33956
1104728	34268
1104729	35412
1104730	36296
1104731	33020
1104732	30576
1104733	29900
1104734	28392
1104735	33280
1104736	34320
1104737	31824
1104801	27092
1104802	33280
1104803	33436
1104804	30108
1104805	30888
1104806	31356
1104807	31772
1104808	26884
1104809	28860
1104810	25844
1104811	28548
1104812	30628
1104813	30836
1104814	25168
1104815	24752
1104816	26052
1104817	24908
1104818	26988
1104819	29120
1104820	25480
1104821	23452
1104822	29172
1104823	28652
1104824	27872
1104825	28184
1104826	24960
1104827	28184
1104828	29016
1104829	24700
1104830	23972
1104831	31720
1104832	28600
1104833	24908
1104834	25376
1104835	25428
1104836	25896
1104837	26780
1104838	34112
1104840	30056
1104841	30264
1104842	25428
1104843	28964
1104844	26728
1104845	24856
1104846	23556
1104847	29328
1104848	32344
1104849	17264
1104901	36452
1104902	39728
1104903	40716
1104904	29380
1104905	40560
1104906	35932
1104907	39832
1104908	34164
1104909	
1104910	28600
1105001	33540
1105002	28912
1105003	36036
1105004	37492
1105005	30160
1105006	31668
1105007	34788
1105008	22880
1105009	31668
1105010	31252
1105011	25896
1105012	30524
1105013	26104
1105014	
1105015	30992
1105016	19448
1105017	22360
1105018	28964
1105019	32032
1105020	21268
1105021	20696
1105022	29432
1105024	31928
1105025	26832
1105026	30420
1105027	21684
1105028	22984
1105101	39884
1105102	33072
1105103	31928
1105104	45916
1105105	
1105106	39000
1105107	36400
1105108	39260
1105109	36296
1105110	42640
1105111	34944
1105112	38636
1105113	38064
1105114	41028
1105115	35568
1105116	30108
1105201	25844
1105202	27508
1105203	26884
1105204	33176
1105205	28600
1105206	27716
1105207	25064
1105208	25844
1105209	25324
1105210	26312
1105211	
1105213	33436
1105214	32552
1105215	29432
1105216	30420
1105301	27144
1105302	25896
1105303	26468
1105304	29484
1105305	32292
1105306	34892
1105307	25116
1105308	25896
1105309	31148
1105310	29952
1105311	25792
1105312	35256
1105313	29900
1105314	29276
1105315	35100
1105316	29588
1105317	25688
1105318	30576
1105319	31928
1105320	30992
1105321	31200
1105322	46072
1105323	19916
1105324	34112
1105325	26884
1105326	30160
1105327	25844
1105328	29380
1105329	27248
1105330	30056
1105331	24076
1105332	27248
1105333	27456
1105334	24544
1105335	25636
1105336	33072
1105337	29900
1105401	26364
1105402	24856
1105403	24076
1105404	22776
1105405	31512
1105406	22672
1105407	30108
1105408	31668
1105409	29640
1105410	31720
1105411	34944
1105412	39728
1105413	37492
1105414	33280
1105415	42848
1105416	
1105417	29588
1105418	27248
1105419	24440
1105420	29120
1105421	27976
1105422	34580
1105423	26884
1105424	28808
1105501	28496
1105502	34840
1105503	32136
1105504	35048
1105505	40768
1105506	28392
1105507	38116
1105508	31980
1105509	41288
1105510	34164
1105511	37076
1105512	27456
1105513	34684
1105514	36036
1105601	29172
1105602	42380
1105603	37076
1105604	30316
1105605	33436
1105606	34008
1105607	32396
1105608	32812
1105609	35204
1105612	28184
1105613	33176
1105614	27092
1105615	25428
1105616	19032
1105617	31928
1105618	35984
1105620	31252
1105621	
1105622	33904
1105623	33228
1105624	30524
1105625	34788
1105626	34060
1105627	32240
1105628	41704
1105629	34320
1105630	24232
1105631	37180
1105632	23868
1105633	38220
1105701	36296
1105702	31980
1105703	26104
1105704	28288
1105705	58448
1105706	25064
1105707	25272
1105708	27508
1105709	35412
