SA1_7DIGITCODE_2016	PrivateDwelling	persons
1100701	0	40
1100701	1	214
1100702	0	40
1100702	1	315
1100703	0	30
1100703	1	389
1100704	0	81
1100704	1	362
1100705	0	25
1100705	1	365
1100706	0	15
1100706	1	221
1100707	0	49
1100707	1	299
1100708	0	41
1100708	1	401
1100709	0	55
1100709	1	306
1100710	0	107
1100710	1	419
1100801	0	11
1100801	1	364
1100802	0	13
1100802	1	510
1100803	0	17
1100803	1	349
1100804	0	51
1100804	1	360
1100805	0	8
1100805	1	246
1100806	0	13
1100806	1	367
1100807	0	31
1100807	1	392
1100808	0	19
1100808	1	496
1100810	1	281
1100811	0	9
1100811	1	329
1100812	0	23
1100812	1	239
1100813	0	16
1100813	1	418
1100814	1	458
1100815	0	91
1100815	1	432
1100816	0	20
1100816	1	407
1100817	0	7
1100817	1	260
1100818	0	11
1100818	1	266
1100819	0	5
1100819	1	456
1100820	0	15
1100820	1	274
1100821	0	23
1100821	1	444
1100822	0	4
1100822	1	220
1100823	0	13
1100823	1	199
1100901	0	6
1100901	1	225
1100902	0	11
1100902	1	321
1100904	0	8
1100904	1	336
1100905	0	15
1100905	1	393
1100907	0	22
1100907	1	443
1100908	0	49
1100908	1	458
1100909	0	64
1100909	1	511
1100910	0	61
1100910	1	434
1100911	0	12
1100911	1	393
1100912	0	13
1100912	1	278
1100913	0	23
1100913	1	585
1100914	0	35
1100914	1	385
1100915	0	58
1100915	1	670
1100916	0	46
1100916	1	424
1100917	0	33
1100917	1	182
1100918	0	66
1100918	1	444
1100919	0	206
1100919	1	410
1100920	0	146
1100920	1	254
1100921	0	32
1100921	1	391
1100923	0	13
1100923	1	424
1100924	0	7
1100924	1	8
1100925	0	77
1100925	1	381
1100926	0	58
1100926	1	230
1100927	0	12
1100927	1	279
1100928	0	32
1100928	1	331
1100929	0	152
1100929	1	392
1101001	0	15
1101001	1	131
1101002	0	5
1101002	1	339
1101003	0	20
1101003	1	296
1101004	0	12
1101004	1	285
1101006	0	165
1101006	1	381
1101007	0	56
1101007	1	240
1101008	0	61
1101008	1	428
1101009	0	21
1101009	1	345
1101010	0	11
1101010	1	392
1101011	0	16
1101011	1	22
1101012	0	4
1101012	1	87
1101014	1	152
1101015	0	35
1101015	1	556
1101016	1	407
1101017	0	5
1101017	1	345
1101101	0	24
1101101	1	577
1101102	0	23
1101102	1	207
1101103	0	25
1101103	1	275
1101104	0	1081
1101104	1	299
1101105	0	32
1101105	1	461
1101106	0	35
1101106	1	335
1101107	0	36
1101107	1	305
1101108	0	28
1101108	1	415
1101109	0	45
1101109	1	280
1101110	0	18
1101110	1	154
1101111	0	32
1101111	1	405
1101112	0	11
1101112	1	199
1101113	0	28
1101113	1	116
1101115	0	19
1101115	1	359
1101116	0	67
1101116	1	250
1101117	0	41
1101117	1	244
1101118	0	51
1101118	1	366
1101119	0	13
1101119	1	288
1101120	0	35
1101120	1	454
1101122	0	21
1101122	1	273
1101123	0	14
1101123	1	192
1101125	0	19
1101125	1	530
1101126	0	49
1101126	1	402
1101127	0	29
1101127	1	310
1101128	0	30
1101128	1	215
1101129	0	19
1101129	1	373
1101130	0	56
1101130	1	559
1101131	0	16
1101131	1	199
1101132	0	26
1101132	1	239
1101133	0	25
1101133	1	300
1101134	0	10
1101134	1	253
1101135	0	16
1101135	1	324
1101136	0	3
1101136	1	305
1101137	0	42
1101137	1	304
1101139	0	29
1101139	1	205
1101140	0	14
1101140	1	330
1101141	0	34
1101141	1	502
1101142	0	18
1101142	1	283
1101143	0	10
1101143	1	250
1101144	0	6
1101144	1	242
1101145	0	12
1101145	1	459
1101146	0	26
1101146	1	262
1101147	0	28
1101147	1	359
1101148	0	19
1101148	1	275
1101149	0	26
1101149	1	298
1101150	0	38
1101150	1	332
1101151	1	128
1101152	0	13
1101152	1	457
1101201	0	3
1101201	1	200
1101202	0	6
1101202	1	261
1101203	0	4
1101203	1	559
1101204	0	7
1101204	1	351
1101205	1	302
1101206	1	372
1101207	1	223
1101208	0	30
1101208	1	394
1101209	0	21
1101209	1	730
1101210	0	8
1101210	1	430
1101211	0	21
1101211	1	595
1101212	0	5
1101212	1	314
1101213	0	8
1101213	1	502
1101214	1	512
1101215	0	16
1101215	1	432
1101216	0	10
1101216	1	301
1101217	0	3
1101217	1	29
1101218	0	10
1101218	1	468
1101219	0	52
1101219	1	526
1101220	0	23
1101220	1	450
1101221	0	18
1101221	1	295
1101222	1	536
1101223	0	31
1101223	1	524
1101224	0	3
1101224	1	511
1101227	1	410
1101228	0	8
1101228	1	384
1101229	0	25
1101229	1	408
1101230	0	24
1101230	1	213
1101231	0	10
1101231	1	302
1101232	0	7
1101232	1	450
1101301	0	29
1101301	1	244
1101302	0	86
1101302	1	399
1101303	0	20
1101303	1	273
1101304	0	18
1101304	1	390
1101305	0	26
1101305	1	221
1101306	0	14
1101306	1	115
1101307	0	20
1101307	1	292
1101308	0	16
1101308	1	178
1101401	0	61
1101401	1	204
1101402	0	42
1101402	1	339
1101403	0	29
1101403	1	353
1101404	0	44
1101404	1	420
1101405	0	31
1101405	1	360
1101406	0	16
1101406	1	462
1101407	0	15
1101407	1	413
1101408	0	13
1101408	1	203
1101409	0	75
1101409	1	315
1101410	0	34
1101410	1	343
1101411	0	215
1101411	1	332
1101412	0	33
1101412	1	514
1101413	0	17
1101413	1	293
1101414	0	8
1101414	1	162
1101415	0	31
1101415	1	418
1101417	0	3
1101417	1	20
1101418	0	10
1101418	1	317
1101419	0	7
1101419	1	440
1101502	0	30
1101502	1	6
1101503	0	11
1101503	1	214
1101505	0	8
1101505	1	72
1101511	0	82
1101511	1	196
1101512	0	20
1101512	1	129
1101514	0	4
1101514	1	157
1101515	0	45
1101515	1	202
1101516	0	21
1101516	1	129
