SA1_7DIGITCODE_2016	PrivateDwelling	persons
1101517	0	27
1101517	1	141
1101518	0	27
1101518	1	276
1101519	0	22
1101519	1	292
1101520	0	22
1101520	1	135
1101521	0	20
1101521	1	297
1101522	0	38
1101522	1	302
1101523	0	31
1101523	1	179
1101524	0	242
1101524	1	181
1101601	0	2112
1101601	1	16
1101602	0	161
1101602	1	400
1101603	0	34
1101603	1	263
1101604	0	27
1101604	1	196
1101605	0	714
1101605	1	183
1101606	0	122
1101606	1	443
1101607	0	48
1101607	1	194
1101608	0	35
1101608	1	289
1101609	0	1121
1101609	1	206
1101610	0	108
1101610	1	735
1101611	0	3629
1101611	1	229
1101612	0	1865
1101612	1	9
1101613	0	37
1101613	1	219
1101614	0	743
1101614	1	347
1101615	0	264
1101615	1	341
1101616	0	629
1101616	1	405
1101617	0	360
1101617	1	416
1101618	0	327
1101618	1	567
1101619	0	47
1101619	1	487
1101620	0	813
1101620	1	151
1101701	0	112
1101701	1	488
1101702	0	5
1101702	1	236
1101703	0	54
1101703	1	328
1101704	0	79
1101704	1	368
1101705	0	37
1101705	1	202
1101706	0	207
1101706	1	371
1101707	1	3
1101708	0	26
1101708	1	314
1101709	0	67
1101709	1	598
1101710	0	15
1101710	1	448
1101711	0	32
1101711	1	266
1101712	0	21
1101712	1	490
1101713	0	14
1101713	1	364
1101716	0	29
1101716	1	414
1101717	0	66
1101717	1	231
1101718	0	77
1101718	1	321
1101719	0	15
1101719	1	346
1101720	0	8
1101720	1	224
1101721	0	24
1101721	1	335
1101722	0	21
1101722	1	438
1101801	0	24
1101801	1	275
1101802	0	19
1101802	1	263
1101803	0	15
1101803	1	343
1101804	0	22
1101804	1	149
1101805	0	27
1101805	1	246
1101806	0	32
1101806	1	409
1101807	0	25
1101807	1	406
1101808	0	49
1101808	1	449
1101809	0	148
1101809	1	172
1101810	0	20
1101810	1	268
1101811	1	319
1101812	0	41
1101812	1	381
1101813	0	39
1101813	1	234
1101814	0	23
1101814	1	215
1101815	0	36
1101815	1	259
1101816	0	40
1101816	1	342
1101817	0	35
1101817	1	577
1101818	0	3
1101818	1	484
1101819	0	5
1101819	1	386
1101820	0	11
1101820	1	270
1101821	0	9
1101821	1	175
1101822	0	132
1101822	1	310
1101823	0	115
1101823	1	385
1101901	0	100
1101901	1	359
1101902	0	52
1101902	1	384
1101903	0	33
1101903	1	234
1101904	0	59
1101904	1	385
1101905	0	37
1101905	1	361
1101906	0	59
1101906	1	418
1101907	0	12
1101907	1	301
1101909	0	13
1101909	1	276
1101911	0	23
1101911	1	368
1101912	0	22
1101912	1	355
1101913	0	86
1101913	1	368
1101914	0	57
1101914	1	609
1101915	0	21
1101915	1	178
1101916	0	43
1101916	1	435
1101917	0	86
1101917	1	665
1101918	0	3
1101918	1	266
1101919	0	26
1101919	1	230
1101920	0	15
1101920	1	275
1101921	0	15
1101921	1	258
1101922	0	77
1101922	1	268
1101923	0	35
1101923	1	446
1102001	0	26
1102001	1	383
1102002	0	24
1102002	1	480
1102003	0	22
1102003	1	362
1102004	0	33
1102004	1	282
1102005	0	33
1102005	1	251
1102006	0	22
1102006	1	303
1102007	0	13
1102007	1	328
1102008	0	24
1102008	1	314
1102009	0	3
1102009	1	9
1102011	0	19
1102011	1	318
1102013	1	148
1102014	0	15
1102014	1	209
1102015	0	17
1102015	1	167
1102016	0	6
1102016	1	243
1102017	0	17
1102017	1	215
1102018	0	35
1102018	1	366
1102019	0	26
1102019	1	254
1102020	0	42
1102020	1	447
1102022	0	20
1102022	1	295
1102023	0	19
1102023	1	281
1102024	0	20
1102024	1	228
1102025	0	36
1102025	1	317
1102026	0	5
1102026	1	186
1102027	0	22
1102027	1	201
1102028	0	15
1102028	1	375
1102029	0	8
1102029	1	289
1102030	0	35
1102030	1	344
1102031	0	4
1102031	1	131
1102032	0	33
1102032	1	178
1102101	0	10
1102101	1	360
1102102	0	25
1102102	1	182
1102104	0	113
1102104	1	510
1102105	0	38
1102105	1	384
1102106	0	193
1102106	1	472
1102107	0	25
1102107	1	506
1102108	0	20
1102108	1	383
1102109	0	9
1102109	1	38
1102201	0	3
1102201	1	18
1102301	0	27
1102301	1	336
1102302	0	29
1102302	1	341
1102303	0	22
1102303	1	282
1102304	0	53
1102304	1	132
1102305	0	45
1102305	1	436
1102306	0	101
1102306	1	248
1102307	0	33
1102307	1	250
1102308	0	48
1102308	1	489
1102309	0	64
1102309	1	247
1102310	0	3
1102310	1	4
1102401	0	57
1102401	1	237
1102402	0	36
1102402	1	262
1102403	0	12
1102403	1	240
1102404	0	26
1102404	1	382
1102405	0	24
1102405	1	231
1102406	0	6
1102406	1	229
1102407	0	7
1102407	1	261
1102408	0	14
1102408	1	285
1102409	0	38
1102409	1	227
1102410	0	10
1102410	1	202
1102411	0	20
1102411	1	190
1102412	0	67
1102412	1	279
1102502	0	70
1102502	1	285
1102503	0	130
1102503	1	217
1102504	0	103
1102504	1	254
1102505	0	77
1102505	1	193
1102506	0	33
1102506	1	289
1102507	0	19
1102507	1	195
1102508	0	21
1102508	1	512
1102509	0	32
1102509	1	119
1102510	0	25
1102510	1	306
1102511	0	17
1102511	1	360
1102512	0	36
1102512	1	481
1102513	0	24
1102513	1	416
1102514	0	19
1102514	1	215
1102516	0	10
1102516	1	288
1102517	0	50
1102517	1	295
1102518	0	13
1102518	1	487
1102519	0	35
1102519	1	193
1102520	0	47
1102520	1	468
1102521	0	385
1102521	1	240
1102522	0	19
1102522	1	302
1102523	0	7
1102523	1	167
1102524	0	14
1102524	1	231
1102525	0	40
1102525	1	413
1102526	0	17
1102526	1	475
1102527	0	27
1102527	1	379
1102528	0	108
1102528	1	585
1102529	0	16
1102529	1	325
1102530	0	16
1102530	1	314
1102532	0	97
1102532	1	311
1102601	0	12
1102601	1	453
1102602	0	20
1102602	1	552
1102603	0	25
1102603	1	295
1102604	0	15
1102604	1	297
1102605	0	33
1102605	1	486
1102606	0	26
1102606	1	254
1102607	0	23
1102607	1	382
1102608	0	65
1102608	1	318
1102609	0	10
1102609	1	385
1102610	0	15
1102610	1	211
1102611	0	10
1102611	1	224
1102612	0	18
1102612	1	208
1102613	0	20
1102613	1	258
1102614	0	38
1102614	1	534
1102615	0	15
1102615	1	348
1102616	0	10
1102616	1	183
1102617	0	34
1102617	1	208
1102618	0	15
1102618	1	266
1102619	0	28
1102619	1	335
1102620	0	24
1102620	1	300
1102621	0	27
1102621	1	280
1102622	0	16
1102622	1	228
1102623	0	27
1102623	1	251
1102701	0	15
1102701	1	222
1102702	0	36
1102702	1	295
1102703	0	6
1102703	1	153
1102704	0	42
1102704	1	233
1102705	0	139
1102705	1	341
1102706	0	88
1102706	1	413
1102707	0	34
1102707	1	480
1102708	0	133
1102708	1	237
1102709	0	31
1102709	1	507
1102710	0	23
1102710	1	189
1102712	0	56
1102712	1	365
1102713	0	37
1102713	1	361
1102714	1	4
1102715	1	21
1102717	0	24
1102717	1	237
1102718	0	68
1102718	1	265
1102719	0	43
1102719	1	331
1102720	0	9
1102720	1	263
1102721	0	42
1102721	1	536
1102722	0	43
1102722	1	64
1102723	0	26
1102723	1	226
1102724	0	39
1102724	1	377
1102725	0	19
1102725	1	273
1102726	0	7
1102726	1	197
1102727	0	22
1102727	1	366
1102728	0	80
1102728	1	287
1102729	0	26
1102729	1	555
1102802	0	35
1102802	1	578
1102803	0	66
1102803	1	515
1102804	0	8
1102804	1	223
1102805	0	15
1102805	1	295
1102806	0	49
1102806	1	498
1102807	0	18
1102807	1	390
1102808	0	16
1102808	1	373
1102809	0	17
1102809	1	625
1102810	0	11
1102810	1	443
1102811	0	16
1102811	1	404
1102812	0	19
1102812	1	392
1102813	0	27
1102813	1	323
1102814	0	19
1102814	1	384
1102815	0	16
1102815	1	359
1102816	0	5
1102816	1	242
1102817	0	12
1102817	1	356
1102818	0	19
1102818	1	384
1102901	0	9
1102901	1	294
1102902	0	12
1102902	1	261
1102903	0	14
1102903	1	438
1102904	0	17
1102904	1	512
1102905	0	12
1102905	1	363
1102906	0	15
1102906	1	200
1102907	0	18
1102907	1	284
1102908	0	8
1102908	1	378
1102909	0	8
1102909	1	365
1102910	0	12
1102910	1	460
1102911	0	57
1102911	1	404
1102912	0	7
1102912	1	411
1102913	0	4
1102913	1	307
1102914	0	5
1102914	1	276
1102915	1	495
1102916	0	9
1102916	1	374
1102917	0	8
1102917	1	233
1102918	0	11
1102918	1	364
1102919	0	19
1102919	1	351
1102920	0	3
1102920	1	7
1102922	0	5
1102922	1	509
1102923	0	10
1102923	1	350
1102924	0	5
1102924	1	475
1102925	0	28
1102925	1	528
1102926	0	13
1102926	1	301
1102927	0	53
1102927	1	516
1102928	0	51
1102928	1	657
1103002	0	61
1103002	1	525
1103003	0	39
1103003	1	212
1103004	0	35
1103004	1	343
1103005	0	17
1103005	1	251
1103006	0	18
1103006	1	350
1103007	0	28
1103007	1	364
1103008	0	6
1103008	1	215
1103009	0	77
1103009	1	341
1103010	0	41
1103010	1	351
1103011	0	156
1103011	1	428
1103012	0	8
1103012	1	387
1103013	0	16
1103013	1	9
1103014	0	20
1103014	1	411
1103101	0	3
1103101	1	329
1103102	0	109
1103102	1	201
1103103	0	14
1103103	1	338
1103104	0	16
1103104	1	459
1103105	0	7
1103105	1	462
1103106	0	17
1103106	1	234
1103107	1	33
1103108	1	245
1103109	1	254
1103110	0	20
1103110	1	423
1103111	0	4
1103111	1	349
1103112	1	151
1103113	0	18
1103113	1	429
1103114	0	25
1103114	1	438
1103115	0	6
1103115	1	489
1103116	0	77
1103116	1	425
1103117	0	4
1103117	1	323
1103118	0	8
1103118	1	342
1103119	0	16
1103119	1	388
1103120	1	394
1103121	0	3
1103121	1	273
1103122	0	12
1103122	1	394
1103123	0	40
1103123	1	362
1103124	0	6
1103124	1	313
1103125	0	13
1103125	1	220
1103126	0	19
1103126	1	378
1103127	0	13
1103127	1	334
1103128	0	255
1103128	1	147
1103129	1	527
1103130	0	7
1103130	1	305
1103131	0	94
1103131	1	555
1103133	0	13
1103133	1	392
1103134	0	7
1103134	1	414
1103135	0	13
1103135	1	388
1103136	0	16
1103136	1	392
1103137	0	138
1103137	1	77
1103138	0	13
1103138	1	517
1103201	0	6
1103201	1	389
1103202	0	39
1103202	1	455
1103203	0	3
1103203	1	710
1103204	0	128
1103204	1	594
1103205	0	10
1103205	1	227
1103206	0	52
1103206	1	27
1103207	0	16
1103207	1	273
1103208	0	44
1103208	1	411
1103210	0	35
1103210	1	161
1103211	0	17
1103211	1	552
1103212	0	19
1103212	1	454
1103213	0	14
1103213	1	77
1103214	0	9
1103214	1	580
1103215	0	79
1103215	1	203
1103216	0	12
1103216	1	292
1103217	1	162
1103218	0	5
1103218	1	426
1103219	0	15
1103219	1	348
1103220	0	36
1103220	1	301
1103221	0	10
1103221	1	269
1103223	1	8
1103224	0	101
1103224	1	367
1103225	0	5
1103225	1	228
1103226	0	15
1103226	1	209
1103227	0	56
1103227	1	506
1103228	0	31
1103228	1	657
1103229	0	36
1103229	1	403
1103230	0	26
1103230	1	509
1103231	0	24
1103231	1	459
1103232	0	10
1103232	1	450
1103233	0	8
1103233	1	340
1103234	0	31
1103234	1	703
1103235	0	11
1103235	1	343
1103236	0	429
1103236	1	344
1103237	0	18
1103237	1	306
1103238	0	11
1103238	1	322
1103239	0	29
1103239	1	555
1103240	0	61
1103240	1	320
1103241	0	47
1103241	1	360
1103242	0	44
1103242	1	568
1103243	0	36
1103243	1	456
1103244	0	115
1103244	1	515
1103245	0	35
1103245	1	280
1103246	0	12
1103246	1	331
1103247	0	25
1103247	1	385
1103248	0	40
1103248	1	344
1103301	0	3
1103301	1	215
1103302	0	17
1103302	1	472
1103303	0	7
1103303	1	377
1103304	0	12
1103304	1	319
1103305	0	3
1103305	1	300
1103306	0	9
1103306	1	252
1103307	0	3
1103307	1	196
1103308	0	12
1103308	1	403
1103309	0	192
1103309	1	33
1103310	0	21
1103310	1	318
1103311	0	17
1103311	1	353
1103312	0	10
1103312	1	289
1103313	0	3
1103313	1	291
1103314	0	9
1103314	1	329
1103315	0	28
1103315	1	746
1103317	0	12
1103317	1	500
1103318	0	9
1103318	1	195
1103319	0	3
1103319	1	364
1103320	1	3
1103401	0	7
1103401	1	386
1103402	0	5
1103402	1	313
1103403	0	22
1103403	1	582
1103404	0	3
1103404	1	262
1103405	0	20
1103405	1	368
1103406	0	3
1103406	1	149
1103407	0	3
1103407	1	291
1103408	0	26
1103408	1	296
1103409	0	10
1103409	1	305
1103410	0	4
1103410	1	386
1103411	0	6
1103411	1	467
1103412	0	17
1103412	1	501
1103413	1	362
1103414	0	15
1103414	1	386
1103415	0	3
1103415	1	185
1103416	0	5
1103416	1	405
1103417	0	10
1103417	1	397
1103418	0	139
1103418	1	522
1103419	0	3
1103419	1	305
1103501	0	9
1103501	1	611
1103502	0	8
1103502	1	307
1103503	0	26
1103503	1	474
1103504	0	21
1103504	1	428
1103505	0	27
1103505	1	410
1103506	0	17
1103506	1	559
1103507	0	4
1103507	1	303
1103508	0	14
1103508	1	436
1103509	0	4
1103509	1	338
1103510	0	9
1103510	1	448
1103511	0	7
1103511	1	505
1103512	0	5
1103512	1	303
1103513	0	3
1103513	1	297
1103514	1	374
1103515	0	14
1103515	1	251
1103516	0	26
1103516	1	240
1103517	0	9
1103517	1	34
1103601	1	218
1103602	1	228
1103603	0	13
1103603	1	504
1103604	0	5
1103604	1	273
1103605	0	19
1103605	1	377
1103606	0	19
1103606	1	285
1103607	0	5
1103607	1	187
1103608	0	111
1103608	1	383
1103609	1	373
1103610	0	22
1103610	1	495
1103611	0	11
1103611	1	323
1103612	0	11
1103612	1	172
1103613	0	23
1103613	1	343
1103614	0	22
1103614	1	486
1103615	0	9
1103615	1	238
1103616	1	312
1103617	0	20
1103617	1	340
1103618	0	3
1103618	1	252
1103619	0	13
1103619	1	482
1103620	0	8
1103620	1	476
1103621	0	12
1103621	1	530
1103622	1	272
1103701	0	40
1103701	1	610
1103702	0	11
1103702	1	485
1103703	0	11
1103703	1	641
1103704	1	226
1103705	0	15
1103705	1	458
1103706	0	8
1103706	1	361
1103707	0	4
1103707	1	471
1103708	0	8
1103708	1	224
1103709	0	16
1103709	1	620
1103710	0	9
1103710	1	368
1103711	0	11
1103711	1	316
1103712	0	15
1103712	1	260
1103713	0	22
1103713	1	479
1103714	0	13
1103714	1	432
1103801	0	23
1103801	1	413
1103802	0	15
1103802	1	476
1103803	0	13
1103803	1	329
1103804	0	10
1103804	1	480
1103805	0	8
1103805	1	261
1103806	1	250
1103807	0	5
1103807	1	406
1103808	0	18
1103808	1	249
1103809	0	22
1103809	1	530
1103810	0	5
1103810	1	302
1103811	0	10
1103811	1	468
1103812	0	4
1103812	1	343
1103813	0	16
1103813	1	521
1103814	0	23
1103814	1	465
1103815	0	6
1103815	1	298
1103816	0	18
1103816	1	411
1103817	0	10
1103817	1	313
1103901	0	26
1103901	1	619
1103902	0	9
1103902	1	376
1103903	0	10
1103903	1	291
1103904	0	11
1103904	1	555
1103905	1	418
1103906	0	10
1103906	1	445
1103908	0	23
1103908	1	398
1103909	0	70
1103909	1	574
1103911	0	17
1103911	1	536
1103912	0	38
1103912	1	513
1103913	0	22
1103913	1	562
1103914	0	3
1103914	1	324
1103915	0	24
1103915	1	449
1103916	0	9
1103916	1	460
1103917	0	7
1103917	1	335
1103918	0	4
1103918	1	523
1103919	0	3
1103919	1	393
1103920	0	244
1103920	1	551
1103921	0	43
1103921	1	521
1103922	0	13
1103922	1	512
1103923	0	19
1103923	1	272
1103924	0	5
1103924	1	205
1103925	0	5
1103925	1	440
1103926	0	29
1103926	1	580
1103927	0	22
1103927	1	435
1103928	0	25
1103928	1	398
1103929	0	8
1103929	1	384
1103930	0	12
1103930	1	151
1103931	0	25
1103931	1	274
1104001	0	16
1104001	1	320
1104002	0	20
1104002	1	305
1104003	0	10
1104003	1	276
1104004	0	5
1104004	1	433
1104005	0	11
1104005	1	285
1104006	0	52
1104006	1	441
1104007	0	21
1104007	1	311
1104009	0	41
1104009	1	480
1104010	0	25
1104010	1	316
1104011	0	13
1104011	1	343
1104012	0	13
1104012	1	303
1104013	0	16
1104013	1	566
1104014	0	263
1104014	1	242
1104015	0	17
1104015	1	175
1104016	0	61
1104016	1	458
1104017	0	19
1104017	1	611
1104018	0	25
1104018	1	425
1104019	0	17
1104019	1	467
1104020	0	11
1104020	1	449
1104021	0	47
1104021	1	385
1104022	0	31
1104022	1	199
1104023	0	15
1104023	1	265
1104024	0	32
1104024	1	464
1104025	0	10
1104025	1	272
1104026	0	34
1104026	1	590
1104027	1	291
1104028	0	10
1104028	1	375
1104029	0	9
1104029	1	416
1104030	0	80
1104030	1	350
1104031	0	4
1104031	1	343
1104032	0	12
1104032	1	218
1104033	0	3
1104033	1	382
1104034	0	3
1104034	1	526
1104035	0	16
1104035	1	332
1104036	0	3
1104036	1	344
1104037	0	3
1104037	1	290
1104038	0	16
1104038	1	315
1104039	0	18
1104039	1	589
1104040	0	23
1104040	1	363
1104041	0	8
1104041	1	243
1104042	0	22
1104042	1	387
1104043	0	32
1104043	1	483
1104044	0	8
1104044	1	303
1104045	0	33
1104045	1	407
1104046	0	16
1104046	1	439
1104047	0	22
1104047	1	432
1104048	0	11
1104048	1	466
1104049	0	32
1104049	1	450
1104050	0	51
1104050	1	326
1104051	0	22
1104051	1	436
1104052	0	12
1104052	1	373
1104053	0	16
1104053	1	494
1104054	0	18
1104054	1	332
1104055	0	20
1104055	1	485
1104056	0	11
1104056	1	348
1104057	0	23
1104057	1	592
1104058	0	10
1104058	1	329
1104101	0	9
1104101	1	471
1104102	0	23
1104102	1	594
1104103	0	28
1104103	1	356
1104104	0	7
1104104	1	404
1104105	0	13
1104105	1	328
1104106	0	23
1104106	1	385
1104107	0	6
1104107	1	243
1104109	0	63
1104109	1	367
1104110	0	17
1104110	1	423
1104111	0	4
1104111	1	249
1104112	0	13
1104112	1	448
1104113	0	18
1104113	1	320
1104114	0	20
1104114	1	522
1104115	0	6
1104115	1	336
1104116	0	6
1104116	1	400
1104117	0	3
1104117	1	254
1104119	0	8
1104119	1	438
1104120	0	15
1104120	1	413
1104121	0	23
1104121	1	611
1104122	0	11
1104122	1	275
1104123	0	22
1104123	1	415
1104124	0	14
1104124	1	411
1104125	0	16
1104125	1	420
1104201	0	23
1104201	1	487
1104202	0	26
1104202	1	510
1104203	0	8
1104203	1	258
1104204	0	22
1104204	1	393
1104205	0	30
1104205	1	504
1104207	0	41
1104207	1	482
1104208	0	17
1104208	1	492
1104209	0	6
1104209	1	214
1104210	0	21
1104210	1	400
1104211	0	22
1104211	1	389
1104212	0	3
1104212	1	6
1104213	0	63
1104213	1	548
1104214	0	28
1104214	1	549
1104215	0	14
1104215	1	352
1104216	0	9
1104216	1	372
1104217	0	43
1104217	1	433
1104218	0	28
1104218	1	421
1104219	0	11
1104219	1	356
1104220	0	33
1104220	1	502
1104221	0	19
1104221	1	505
1104222	0	47
1104222	1	391
1104223	0	91
1104223	1	249
1104224	0	15
1104224	1	458
1104225	0	10
1104225	1	500
1104226	0	8
1104226	1	436
1104227	0	17
1104227	1	334
1104228	0	24
1104228	1	424
1104229	0	8
1104229	1	309
1104230	0	11
1104230	1	387
1104231	0	258
1104231	1	423
1104232	0	9
1104232	1	348
1104233	0	19
1104233	1	489
1104301	0	46
1104301	1	95
1104302	1	345
1104303	0	14
1104303	1	482
1104304	0	6
1104304	1	375
1104305	0	13
1104305	1	340
1104306	1	3
1104307	0	8
1104307	1	253
1104308	0	58
1104308	1	259
1104309	0	8
1104309	1	362
1104310	0	3
1104310	1	197
1104311	0	15
1104311	1	400
1104312	0	191
1104312	1	670
1104313	0	40
1104313	1	335
1104314	0	69
1104314	1	131
1104315	0	24
1104315	1	367
1104316	0	14
1104316	1	319
1104317	0	18
1104317	1	399
1104318	0	15
1104318	1	348
1104319	0	19
1104319	1	395
1104320	0	10
1104320	1	429
1104321	0	49
1104321	1	304
1104322	0	3
1104322	1	332
1104323	0	16
1104323	1	412
1104324	0	9
1104324	1	513
1104325	0	151
1104325	1	279
1104326	0	25
1104326	1	534
1104327	0	15
1104327	1	372
1104328	0	13
1104328	1	240
1104329	0	10
1104329	1	272
1104330	0	18
1104330	1	582
1104401	0	9
1104401	1	300
1104402	0	11
1104402	1	343
1104403	0	8
1104403	1	220
1104404	0	7
1104404	1	645
1104405	0	6
1104405	1	275
1104406	0	3
1104406	1	273
1104407	0	16
1104407	1	406
1104408	0	11
1104408	1	285
1104409	0	14
1104409	1	291
1104410	0	81
1104410	1	148
1104411	0	107
1104411	1	197
1104412	0	59
1104412	1	595
1104414	0	10
1104414	1	470
1104415	0	8
1104415	1	382
1104416	0	20
1104416	1	694
1104417	0	34
1104417	1	500
1104418	0	8
1104418	1	3
1104419	0	4
1104419	1	454
1104420	0	130
1104420	1	179
1104421	0	21
1104421	1	287
1104422	0	4
1104422	1	450
1104423	1	487
1104424	0	5
1104424	1	269
1104425	0	14
1104425	1	200
1104426	0	3
1104426	1	406
1104427	0	19
1104427	1	245
1104428	1	376
1104429	0	18
1104429	1	485
1104430	0	15
1104430	1	271
1104431	0	7
1104431	1	284
1104432	0	19
1104432	1	277
1104433	0	7
1104433	1	330
1104434	0	36
1104434	1	611
1104435	1	307
1104436	0	4
1104436	1	447
1104437	0	7
1104437	1	275
1104438	0	28
1104438	1	407
1104439	0	12
1104439	1	397
1104440	0	201
1104440	1	165
1104441	0	8
1104441	1	362
1104442	0	14
1104442	1	370
1104443	0	15
1104443	1	213
1104444	0	4
1104444	1	323
1104445	0	15
1104445	1	381
1104446	0	62
1104446	1	500
1104447	0	39
1104447	1	434
1104448	0	20
1104448	1	413
1104449	0	19
1104449	1	356
1104450	0	6
1104450	1	372
1104451	0	9
1104451	1	363
1104452	0	11
1104452	1	183
1104453	0	20
1104453	1	327
1104454	0	11
1104454	1	194
1104455	0	56
1104455	1	373
1104456	0	3
1104456	1	406
1104457	0	7
1104457	1	368
1104458	0	10
1104458	1	317
