SA1_7DIGITCODE_2016	AgeStudent	students
1100904	15-19	18
1100904	20-24	8
1100904	25+	8
1100905	0-4	4
1100905	5-14	47
1100905	15-19	9
1100905	20-24	4
1100905	25+	10
1100907	0-4	3
1100907	5-14	38
1100907	15-19	16
1100907	20-24	5
1100907	25+	39
1100908	5-14	35
1100908	15-19	10
1100908	20-24	23
1100908	25+	41
1100909	0-4	5
1100909	5-14	37
1100909	15-19	5
1100909	20-24	24
1100909	25+	44
1100910	0-4	9
1100910	5-14	20
1100910	15-19	3
1100910	20-24	13
1100910	25+	43
1100911	0-4	3
1100911	5-14	40
1100911	15-19	13
1100911	20-24	10
1100911	25+	10
1100912	0-4	3
1100912	5-14	31
1100912	15-19	7
1100912	20-24	3
1100912	25+	10
1100913	5-14	78
1100913	15-19	29
1100913	20-24	12
1100913	25+	19
1100914	0-4	8
1100914	5-14	38
1100914	15-19	15
1100914	20-24	10
1100914	25+	24
1100915	0-4	8
1100915	5-14	56
1100915	15-19	19
1100915	20-24	8
1100915	25+	42
1100916	0-4	8
1100916	5-14	37
1100916	15-19	19
1100916	20-24	4
1100916	25+	24
1100917	0-4	3
1100917	5-14	10
1100917	25+	15
1100918	0-4	9
1100918	5-14	26
1100918	15-19	20
1100918	20-24	7
1100918	25+	27
1100919	0-4	8
1100919	5-14	33
1100919	15-19	12
1100919	20-24	13
1100919	25+	23
1100920	0-4	4
1100920	5-14	8
1100920	15-19	3
1100920	20-24	5
1100920	25+	15
1100921	0-4	3
1100921	5-14	24
1100921	15-19	13
1100921	20-24	11
1100921	25+	26
1100923	0-4	8
1100923	5-14	51
1100923	15-19	19
1100923	20-24	3
1100923	25+	16
1100925	0-4	3
1100925	5-14	25
1100925	15-19	9
1100925	20-24	14
1100925	25+	23
1100926	5-14	6
1100926	15-19	8
1100926	25+	14
1100927	0-4	7
1100927	5-14	41
1100927	15-19	9
1100927	25+	13
1100928	0-4	9
1100928	5-14	25
1100928	15-19	3
1100928	20-24	8
1100928	25+	15
1100929	5-14	25
1100929	15-19	11
1100929	20-24	7
1100929	25+	21
1101001	5-14	12
1101001	15-19	3
1101001	20-24	3
1101001	25+	11
1101002	0-4	3
1101002	5-14	53
1101002	15-19	20
1101002	20-24	17
1101002	25+	13
1101003	5-14	30
1101003	15-19	25
1101003	20-24	8
1101003	25+	11
1101004	0-4	5
1101004	5-14	48
1101004	15-19	17
1101004	20-24	4
1101004	25+	17
1101006	0-4	9
1101006	5-14	24
1101006	15-19	6
1101006	20-24	7
1101006	25+	28
1101007	5-14	19
1101007	15-19	8
1101007	20-24	3
1101007	25+	13
1101008	0-4	4
1101008	5-14	33
1101008	15-19	11
1101008	20-24	6
1101008	25+	28
1101009	0-4	7
1101009	5-14	28
1101009	15-19	11
1101009	20-24	6
1101009	25+	10
1101010	0-4	9
1101010	5-14	22
1101010	15-19	6
1101010	20-24	5
1101010	25+	18
1101011	5-14	3
1101012	5-14	10
1101012	15-19	3
1101012	20-24	4
1101012	25+	4
1101014	0-4	3
1101014	5-14	16
1101014	15-19	6
1101014	20-24	8
1101015	0-4	7
1101015	5-14	42
1101015	15-19	5
1101015	20-24	16
1101015	25+	56
1101016	0-4	10
1101016	5-14	48
1101016	15-19	29
1101016	25+	25
1101017	0-4	3
1101017	5-14	24
1101017	15-19	9
1101017	20-24	5
1101017	25+	36
1101101	0-4	9
1101101	5-14	72
1101101	15-19	23
1101101	20-24	8
1101101	25+	38
1101102	0-4	3
1101102	5-14	39
1101102	15-19	18
1101102	25+	14
1101103	0-4	9
1101103	5-14	41
1101103	15-19	12
1101103	20-24	3
1101103	25+	4
1101104	0-4	3
1101104	5-14	36
1101104	15-19	19
1101104	20-24	3
1101104	25+	10
1101105	0-4	6
1101105	5-14	71
1101105	15-19	22
1101105	20-24	12
1101105	25+	12
1101106	0-4	4
1101106	5-14	54
1101106	15-19	23
1101106	20-24	7
1101106	25+	16
1101107	0-4	3
1101107	5-14	44
1101107	15-19	14
1101107	20-24	11
1101107	25+	6
1101108	0-4	11
1101108	5-14	62
1101108	15-19	8
1101108	25+	16
1101109	0-4	3
1101109	5-14	38
1101109	15-19	17
1101109	20-24	9
1101109	25+	12
1101110	5-14	30
1101110	15-19	7
1101110	20-24	4
1101110	25+	10
1101111	0-4	3
1101111	5-14	51
1101111	15-19	31
1101111	20-24	3
1101111	25+	20
1101112	0-4	6
1101112	5-14	22
1101112	15-19	12
1101112	20-24	4
1101112	25+	3
1101113	5-14	11
1101113	15-19	13
1101113	25+	6
1101115	5-14	67
1101115	15-19	22
1101115	20-24	12
1101115	25+	7
1101116	5-14	27
1101116	15-19	11
1101116	20-24	3
1101116	25+	5
1101117	5-14	31
1101117	15-19	14
1101117	20-24	5
1101117	25+	10
1101118	0-4	13
1101118	5-14	51
1101118	15-19	17
1101118	20-24	4
1101118	25+	14
1101119	0-4	3
1101119	5-14	33
1101119	15-19	20
1101119	20-24	12
1101119	25+	7
1101120	0-4	7
1101120	5-14	68
1101120	15-19	22
1101120	20-24	6
1101120	25+	18
1101122	0-4	3
1101122	5-14	37
1101122	15-19	9
1101122	20-24	4
1101122	25+	17
1101123	5-14	33
1101123	15-19	21
1101123	20-24	5
1101123	25+	8
1101125	0-4	9
1101125	5-14	83
1101125	15-19	34
1101125	20-24	3
1101125	25+	19
1101126	0-4	6
1101126	5-14	39
1101126	15-19	22
1101126	20-24	14
1101126	25+	16
1101127	0-4	5
1101127	5-14	40
1101127	15-19	35
1101127	20-24	7
1101127	25+	5
1101128	0-4	3
1101128	5-14	24
1101128	15-19	13
1101128	20-24	6
1101128	25+	4
1101129	5-14	72
1101129	15-19	28
1101129	20-24	3
1101129	25+	13
1101130	0-4	8
1101130	5-14	81
1101130	15-19	33
1101130	20-24	11
1101130	25+	21
1101131	5-14	34
1101131	15-19	8
1101131	25+	5
1101132	5-14	47
1101132	15-19	17
1101132	25+	3
1101133	0-4	7
1101133	5-14	41
1101133	15-19	17
1101133	20-24	3
1101133	25+	10
1101134	0-4	3
1101134	5-14	39
1101134	15-19	16
1101134	20-24	7
1101134	25+	9
1101135	5-14	57
1101135	15-19	21
1101135	20-24	3
1101135	25+	11
1101136	5-14	41
1101136	15-19	32
1101136	20-24	5
1101136	25+	10
1101137	0-4	10
1101137	5-14	37
1101137	15-19	19
1101137	20-24	6
1101137	25+	12
1101139	5-14	30
1101139	15-19	20
1101139	20-24	10
1101139	25+	6
1101140	5-14	37
1101140	15-19	13
1101140	20-24	3
1101140	25+	10
1101141	0-4	7
1101141	5-14	79
1101141	15-19	18
1101141	20-24	13
1101141	25+	27
1101142	0-4	10
1101142	5-14	67
1101142	15-19	5
1101142	25+	16
1101143	0-4	5
1101143	5-14	47
1101143	15-19	6
1101143	20-24	3
1101143	25+	15
1101144	0-4	4
1101144	5-14	49
1101144	15-19	10
1101144	20-24	3
1101144	25+	5
1101145	0-4	13
1101145	5-14	79
1101145	15-19	38
1101145	20-24	6
1101145	25+	20
1101146	0-4	10
1101146	5-14	61
1101146	15-19	18
1101146	20-24	4
1101146	25+	6
1101147	0-4	6
1101147	5-14	49
1101147	15-19	13
1101147	20-24	3
1101147	25+	20
1101148	0-4	14
1101148	5-14	38
1101148	15-19	6
1101148	20-24	8
1101148	25+	16
1101149	0-4	5
1101149	5-14	52
1101149	15-19	9
1101149	20-24	9
1101149	25+	14
1101150	5-14	51
1101150	15-19	38
1101150	20-24	11
1101150	25+	5
1101151	0-4	4
1101151	5-14	9
1101151	15-19	10
1101151	20-24	8
1101151	25+	7
1101152	0-4	13
1101152	5-14	86
1101152	15-19	25
1101152	20-24	3
1101152	25+	18
1101201	0-4	5
1101201	5-14	33
1101201	15-19	9
1101201	20-24	10
1101201	25+	10
1101202	0-4	3
1101202	5-14	46
1101202	15-19	21
1101202	20-24	10
1101202	25+	13
1101203	0-4	16
1101203	5-14	116
1101203	15-19	31
1101203	20-24	3
1101203	25+	34
1101204	0-4	10
1101204	5-14	76
1101204	15-19	23
1101204	20-24	7
1101204	25+	24
1101205	0-4	4
1101205	5-14	56
1101205	15-19	31
1101205	20-24	9
1101205	25+	13
1101206	0-4	5
1101206	5-14	84
1101206	15-19	27
1101206	20-24	6
1101206	25+	11
1101207	0-4	3
1101207	5-14	23
1101207	15-19	17
1101207	20-24	7
1101207	25+	6
1101208	0-4	3
1101208	5-14	50
1101208	15-19	13
1101208	20-24	3
1101208	25+	9
1101209	0-4	13
1101209	5-14	136
1101209	15-19	69
1101209	20-24	23
1101209	25+	28
1101210	0-4	5
1101210	5-14	75
1101210	15-19	24
1101210	20-24	18
1101210	25+	17
1101211	0-4	7
1101211	5-14	137
1101211	15-19	49
1101211	20-24	13
1101211	25+	32
1101212	5-14	57
1101212	15-19	25
1101212	20-24	3
1101212	25+	14
1101213	0-4	6
1101213	5-14	91
1101213	15-19	39
1101213	20-24	11
1101213	25+	18
1101214	0-4	5
1101214	5-14	84
1101214	15-19	46
1101214	20-24	17
1101214	25+	19
1101215	0-4	12
1101215	5-14	61
1101215	15-19	24
1101215	20-24	9
1101215	25+	21
1101216	0-4	5
1101216	5-14	50
1101216	15-19	26
1101216	20-24	8
1101216	25+	14
1101218	0-4	7
1101218	5-14	71
1101218	15-19	27
1101218	20-24	17
1101218	25+	22
1101219	0-4	5
1101219	5-14	49
1101219	15-19	17
1101219	20-24	13
1101219	25+	38
1101220	5-14	57
1101220	15-19	26
1101220	20-24	5
1101220	25+	24
1101221	0-4	7
1101221	5-14	51
1101221	15-19	18
1101221	20-24	7
1101221	25+	29
1101222	0-4	5
1101222	5-14	98
1101222	15-19	34
1101222	20-24	4
1101222	25+	30
1101223	0-4	13
1101223	5-14	63
1101223	15-19	17
1101223	20-24	5
1101223	25+	36
1101224	0-4	7
1101224	5-14	86
1101224	15-19	48
1101224	20-24	14
1101224	25+	21
1101227	5-14	71
1101227	15-19	55
1101227	20-24	16
1101227	25+	18
1101228	0-4	8
1101228	5-14	53
1101228	15-19	20
1101228	20-24	8
1101228	25+	9
1101229	0-4	4
1101229	5-14	55
1101229	15-19	25
1101229	20-24	8
1101229	25+	18
1101230	0-4	4
1101230	5-14	26
1101230	15-19	10
1101230	20-24	4
1101230	25+	9
1101231	5-14	49
1101231	15-19	23
1101231	20-24	8
1101231	25+	5
1101232	0-4	9
1101232	5-14	78
1101232	15-19	40
1101232	20-24	12
1101232	25+	21
1101301	0-4	4
1101301	5-14	20
1101301	15-19	9
1101301	25+	5
1101302	0-4	3
1101302	5-14	39
1101302	15-19	17
1101302	20-24	11
1101302	25+	10
1101303	0-4	4
1101303	5-14	35
1101303	15-19	5
1101303	20-24	5
1101303	25+	5
1101304	0-4	5
1101304	5-14	52
1101304	15-19	10
1101304	20-24	4
1101304	25+	7
1101305	5-14	28
1101305	15-19	3
1101305	25+	6
1101306	0-4	3
1101306	5-14	7
1101306	25+	3
1101307	0-4	3
1101307	5-14	28
1101307	15-19	16
1101307	25+	8
1101308	0-4	3
1101308	5-14	26
1101308	15-19	10
1101308	20-24	3
1101308	25+	3
1101401	0-4	6
1101401	5-14	36
1101401	20-24	3
1101401	25+	7
1101402	0-4	5
1101402	5-14	38
1101402	15-19	21
1101402	20-24	4
1101402	25+	14
1101403	0-4	3
1101403	5-14	32
1101403	15-19	13
1101403	20-24	4
1101403	25+	10
1101404	0-4	10
1101404	5-14	24
1101404	15-19	15
1101404	20-24	8
1101404	25+	19
1101405	0-4	10
1101405	5-14	39
1101405	15-19	18
1101405	20-24	5
1101405	25+	10
1101406	0-4	4
1101406	5-14	49
1101406	15-19	16
1101406	20-24	7
1101406	25+	10
1101407	0-4	5
1101407	5-14	45
1101407	15-19	16
1101407	20-24	8
1101407	25+	10
1101408	0-4	5
1101408	5-14	15
1101408	15-19	6
1101408	20-24	3
1101408	25+	7
1101409	0-4	7
1101409	5-14	30
1101409	15-19	7
1101409	20-24	4
1101409	25+	11
1101410	0-4	3
1101410	5-14	28
1101410	15-19	15
1101410	20-24	3
1101410	25+	13
1101411	5-14	41
1101411	15-19	14
1101411	20-24	4
1101411	25+	5
1101412	0-4	7
1101412	5-14	65
1101412	15-19	13
1101412	20-24	10
1101412	25+	18
1101413	0-4	6
1101413	5-14	30
1101413	15-19	16
1101413	20-24	3
1101413	25+	6
1101414	0-4	4
1101414	5-14	24
1101414	15-19	9
1101414	25+	7
1101415	0-4	4
1101415	5-14	72
1101415	15-19	23
1101415	20-24	8
1101415	25+	21
1101418	0-4	5
1101418	5-14	59
1101418	15-19	16
1101418	20-24	8
1101418	25+	13
1101419	0-4	3
1101419	5-14	42
1101419	15-19	17
1101419	25+	22
1101503	0-4	3
1101503	5-14	35
1101503	15-19	11
1101505	5-14	9
1101505	15-19	7
1101511	5-14	12
1101511	15-19	11
1101511	25+	3
1101512	5-14	8
1101512	15-19	4
1101512	20-24	4
1101512	25+	4
1101514	0-4	3
1101514	5-14	28
1101514	15-19	13
1101514	20-24	3
1101514	25+	4
1101515	5-14	38
1101515	15-19	5
1101515	20-24	3
1101515	25+	3
1101516	0-4	3
1101516	5-14	20
1101516	15-19	5
1101516	20-24	3
1101516	25+	6
1101517	0-4	3
1101517	5-14	23
1101517	25+	4
1101518	5-14	32
1101518	15-19	22
1101518	20-24	4
1101518	25+	8
1101519	0-4	3
1101519	5-14	47
1101519	15-19	22
1101519	20-24	3
1101519	25+	15
1101520	0-4	3
1101520	5-14	17
1101520	15-19	4
1101520	25+	10
1101521	0-4	3
1101521	5-14	38
1101521	15-19	13
1101521	25+	10
1101522	5-14	49
1101522	15-19	23
1101522	25+	6
1101523	5-14	23
1101523	20-24	5
1101523	25+	3
1101524	0-4	3
1101524	5-14	14
1101524	15-19	3
1101601	5-14	4
1101601	25+	4
1101602	0-4	7
1101602	5-14	48
1101602	15-19	9
1101602	20-24	4
1101602	25+	25
1101603	0-4	6
1101603	5-14	37
1101603	15-19	7
1101603	20-24	7
1101603	25+	8
1101604	5-14	26
1101604	15-19	5
1101604	25+	7
1101605	0-4	4
1101605	5-14	43
1101605	15-19	8
1101605	25+	7
1101606	0-4	4
1101606	5-14	69
1101606	15-19	24
1101606	20-24	4
1101606	25+	17
1101607	5-14	23
1101607	15-19	6
1101607	20-24	6
1101607	25+	10
1101608	0-4	3
1101608	5-14	49
1101608	15-19	13
1101608	25+	10
1101609	0-4	3
1101609	5-14	33
1101609	15-19	13
1101609	20-24	5
1101609	25+	8
1101610	0-4	12
1101610	5-14	126
1101610	15-19	34
1101610	20-24	10
1101610	25+	15
1101611	0-4	4
1101611	5-14	26
1101611	15-19	3
1101611	20-24	3
1101611	25+	12
1101612	5-14	3
1101613	0-4	6
1101613	5-14	41
1101613	15-19	22
1101613	20-24	3
1101613	25+	7
1101614	0-4	4
1101614	5-14	32
1101614	15-19	37
1101614	20-24	4
1101614	25+	13
1101615	0-4	6
1101615	5-14	35
1101615	15-19	14
1101615	20-24	4
1101615	25+	15
1101616	5-14	20
1101616	15-19	10
1101616	20-24	9
1101616	25+	16
1101617	0-4	6
1101617	5-14	39
1101617	15-19	7
1101617	20-24	10
1101617	25+	22
1101618	0-4	10
1101618	5-14	96
1101618	15-19	24
1101618	20-24	3
1101618	25+	16
1101619	0-4	12
1101619	5-14	66
1101619	15-19	22
1101619	20-24	3
1101619	25+	17
1101620	5-14	21
1101620	15-19	7
1101620	20-24	3
1101620	25+	10
1101701	0-4	5
1101701	5-14	49
1101701	15-19	16
1101701	20-24	3
1101701	25+	9
1101702	0-4	4
1101702	5-14	45
1101702	15-19	14
1101702	25+	3
1101703	0-4	3
1101703	5-14	33
1101703	15-19	6
1101703	20-24	3
1101703	25+	6
1101704	0-4	3
1101704	5-14	37
1101704	15-19	3
1101704	20-24	3
1101704	25+	12
1101705	0-4	4
1101705	5-14	18
1101705	15-19	4
1101705	25+	5
1101706	0-4	3
1101706	5-14	20
1101706	15-19	10
1101706	20-24	3
1101706	25+	10
1101708	5-14	28
1101708	15-19	12
1101708	25+	11
1101709	0-4	10
1101709	5-14	81
1101709	15-19	36
1101709	20-24	3
1101709	25+	9
1101710	0-4	3
1101710	5-14	48
1101710	15-19	16
1101710	25+	9
1101711	5-14	30
1101711	15-19	14
1101711	25+	3
1101712	0-4	7
1101712	5-14	64
1101712	15-19	12
1101712	20-24	3
1101712	25+	8
1101713	0-4	8
1101713	5-14	50
1101713	15-19	7
1101713	20-24	5
1101713	25+	6
1101716	0-4	5
1101716	5-14	66
1101716	15-19	6
1101716	20-24	3
1101716	25+	12
1101717	5-14	16
1101717	15-19	8
1101717	25+	7
1101718	0-4	3
1101718	5-14	28
1101718	15-19	5
1101718	25+	3
1101719	5-14	52
1101719	15-19	13
1101719	20-24	3
1101719	25+	8
1101720	5-14	27
1101720	15-19	6
1101720	25+	8
1101721	0-4	3
1101721	5-14	48
1101721	15-19	16
1101721	20-24	4
1101721	25+	7
1101722	0-4	9
1101722	5-14	45
1101722	15-19	11
1101722	20-24	4
1101722	25+	8
1101801	0-4	3
1101801	5-14	30
1101801	15-19	7
1101801	25+	12
1101802	5-14	18
1101802	15-19	15
1101802	25+	3
1101803	0-4	3
1101803	5-14	60
1101803	15-19	20
1101803	20-24	3
1101803	25+	10
1101804	5-14	9
1101804	15-19	4
1101804	20-24	4
1101805	0-4	5
1101805	5-14	27
1101805	15-19	16
1101805	25+	11
1101806	0-4	3
1101806	5-14	38
1101806	15-19	16
1101806	20-24	3
1101806	25+	18
1101807	0-4	6
1101807	5-14	37
1101807	15-19	19
1101807	25+	10
1101808	0-4	7
1101808	5-14	55
1101808	15-19	18
1101808	20-24	5
1101808	25+	10
1101809	0-4	3
1101809	5-14	16
1101809	15-19	6
1101809	25+	10
1101810	0-4	3
1101810	5-14	38
1101810	15-19	11
1101810	20-24	3
1101810	25+	4
1101811	5-14	20
1101811	15-19	14
1101811	20-24	3
1101811	25+	7
1101812	5-14	31
1101812	15-19	12
1101812	20-24	3
1101812	25+	14
1101813	5-14	23
1101813	15-19	5
1101813	25+	9
1101814	0-4	3
1101814	5-14	25
1101814	15-19	3
1101814	20-24	3
1101814	25+	8
1101815	5-14	15
1101815	15-19	12
1101815	20-24	3
1101815	25+	3
1101816	0-4	6
1101816	5-14	28
1101816	15-19	20
1101816	20-24	3
1101816	25+	8
1101817	0-4	6
1101817	5-14	75
1101817	15-19	17
1101817	20-24	8
1101817	25+	17
1101818	0-4	6
1101818	5-14	57
1101818	15-19	21
1101818	20-24	3
1101818	25+	7
1101819	0-4	3
1101819	5-14	42
1101819	15-19	15
1101819	25+	12
1101820	0-4	3
1101820	5-14	28
1101820	15-19	7
1101820	25+	5
1101821	0-4	3
1101821	5-14	20
1101821	15-19	9
1101821	25+	4
1101822	0-4	3
1101822	5-14	21
1101822	15-19	19
1101822	20-24	4
1101822	25+	13
1101823	5-14	26
1101823	15-19	15
1101823	20-24	3
1101823	25+	16
1101901	0-4	5
1101901	5-14	35
1101901	15-19	19
1101901	20-24	3
1101901	25+	5
1101902	0-4	4
1101902	5-14	63
1101902	15-19	17
1101902	20-24	3
1101902	25+	6
1101903	0-4	3
1101903	5-14	18
1101903	15-19	4
1101903	25+	7
1101904	0-4	5
1101904	5-14	47
1101904	15-19	11
1101904	20-24	3
1101904	25+	11
1101905	0-4	8
1101905	5-14	49
1101905	15-19	17
1101905	25+	11
1101906	0-4	8
1101906	5-14	51
1101906	15-19	17
1101906	20-24	8
1101906	25+	15
1101907	0-4	5
1101907	5-14	35
1101907	15-19	12
1101907	20-24	6
1101907	25+	5
1101909	0-4	4
1101909	5-14	35
1101909	15-19	7
1101909	20-24	3
1101909	25+	6
1101911	0-4	8
1101911	5-14	39
1101911	15-19	14
1101911	20-24	4
1101911	25+	15
1101912	0-4	6
1101912	5-14	36
1101912	15-19	10
1101912	20-24	3
1101912	25+	11
1101913	0-4	7
1101913	5-14	38
1101913	15-19	12
1101913	20-24	3
1101913	25+	10
1101914	0-4	9
1101914	5-14	100
1101914	15-19	16
1101914	20-24	5
1101914	25+	17
1101915	0-4	7
1101915	5-14	19
1101915	15-19	7
1101915	20-24	3
1101915	25+	11
1101916	0-4	3
1101916	5-14	65
1101916	15-19	22
1101916	20-24	3
1101916	25+	13
1101917	0-4	4
1101917	5-14	102
1101917	15-19	28
1101917	20-24	6
1101917	25+	7
1101918	0-4	3
1101918	5-14	29
1101918	15-19	19
1101918	25+	3
1101919	0-4	4
1101919	5-14	17
1101919	15-19	17
1101919	20-24	3
1101919	25+	9
1101920	0-4	10
1101920	5-14	28
1101920	15-19	15
1101920	25+	13
1101921	0-4	5
1101921	5-14	39
1101921	15-19	16
1101921	25+	9
1101922	0-4	6
1101922	5-14	20
1101922	15-19	11
1101922	20-24	5
1101923	0-4	7
1101923	5-14	82
1101923	15-19	20
1101923	20-24	3
1101923	25+	8
1102001	0-4	4
1102001	5-14	63
1102001	15-19	29
1102001	20-24	3
1102001	25+	13
1102002	0-4	4
1102002	5-14	53
1102002	15-19	28
1102002	25+	7
1102003	0-4	11
1102003	5-14	48
1102003	15-19	15
1102003	25+	12
1102004	0-4	5
1102004	5-14	27
1102004	15-19	8
1102004	20-24	3
1102004	25+	7
1102005	0-4	3
1102005	5-14	21
1102005	15-19	3
1102005	25+	4
1102006	0-4	4
1102006	5-14	31
1102006	15-19	15
1102006	25+	9
1102007	0-4	6
1102007	5-14	45
1102007	15-19	14
1102007	25+	11
1102008	5-14	30
1102008	15-19	17
1102008	20-24	3
1102009	5-14	3
1102011	0-4	3
1102011	5-14	45
1102011	15-19	13
1102011	20-24	4
1102011	25+	11
1102013	0-4	4
1102013	5-14	14
1102013	15-19	11
1102013	25+	5
1102014	5-14	25
1102014	15-19	19
1102014	20-24	3
1102014	25+	8
1102015	0-4	3
1102015	5-14	14
1102015	15-19	5
1102015	25+	6
1102016	5-14	26
1102016	15-19	7
1102016	25+	8
1102017	0-4	3
1102017	5-14	19
1102017	15-19	9
1102017	25+	6
1102018	0-4	8
1102018	5-14	37
1102018	15-19	13
1102018	20-24	4
1102018	25+	11
1102019	5-14	27
1102019	15-19	12
1102019	20-24	3
1102019	25+	6
1102020	0-4	4
1102020	5-14	43
1102020	15-19	17
1102020	20-24	4
1102020	25+	7
1102022	0-4	5
1102022	5-14	37
1102022	15-19	12
1102022	20-24	3
1102022	25+	3
1102023	0-4	3
1102023	5-14	37
1102023	15-19	18
1102023	20-24	4
1102023	25+	6
1102024	5-14	29
1102024	15-19	9
1102024	25+	3
1102025	0-4	4
1102025	5-14	47
1102025	15-19	13
1102025	20-24	3
1102025	25+	10
1102026	5-14	42
1102026	15-19	7
1102026	25+	6
1102027	5-14	40
1102027	15-19	15
1102027	25+	9
1102028	0-4	8
1102028	5-14	41
1102028	15-19	27
1102028	20-24	3
1102028	25+	7
1102029	5-14	30
1102029	15-19	10
1102029	25+	3
1102030	0-4	5
1102030	5-14	47
1102030	15-19	14
1102030	20-24	7
1102030	25+	3
1102031	0-4	3
1102031	5-14	22
1102031	15-19	3
1102031	25+	8
1102032	5-14	12
1102032	15-19	3
1102032	25+	6
1102101	0-4	7
1102101	5-14	52
1102101	15-19	22
1102101	20-24	3
1102101	25+	8
1102102	0-4	4
1102102	5-14	30
1102102	15-19	11
1102102	20-24	3
1102102	25+	9
1102104	5-14	57
1102104	15-19	22
1102104	20-24	3
1102104	25+	9
1102105	0-4	8
1102105	5-14	35
1102105	15-19	8
1102105	20-24	4
1102105	25+	16
1102106	0-4	3
1102106	5-14	41
1102106	15-19	14
1102106	25+	11
1102107	0-4	7
1102107	5-14	65
1102107	15-19	26
1102107	20-24	6
1102107	25+	14
1102108	0-4	8
1102108	5-14	63
1102108	15-19	28
1102108	25+	15
1102109	5-14	3
1102109	20-24	3
1102301	5-14	33
1102301	15-19	16
1102301	20-24	3
1102301	25+	7
1102302	0-4	7
1102302	5-14	44
1102302	15-19	5
1102302	20-24	6
1102302	25+	6
1102303	0-4	3
1102303	5-14	40
1102303	15-19	15
1102303	25+	5
1102304	0-4	3
1102304	5-14	10
1102304	15-19	4
1102304	25+	3
1102305	0-4	10
1102305	5-14	50
1102305	15-19	16
1102305	20-24	6
1102305	25+	3
1102306	0-4	3
1102306	5-14	27
1102306	15-19	5
1102306	25+	9
1102307	0-4	3
1102307	5-14	22
1102307	15-19	7
1102307	25+	4
1102308	0-4	5
1102308	5-14	48
1102308	15-19	20
1102308	25+	5
1102309	0-4	4
1102309	5-14	16
1102309	15-19	8
1102309	20-24	4
1102309	25+	3
1102401	5-14	36
1102401	15-19	12
1102401	25+	8
1102402	5-14	26
1102402	15-19	14
1102402	20-24	3
1102403	0-4	4
1102403	5-14	36
1102403	15-19	10
1102404	0-4	4
1102404	5-14	41
