SA1_7DIGITCODE_2016	AgeStudent	students
1100701	0-4	4
1100701	5-14	24
1100701	15-19	12
1100701	20-24	4
1100701	25+	3
1100702	0-4	3
1100702	5-14	37
1100702	15-19	18
1100702	25+	4
1100703	0-4	4
1100703	5-14	57
1100703	15-19	5
1100703	20-24	4
1100703	25+	9
1100704	0-4	5
1100704	5-14	46
1100704	15-19	5
1100704	25+	8
1100705	0-4	5
1100705	5-14	42
1100705	15-19	20
1100705	20-24	7
1100705	25+	14
1100706	0-4	6
1100706	5-14	27
1100706	15-19	9
1100706	20-24	3
1100706	25+	7
1100707	0-4	6
1100707	5-14	19
1100707	15-19	14
1100707	20-24	3
1100707	25+	9
1100708	0-4	4
1100708	5-14	36
1100708	15-19	16
1100708	25+	7
1100709	0-4	4
1100709	5-14	51
1100709	15-19	23
1100709	25+	10
1100710	0-4	3
1100710	5-14	36
1100710	15-19	18
1100710	25+	9
1100801	0-4	6
1100801	5-14	51
1100801	15-19	13
1100801	20-24	7
1100801	25+	10
1100802	0-4	4
1100802	5-14	53
1100802	15-19	18
1100802	20-24	6
1100802	25+	20
1100803	5-14	45
1100803	15-19	11
1100803	20-24	9
1100803	25+	10
1100804	0-4	6
1100804	5-14	31
1100804	15-19	15
1100804	20-24	7
1100804	25+	13
1100805	5-14	46
1100805	15-19	8
1100805	20-24	3
1100805	25+	6
1100806	5-14	34
1100806	15-19	8
1100806	20-24	5
1100806	25+	10
1100807	0-4	3
1100807	5-14	33
1100807	15-19	20
1100807	20-24	7
1100807	25+	13
1100808	0-4	8
1100808	5-14	68
1100808	15-19	31
1100808	20-24	12
1100808	25+	16
1100810	5-14	33
1100810	15-19	17
1100810	20-24	8
1100810	25+	8
1100811	0-4	5
1100811	5-14	43
1100811	15-19	17
1100811	20-24	3
1100811	25+	13
1100812	5-14	31
1100812	15-19	15
1100812	20-24	6
1100812	25+	20
1100813	0-4	3
1100813	5-14	52
1100813	15-19	32
1100813	20-24	10
1100813	25+	12
1100814	0-4	3
1100814	5-14	44
1100814	15-19	22
1100814	20-24	11
1100814	25+	18
1100815	0-4	10
1100815	5-14	40
1100815	15-19	21
1100815	20-24	13
1100815	25+	18
1100816	0-4	6
1100816	5-14	63
1100816	15-19	9
1100816	20-24	7
1100816	25+	6
1100817	0-4	3
1100817	5-14	34
1100817	15-19	16
1100817	20-24	9
1100817	25+	9
1100818	0-4	3
1100818	5-14	34
1100818	15-19	12
1100818	20-24	8
1100818	25+	3
1100819	0-4	6
1100819	5-14	73
1100819	15-19	25
1100819	20-24	9
1100819	25+	20
1100820	0-4	3
1100820	5-14	43
1100820	15-19	16
1100820	25+	4
1100821	5-14	67
1100821	15-19	32
1100821	20-24	5
1100821	25+	5
1100822	5-14	32
1100822	15-19	8
1100822	20-24	3
1100822	25+	11
1100823	0-4	3
1100823	5-14	42
1100823	15-19	3
1100823	20-24	3
1100823	25+	4
1100901	0-4	4
1100901	5-14	26
1100901	15-19	5
1100901	20-24	3
1100901	25+	6
1100902	0-4	3
1100902	5-14	44
1100902	15-19	12
1100902	20-24	5
1100902	25+	12
1100904	0-4	9
1100904	5-14	35
