SA1_7DIGITCODE_2016	medianTotalFamilyIncome
1102517	77532
1102518	75816
1102519	58500
1102520	57304
1102521	66092
1102522	75192
1102523	73320
1102524	73892
1102525	60476
1102526	73996
1102527	73112
1102528	60528
1102529	58500
1102530	62816
1102531	
1102532	49868
1102601	56420
1102602	57772
1102603	62972
1102604	58500
1102605	59332
1102606	69056
1102607	58500
1102608	65884
1102609	59644
1102610	48048
1102611	61724
1102612	52572
1102613	66612
1102614	69680
1102615	61724
1102616	81224
1102617	73112
1102618	62608
1102619	76960
1102620	44876
1102621	53092
1102622	60632
1102623	58500
1102701	58084
1102702	52780
1102703	65624
1102704	56316
1102705	59280
1102706	50648
1102707	57616
1102708	59748
1102709	67080
1102710	66612
1102711	
1102712	62244
1102713	63232
1102714	
1102715	69316
1102716	
1102717	57200
1102718	52832
1102719	53612
1102720	64428
1102721	53976
1102722	35048
1102723	59644
1102724	62972
1102725	52988
1102726	65572
1102727	60840
1102728	49088
1102729	56368
1102801	
1102802	106288
1102803	111904
1102804	108316
1102805	117000
1102806	89752
1102807	128648
1102808	126256
1102809	125996
1102810	125060
1102811	98176
1102812	103324
1102813	85540
1102814	109460
1102815	111280
1102816	115128
1102817	113724
1102818	108784
1102901	114192
1102902	90012
1102903	84500
1102904	82836
1102905	95836
1102906	115336
1102907	82836
1102908	94692
1102909	92612
1102910	98748
1102911	84500
1102912	89076
1102913	105300
1102914	106340
1102915	109772
1102916	86944
1102917	89336
1102918	98540
1102919	50076
1102920	
1102921	
1102922	113048
1102923	99112
1102924	117936
1102925	75660
1102926	91832
1102927	87724
1102928	45136
1103002	99112
1103003	75088
1103004	91728
1103005	99892
1103006	99320
1103007	92300
1103008	78936
1103009	73424
1103010	86892
1103011	63700
1103012	114088
1103013	
1103014	93444
1103101	101816
1103102	73632
1103103	46800
1103104	52936
1103105	95056
1103106	72280
1103107	84448
1103108	127088
1103109	113724
1103110	78936
1103111	76492
1103112	135200
1103113	137800
1103114	134004
1103115	134992
1103116	115700
1103117	87724
1103118	157144
1103119	115804
1103120	94536
1103121	102076
1103122	87724
1103123	55224
1103124	104832
1103125	64116
1103126	45240
1103127	100152
1103128	96408
1103129	113100
1103130	117884
1103131	56940
1103132	
1103133	111644
1103134	102648
1103135	88608
1103136	82836
1103137	39624
1103138	92300
1103201	82628
1103202	72852
1103203	110500
1103204	83720
1103205	73632
1103206	71448
1103207	78728
1103208	91832
1103210	59540
1103211	82524
1103212	84500
1103213	94224
1103214	83772
1103215	81224
1103216	82836
1103217	94900
1103218	104624
1103219	99216
1103220	80184
1103221	83668
1103223	
1103224	74724
1103225	95316
1103226	74724
1103227	52364
1103228	72124
1103229	78884
1103230	74152
1103231	71500
1103232	69628
1103233	86112
1103234	96044
1103235	65468
1103236	66456
1103237	76648
1103238	161200
1103239	94432
1103240	63336
1103241	72488
1103242	68900
1103243	100412
1103244	59852
1103245	73632
1103246	119392
1103247	128648
1103248	69836
1103301	95316
1103302	87048
1103303	105196
1103304	117000
1103305	100724
1103306	86632
1103307	84500
1103308	89180
1103309	
1103310	101452
1103311	90220
1103312	112372
1103313	108316
1103314	96200
1103315	115232
1103316	
1103317	95732
1103318	111436
1103319	102336
1103320	
1103401	93444
1103402	82316
1103403	71916
1103404	81224
1103405	76336
1103406	92612
1103407	118404
1103408	122148
1103409	102856
1103410	78572
1103411	103428
1103412	82992
1103413	108316
1103414	66196
1103415	45032
1103416	69732
1103417	63856
1103418	40404
1103419	92300
1103501	108004
1103502	68224
1103503	94900
1103504	90220
1103505	100360
1103506	108316
1103507	82316
1103508	112632
1103509	85904
1103510	79612
1103511	95056
1103512	83564
1103513	86632
1103514	79456
1103515	68224
1103516	72748
1103517	97448
1103601	123448
1103602	121316
1103603	105560
1103604	97500
1103605	107484
1103606	86112
1103607	122720
1103608	80444
1103609	123032
1103610	97500
1103611	105872
1103612	65884
1103613	89648
1103614	91572
1103615	93600
1103616	103220
1103617	109772
1103618	124748
1103619	82836
1103620	72072
1103621	102336
1103622	96824
1103701	91364
1103702	96200
1103703	76752
1103704	109980
1103705	99112
1103706	81796
1103707	103012
1103708	94224
1103709	97084
1103710	95316
1103711	78884
1103712	95836
1103713	85748
1103714	100724
1103801	112008
1103802	102336
1103803	80132
1103804	82732
1103805	110968
1103806	76336
1103807	81224
1103808	52624
1103809	90220
1103810	107900
1103811	88972
1103812	95316
1103813	111436
1103814	79300
1103815	96200
1103816	96928
1103817	87256
1103901	126828
1103902	108316
1103903	92248
1103904	98176
1103905	119548
1103906	91676
1103908	120380
1103909	94224
1103911	101452
1103912	103428
1103913	112008
1103914	101816
1103915	111644
1103916	99632
1103917	107900
1103918	103324
1103919	52676
1103920	100724
1103921	123812
1103922	118612
1103923	105248
1103924	40144
1103925	108108
1103926	138112
1103927	107432
1103928	102076
1103929	102856
1103930	106548
1103931	95056
1104001	76648
1104002	49816
1104003	108004
1104004	80444
1104005	84500
1104006	69576
1104007	69316
1104008	
1104009	55952
1104010	46800
1104011	59904
1104012	82836
1104013	80184
1104014	72384
1104015	60632
1104016	80860
1104017	62088
1104018	76076
1104019	65520
1104020	59592
1104021	72124
1104022	63648
1104023	74048
1104024	82316
1104025	60892
1104026	57304
1104027	54600
1104028	76180
1104029	59384
1104030	60476
1104031	61152
1104032	62816
1104033	79092
1104034	84864
1104035	83044
1104036	94224
1104037	61724
1104038	62504
1104039	73840
1104040	73840
1104041	51428
1104042	61048
1104043	72124
1104044	59072
1104045	63752
1104046	66300
1104047	69056
1104048	73008
1104049	85540
1104050	74724
1104051	72540
1104052	91676
1104053	61724
1104054	96044
1104055	97500
1104056	91780
1104057	95836
1104058	93184
1104101	102648
1104102	110240
1104103	109564
1104104	117000
1104105	109668
1104106	106860
1104107	131404
1104108	
1104109	131716
1104110	116376
1104111	96668
1104112	104832
1104113	124384
1104114	114088
1104115	136500
1104116	116064
1104117	115804
1104118	
1104119	105508
1104120	110500
1104121	64220
1104122	113724
1104123	102336
1104124	92976
1104125	112996
1104201	61464
1104202	73944
1104203	82628
1104204	50024
1104205	59488
1104206	
1104207	113360
1104208	58864
1104209	84500
1104210	113360
1104211	108108
1104212	
1104213	67964
1104214	90324
1104215	77012
1104216	76024
1104217	63440
1104218	83044
1104219	73112
1104220	62608
1104221	64584
1104222	83044
1104223	66300
1104224	77012
1104225	83668
1104226	77116
1104227	69836
1104228	69316
1104229	68224
1104230	62088
1104231	59488
1104232	54184
1104233	60216
1104301	58500
1104302	71968
1104303	75244
1104304	81224
1104305	82524
1104306	
1104307	96772
1104308	78572
1104309	87724
1104310	84448
1104311	78884
1104312	44720
1104313	38636
1104314	47528
1104315	78832
1104316	74048
1104317	67600
1104318	76336
1104319	85176
1104320	85540
1104321	115700
1104322	91624
1104323	78676
1104324	103116
1104325	95524
1104326	98384
1104327	96200
1104328	104936
1104329	97500
1104330	86944
1104401	79040
1104402	94224
1104403	74048
1104404	84032
1104405	99320
1104406	84500
1104407	84500
1104408	79612
1104409	59124
1104410	46800
1104411	61724
1104412	97032
1104413	
1104414	75348
1104415	84500
1104416	74984
1104417	79196
1104418	
1104419	90324
1104420	75504
1104421	65832
1104422	79456
1104423	95836
1104424	77012
1104425	93184
1104426	88816
1104427	81224
1104428	74464
1104429	81692
1104430	75504
1104431	79248
1104432	78936
1104433	85176
1104434	72748
1104435	107536
1104436	80964
1104437	72280
1104438	101088
1104439	100256
1104440	39624
1104441	66404
1104442	81536
1104443	72176
1104444	61724
1104445	49192
1104446	44044
1104447	59020
1104448	66040
1104449	79612
1104450	93964
1104451	84500
1104452	79248
1104453	72124
1104454	82836
1104455	85748
1104456	104624
1104457	90376
1104458	88504
1104459	92768
1104501	72956
1104502	69784
1104503	73112
1104504	68536
1104505	59176
1104506	71812
1104507	67444
1104508	60944
1104509	64116
1104510	63856
1104511	68224
1104512	65832
1104513	68224
1104514	81692
1104515	69524
1104516	69524
1104517	82316
1104518	80808
1104519	73320
1104520	
1104521	68796
1104522	86632
1104523	66248
1104524	67652
1104601	70460
1104602	87724
1104603	63232
1104604	68536
1104605	63336
1104606	76544
1104607	83044
1104608	66404
1104609	65676
1104610	52780
1104611	48256
1104612	67288
1104613	
1104614	68692
1104615	68692
1104616	67288
1104617	61412
1104618	76336
1104619	57044
1104620	66872
1104621	79040
1104622	60944
1104623	46800
1104624	70096
1104625	46800
1104701	96460
1104702	86112
1104703	109772
1104704	87152
1104705	90584
1104706	100984
1104707	89492
1104708	92404
1104709	85072
1104710	56316
1104711	55640
1104712	109408
1104713	67288
1104714	152724
1104715	99424
1104716	108784
1104717	112268
1104718	79040
1104719	76596
1104720	109564
1104721	111488
1104722	90376
1104723	127764
1104724	103324
1104725	86632
1104726	82836
1104727	84500
1104728	83824
1104729	92196
1104730	102648
1104731	81224
1104732	81224
1104733	64012
1104734	75348
1104735	90324
1104736	90220
1104737	
1104801	63076
1104802	76440
1104803	78676
1104804	75192
1104805	91832
1104806	87048
1104807	78624
1104808	67184
1104809	63492
1104810	61568
1104811	72540
1104812	70720
1104813	70044
1104814	69472
1104815	57408
1104816	61724
1104817	67600
1104818	70876
1104819	73216
1104820	66612
1104821	43212
1104822	74464
1104823	70876
1104824	66872
1104825	59384
1104826	61724
1104827	67184
1104828	66300
1104829	71968
1104830	60216
1104831	77220
1104832	73632
1104833	54184
1104834	72280
1104835	50232
1104836	67184
1104837	72748
1104838	71500
1104840	68224
1104841	74984
1104842	63024
1104843	66612
1104844	82316
1104845	65364
1104846	56732
1104847	70304
1104848	76076
1104849	58448
1104901	122356
1104902	114608
1104903	114556
1104904	85748
1104905	118820
1104906	106548
1104907	100724
1104908	97500
1104909	
1104910	101816
1105001	83408
1105002	82316
1105003	85540
1105004	108056
1105005	93860
1105006	84500
1105007	76336
1105008	48880
1105009	72072
1105010	73944
1105011	71500
1105012	69108
1105013	63908
1105014	
1105015	79612
1105016	
1105017	40144
1105018	79456
1105019	83408
1105020	38792
1105021	39988
1105022	77480
1105024	69316
1105025	64428
1105026	72852
1105027	40820
1105028	48828
1105101	119132
1105102	83044
1105103	83200
1105104	125944
1105105	
1105106	99944
1105107	99632
1105108	111904
1105109	87360
1105110	114920
1105111	89336
1105112	79300
1105113	80444
1105114	115128
1105115	81692
1105116	125060
1105201	67652
1105202	92508
1105203	66300
1105204	77636
1105205	72176
1105206	63752
1105207	59540
1105208	68588
1105209	61360
1105210	53456
1105211	
1105213	75348
1105214	85488
1105215	67600
1105216	76232
1105301	47112
1105302	55900
1105303	57096
1105304	67600
1105305	91936
1105306	96200
1105307	65624
1105308	61516
1105309	75816
1105310	72280
1105311	65832
1105312	88192
1105313	74048
1105314	68484
1105315	78416
1105316	65780
1105317	53040
1105318	65572
1105319	79612
1105320	77116
1105321	74932
1105322	106756
1105323	
1105324	90324
1105325	58500
1105326	85540
1105327	59124
1105328	50024
1105329	55224
1105330	56732
1105331	62088
1105332	57772
1105333	58500
1105334	53664
1105335	58500
1105336	77376
1105337	70772
1105401	64064
1105402	61724
1105403	48048
1105404	52468
1105405	66248
1105406	40404
1105407	77220
1105408	75816
1105409	71500
1105410	74152
1105411	92456
1105412	93600
1105413	99632
1105414	82316
1105415	
1105416	
1105417	70772
1105418	58500
1105419	52572
1105420	64428
1105421	66872
1105422	82056
1105423	66404
1105424	74048
1105501	79300
1105502	83876
1105503	77168
1105504	71500
1105505	104832
1105506	68952
1105507	78468
1105508	78884
1105509	109928
1105510	93756
1105511	114920
1105512	94224
1105513	102336
1105514	116064
1105601	100308
1105602	111332
1105603	97500
1105604	84500
1105605	95316
1105606	109980
1105607	94484
1105608	86632
1105609	73892
1105612	100048
1105613	93184
1105614	83876
1105615	82524
1105616	71500
1105617	84500
1105618	103480
1105620	89856
1105621	
1105622	95732
1105623	89180
1105624	84500
1105625	92092
1105626	104208
1105627	84500
1105628	100568
1105629	88660
1105630	62452
1105631	97500
1105632	86112
1105633	84500
1105701	83252
1105702	73528
1105703	80756
1105704	70980
1105705	121316
1105706	59176
1105707	65416
1105708	74724
1105709	91624
1105710	46020
1105711	58500
1105712	61048
1105713	48984
1105714	75816
1105715	53872
1105716	49348
1105717	74880
1105718	62296
1105719	60476
1105720	71500
1105801	121316
1105802	105092
1105804	68900
1105805	69316
1105806	126724
1105807	58500
1105808	55224
1105809	119132
1105811	100048
1105813	91572
1105814	112632
1105815	73892
1105816	79872
1105817	73372
1105818	74048
1105819	69472
1105820	59176
1105821	62504
1105822	55900
1105823	75608
1105824	65624
1105825	63180
1105826	92612
1105827	63232
1105828	72644
1105829	54600
1105830	70408
1105831	87048
1105832	78624
1105833	47528
1105834	70668
1105835	103324
1105836	58500
1105837	85748
1105838	95732
1105839	87932
1105840	95836
1105841	
1105842	127764
1105843	53456
1105844	106756
1105845	86424
1105846	74724
1105847	99632
1105848	81900
1105849	
1105850	76648
1105851	45032
1105852	
1105853	56108
1105854	64220
1105855	74048
1105856	76648
1105857	62816
1105858	
1105859	119964
1105860	117000
1105861	124384
1105862	137800
1105863	120068
1105864	116220
1105901	96772
1105902	77376
1105903	92612
1105904	
1105905	43004
1105906	46176
1105907	53040
1105908	53040
1105910	103636
1105912	65832
1105913	91676
1105914	69316
1105915	80444
1105916	124748
1105917	117364
1105918	103376
1105919	102648
1105920	92248
1105921	117000
1105922	73840
1105923	83148
1105924	67860
1105925	118196
1105926	106756
1105927	45032
1106001	94224
1106002	100724
1106003	61256
1106004	87048
1106005	48048
1106006	95160
1106007	62348
1106008	92612
1106009	108888
1106010	69732
1106011	76180
1106012	106600
1106013	104728
1106014	104988
1106015	93860
1106016	91780
1106017	89648
1106018	77324
1106019	74516
1106020	100724
1106021	
1106101	74724
1106102	94692
1106103	92092
1106104	93600
1106105	60632
1106106	72956
1106107	94224
1106108	94796
1106109	63648
1106110	59644
1106111	63648
1106112	74932
1106113	
1106114	82108
1106115	89648
1106116	68432
1106201	42536
1106202	54964
1106203	74048
1106204	61256
1106205	87256
1106206	73320
1106207	53612
1106208	59280
1106209	64428
1106210	61984
1106211	57096
1106212	68692
1106213	70564
1106214	88348
1106215	74724
1106216	75348
1106217	92300
1106218	67184
1106219	81224
1106220	99112
1106221	84500
1106222	63856
1106223	
1106224	35724
1106225	
1106301	
1106302	
1106303	64428
1106304	91364
1106305	92456
1106306	50648
1106307	
1106308	55224
1106309	49348
1106310	55796
1106311	56576
1106312	57668
1106313	65364
1106314	74724
1106315	71500
1106316	61412
1106317	48932
1106318	38324
1106319	40716
1106320	50388
1106321	66768
1106322	56108
1106323	66976
1106324	60424
1106325	69628
1106326	71500
1106327	89856
1106328	82628
1106329	71500
1106401	60892
1106402	69316
1106403	65624
1106404	58500
1106405	42640
1106406	54340
1106407	92456
1106408	70304
1106409	55224
1106410	63492
1106411	66092
1106412	79040
1106413	79300
1106414	68224
1106415	49868
1106416	66872
1106417	68224
1106418	70200
1106501	61048
1106502	49088
1106503	49140
1106504	68588
1106505	57460
1106506	73320
1106507	57304
1106508	73320
1106509	73632
1106510	100724
1106511	76960
1106512	64116
1106513	61724
1106514	63076
1106515	60112
1106516	79248
1106517	75816
1106518	75088
1106519	75816
1106520	79300
1106521	74724
1106522	74256
1106523	93184
1106524	94224
1106525	79300
1106526	75660
1106527	44564
1106528	55536
1106529	86112
1106601	42640
1106602	99632
1106603	74724
1106604	65572
1106605	66196
1106606	42848
1106607	47060
1106608	62816
1106609	61724
1106610	55692
1106611	72072
1106612	63492
1106613	76492
1106701	62816
1106702	104624
1106703	100048
1106704	61724
1106705	108732
1106706	91676
1106707	106184
1106708	78676
1106709	67600
1106710	96304
1106711	74048
1106712	68068
1106713	88816
1106714	59176
1106715	80288
1106716	87724
1106717	69056
1106718	91780
1106719	52936
1106720	61360
1106721	58500
1106722	60892
1106723	79248
1106724	81692
1106725	105144
1106726	80444
1106727	47528
1106728	59176
1106729	64116
1106801	69836
1106802	37700
1106803	47528
1106804	46800
1106805	64116
1106806	71500
1106807	53612
1106808	72176
1106809	73840
1106810	86632
1106811	77220
1106901	91780
1106902	64324
1106903	105404
1106904	79040
1106905	63648
1106906	56316
1106907	86632
1106908	74724
1106909	60424
1106910	94900
1106911	40040
1106912	53040
1106913	86632
1106914	75348
1106915	69108
1106916	66612
1106917	73320
1106918	84500
1106919	69316
1107001	104884
1107002	84500
1107003	63180
1107004	66612
1107005	66092
1107006	50908
1107007	56524
1107008	123448
1107009	
1107010	67600
1107011	60424
1107012	62348
1107013	67184
1107014	71500
1107015	59592
1107016	52572
1107017	113724
1107018	72748
1107019	63180
1107020	46800
1107021	42744
1107022	87724
1107023	54184
1107024	72540
1107025	101192
1107026	73632
1107027	72748
1107028	69472
1107029	68224
1107030	115700
1107031	
1107032	57460
1107101	50648
1107102	84500
1107103	60632
1107104	70460
1107105	95628
1107106	78520
1107107	65520
1107108	83564
1107109	97500
1107110	94692
1107111	95628
1107112	97500
1107113	46124
1107114	107692
1107115	97500
1107116	90012
1107117	84500
1107118	
1107119	72540
1107120	88348
1107121	76076
1107122	53040
1107123	44200
1107124	62244
1107125	68224
1107126	67184
1107127	82836
1107128	61724
1107201	75192
1107202	66768
1107203	57668
1107204	42640
1107205	70876
1107206	117000
1107207	107224
1107208	71500
1107209	70408
1107210	81224
1107211	107796
1107212	108316
1107214	100724
1107215	79092
1107216	62452
1107217	94224
1107218	97500
1107219	74516
1107220	61984
1107221	68224
1107222	127348
1107224	51220
1107225	116272
1107226	104416
1107227	117676
1107228	115596
1107301	
1107302	59748
1107303	60944
1107304	62816
1107305	40456
1107306	49348
1107307	47424
1107308	40144
1107309	63648
1107310	60840
1107311	58500
1107312	47424
1107313	73112
1107314	63336
1107401	68224
1107402	76856
1107403	70564
1107404	70200
1107405	51428
1107406	49348
1107407	66040
1107408	79612
1107409	60892
1107410	71500
1107411	83408
1107412	67600
1107413	60476
1107414	85384
1107415	69316
1107416	92872
1107417	84500
1107418	104988
1107419	59384
1107420	86320
1107421	104832
1107422	67600
1107423	39052
1107425	49920
1107426	59332
1107427	78780
1107501	
1107601	97500
1107602	97500
1107603	88088
1107604	63856
1107605	85176
1107606	66092
1107607	66456
1107608	60424
1107609	78884
1107610	76492
1107611	54184
1107612	67756
1107613	88816
1107614	119288
1107615	117000
1107616	113360
1107617	79456
1107618	69836
1107619	87724
1107620	76856
1107621	100724
1107701	101816
1107702	108888
1107703	115336
1107704	74048
1107705	94224
1107706	95836
1107707	91884
1107708	96200
1107709	98748
1107710	51428
1107711	113724
1107712	92612
1107713	58032
1107714	62088
1107715	80600
1107716	98540
1107717	87984
1107718	69316
1107719	61256
1107720	74984
1107721	69836
1107722	69056
1107723	72280
1107724	69316
1107725	86892
1107726	65884
1107727	75816
1107728	84500
1107729	77012
1107730	75088
1107731	73216
1107732	75816
1107733	43836
1107734	61984
1107735	
1107736	114816
1107737	125060
1107738	97500
1107739	97448
1107740	74880
1107741	57408
1107742	74724
1107743	81224
1107744	70824
1107745	54964
1107746	71032
1107747	39208
1107748	56316
1107749	52728
1107750	37336
1107751	47528
1107752	53768
1107753	114088
1107754	93444
1107801	69316
1107802	68900
1107804	76492
1107805	57408
1107806	80600
1107807	118820
1107808	37700
1107809	143000
1107810	101816
1107811	91728
1107812	88816
1107813	115804
1107814	96928
1107815	74152
1107816	100048
1107817	78416
1107818	115856
1107819	100724
1107820	111800
1107821	102648
1107822	94224
1107823	113412
1107824	106860
1107825	108004
1107826	87048
1107827	108836
1107828	74152
1107829	73788
1107830	68224
1107831	113932
1107833	123448
1107834	134524
1107835	133224
1107836	81588
1107837	39780
1107838	70876
1107839	66612
1107840	99112
1107841	106184
1107842	107484
1107843	110500
1107844	106600
1107845	112216
1107901	63180
1107902	73632
1107903	65936
1107904	73476
1107905	71500
1107906	58500
1107907	115960
1107908	81224
1107909	112268
1107910	84500
1107911	107900
1107912	108316
1107913	110812
1107914	96408
1107915	111228
1107916	108316
1107917	80756
1107918	74724
1107919	71500
1107920	65936
1107921	71500
1107922	114192
1107923	87724
1107924	98748
1107925	92768
1107926	101816
1107927	108888
1107928	130988
1107929	118820
1107930	110136
1107931	127764
1107932	87724
1107933	95836
1107934	68224
1107935	106600
1107936	104728
1108001	75192
1108002	84500
1108003	75192
1108004	
1108005	48828
1108006	49816
1108007	50336
1108008	40820
1108009	41392
1108010	53820
1108011	52572
1108012	46488
1108013	56316
1108014	50804
1108015	73944
1108016	67444
1108017	62816
1108018	63024
1108019	56940
1108020	59176
1108021	62504
1108022	66040
1108023	57200
1108024	56316
1108025	65468
1108026	
1108027	80756
1108028	84500
1108029	76856
1108030	76440
1108031	64116
1108032	59748
1108033	75816
1108034	62348
1108036	69316
1108037	56524
1108038	60632
1108039	67184
1108040	88816
1108041	59904
1108042	64012
1108043	59852
1108044	67808
1108046	46124
1108047	50232
1108048	48412
1108049	57408
1108050	57772
1108051	
1108052	48048
1108053	68588
1108054	67132
1108055	50232
1108101	53612
1108102	52520
1108103	42900
1108104	57200
1108105	57564
1108106	43836
1108107	66612
1108108	62192
1108109	63336
1108110	49608
1108111	
1108112	46384
1108113	58500
1108114	53300
1108115	76648
1108116	62816
1108117	70200
1108118	91624
1108119	39884
1108120	53768
1108121	47268
1108122	49660
1108123	66040
1108124	61152
1108125	70564
1108126	66248
1108127	72540
1108128	76648
1108129	56316
1108130	61048
1108131	71032
1108132	52728
1108133	48308
1108134	70096
1108135	60320
1108136	60268
1108137	61724
1108138	59748
1108139	75816
1108140	62816
1108141	84500
1108143	51272
1108144	55692
1108145	50492
1108146	54756
1108147	46800
1108148	53612
1108149	56836
1108150	59904
1108151	71448
1108152	97500
1108201	23400
1108202	43888
1108203	54288
1108204	57720
1108205	60476
1108206	49348
1108207	65208
1108208	74360
1108209	48048
1108210	
1108211	49660
1108212	52416
1108213	53508
1108214	63648
1108215	50336
1108216	62816
1108217	52884
1108218	59644
1108219	57408
1108220	50492
1108221	41132
1108222	48932
1108223	67600
1108224	52780
1108225	67704
1108226	54288
1108227	59488
1108228	73632
1108229	54860
1108230	50232
1108231	55536
1108232	60892
1108233	50700
1108234	53924
1108235	66092
1108236	
1108237	51584
1108238	64532
1108239	74724
1108240	67288
1108241	44928
1108242	42016
1108243	69316
1108244	47528
1108245	85124
1108301	60632
1108302	66248
1108303	61412
1108304	65884
1108305	62452
1108306	54184
1108307	60320
1108308	64220
1108309	75452
1108310	78624
1108311	49348
1108312	53456
1108313	66612
1108314	67184
1108315	72124
1108316	66872
1108317	61984
1108401	79404
1108402	
1108403	49088
1108404	60112
1108405	65572
1108406	75504
1108407	69108
1108408	60112
1108409	82316
1108410	71500
1108411	58500
1108412	82316
1108413	67600
1108414	61516
1108415	104676
1108416	60112
1108417	77012
1108418	57928
1108419	78624
1108420	81224
1108421	70564
1108422	59748
1108423	80756
1108424	71500
1108425	96200
1108426	79092
