SA1_7DIGITCODE_2016	medianTotalFamilyIncome
1100701	73112
1100702	98904
1100703	71500
1100704	71500
1100705	71500
1100706	56836
1100707	65936
1100708	77532
1100709	117000
1100710	60840
1100801	129116
1100802	115128
1100803	71500
1100804	70876
1100805	35620
1100806	99632
1100807	91728
1100808	89648
1100809	
1100810	128492
1100811	105040
1100812	158548
1100813	138112
1100814	120952
1100815	89856
1100816	68588
1100817	86632
1100818	75816
1100819	125216
1100820	112632
1100821	127764
1100822	132548
1100823	127348
1100901	114400
1100902	112372
1100904	109772
1100905	102076
1100907	104728
1100908	88192
1100909	63232
1100910	70200
1100911	99112
1100912	101816
1100913	105508
1100914	92456
1100915	72384
1100916	102024
1100917	110500
1100918	110500
1100919	102752
1100920	71500
1100921	85748
1100923	112320
1100924	
1100925	99424
1100926	92040
1100927	117000
1100928	105716
1100929	92872
1101001	77012
1101002	163592
1101003	148512
1101004	125892
1101006	76076
1101007	75504
1101008	74360
1101009	102856
1101010	92456
1101011	110448
1101012	112632
1101013	
1101014	169000
1101015	70356
1101016	134056
1101017	100724
1101101	137592
1101102	144820
1101103	131248
1101104	101192
1101105	145860
1101106	135772
1101107	125216
1101108	93860
1101109	143000
1101110	119548
1101111	138008
1101112	97500
1101113	110500
1101115	166608
1101116	109200
1101117	114816
1101118	93184
1101119	158600
1101120	139256
1101122	124384
1101123	143000
1101125	117988
1101126	117780
1101127	171860
1101128	139724
1101129	154492
1101130	169000
1101131	161200
1101132	174148
1101133	151944
1101134	133900
1101135	136500
1101136	160316
1101137	179348
1101139	189228
1101140	131872
1101141	130572
1101142	161564
1101143	144040
1101144	154336
1101145	146016
1101146	151216
1101147	141284
1101148	155220
1101149	154960
1101150	157456
1101151	160316
1101152	161564
1101201	147316
1101202	189592
1101203	156728
1101204	186888
1101205	198692
1101206	190112
1101207	121316
1101208	113256
1101209	168220
1101210	143000
1101211	177892
1101212	131404
1101213	149448
1101214	157716
1101215	149448
1101216	162500
1101217	58500
1101218	117884
1101219	104728
1101220	115544
1101221	123448
1101222	145548
1101223	121628
1101224	175864
1101225	
1101226	
1101227	242008
1101228	115128
1101229	108316
1101230	65884
1101231	125216
1101232	167128
1101301	60840
1101302	74048
1101303	76648
1101304	65676
1101305	91936
1101306	72748
1101307	71500
1101308	81224
1101401	55900
1101402	74048
1101403	67340
1101404	61256
1101405	64116
1101406	68484
1101407	94224
1101408	85748
1101409	88192
1101410	64324
1101411	72540
1101412	74464
1101413	54600
1101414	96564
1101415	73632
1101417	61724
1101418	92456
1101419	79924
1101501	
1101502	
1101503	47632
1101505	88816
1101511	58500
1101512	53612
1101514	86112
1101515	80184
1101516	109564
1101517	60632
1101518	81224
1101519	101816
1101520	84500
1101521	79612
1101522	105092
1101523	99112
1101524	67184
1101601	66248
1101602	73424
1101603	74152
1101604	105248
1101605	106184
1101606	94224
1101607	60320
1101608	99632
1101609	113256
1101610	97500
1101611	108732
1101612	56524
1101613	102856
1101614	85124
1101615	92456
1101616	79092
1101617	93600
1101618	109616
1101619	81588
1101620	67132
1101701	49660
1101702	61724
1101703	65676
1101704	50492
1101705	48048
1101706	43680
1101707	
1101708	67600
1101709	71136
1101710	71500
1101711	71500
1101712	56420
1101713	55224
1101714	
1101715	
1101716	55796
1101717	50232
1101718	44564
1101719	57408
1101720	69316
1101721	57980
1101722	59956
1101801	68796
1101802	72748
1101803	69472
1101804	76856
1101805	74724
1101806	55744
1101807	59592
1101808	50492
1101809	70668
1101810	56732
1101811	57408
1101812	53612
1101813	75816
1101814	69108
1101815	68796
1101816	66300
1101817	67860
1101818	63388
1101819	63492
1101820	52520
1101821	60112
1101822	66404
1101823	53144
1101824	
1101901	60320
1101902	57824
1101903	54340
1101904	59904
1101905	48620
1101906	75348
1101907	71500
1101909	60632
1101911	75088
1101912	68692
1101913	70616
1101914	82836
1101915	73632
1101916	74724
1101917	76752
1101918	99632
1101919	92092
1101920	66040
1101921	75816
1101922	66300
1101923	67288
1102001	74984
1102002	78520
1102003	69732
1102004	60840
1102005	43316
1102006	42068
1102007	70408
1102008	68900
1102009	
1102010	
1102011	72540
1102012	
1102013	53612
1102014	61048
1102015	56732
1102016	55224
1102017	80132
1102018	57564
1102019	59904
1102020	64584
1102021	
1102022	59748
1102023	102856
1102024	54184
1102025	54964
1102026	48724
1102027	63856
1102028	71864
1102029	61412
1102030	49868
1102031	70408
1102032	46124
1102101	77428
1102102	72748
1102104	64428
1102105	73944
1102106	60944
1102107	86632
1102108	69316
1102109	84500
1102201	71448
1102301	56160
1102302	68432
1102303	77012
1102304	58500
1102305	57876
1102306	55224
1102307	46020
1102308	47736
1102309	65728
1102310	
1102401	59384
1102402	59124
1102403	57044
1102404	67184
1102405	63076
1102406	68900
1102407	58500
1102408	62504
1102409	77220
1102410	62348
1102411	59072
1102412	75348
1102501	
1102502	60320
1102503	47944
1102504	62816
1102505	50908
1102506	75608
1102507	94224
1102508	60164
1102509	88816
1102510	69316
1102511	71500
1102512	62348
1102513	62296
1102514	50492
1102516	75816
