SA1_7DIGITCODE_2016	AustCitizen	persons
1101113	1	114
1101115	0	30
1101115	1	341
1101116	0	72
1101116	1	261
1101117	0	52
1101117	1	240
1101118	0	52
1101118	1	376
1101119	0	11
1101119	1	291
1101120	0	62
1101120	1	450
1101122	0	29
1101122	1	264
1101123	0	16
1101123	1	194
1101125	0	53
1101125	1	519
1101126	0	64
1101126	1	386
1101127	0	31
1101127	1	317
1101128	0	44
1101128	1	210
1101129	0	32
1101129	1	369
1101130	0	70
1101130	1	557
1101131	0	18
1101131	1	195
1101132	0	29
1101132	1	246
1101133	0	31
1101133	1	299
1101134	0	20
1101134	1	249
1101135	0	33
1101135	1	313
1101136	0	26
1101136	1	300
1101137	0	39
1101137	1	306
1101139	0	33
1101139	1	201
1101140	0	23
1101140	1	334
1101141	0	55
1101141	1	507
1101142	0	36
1101142	1	268
1101143	0	31
1101143	1	222
1101144	0	35
1101144	1	210
1101145	0	43
1101145	1	428
1101146	0	38
1101146	1	265
1101147	0	45
1101147	1	351
1101148	0	52
1101148	1	250
1101149	0	47
1101149	1	282
1101150	0	43
1101150	1	324
1101151	0	5
1101151	1	124
1101152	0	37
1101152	1	433
1101201	0	16
1101201	1	193
1101202	0	21
1101202	1	250
1101203	0	47
1101203	1	533
1101204	0	16
1101204	1	354
1101205	0	27
1101205	1	297
1101206	0	17
1101206	1	369
1101207	0	16
1101207	1	208
1101208	0	52
1101208	1	373
1101209	0	65
1101209	1	720
1101210	0	29
1101210	1	423
1101211	0	50
1101211	1	580
1101212	0	20
1101212	1	310
1101213	0	33
1101213	1	489
1101214	0	26
1101214	1	502
1101215	0	30
1101215	1	418
1101216	0	17
1101216	1	302
1101217	0	6
1101217	1	24
1101218	0	36
1101218	1	453
1101219	0	92
1101219	1	496
1101220	0	56
1101220	1	424
1101221	0	37
1101221	1	290
1101222	0	44
1101222	1	513
1101223	0	71
1101223	1	512
1101224	0	34
1101224	1	503
1101225	0	0
1101225	1	0
1101226	0	0
1101226	1	0
1101227	0	28
1101227	1	388
1101228	0	31
1101228	1	366
1101229	0	59
1101229	1	382
1101230	0	31
1101230	1	201
1101231	0	39
1101231	1	294
1101232	0	27
1101232	1	432
1101301	0	36
1101301	1	241
1101302	0	60
1101302	1	416
1101303	0	30
1101303	1	267
1101304	0	32
1101304	1	401
1101305	0	27
1101305	1	241
1101306	0	21
1101306	1	124
1101307	0	28
1101307	1	287
1101308	0	16
1101308	1	174
1101401	0	60
1101401	1	211
1101402	0	55
1101402	1	318
1101403	0	45
1101403	1	353
1101404	0	45
1101404	1	403
1101405	0	34
1101405	1	364
1101406	0	49
1101406	1	447
1101407	0	41
1101407	1	396
1101408	0	32
1101408	1	186
1101409	0	89
1101409	1	311
1101410	0	47
1101410	1	328
1101411	0	241
1101411	1	313
1101412	0	70
1101412	1	489
1101413	0	40
1101413	1	282
1101414	0	14
1101414	1	162
1101415	0	55
1101415	1	420
1101417	0	4
1101417	1	20
1101418	0	23
1101418	1	335
1101419	0	43
1101419	1	422
1101501	0	0
1101501	1	0
1101502	0	0
1101502	1	6
1101503	0	21
1101503	1	209
1101505	0	2
1101505	1	86
1101511	0	30
1101511	1	180
1101512	0	18
1101512	1	125
1101514	0	9
1101514	1	169
1101515	0	47
1101515	1	211
1101516	0	21
1101516	1	133
1101517	0	26
1101517	1	143
1101518	0	29
1101518	1	255
1101519	0	28
1101519	1	293
1101520	0	19
1101520	1	131
1101521	0	46
1101521	1	282
1101522	0	49
1101522	1	303
1101523	0	22
1101523	1	172
1101524	0	35
1101524	1	185
1101601	0	34
1101601	1	68
1101602	0	50
1101602	1	388
1101603	0	17
1101603	1	271
1101604	0	26
1101604	1	188
1101605	0	37
1101605	1	199
1101606	0	47
1101606	1	441
1101607	0	14
1101607	1	191
1101608	0	17
1101608	1	292
1101609	0	46
1101609	1	255
1101610	0	81
1101610	1	699
1101611	0	142
1101611	1	247
1101612	0	27
1101612	1	48
1101613	0	22
1101613	1	207
1101614	0	49
1101614	1	308
1101615	0	47
1101615	1	319
1101616	0	72
1101616	1	359
1101617	0	79
1101617	1	335
1101618	0	70
1101618	1	534
1101619	0	51
1101619	1	471
1101620	0	43
1101620	1	154
1101701	0	73
1101701	1	526
1101702	0	27
1101702	1	227
1101703	0	46
1101703	1	354
1101704	0	70
1101704	1	350
1101705	0	37
1101705	1	201
1101706	0	80
1101706	1	419
1101707	0	0
1101707	1	3
1101708	0	33
1101708	1	314
1101709	0	63
1101709	1	594
1101710	0	46
1101710	1	478
1101711	0	48
1101711	1	260
1101712	0	48
1101712	1	475
1101713	0	27
1101713	1	363
1101714	0	0
1101714	1	0
1101715	0	0
1101715	1	0
1101716	0	40
1101716	1	415
1101717	0	28
1101717	1	222
1101718	0	61
1101718	1	313
1101719	0	34
1101719	1	337
1101720	0	19
1101720	1	226
1101721	0	24
1101721	1	325
1101722	0	49
1101722	1	441
1101801	0	54
1101801	1	266
1101802	0	30
1101802	1	259
1101803	0	26
1101803	1	347
1101804	0	23
1101804	1	146
1101805	0	39
1101805	1	245
1101806	0	52
1101806	1	396
1101807	0	55
1101807	1	385
1101808	0	69
1101808	1	440
1101809	0	61
1101809	1	277
1101810	0	37
1101810	1	271
1101811	0	18
1101811	1	299
1101812	0	46
1101812	1	371
1101813	0	46
1101813	1	230
1101814	0	40
1101814	1	217
1101815	0	51
1101815	1	266
1101816	0	47
1101816	1	334
1101817	0	74
1101817	1	571
1101818	0	20
1101818	1	472
1101819	0	24
1101819	1	377
1101820	0	28
1101820	1	271
1101821	0	17
1101821	1	168
1101822	0	37
1101822	1	414
1101823	0	66
1101823	1	372
1101824	0	0
1101824	1	0
1101901	0	62
1101901	1	422
1101902	0	36
1101902	1	402
1101903	0	21
1101903	1	230
1101904	0	50
1101904	1	369
1101905	0	51
1101905	1	348
1101906	0	43
1101906	1	405
1101907	0	16
1101907	1	308
1101909	0	30
1101909	1	274
1101911	0	22
1101911	1	385
1101912	0	30
1101912	1	355
1101913	0	53
1101913	1	373
1101914	0	93
1101914	1	615
1101915	0	32
1101915	1	179
1101916	0	78
1101916	1	443
1101917	0	70
1101917	1	660
1101918	0	20
1101918	1	265
1101919	0	29
1101919	1	238
1101920	0	27
1101920	1	268
1101921	0	32
1101921	1	247
1101922	0	58
1101922	1	276
1101923	0	64
1101923	1	424
1102001	0	35
1102001	1	400
1102002	0	38
1102002	1	484
1102003	0	43
1102003	1	351
1102004	0	52
1102004	1	283
1102005	0	26
1102005	1	257
1102006	0	32
1102006	1	298
1102007	0	19
1102007	1	335
1102008	0	34
1102008	1	318
1102009	0	2
1102009	1	9
1102010	0	0
1102010	1	0
1102011	0	32
1102011	1	301
1102012	0	0
1102012	1	0
1102013	0	6
1102013	1	156
1102014	0	26
1102014	1	215
1102015	0	25
1102015	1	165
1102016	0	18
1102016	1	241
1102017	0	23
1102017	1	212
1102018	0	31
1102018	1	374
1102019	0	22
1102019	1	264
1102020	0	50
1102020	1	453
1102021	0	0
1102021	1	0
1102022	0	30
1102022	1	290
1102023	0	29
1102023	1	278
1102024	0	30
1102024	1	227
1102025	0	45
1102025	1	314
1102026	0	14
1102026	1	181
1102027	0	26
1102027	1	208
1102028	0	34
1102028	1	379
1102029	0	34
1102029	1	281
1102030	0	49
1102030	1	339
1102031	0	17
1102031	1	134
1102032	0	41
1102032	1	182
1102101	0	28
1102101	1	381
1102102	0	32
1102102	1	185
1102104	0	76
1102104	1	559
1102105	0	51
1102105	1	378
1102106	0	102
1102106	1	473
1102107	0	55
1102107	1	514
1102108	0	21
1102108	1	397
1102109	0	1
1102109	1	37
1102201	0	9
1102201	1	16
1102301	0	42
1102301	1	331
1102302	0	43
1102302	1	357
1102303	0	31
1102303	1	286
1102304	0	32
1102304	1	142
1102305	0	67
1102305	1	428
1102306	0	31
1102306	1	316
1102307	0	33
1102307	1	250
1102308	0	58
1102308	1	466
1102309	0	36
1102309	1	263
1102310	0	-4
1102310	1	8
1102401	0	22
1102401	1	223
1102402	0	29
1102402	1	271
1102403	0	22
1102403	1	231
1102404	0	41
1102404	1	382
1102405	0	22
1102405	1	224
1102406	0	15
1102406	1	230
1102407	0	22
1102407	1	258
1102408	0	25
1102408	1	266
1102409	0	23
1102409	1	229
1102410	0	21
1102410	1	191
1102411	0	25
1102411	1	184
1102412	0	47
1102412	1	294
1102501	0	0
1102501	1	0
1102502	0	38
1102502	1	288
1102503	0	86
1102503	1	251
1102504	0	52
1102504	1	236
1102505	0	27
1102505	1	195
1102506	0	25
1102506	1	298
1102507	0	22
1102507	1	222
1102508	0	40
1102508	1	518
1102509	0	41
1102509	1	124
1102510	0	33
1102510	1	319
1102511	0	46
1102511	1	353
1102512	0	55
1102512	1	485
1102513	0	46
1102513	1	419
1102514	0	24
1102514	1	205
1102516	0	28
1102516	1	282
1102517	0	33
1102517	1	298
1102518	0	51
1102518	1	463
1102519	0	24
1102519	1	236
1102520	0	45
1102520	1	494
1102521	0	50
1102521	1	258
1102522	0	18
1102522	1	308
1102523	0	16
1102523	1	167
1102524	0	16
1102524	1	247
1102525	0	38
1102525	1	408
1102526	0	35
1102526	1	484
1102527	0	49
1102527	1	378
1102528	0	84
1102528	1	587
1102529	0	40
1102529	1	312
1102530	0	14
1102530	1	338
1102531	0	0
1102531	1	0
1102532	0	37
1102532	1	351
1102601	0	42
1102601	1	441
1102602	0	48
1102602	1	548
1102603	0	29
1102603	1	295
1102604	0	21
1102604	1	284
1102605	0	48
1102605	1	482
1102606	0	38
1102606	1	264
1102607	0	41
1102607	1	354
1102608	0	31
1102608	1	343
1102609	0	33
1102609	1	372
1102610	0	24
1102610	1	207
1102611	0	27
1102611	1	228
1102612	0	28
1102612	1	204
1102613	0	20
1102613	1	247
1102614	0	52
1102614	1	540
1102615	0	37
1102615	1	347
1102616	0	27
1102616	1	196
1102617	0	37
1102617	1	208
1102618	0	32
1102618	1	271
1102619	0	38
1102619	1	348
1102620	0	48
1102620	1	277
1102621	0	46
1102621	1	266
1102622	0	37
1102622	1	218
1102623	0	37
1102623	1	216
1102701	0	31
1102701	1	220
1102702	0	49
1102702	1	291
1102703	0	20
1102703	1	154
1102704	0	39
1102704	1	244
1102705	0	65
1102705	1	358
1102706	0	45
1102706	1	464
1102707	0	53
1102707	1	462
1102708	0	56
1102708	1	298
1102709	0	45
1102709	1	511
1102710	0	24
1102710	1	186
1102711	0	0
1102711	1	0
1102712	0	55
1102712	1	371
1102713	0	45
1102713	1	372
1102714	0	0
1102714	1	4
1102715	0	-2
1102715	1	19
1102716	0	0
1102716	1	0
1102717	0	25
1102717	1	244
1102718	0	31
1102718	1	276
1102719	0	49
1102719	1	342
1102720	0	11
1102720	1	257
1102721	0	52
1102721	1	556
1102722	0	38
1102722	1	75
1102723	0	22
1102723	1	233
1102724	0	60
1102724	1	381
1102725	0	39
1102725	1	284
1102726	0	8
1102726	1	202
1102727	0	37
1102727	1	370
1102728	0	45
1102728	1	295
1102729	0	48
1102729	1	540
1102801	0	0
1102801	1	0
1102802	0	59
1102802	1	549
1102803	0	88
1102803	1	529
1102804	0	23
1102804	1	218
1102805	0	47
1102805	1	280
1102806	0	67
1102806	1	465
1102807	0	48
1102807	1	378
1102808	0	54
1102808	1	343
1102809	0	61
1102809	1	577
1102810	0	47
1102810	1	436
1102811	0	36
1102811	1	399
1102812	0	55
1102812	1	368
1102813	0	35
1102813	1	307
1102814	0	42
1102814	1	367
1102815	0	40
1102815	1	350
1102816	0	24
1102816	1	226
1102817	0	39
1102817	1	349
1102818	0	67
1102818	1	352
1102901	0	26
1102901	1	283
1102902	0	23
1102902	1	278
1102903	0	23
1102903	1	422
1102904	0	53
1102904	1	472
1102905	0	47
1102905	1	349
1102906	0	18
1102906	1	204
1102907	0	32
1102907	1	273
1102908	0	28
1102908	1	355
1102909	0	25
1102909	1	343
1102910	0	34
1102910	1	448
1102911	0	52
1102911	1	421
1102912	0	36
1102912	1	393
1102913	0	15
1102913	1	304
1102914	0	25
1102914	1	263
1102915	0	39
1102915	1	473
1102916	0	28
1102916	1	361
1102917	0	26
1102917	1	219
1102918	0	31
1102918	1	349
1102919	0	48
1102919	1	324
1102920	0	-1
1102920	1	7
1102921	0	0
1102921	1	0
1102922	0	40
1102922	1	491
1102923	0	38
1102923	1	334
1102924	0	44
1102924	1	457
1102925	0	40
1102925	1	514
1102926	0	33
1102926	1	276
1102927	0	77
1102927	1	500
1102928	0	74
1102928	1	610
1103002	0	92
1103002	1	499
1103003	0	36
1103003	1	215
1103004	0	57
1103004	1	320
1103005	0	31
1103005	1	233
1103006	0	44
1103006	1	340
1103007	0	47
1103007	1	344
1103008	0	19
1103008	1	202
1103009	0	50
1103009	1	321
1103010	0	62
1103010	1	346
1103011	0	186
1103011	1	406
1103012	0	31
1103012	1	361
1103013	0	4
1103013	1	25
1103014	0	34
1103014	1	411
1103101	0	28
1103101	1	309
1103102	0	49
1103102	1	260
1103103	0	39
1103103	1	331
1103104	0	73
1103104	1	405
1103105	0	45
1103105	1	431
1103106	0	39
1103106	1	209
1103107	0	6
1103107	1	27
1103108	0	22
1103108	1	232
1103109	0	13
1103109	1	235
1103110	0	63
1103110	1	401
1103111	0	41
1103111	1	312
1103112	0	7
1103112	1	152
1103113	0	43
1103113	1	418
1103114	0	58
1103114	1	412
1103115	0	32
1103115	1	485
1103116	0	54
1103116	1	442
1103117	0	22
1103117	1	326
1103118	0	39
1103118	1	327
1103119	0	47
1103119	1	374
1103120	0	29
1103120	1	360
1103121	0	17
1103121	1	272
1103122	0	33
1103122	1	368
1103123	0	62
1103123	1	323
1103124	0	28
1103124	1	299
1103125	0	36
1103125	1	213
1103126	0	56
1103126	1	344
1103127	0	41
1103127	1	310
1103128	0	58
1103128	1	348
1103129	0	60
1103129	1	484
1103130	0	37
1103130	1	276
1103131	0	86
1103131	1	587
1103132	0	0
1103132	1	3
1103133	0	40
1103133	1	356
1103134	0	27
1103134	1	397
1103135	0	36
1103135	1	371
1103136	0	43
1103136	1	358
1103137	0	141
1103137	1	81
1103138	0	62
1103138	1	481
1103201	0	34
1103201	1	367
1103202	0	72
1103202	1	412
1103203	0	30
1103203	1	687
1103204	0	189
1103204	1	498
1103205	0	56
1103205	1	186
1103206	0	7
1103206	1	59
1103207	0	77
1103207	1	223
1103208	0	82
1103208	1	363
1103210	0	21
1103210	1	150
1103211	0	42
1103211	1	535
1103212	0	52
1103212	1	421
1103213	0	15
1103213	1	75
1103214	0	62
1103214	1	542
1103215	0	31
1103215	1	178
1103216	0	43
1103216	1	281
1103217	0	19
1103217	1	141
1103218	0	38
1103218	1	406
1103219	0	81
1103219	1	282
1103220	0	84
1103220	1	265
1103221	0	49
1103221	1	234
1103223	0	0
1103223	1	8
1103224	0	137
1103224	1	325
1103225	0	11
1103225	1	220
1103226	0	44
1103226	1	190
1103227	0	82
1103227	1	481
1103228	0	97
1103228	1	596
1103229	0	101
1103229	1	346
1103230	0	66
1103230	1	453
1103231	0	56
1103231	1	440
1103232	0	40
1103232	1	424
1103233	0	48
1103233	1	308
1103234	0	90
1103234	1	657
1103235	0	43
1103235	1	327
1103236	0	163
1103236	1	298
1103237	0	84
1103237	1	243
1103238	0	32
1103238	1	324
1103239	0	76
1103239	1	519
1103240	0	59
1103240	1	318
1103241	0	95
1103241	1	328
1103242	0	112
1103242	1	515
1103243	0	68
1103243	1	453
1103244	0	67
1103244	1	581
1103245	0	102
1103245	1	222
1103246	0	18
1103246	1	322
1103247	0	53
1103247	1	358
1103248	0	116
1103248	1	274
1103301	0	24
1103301	1	198
1103302	0	42
1103302	1	452
1103303	0	34
1103303	1	357
1103304	0	38
1103304	1	296
1103305	0	32
1103305	1	273
1103306	0	32
1103306	1	234
1103307	0	26
1103307	1	180
1103308	0	47
1103308	1	367
1103309	0	135
1103309	1	57
1103310	0	29
1103310	1	299
1103311	0	46
1103311	1	333
1103312	0	38
1103312	1	281
1103313	0	30
1103313	1	272
1103314	0	29
1103314	1	327
1103315	0	88
1103315	1	684
1103316	0	0
1103316	1	0
1103317	0	73
1103317	1	451
1103318	0	13
1103318	1	191
1103319	0	29
1103319	1	335
1103320	0	0
1103320	1	3
1103401	0	34
1103401	1	373
1103402	0	29
1103402	1	289
1103403	0	47
1103403	1	559
1103404	0	13
1103404	1	260
1103405	0	41
1103405	1	359
1103406	0	12
1103406	1	148
1103407	0	19
1103407	1	276
1103408	0	39
1103408	1	289
1103409	0	35
1103409	1	288
1103410	0	24
1103410	1	372
1103411	0	41
1103411	1	447
1103412	0	48
1103412	1	485
1103413	0	33
1103413	1	336
1103414	0	51
1103414	1	372
1103415	0	10
1103415	1	184
1103416	0	32
1103416	1	384
1103417	0	42
1103417	1	371
1103418	0	71
1103418	1	596
1103419	0	10
1103419	1	302
1103501	0	64
1103501	1	568
1103502	0	27
1103502	1	287
1103503	0	54
1103503	1	453
1103504	0	40
1103504	1	418
1103505	0	46
1103505	1	388
1103506	0	43
1103506	1	524
1103507	0	43
1103507	1	274
1103508	0	49
1103508	1	424
1103509	0	28
1103509	1	317
1103510	0	27
1103510	1	440
1103511	0	51
1103511	1	466
1103512	0	24
1103512	1	291
1103513	0	33
1103513	1	282
1103514	0	27
1103514	1	355
1103515	0	33
1103515	1	247
1103516	0	49
1103516	1	226
1103517	0	12
1103517	1	34
1103601	0	14
1103601	1	209
1103602	0	21
1103602	1	211
1103603	0	49
1103603	1	467
1103604	0	10
1103604	1	269
1103605	0	44
1103605	1	365
1103606	0	31
1103606	1	265
1103607	0	16
1103607	1	192
1103608	0	49
1103608	1	467
1103609	0	14
1103609	1	362
1103610	0	44
1103610	1	494
1103611	0	42
1103611	1	307
1103612	0	23
1103612	1	155
1103613	0	31
1103613	1	344
1103614	0	49
1103614	1	475
1103615	0	17
1103615	1	236
1103616	0	18
1103616	1	295
1103617	0	41
1103617	1	319
1103618	0	17
1103618	1	241
1103619	0	51
1103619	1	441
1103620	0	61
1103620	1	438
1103621	0	52
1103621	1	503
1103622	0	31
1103622	1	245
1103701	0	61
1103701	1	593
1103702	0	51
1103702	1	457
1103703	0	51
1103703	1	619
1103704	0	21
1103704	1	211
1103705	0	44
1103705	1	429
1103706	0	37
1103706	1	342
1103707	0	45
1103707	1	443
1103708	0	25
1103708	1	209
1103709	0	63
1103709	1	572
1103710	0	41
1103710	1	339
1103711	0	35
1103711	1	287
1103712	0	42
1103712	1	241
1103713	0	60
1103713	1	457
1103714	0	46
1103714	1	396
1103801	0	59
1103801	1	393
1103802	0	40
1103802	1	468
1103803	0	30
1103803	1	343
1103804	0	34
1103804	1	471
1103805	0	18
1103805	1	258
1103806	0	17
1103806	1	257
1103807	0	23
1103807	1	404
1103808	0	42
1103808	1	246
1103809	0	39
1103809	1	512
1103810	0	21
1103810	1	310
1103811	0	41
1103811	1	442
1103812	0	23
1103812	1	332
1103813	0	43
1103813	1	498
1103814	0	57
1103814	1	440
1103815	0	28
1103815	1	301
1103816	0	39
1103816	1	395
1103817	0	23
1103817	1	316
1103901	0	56
1103901	1	598
1103902	0	43
1103902	1	351
1103903	0	27
1103903	1	292
1103904	0	68
1103904	1	504
1103905	0	20
1103905	1	400
1103906	0	64
1103906	1	400
1103908	0	51
1103908	1	389
1103909	0	66
1103909	1	524
1103911	0	68
1103911	1	523
1103912	0	72
1103912	1	487
1103913	0	56
1103913	1	553
1103914	0	31
1103914	1	319
1103915	0	46
1103915	1	438
1103916	0	57
1103916	1	428
1103917	0	37
1103917	1	328
1103918	0	47
1103918	1	492
1103919	0	47
1103919	1	360
1103920	0	89
1103920	1	517
1103921	0	88
1103921	1	495
1103922	0	59
1103922	1	483
1103923	0	39
1103923	1	275
1103924	0	32
1103924	1	179
1103925	0	27
1103925	1	418
1103926	0	75
1103926	1	558
1103927	0	51
1103927	1	420
1103928	0	62
1103928	1	368
1103929	0	50
1103929	1	352
1103930	0	29
1103930	1	136
1103931	0	52
1103931	1	258
1104001	0	33
1104001	1	313
1104002	0	28
1104002	1	293
1104003	0	27
1104003	1	252
1104004	0	45
1104004	1	407
1104005	0	25
1104005	1	285
1104006	0	74
1104006	1	414
1104007	0	39
1104007	1	298
1104008	0	4
1104008	1	0
1104009	0	55
1104009	1	469
1104010	0	43
1104010	1	293
1104011	0	40
1104011	1	319
1104012	0	40
1104012	1	286
1104013	0	69
1104013	1	507
1104014	0	155
1104014	1	357
1104015	0	8
1104015	1	186
1104016	0	82
1104016	1	454
1104017	0	67
1104017	1	566
1104018	0	56
1104018	1	396
1104019	0	66
1104019	1	420
1104020	0	44
1104020	1	420
1104021	0	86
1104021	1	364
1104022	0	45
1104022	1	189
1104023	0	41
1104023	1	247
1104024	0	85
1104024	1	425
1104025	0	36
1104025	1	246
1104026	0	92
1104026	1	528
1104027	0	32
1104027	1	272
1104028	0	41
1104028	1	343
1104029	0	36
1104029	1	394
1104030	0	60
1104030	1	343
1104031	0	31
1104031	1	312
1104032	0	26
1104032	1	204
1104033	0	42
1104033	1	356
1104034	0	51
1104034	1	486
1104035	0	37
1104035	1	299
1104036	0	43
1104036	1	343
1104037	0	19
1104037	1	276
1104038	0	27
1104038	1	318
1104039	0	48
1104039	1	564
1104040	0	42
1104040	1	338
1104041	0	21
1104041	1	236
1104042	0	65
1104042	1	340
1104043	0	45
1104043	1	463
1104044	0	18
1104044	1	284
1104045	0	58
1104045	1	406
1104046	0	53
1104046	1	408
1104047	0	47
1104047	1	420
1104048	0	41
1104048	1	452
1104049	0	64
1104049	1	431
1104050	0	36
1104050	1	306
1104051	0	60
1104051	1	420
1104052	0	32
1104052	1	364
1104053	0	71
1104053	1	451
1104054	0	33
1104054	1	326
1104055	0	64
1104055	1	485
1104056	0	53
1104056	1	333
1104057	0	71
1104057	1	557
1104058	0	26
1104058	1	305
1104101	0	37
1104101	1	457
1104102	0	43
1104102	1	594
1104103	0	54
1104103	1	327
1104104	0	31
1104104	1	394
1104105	0	27
1104105	1	330
1104106	0	47
1104106	1	376
1104107	0	23
1104107	1	240
1104108	0	0
1104108	1	0
1104109	0	38
1104109	1	354
1104110	0	57
1104110	1	409
1104111	0	2
1104111	1	254
1104112	0	51
1104112	1	438
1104113	0	50
1104113	1	300
1104114	0	55
1104114	1	526
1104115	0	26
1104115	1	326
1104116	0	20
1104116	1	401
1104117	0	8
1104117	1	258
1104118	0	0
1104118	1	0
1104119	0	29
1104119	1	432
1104120	0	41
1104120	1	386
1104121	0	63
1104121	1	599
1104122	0	28
1104122	1	279
1104123	0	27
1104123	1	404
1104124	0	49
1104124	1	408
1104125	0	51
1104125	1	408
1104201	0	63
1104201	1	450
1104202	0	49
1104202	1	492
1104203	0	23
1104203	1	245
1104204	0	53
1104204	1	353
1104205	0	79
1104205	1	448
1104206	0	0
1104206	1	0
1104207	0	91
1104207	1	453
1104208	0	77
1104208	1	452
1104209	0	30
1104209	1	200
1104210	0	57
1104210	1	375
1104211	0	49
1104211	1	368
1104212	0	4
1104212	1	6
1104213	0	98
1104213	1	499
1104214	0	54
1104214	1	524
1104215	0	48
1104215	1	315
1104216	0	34
1104216	1	356
1104217	0	78
1104217	1	402
1104218	0	57
1104218	1	396
1104219	0	36
1104219	1	344
1104220	0	95
1104220	1	458
1104221	0	69
1104221	1	443
1104222	0	74
1104222	1	366
1104223	0	40
1104223	1	299
1104224	0	43
1104224	1	431
1104225	0	49
1104225	1	470
1104226	0	45
1104226	1	410
1104227	0	36
1104227	1	331
1104228	0	41
1104228	1	414
1104229	0	71
1104229	1	249
1104230	0	42
1104230	1	364
1104231	0	66
1104231	1	500
1104232	0	47
1104232	1	319
1104233	0	50
1104233	1	449
1104301	0	49
1104301	1	90
1104302	0	42
1104302	1	316
1104303	0	52
1104303	1	451
1104304	0	33
1104304	1	344
1104305	0	62
1104305	1	308
1104306	0	1
1104306	1	3
1104307	0	26
1104307	1	241
1104308	0	35
1104308	1	260
1104309	0	32
1104309	1	334
1104310	0	14
1104310	1	187
1104311	0	47
1104311	1	380
1104312	0	98
1104312	1	770
1104313	0	52
1104313	1	318
1104314	0	27
1104314	1	175
1104315	0	56
1104315	1	341
1104316	0	41
1104316	1	309
1104317	0	81
1104317	1	344
1104318	0	56
1104318	1	310
1104319	0	42
1104319	1	371
1104320	0	58
1104320	1	399
1104321	0	28
1104321	1	330
1104322	0	30
1104322	1	315
1104323	0	60
1104323	1	401
1104324	0	56
1104324	1	471
1104325	0	60
1104325	1	380
1104326	0	70
1104326	1	502
1104327	0	48
1104327	1	339
1104328	0	27
1104328	1	237
1104329	0	42
1104329	1	260
1104330	0	53
1104330	1	565
1104401	0	34
1104401	1	289
1104402	0	19
1104402	1	346
1104403	0	26
1104403	1	219
1104404	0	55
1104404	1	619
1104405	0	33
1104405	1	255
1104406	0	13
1104406	1	259
1104407	0	51
1104407	1	379
1104408	0	28
1104408	1	269
1104409	0	45
1104409	1	267
1104410	0	8
1104410	1	230
1104411	0	21
1104411	1	292
1104412	0	59
1104412	1	591
1104413	0	0
1104413	1	0
