SA1_7DIGITCODE_2016	AustCitizen	persons
1100701	0	45
1100701	1	211
1100702	0	49
1100702	1	332
1100703	0	73
1100703	1	355
1100704	0	64
1100704	1	382
1100705	0	45
1100705	1	357
1100706	0	25
1100706	1	224
1100707	0	54
1100707	1	305
1100708	0	58
1100708	1	400
1100709	0	60
1100709	1	320
1100710	0	109
1100710	1	406
1100801	0	31
1100801	1	357
1100802	0	48
1100802	1	509
1100803	0	58
1100803	1	312
1100804	0	76
1100804	1	330
1100805	0	23
1100805	1	231
1100806	0	35
1100806	1	352
1100807	0	61
1100807	1	373
1100808	0	54
1100808	1	459
1100809	0	0
1100809	1	0
1100810	0	4
1100810	1	267
1100811	0	30
1100811	1	326
1100812	0	35
1100812	1	220
1100813	0	43
1100813	1	401
1100814	0	38
1100814	1	446
1100815	0	83
1100815	1	378
1100816	0	50
1100816	1	390
1100817	0	32
1100817	1	252
1100818	0	37
1100818	1	231
1100819	0	24
1100819	1	447
1100820	0	34
1100820	1	256
1100821	0	42
1100821	1	425
1100822	0	12
1100822	1	218
1100823	0	25
1100823	1	189
1100901	0	25
1100901	1	209
1100902	0	40
1100902	1	305
1100904	0	26
1100904	1	323
1100905	0	40
1100905	1	375
1100907	0	98
1100907	1	369
1100908	0	136
1100908	1	386
1100909	0	232
1100909	1	355
1100910	0	119
1100910	1	384
1100911	0	59
1100911	1	337
1100912	0	32
1100912	1	244
1100913	0	41
1100913	1	574
1100914	0	61
1100914	1	374
1100915	0	167
1100915	1	567
1100916	0	67
1100916	1	419
1100917	0	44
1100917	1	182
1100918	0	55
1100918	1	466
1100919	0	153
1100919	1	360
1100920	0	109
1100920	1	296
1100921	0	141
1100921	1	290
1100923	0	40
1100923	1	403
1100924	0	5
1100924	1	12
1100925	0	144
1100925	1	330
1100926	0	75
1100926	1	185
1100927	0	33
1100927	1	262
1100928	0	66
1100928	1	285
1100929	0	83
1100929	1	454
1101001	0	31
1101001	1	113
1101002	0	28
1101002	1	337
1101003	0	28
1101003	1	294
1101004	0	30
1101004	1	278
1101006	0	144
1101006	1	339
1101007	0	71
1101007	1	202
1101008	0	108
1101008	1	363
1101009	0	55
1101009	1	317
1101010	0	62
1101010	1	335
1101011	0	-1
1101011	1	26
1101012	0	17
1101012	1	74
1101013	0	0
1101013	1	0
1101014	0	11
1101014	1	152
1101015	0	190
1101015	1	414
1101016	0	35
1101016	1	377
1101017	0	46
1101017	1	311
1101101	0	53
1101101	1	568
1101102	0	31
1101102	1	214
1101103	0	53
1101103	1	275
1101104	0	245
1101104	1	289
1101105	0	52
1101105	1	442
1101106	0	34
1101106	1	342
1101107	0	45
1101107	1	301
1101108	0	51
1101108	1	398
1101109	0	59
1101109	1	282
1101110	0	29
1101110	1	159
1101111	0	36
1101111	1	422
1101112	0	14
1101112	1	191
1101113	0	30
