SA1_7DIGITCODE_2016	medianMortgageRepayment
1102914	26004
1102915	26520
1102916	20472
1102917	24000
1102918	17184
1102919	24000
1102920	
1102921	
1102922	26004
1102923	24000
1102924	21900
1102925	23400
1102926	26004
1102927	20796
1102928	20556
1103002	26004
1103003	20796
1103004	34716
1103005	26208
1103006	21204
1103007	20796
1103008	28596
1103009	27516
1103010	20796
1103011	15912
1103012	23172
1103013	
1103014	31200
1103101	26004
1103102	28200
1103103	8508
1103104	21336
1103105	20280
1103106	19500
1103107	
1103108	26688
1103109	25008
1103110	20796
1103111	20400
1103112	36000
1103113	30000
1103114	34080
1103115	26208
1103116	30108
1103117	24324
1103118	42000
1103119	26256
1103120	25200
1103121	23400
1103122	18204
1103123	18168
1103124	23304
1103125	20796
1103126	12876
1103127	20796
1103128	20796
1103129	27036
1103130	30000
1103131	10236
1103132	
1103133	25200
1103134	26004
1103135	25896
1103136	21792
1103137	
1103138	22860
1103201	22104
1103202	19764
1103203	23100
1103204	19896
1103205	18108
1103206	
1103207	15600
1103208	16668
1103210	20796
1103211	19200
1103212	20796
1103213	24204
1103214	20796
1103215	19524
1103216	21660
1103217	18000
1103218	19764
1103219	19368
1103220	20796
1103221	19980
1103223	
1103224	14076
1103225	20928
1103226	17556
1103227	18000
1103228	23400
1103229	21840
1103230	18204
1103231	21888
1103232	20796
1103233	23400
1103234	24240
1103235	18720
1103236	11412
1103237	16128
1103238	31200
1103239	26004
1103240	20796
1103241	19764
1103242	16200
1103243	30624
1103244	20796
1103245	22884
1103246	24000
1103247	26592
1103248	15600
1103301	21600
1103302	20796
1103303	24744
1103304	20796
1103305	21216
1103306	21840
1103307	24000
1103308	23496
1103309	
1103310	24156
1103311	26004
1103312	24060
1103313	23400
1103314	24144
1103315	20904
1103316	
1103317	22104
1103318	20796
1103319	20796
1103320	
1103401	25656
1103402	21576
1103403	21240
1103404	21552
1103405	26004
1103406	21840
1103407	30600
1103408	26400
1103409	18984
1103410	19200
1103411	25200
1103412	22440
1103413	26004
1103414	20796
1103415	20400
1103416	21204
1103417	18000
1103418	5592
1103419	23148
1103501	21600
1103502	19632
1103503	20796
1103504	19764
1103505	18468
1103506	24000
1103507	18000
1103508	21600
1103509	20796
1103510	20796
1103511	24000
1103512	21060
1103513	20796
1103514	20796
1103515	24600
1103516	16800
1103517	
1103601	24852
1103602	22452
1103603	20796
1103604	22104
1103605	21156
1103606	20016
1103607	32400
1103608	26004
1103609	26004
1103610	19920
1103611	20928
1103612	18204
1103613	19248
1103614	20796
1103615	21216
1103616	21480
1103617	28716
1103618	23700
1103619	18660
1103620	20232
1103621	23400
1103622	22200
1103701	22080
1103702	20280
1103703	21972
1103704	24000
1103705	21600
1103706	22104
1103707	22800
1103708	21972
1103709	20556
1103710	20796
1103711	24000
1103712	24300
1103713	24000
1103714	20796
1103801	26004
1103802	23748
1103803	22716
1103804	22884
1103805	26004
1103806	23400
1103807	24000
1103808	
1103809	21600
1103810	24600
1103811	23664
1103812	24696
1103813	23400
1103814	22884
1103815	23400
1103816	24096
1103817	20796
1103901	28596
1103902	26004
1103903	24000
1103904	20928
1103905	29352
1103906	23400
1103908	25620
1103909	23400
1103911	26004
1103912	26004
1103913	26148
1103914	24000
1103915	26004
1103916	24000
1103917	26640
1103918	27300
1103919	31200
1103920	23400
1103921	26004
1103922	24444
1103923	29772
1103924	8220
1103925	28104
1103926	33804
1103927	26004
1103928	24000
1103929	26004
1103930	25008
1103931	26004
1104001	21600
1104002	18852
1104003	22584
1104004	20796
1104005	23400
1104006	21576
1104007	24276
1104008	
1104009	18000
1104010	15000
1104011	18000
1104012	23376
1104013	23100
1104014	20604
1104015	7548
1104016	20400
1104017	19500
1104018	19764
1104019	23916
1104020	22680
1104021	19500
1104022	18048
1104023	24960
1104024	20796
1104025	20928
1104026	18720
1104027	20796
1104028	23400
1104029	17400
1104030	20796
1104031	21204
1104032	10404
1104033	20400
1104034	23400
1104035	26004
1104036	23700
1104037	20796
1104038	21192
1104039	20796
1104040	18996
1104041	18204
1104042	18000
1104043	17688
1104044	18204
1104045	19764
1104046	23400
1104047	20796
1104048	21000
1104049	22200
1104050	23700
1104051	22752
1104052	20796
1104053	20544
1104054	25092
1104055	23400
1104056	23112
1104057	23400
1104058	26004
1104101	24696
1104102	25080
1104103	26004
1104104	24696
1104105	24696
1104106	30000
1104107	31200
1104108	
1104109	26004
1104110	26400
1104111	23052
1104112	25728
1104113	27900
1104114	27048
1104115	36000
1104116	26940
1104117	23148
1104118	
1104119	24000
1104120	26496
1104121	24960
1104122	30276
1104123	23400
1104124	26004
1104125	26004
1104201	24228
1104202	19116
1104203	18720
1104204	15300
1104205	16800
1104206	
1104207	21600
1104208	24696
1104209	20796
1104210	24000
1104211	26004
1104212	
1104213	23400
1104214	26004
1104215	20400
1104216	20400
1104217	23400
1104218	20796
1104219	20796
1104220	20796
1104221	18204
1104222	19980
1104223	20952
1104224	24360
1104225	20604
1104226	21456
1104227	18204
1104228	19356
1104229	13524
1104230	19920
1104231	18204
1104232	19452
1104233	19896
1104301	15576
1104302	19200
1104303	19236
1104304	20400
1104305	18204
1104306	
1104307	21600
1104308	19308
1104309	20796
1104310	20412
1104311	20280
1104312	5196
1104313	
1104314	17388
1104315	20796
1104316	18204
1104317	17676
1104318	20604
1104319	20796
1104320	20208
1104321	25740
1104322	20796
1104323	20796
1104324	21456
1104325	20796
1104326	20988
1104327	20604
1104328	20796
1104329	20796
1104330	19500
1104401	20208
1104402	20796
1104403	19500
1104404	22020
1104405	22476
1104406	22356
1104407	20280
1104408	18720
1104409	17160
1104410	25356
1104411	29040
1104412	26004
1104413	
1104414	20796
1104415	21300
1104416	19980
1104417	20796
1104418	
1104419	20796
1104420	21324
1104421	22800
1104422	20796
1104423	22884
1104424	20400
1104425	23796
1104426	21600
1104427	22368
1104428	20796
1104429	20280
1104430	21192
1104431	20796
1104432	22800
1104433	20796
1104434	19776
1104435	28596
1104436	20148
1104437	18204
1104438	27000
1104439	23832
1104440	
1104441	20796
1104442	20796
1104443	18468
1104444	18000
1104445	20796
1104446	17868
1104447	20400
1104448	20796
1104449	23220
1104450	23916
1104451	23136
1104452	20796
1104453	20280
1104454	21600
1104455	21600
1104456	24000
1104457	24000
1104458	26004
1104459	26004
1104501	20796
1104502	18204
1104503	18000
1104504	19200
1104505	18000
1104506	17820
1104507	17160
1104508	18000
1104509	18204
1104510	18240
1104511	18204
1104512	20400
1104513	20796
1104514	19500
1104515	21600
1104516	20400
1104517	22932
1104518	22512
1104519	19080
1104520	
1104521	18516
1104522	24000
1104523	20796
1104524	18204
1104601	18852
1104602	20304
1104603	15600
1104604	19200
1104605	19500
1104606	19680
1104607	19764
1104608	19200
1104609	18864
1104610	18204
1104611	19764
1104612	17616
1104613	
1104614	17760
1104615	19056
1104616	18204
1104617	18204
1104618	18720
1104619	15600
1104620	16800
1104621	24600
1104622	20556
1104623	
1104624	23148
1104625	17580
1104701	20796
1104702	20544
1104703	29400
1104704	20796
1104705	20796
1104706	20400
1104707	24000
1104708	21060
1104709	20796
1104710	15600
1104711	18468
1104712	26004
1104713	24000
1104714	33900
1104715	22200
1104716	22752
1104717	26652
1104718	20796
1104719	20796
1104720	24000
1104721	20796
1104722	20796
1104723	31200
1104724	26004
1104725	19500
1104726	20796
1104727	21456
1104728	20604
1104729	20796
1104730	21132
1104731	21840
1104732	20796
1104733	21216
1104734	18468
1104735	20796
1104736	24000
1104737	
1104801	21420
1104802	18456
1104803	19248
1104804	19200
1104805	21672
1104806	20796
1104807	20796
1104808	18204
1104809	17532
1104810	19500
1104811	16896
1104812	18204
1104813	18108
1104814	18108
1104815	18444
1104816	19116
1104817	16848
1104818	18492
1104819	18204
1104820	19224
1104821	12360
1104822	20796
1104823	18108
1104824	19764
1104825	18528
1104826	14040
1104827	17472
1104828	18204
1104829	19764
1104830	16776
1104831	20796
1104832	23268
1104833	17388
1104834	16644
1104835	15912
1104836	18204
1104837	18204
1104838	18720
1104840	18180
1104841	19200
1104842	18000
1104843	18204
1104844	18204
1104845	18720
1104846	16800
1104847	16920
1104848	18660
1104849	11424
1104901	30000
1104902	25968
1104903	27000
1104904	25584
1104905	26052
1104906	29064
1104907	26400
1104908	27096
1104909	
1104910	27360
1105001	19224
1105002	23100
1105003	20748
1105004	22092
1105005	20400
1105006	18204
1105007	18204
1105008	17160
1105009	18960
1105010	18204
1105011	17160
1105012	18204
1105013	15600
1105014	
1105015	17868
1105016	
1105017	12996
1105018	16896
1105019	20796
1105020	
1105021	
1105022	18984
1105024	19488
1105025	16116
1105026	19956
1105027	9000
1105028	20208
1105101	24000
1105102	19344
1105103	21612
1105104	26004
1105105	
1105106	28296
1105107	22404
1105108	24000
1105109	22152
1105110	24000
1105111	18204
1105112	17112
1105113	19500
1105114	24000
1105115	18420
1105116	27744
1105201	19128
1105202	24120
1105203	16644
1105204	19752
1105205	22620
1105206	18288
1105207	18000
1105208	18204
1105209	19032
1105210	18576
1105211	
1105213	18204
1105214	21600
1105215	16776
1105216	18204
1105301	15540
1105302	21456
1105303	22104
1105304	19500
1105305	26004
1105306	26004
1105307	20796
1105308	19200
1105309	21408
1105310	20616
1105311	18204
1105312	26520
1105313	19200
1105314	21804
1105315	24000
1105316	31200
1105317	18204
1105318	20796
1105319	25200
1105320	24000
1105321	19764
1105322	28596
1105323	
1105324	23400
1105325	22500
1105326	23400
1105327	20004
1105328	15600
1105329	17244
1105330	19500
1105331	12996
1105332	17940
1105333	20880
1105334	14568
1105335	21600
1105336	25260
1105337	21804
1105401	18000
1105402	15600
1105403	20016
1105404	14400
1105405	20796
1105406	8244
1105407	21600
1105408	20796
1105409	20280
1105410	18720
1105411	30600
1105412	20148
1105413	27300
1105414	30000
1105415	
1105416	
1105417	25008
1105418	18468
1105419	20796
1105420	18252
1105421	20796
1105422	19632
1105423	20796
1105424	18204
1105501	23964
1105502	20796
1105503	18204
1105504	
1105505	26208
1105506	20400
1105507	18108
1105508	20208
1105509	25620
1105510	20796
1105511	24000
1105512	22692
1105513	24000
1105514	30000
1105601	24000
1105602	26004
1105603	26004
1105604	23400
1105605	24000
1105606	23400
1105607	23760
1105608	26004
1105609	20088
1105612	26004
1105613	24000
1105614	21600
1105615	25908
1105616	
1105617	25824
1105618	28596
1105620	20796
1105621	
1105622	24000
1105623	24000
1105624	24000
1105625	26004
1105626	25932
1105627	21864
1105628	26004
1105629	25200
1105630	24000
1105631	22620
1105632	24228
1105633	26004
1105701	21708
1105702	19236
1105703	20796
1105704	17424
1105705	
1105706	14304
1105707	14820
1105708	20604
1105709	22884
1105710	15600
1105711	16380
1105712	19200
1105713	13656
1105714	20796
1105715	15084
1105716	18096
