SA1_7DIGITCODE_2016	MotorVehicles.min	occupied_private_dwellings
1101606		5
1101606	1	19
1101606	2	70
1101606	3	39
1101606	4	29
1101607		4
1101607	0	3
1101607	1	28
1101607	2	24
1101607	3	22
1101607	4	3
1101608		4
1101608	0	3
1101608	1	22
1101608	2	51
1101608	3	25
1101608	4	9
1101609		3
1101609	0	3
1101609	1	18
1101609	2	33
1101609	3	14
1101610		15
1101610	0	3
1101610	1	47
1101610	2	114
1101610	3	51
1101610	4	35
1101611		52
1101611	0	5
1101611	1	39
1101611	2	17
1101613		5
1101613	1	9
1101613	2	36
1101613	3	22
1101613	4	6
1101614		13
1101614	0	3
1101614	1	48
1101614	2	45
1101614	3	20
1101614	4	13
1101615		9
1101615	1	34
1101615	2	48
1101615	3	16
1101615	4	18
1101616		13
1101616	0	9
1101616	1	74
1101616	2	56
1101616	3	20
1101616	4	7
1101617		13
1101617	0	7
1101617	1	41
1101617	2	66
1101617	3	17
1101617	4	15
1101618		5
1101618	1	63
1101618	2	85
1101618	3	38
1101618	4	15
1101619		11
1101619	0	3
1101619	1	59
1101619	2	76
1101619	3	27
1101619	4	13
1101620		8
1101620	0	3
1101620	1	21
1101620	2	19
1101620	3	7
1101620	4	4
1101701		17
1101701	0	19
1101701	1	89
1101701	2	66
1101701	3	23
1101701	4	7
1101702		3
1101702	0	3
1101702	1	32
1101702	2	25
1101702	3	16
1101702	4	3
1101703		18
1101703	0	15
1101703	1	65
1101703	2	46
1101703	3	21
1101703	4	3
1101704		12
1101704	0	25
1101704	1	82
1101704	2	40
1101704	3	10
1101704	4	3
1101705		7
1101705	0	18
1101705	1	58
1101705	2	19
1101705	4	5
1101706		17
1101706	0	46
1101706	1	100
1101706	2	32
1101706	3	11
1101706	4	3
1101708		9
1101708	0	3
1101708	1	58
1101708	2	54
1101708	3	13
1101708	4	9
1101709		4
1101709	0	4
1101709	1	73
1101709	2	104
1101709	3	29
1101709	4	15
1101710	1	64
1101710	2	96
1101710	3	17
1101710	4	6
1101711		7
1101711	1	22
1101711	2	52
1101711	3	17
1101711	4	7
1101712		11
1101712	0	7
1101712	1	70
1101712	2	75
1101712	3	17
1101712	4	13
1101713		10
1101713	0	15
1101713	1	59
1101713	2	60
1101713	3	15
1101713	4	7
1101716		11
1101716	0	4
1101716	1	87
1101716	2	58
1101716	3	14
1101716	4	8
1101717		12
1101717	0	17
1101717	1	69
1101717	2	20
1101717	3	6
1101717	4	3
1101718		5
1101718	0	35
1101718	1	86
1101718	2	35
1101718	3	11
1101718	4	3
1101719		3
1101719	0	5
1101719	1	54
1101719	2	51
1101719	3	18
1101719	4	7
1101720		8
1101720	0	3
1101720	1	33
1101720	2	42
1101720	3	7
1101720	4	5
1101721		6
1101721	0	3
1101721	1	69
1101721	2	43
1101721	3	17
1101721	4	3
1101722		11
1101722	0	10
1101722	1	77
1101722	2	70
1101722	3	17
1101722	4	7
1101801		3
1101801	1	31
1101801	2	60
1101801	3	9
1101801	4	7
1101802		3
1101802	1	40
1101802	2	43
1101802	3	25
1101802	4	4
1101803		3
1101803	1	27
1101803	2	60
1101803	3	23
1101803	4	10
1101804		6
1101804	0	3
1101804	1	44
1101804	2	26
1101804	3	6
1101804	4	3
1101805		3
1101805	1	14
1101805	2	58
1101805	3	20
1101805	4	3
1101806		8
1101806	0	14
1101806	1	101
1101806	2	54
1101806	3	17
1101806	4	8
1101807		12
1101807	0	6
1101807	1	76
1101807	2	54
1101807	3	26
1101807	4	3
1101808		13
1101808	0	21
1101808	1	105
1101808	2	58
1101808	3	15
1101808	4	7
1101809	1	45
1101809	2	26
1101809	3	5
1101809	4	3
1101810		6
1101810	1	49
1101810	2	42
1101810	3	13
1101810	4	6
1101811		4
1101811	0	9
1101811	1	50
1101811	2	60
1101811	3	17
1101811	4	3
1101812		12
1101812	0	6
1101812	1	94
1101812	2	57
1101812	3	10
1101812	4	5
1101813		5
1101813	1	39
1101813	2	39
1101813	3	5
1101813	4	11
1101814		4
1101814	0	3
1101814	1	30
1101814	2	37
1101814	3	12
1101814	4	8
1101815		4
1101815	0	6
1101815	1	54
1101815	2	43
1101815	3	14
1101815	4	8
1101816		4
1101816	0	7
1101816	1	63
1101816	2	62
1101816	3	15
1101816	4	4
1101817		6
1101817	0	3
1101817	1	76
1101817	2	113
1101817	3	29
1101817	4	14
1101818		14
1101818	0	7
1101818	1	76
1101818	2	82
1101818	3	16
1101818	4	5
1101819		6
1101819	0	9
1101819	1	59
1101819	2	55
1101819	3	21
1101819	4	8
1101820		8
1101820	0	13
1101820	1	54
1101820	2	38
1101820	3	10
1101820	4	3
1101821		3
1101821	0	4
1101821	1	30
1101821	2	33
1101821	3	6
1101821	4	4
1101822		10
1101822	0	9
1101822	1	88
1101822	2	33
1101822	3	17
1101822	4	3
1101823		5
1101823	0	32
1101823	1	124
1101823	2	41
1101823	3	10
1101823	4	5
1101901		7
1101901	0	23
1101901	1	86
1101901	2	48
1101901	3	8
1101901	4	3
1101902		7
1101902	0	37
1101902	1	104
1101902	2	37
1101902	3	11
1101902	4	4
1101903		10
1101903	0	27
1101903	1	53
1101903	2	30
1101903	3	3
1101903	4	3
1101904		11
1101904	0	8
1101904	1	65
1101904	2	56
1101904	3	11
1101904	4	4
1101905		8
1101905	0	8
1101905	1	64
1101905	2	50
1101905	3	5
1101905	4	3
1101906		3
1101906	0	4
1101906	1	56
1101906	2	55
1101906	3	18
1101906	4	18
1101907		6
1101907	0	12
1101907	1	48
1101907	2	49
1101907	3	10
1101907	4	4
1101909		13
1101909	0	16
1101909	1	55
1101909	2	40
1101909	3	7
1101909	4	4
1101911		12
1101911	0	4
1101911	1	56
1101911	2	83
1101911	3	12
1101911	4	3
1101912		6
1101912	0	9
1101912	1	65
1101912	2	70
1101912	3	12
1101912	4	10
1101913		9
1101913	1	78
1101913	2	72
1101913	3	16
1101914		8
1101914	0	3
1101914	1	72
1101914	2	120
1101914	3	29
1101914	4	16
1101915		3
1101915	1	12
1101915	2	30
1101915	3	15
1101915	4	9
1101916		4
1101916	1	63
1101916	2	91
1101916	3	23
1101916	4	5
1101917		9
1101917	1	53
1101917	2	100
1101917	3	54
1101917	4	26
1101918		3
1101918	1	31
1101918	2	46
1101918	3	21
1101918	4	6
1101919		3
1101919	1	25
1101919	2	48
1101919	3	15
1101919	4	8
1101920		3
1101920	0	5
1101920	1	64
1101920	2	44
1101920	3	11
1101921	0	3
1101921	1	36
1101921	2	38
1101921	3	11
1101921	4	10
1101922		9
1101922	0	8
1101922	1	62
1101922	2	41
1101922	3	11
1101922	4	4
1101923		8
1101923	0	6
1101923	1	61
1101923	2	61
1101923	3	25
1101923	4	12
1102001		6
1102001	1	14
1102001	2	67
1102001	3	27
1102001	4	16
1102002		3
1102002	1	33
1102002	2	90
1102002	3	32
1102002	4	23
1102003		4
1102003	0	3
1102003	1	44
1102003	2	63
1102003	3	21
1102003	4	8
1102004		6
1102004	0	4
1102004	1	34
1102004	2	47
1102004	3	34
1102004	4	3
1102005		6
1102005	0	3
1102005	1	47
1102005	2	54
1102005	3	12
1102005	4	10
1102006		7
1102006	1	57
1102006	2	58
1102006	3	14
1102006	4	8
1102007		3
1102007	1	29
1102007	2	63
1102007	3	17
1102007	4	19
1102008	1	17
1102008	2	65
1102008	3	32
1102008	4	8
1102011		7
1102011	1	32
1102011	2	46
1102011	3	25
1102011	4	11
1102013		3
1102013	1	33
1102013	2	27
1102013	3	8
1102013	4	3
1102014	1	28
1102014	2	34
1102014	3	25
1102014	4	4
1102015		3
1102015	1	16
1102015	2	32
1102015	3	16
1102015	4	8
1102016		4
1102016	1	26
1102016	2	48
1102016	3	20
1102016	4	12
1102017		8
1102017	0	3
1102017	1	27
1102017	2	33
1102017	3	15
1102017	4	12
1102018	1	43
1102018	2	76
1102018	3	33
1102018	4	12
1102019		7
1102019	1	50
1102019	2	53
1102019	3	10
1102019	4	5
1102020		8
1102020	0	3
1102020	1	66
1102020	2	81
1102020	3	37
1102020	4	9
1102022		14
1102022	0	9
1102022	1	34
1102022	2	51
1102022	3	24
1102022	4	3
1102023		5
1102023	0	3
1102023	1	18
1102023	2	51
1102023	3	21
1102023	4	14
1102024		5
1102024	0	6
1102024	1	31
1102024	2	48
1102024	3	17
1102024	4	11
1102025		10
1102025	0	3
1102025	1	63
1102025	2	57
1102025	3	9
1102025	4	3
1102026		3
1102026	1	16
1102026	2	36
1102026	3	12
1102027		4
1102027	0	4
1102027	1	15
1102027	2	33
1102027	3	21
1102027	4	7
1102028		4
1102028	1	33
1102028	2	65
1102028	3	27
1102028	4	22
1102029		9
1102029	1	43
1102029	2	54
1102029	3	15
1102029	4	12
1102030		11
1102030	0	16
1102030	1	78
1102030	2	54
1102030	3	9
1102030	4	8
1102031		3
1102031	1	9
1102031	2	23
1102031	3	15
1102031	4	3
1102032		3
1102032	1	24
1102032	2	40
1102032	3	7
1102032	4	9
1102101		7
1102101	0	10
1102101	1	67
1102101	2	62
1102101	3	20
1102101	4	5
1102102		3
1102102	1	37
1102102	2	31
1102102	3	4
1102104		15
1102104	0	11
1102104	1	147
1102104	2	62
1102104	3	15
1102104	4	6
1102105		3
1102105	1	54
1102105	2	70
1102105	3	22
1102105	4	10
1102106		15
1102106	0	8
1102106	1	115
1102106	2	67
1102106	3	27
1102106	4	3
1102107		3
1102107	0	7
1102107	1	80
1102107	2	92
1102107	3	32
1102107	4	9
1102108		5
1102108	0	4
1102108	1	54
1102108	2	64
1102108	3	22
1102108	4	10
1102109	1	4
1102109	2	4
1102109	3	3
1102109	4	3
1102201	1	5
1102201	2	4
1102301		9
1102301	0	20
1102301	1	66
1102301	2	49
1102301	3	15
1102301	4	5
1102302		9
1102302	1	55
1102302	2	70
1102302	3	16
1102302	4	3
1102303		7
1102303	0	3
1102303	1	21
1102303	2	49
1102303	3	22
1102303	4	4
1102304		3
1102304	1	20
1102304	2	28
1102304	3	10
1102304	4	3
1102305		12
1102305	0	14
1102305	1	71
1102305	2	65
1102305	3	18
1102305	4	5
1102306		5
1102306	0	15
1102306	1	47
1102306	2	33
1102306	3	8
1102306	4	3
1102307		14
1102307	0	14
1102307	1	62
1102307	2	34
1102307	3	8
1102307	4	4
1102308		12
1102308	0	25
1102308	1	109
1102308	2	56
1102308	3	13
1102308	4	10
1102309		10
1102309	0	3
1102309	1	62
1102309	2	49
1102309	3	7
1102309	4	3
1102310	1	3
1102401		3
1102401	0	6
1102401	1	28
1102401	2	36
1102401	3	17
1102401	4	13
1102402		4
1102402	1	28
1102402	2	52
1102402	3	21
1102402	4	13
1102403		13
1102403	0	3
1102403	1	29
1102403	2	30
1102403	3	21
1102404		4
1102404	1	36
1102404	2	55
1102404	3	32
1102404	4	18
1102405		3
1102405	1	28
1102405	2	45
1102405	3	12
1102405	4	6
1102406		3
1102406	0	3
1102406	1	20
1102406	2	48
1102406	3	13
1102406	4	11
1102407		3
1102407	1	19
1102407	2	50
1102407	3	19
1102407	4	10
1102408		6
1102408	0	10
1102408	1	44
1102408	2	35
1102408	3	13
1102408	4	5
1102409		4
1102409	1	27
1102409	2	43
1102409	3	12
1102409	4	7
1102410	1	25
1102410	2	27
1102410	3	11
1102410	4	10
1102411		7
1102411	1	29
1102411	2	39
1102411	3	13
1102411	4	5
1102412		10
1102412	1	40
1102412	2	55
1102412	3	9
1102412	4	11
1102502		8
1102502	0	10
1102502	1	49
1102502	2	48
1102502	3	14
1102502	4	3
1102503		7
1102503	0	29
1102503	1	86
1102503	2	18
1102503	3	10
1102504		15
1102504	0	19
1102504	1	85
1102504	2	26
1102504	3	9
1102504	4	3
1102505		7
1102505	0	15
1102505	1	68
1102505	2	27
1102506		7
1102506	0	8
1102506	1	40
1102506	2	58
1102506	3	16
1102506	4	9
1102507		3
1102507	1	31
1102507	2	45
1102507	3	11
1102507	4	6
1102508		9
1102508	0	8
1102508	1	124
1102508	2	94
1102508	3	20
1102508	4	3
1102509		3
1102509	0	3
1102509	1	13
1102509	2	24
1102509	3	11
1102510		4
1102510	1	31
1102510	2	58
1102510	3	18
1102511		10
1102511	0	3
1102511	1	55
1102511	2	72
1102511	3	16
1102511	4	6
1102512		4
1102512	0	3
1102512	1	101
1102512	2	89
1102512	3	22
1102512	4	10
1102513		5
1102513	1	43
1102513	2	70
