SA1_7DIGITCODE_2016	medianTotalHouseholdIncome
1101916	64376
1101917	72748
1101918	71500
1101919	80600
1101920	50076
1101921	70876
1101922	43160
1101923	53820
1102001	69836
1102002	69420
1102003	57096
1102004	45500
1102005	39156
1102006	37128
1102007	66612
1102008	65572
1102009	
1102010	
1102011	61984
1102012	
1102013	37700
1102014	54184
1102015	42588
1102016	43472
1102017	60216
1102018	47840
1102019	48828
1102020	50804
1102021	
1102022	48516
1102023	71500
1102024	42536
1102025	47892
1102026	46124
1102027	54444
1102028	70252
1102029	49868
1102030	36452
1102031	63492
1102032	39624
1102101	58812
1102102	51064
1102104	46176
1102105	62088
1102106	47424
1102107	71760
1102108	56316
1102109	58500
1102201	44148
1102301	43940
1102302	59072
1102303	70564
1102304	52624
1102305	45136
1102306	40196
1102307	35620
1102308	35932
1102309	46800
1102310	
1102401	45916
1102402	50076
1102403	48516
1102404	57408
1102405	49972
1102406	59904
1102407	53196
1102408	42224
1102409	60632
1102410	47424
1102411	52416
1102412	59696
1102501	
1102502	46800
1102503	30056
1102504	39052
1102505	44356
1102506	67756
1102507	72852
1102508	46176
1102509	58500
1102510	68692
1102511	57668
1102512	49660
1102513	58240
1102514	38012
1102516	63752
1102517	66040
1102518	70460
1102519	55900
1102520	46228
1102521	49192
1102522	65364
1102523	67184
1102524	70044
1102525	40040
1102526	70928
1102527	59904
1102528	50180
1102529	41912
1102530	53456
1102531	
1102532	38740
1102601	43680
1102602	47528
1102603	49660
1102604	45396
1102605	45552
1102606	57772
1102607	43992
1102608	45760
1102609	39624
1102610	38532
1102611	54600
1102612	46332
1102613	45032
1102614	54964
1102615	52884
1102616	63336
1102617	52676
1102618	54184
1102619	69836
1102620	37284
1102621	40560
1102622	56732
1102623	38948
1102701	49088
1102702	34632
1102703	61724
1102704	37024
1102705	39104
1102706	40924
1102707	44304
1102708	48516
1102709	56784
1102710	57772
1102711	
1102712	48256
1102713	54028
1102714	
1102715	68224
1102716	
1102717	46800
1102718	38480
1102719	36712
1102720	57564
1102721	39780
1102722	35048
1102723	49660
1102724	50388
1102725	41912
1102726	57876
1102727	52260
1102728	33176
1102729	43004
1102801	
1102802	101816
1102803	97500
1102804	90012
1102805	103012
1102806	59332
1102807	104832
1102808	117884
1102809	118612
1102810	105508
1102811	92768
1102812	103376
1102813	70304
1102814	99476
1102815	96668
1102816	92612
1102817	104676
1102818	102648
1102901	100724
1102902	76648
1102903	69472
1102904	78416
1102905	90012
1102906	79612
1102907	72904
1102908	69316
1102909	76648
1102910	87256
1102911	68432
1102912	79508
1102913	108732
1102914	102648
1102915	103220
1102916	84500
1102917	81900
1102918	92612
1102919	37700
1102920	
1102921	
1102922	115336
1102923	92872
1102924	116064
1102925	68224
1102926	91780
1102927	75192
1102928	33540
1103002	85904
1103003	74724
1103004	88192
1103005	92300
1103006	86892
1103007	88816
1103008	72540
1103009	66976
1103010	56992
1103011	54444
1103012	101452
1103013	46800
1103014	87360
1103101	97500
1103102	55796
1103103	32760
1103104	32136
1103105	76648
1103106	60892
1103107	97500
1103108	121836
1103109	88816
1103110	66196
1103111	65676
1103112	146224
1103113	131404
1103114	135200
1103115	135408
1103116	117000
1103117	86632
1103118	150384
1103119	102648
1103120	86424
1103121	93756
1103122	74724
1103123	48776
1103124	82056
1103125	53300
1103126	30264
1103127	90012
1103128	96200
1103129	99632
1103130	117000
1103131	37232
1103132	
1103133	101816
1103134	77324
1103135	78364
1103136	76648
1103137	25532
1103138	78416
1103201	75816
1103202	63180
1103203	101816
1103204	63284
1103205	55796
1103206	61724
1103207	68588
1103208	65312
1103210	57564
1103211	66612
1103212	62972
1103213	84500
1103214	75192
1103215	75816
1103216	72748
1103217	73840
1103218	87984
1103219	90428
1103220	63804
1103221	68432
1103223	
1103224	58760
1103225	83564
1103226	59540
1103227	34788
1103228	43212
1103229	43576
1103230	44928
1103231	53508
1103232	57980
1103233	88504
1103234	88348
1103235	48360
1103236	44980
1103237	65832
1103238	147316
1103239	69940
1103240	35932
1103241	54860
1103242	40560
1103243	91416
1103244	38688
1103245	57668
1103246	104780
1103247	122720
1103248	53664
1103301	91832
1103302	78520
1103303	95836
1103304	99320
1103305	97500
1103306	88816
1103307	71500
1103308	87048
1103309	20748
1103310	96980
1103311	91572
1103312	107224
1103313	102024
1103314	92768
1103315	110136
1103316	
1103317	83044
1103318	105404
1103319	95836
1103320	
1103401	79612
1103402	59332
1103403	62868
1103404	64376
1103405	69732
1103406	64012
1103407	127348
1103408	109876
1103409	82524
1103410	65520
1103411	92404
1103412	74516
1103413	98748
1103414	47684
1103415	37908
1103416	49348
1103417	41860
1103418	31356
1103419	82316
1103501	94900
1103502	55692
1103503	91416
1103504	84500
1103505	94536
1103506	100984
1103507	69992
1103508	108784
1103509	78572
1103510	76960
1103511	82836
1103512	70408
1103513	79040
1103514	76076
1103515	64116
1103516	72124
1103517	62816
1103601	117832
1103602	119132
1103603	89648
1103604	90220
1103605	102024
1103606	86424
1103607	127088
1103608	54808
1103609	111644
1103610	68900
1103611	94224
1103612	51220
1103613	77012
1103614	83772
1103615	91884
1103616	103116
1103617	102648
1103618	125320
1103619	75244
1103620	65260
1103621	93184
1103622	80600
1103701	60112
1103702	80704
1103703	65260
1103704	91936
1103705	81536
1103706	65468
1103707	89752
1103708	78780
1103709	78312
1103710	86112
1103711	69992
1103712	85280
1103713	52728
1103714	75972
1103801	98176
1103802	95056
1103803	66612
1103804	64012
1103805	91780
1103806	48308
1103807	74724
1103808	37076
1103809	76336
1103810	100048
1103811	85852
1103812	85280
1103813	84500
1103814	58812
1103815	82836
1103816	94796
1103817	76232
1103901	114556
1103902	99320
1103903	87048
1103904	91572
1103905	108316
1103906	73840
1103908	116376
1103909	85748
1103911	93496
1103912	86476
1103913	90532
1103914	94588
1103915	100724
1103916	82056
1103917	104520
1103918	98072
1103919	36504
1103920	87360
1103921	106496
1103922	115440
1103923	113100
1103924	25532
1103925	97500
1103926	124956
1103927	101816
1103928	89752
1103929	87724
1103930	101816
1103931	84500
1104001	67496
1104002	39208
1104003	92300
1104004	64584
1104005	65884
1104006	56940
1104007	50492
1104008	
1104009	41912
1104010	32604
1104011	51480
1104012	68224
1104013	64064
1104014	38168
1104015	44460
1104016	68068
1104017	41808
1104018	62920
1104019	60632
1104020	54184
1104021	48308
1104022	50076
1104023	50232
1104024	50492
1104025	54496
1104026	46800
1104027	39624
1104028	70460
1104029	39208
1104030	50960
1104031	50908
1104032	47788
1104033	54704
1104034	68068
1104035	72176
1104036	74048
1104037	52936
1104038	51168
1104039	62140
1104040	61152
1104041	43472
1104042	46176
1104043	51220
1104044	52988
1104045	50648
1104046	51168
1104047	53612
1104048	60632
1104049	75140
1104050	60632
1104051	66924
1104052	73632
1104053	47788
1104054	87464
1104055	86632
1104056	89336
1104057	81692
1104058	79612
1104101	77012
1104102	95316
1104103	98904
1104104	106444
1104105	104728
1104106	105300
1104107	132600
1104108	
1104109	111436
1104110	108316
1104111	94692
1104112	96200
1104113	124748
1104114	103428
1104115	121316
1104116	105508
1104117	102648
1104118	
1104119	89024
1104120	105508
1104121	48776
1104122	136500
1104123	88348
1104124	82732
1104125	111228
1104201	48048
1104202	57772
1104203	65936
1104204	31460
1104205	45032
1104206	
1104207	100724
1104208	40976
1104209	63856
1104210	87360
1104211	96928
1104212	
1104213	49816
1104214	77272
1104215	37960
1104216	62140
1104217	52988
1104218	63440
1104219	54756
1104220	39884
1104221	54444
1104222	66196
1104223	41132
1104224	67184
1104225	71916
1104226	64116
1104227	52728
1104228	55588
1104229	48932
1104230	45396
1104231	40508
1104232	37856
1104233	50648
1104301	42432
1104302	67288
1104303	63908
1104304	72592
1104305	79300
1104306	
1104307	92456
1104308	73840
1104309	82316
1104310	74724
1104311	71500
1104312	32344
1104313	30160
1104314	25792
1104315	78624
1104316	63076
1104317	53404
1104318	62348
1104319	76856
1104320	64480
1104321	113568
1104322	87724
1104323	74048
1104324	95316
1104325	91728
1104326	85644
1104327	80340
1104328	94900
1104329	76752
1104330	76648
1104401	67496
1104402	82316
1104403	41080
1104404	72436
1104405	92248
1104406	65936
1104407	61984
1104408	66456
1104409	53924
1104410	30368
1104411	34424
1104412	77220
1104413	
1104414	69784
1104415	82836
1104416	67392
1104417	57564
1104418	
1104419	87412
1104420	64012
1104421	39208
1104422	74880
1104423	90376
1104424	68536
1104425	68224
1104426	82576
1104427	72384
1104428	69004
1104429	68224
1104430	55796
1104431	64116
1104432	60840
1104433	73320
1104434	61360
1104435	104988
1104436	66508
1104437	60632
1104438	89492
1104439	75608
1104440	25480
1104441	65728
1104442	76336
1104443	53612
1104444	50544
1104445	37908
1104446	29432
1104447	47112
1104448	63024
1104449	62816
1104450	85904
1104451	78520
1104452	62816
1104453	62244
1104454	78676
1104455	70772
1104456	98644
1104457	90428
1104458	78832
1104459	83824
1104501	61048
1104502	68380
1104503	57564
1104504	71084
1104505	52624
1104506	65312
1104507	62816
1104508	54600
1104509	60424
1104510	58500
1104511	61308
1104512	64064
1104513	67600
1104514	74880
1104515	64428
1104516	65832
1104517	78884
1104518	77376
1104519	64012
1104520	
1104521	64532
1104522	83304
1104523	63440
1104524	60476
1104601	64480
1104602	74724
1104603	57200
1104604	53820
1104605	50908
1104606	71500
1104607	66300
1104608	54652
1104609	61048
1104610	40872
1104611	34788
1104612	61724
1104613	
1104614	57928
1104615	61724
1104616	56836
1104617	47112
1104618	65364
1104619	45708
1104620	55068
1104621	63336
1104622	58500
1104623	37700
1104624	54080
1104625	34216
1104701	86320
1104702	84500
1104703	112632
1104704	76908
1104705	85852
1104706	93964
1104707	80964
1104708	86840
1104709	75452
1104710	44564
1104711	35360
1104712	115336
1104713	52208
1104714	139724
1104715	77480
1104716	89492
1104717	113412
1104718	73944
1104719	71760
1104720	104988
1104721	98280
1104722	78416
1104723	131820
1104724	99112
1104725	79248
1104726	72072
1104727	66040
1104728	70772
1104729	80184
1104730	93600
1104731	74308
1104732	74984
1104733	59280
1104734	63856
1104735	79456
1104736	80964
1104737	
1104801	58500
1104802	67340
1104803	69836
1104804	60788
1104805	80860
1104806	73320
1104807	69836
1104808	38168
1104809	50336
1104810	51532
1104811	58188
1104812	66144
1104813	63908
1104814	59956
1104815	38480
1104816	56732
1104817	55380
1104818	59852
1104819	54184
1104820	50908
1104821	29484
1104822	67600
1104823	61412
1104824	51428
1104825	48100
1104826	50544
1104827	58812
1104828	56992
1104829	54704
1104830	38740
1104831	77584
1104832	66508
1104833	44720
1104834	57564
1104835	42640
1104836	59540
1104837	54392
1104838	66612
1104840	58500
1104841	67340
1104842	51532
1104843	49972
1104844	78780
1104845	47008
1104846	37908
1104847	64428
1104848	68224
1104849	31824
1104901	130780
1104902	113100
1104903	110916
1104904	85384
1104905	98748
1104906	95316
1104907	81900
1104908	84500
1104909	
1104910	89856
1105001	68068
1105002	61724
1105003	78884
1105004	92612
1105005	72124
1105006	76024
1105007	67964
1105008	39884
1105009	68224
1105010	69992
1105011	67600
1105012	68224
1105013	58500
1105014	
1105015	60632
1105016	
1105017	34632
1105018	65884
1105019	78416
1105020	33332
1105021	36764
1105022	72332
1105024	57564
1105025	58500
1105026	60944
1105027	36868
1105028	35672
1105101	114400
1105102	69056
1105103	68224
1105104	126412
1105105	
1105106	86892
1105107	73632
1105108	114816
1105109	79456
1105110	108680
1105111	72384
1105112	64532
1105113	66924
1105114	108316
1105115	75816
1105116	118404
1105201	51220
1105202	85280
1105203	51012
1105204	75400
1105205	64012
1105206	57616
1105207	53196
1105208	56836
1105209	54288
1105210	47580
1105211	
1105213	66040
1105214	81796
1105215	60216
1105216	65416
1105301	40924
1105302	37856
1105303	46228
1105304	56472
1105305	75348
1105306	82836
1105307	45136
1105308	53612
1105309	57668
1105310	59696
1105311	54288
1105312	74724
1105313	53924
1105314	52416
1105315	63336
1105316	49348
1105317	40664
1105318	54496
1105319	59748
1105320	70200
1105321	56212
1105322	102336
1105323	
1105324	76752
1105325	41392
1105326	67496
1105327	47632
1105328	41756
1105329	46800
1105330	41080
1105331	36244
1105332	44304
1105333	46020
1105334	44356
1105335	52988
1105336	67184
1105337	58188
1105401	56316
1105402	40820
1105403	39156
1105404	28444
1105405	44460
1105406	29900
1105407	60632
1105408	64428
1105409	57304
1105410	59904
1105411	68224
1105412	86632
1105413	85384
1105414	62816
1105415	
1105416	
1105417	56732
1105418	47060
1105419	38636
1105420	55224
1105421	57096
1105422	67028
1105423	59852
1105424	57824
1105501	56836
1105502	74204
1105503	59592
1105504	68224
1105505	106288
1105506	64636
1105507	67392
1105508	68536
1105509	110500
1105510	87724
1105511	114608
1105512	90012
1105513	94900
1105514	125632
1105601	101920
1105602	109668
1105603	100984
1105604	79300
1105605	88192
1105606	109200
1105607	91520
1105608	87412
1105609	66924
1105612	108316
1105613	93964
1105614	79768
1105615	56316
1105616	71500
1105617	80184
1105618	103688
1105620	86632
1105621	
1105622	92768
1105623	91936
1105624	82836
1105625	86632
1105626	74412
1105627	75504
1105628	98644
1105629	83096
1105630	43108
1105631	94432
1105632	77116
1105633	83512
1105701	82316
1105702	69472
1105703	75140
1105704	64480
1105705	117000
1105706	49712
1105707	51688
1105708	82628
1105709	73892
1105710	38116
1105711	47268
1105712	44460
1105713	40924
1105714	69316
1105715	37960
1105716	48516
1105717	68536
1105718	40092
1105719	49348
1105720	69316
1105801	115128
1105802	100724
1105804	58760
1105805	45760
1105806	116272
1105807	53092
1105808	34216
1105809	123448
1105811	88816
1105813	82836
1105814	99632
1105815	62660
1105816	72644
1105817	59540
1105818	53196
1105819	59904
1105820	50492
1105821	45292
1105822	40560
1105823	45500
1105824	46384
1105825	49816
1105826	92456
1105827	39468
1105828	56992
1105829	42380
1105830	39936
1105831	83044
1105832	58812
1105833	39988
1105834	59644
1105835	93340
1105836	39936
1105837	75816
1105838	82472
1105839	81900
1105840	75920
1105841	
1105842	122980
1105843	43524
1105844	88192
1105845	76128
1105846	57928
1105847	71188
1105848	60008
1105849	
1105850	68068
1105851	40612
1105852	
1105853	47788
1105854	54288
1105855	62244
1105856	63648
1105857	42068
1105858	
1105859	111592
1105860	109408
1105861	108888
1105862	133900
1105863	117572
1105864	103116
1105901	89024
1105902	74412
1105903	76648
1105904	
1105905	38688
1105906	39364
1105907	41184
1105908	39208
1105910	99424
1105912	62088
1105913	82056
1105914	49660
1105915	74516
1105916	119548
1105917	109356
1105918	90428
1105919	90532
1105920	93184
1105921	93444
1105922	66300
1105923	77272
1105924	56316
1105925	111644
1105926	100724
1105927	48516
1106001	88348
1106002	73320
1106003	54184
1106004	72488
1106005	35152
1106006	84500
1106007	42432
1106008	80444
1106009	97500
1106010	58760
1106011	71500
1106012	99112
1106013	91624
1106014	88816
1106015	76024
1106016	72228
1106017	86632
1106018	67496
1106019	68640
1106020	79612
1106021	
1106101	56316
1106102	85280
1106103	83668
1106104	68900
1106105	52624
1106106	68900
1106107	66248
1106108	76128
1106109	42484
1106110	41340
1106111	55224
1106112	67652
1106113	71448
1106114	58500
1106115	79300
1106116	52884
1106201	40820
1106202	40508
1106203	56212
1106204	43992
1106205	65936
1106206	58916
1106207	43472
1106208	39312
1106209	54808
1106210	54652
1106211	49140
1106212	37700
1106213	53248
1106214	78936
1106215	65572
1106216	71500
1106217	68224
1106218	68224
1106219	70044
1106220	62816
1106221	80132
1106222	37388
1106223	
1106224	31824
1106225	
1106301	
1106302	
1106303	48360
1106304	77584
1106305	72280
1106306	39936
1106307	
1106308	48984
1106309	38844
1106310	45240
1106311	37180
1106312	37908
1106313	50648
1106314	52624
1106315	54444
1106316	43212
1106317	39936
1106318	35880
1106319	31824
1106320	36140
1106321	51480
1106322	43316
1106323	54184
1106324	45344
1106325	60372
1106326	59280
1106327	88348
1106328	75348
1106329	59540
1106401	43888
1106402	42640
1106403	42224
1106404	40924
1106405	36192
1106406	42432
1106407	74880
1106408	54964
1106409	43940
1106410	58500
1106411	59384
1106412	58500
1106413	67756
1106414	57408
1106415	43316
1106416	65832
1106417	52728
1106418	55224
1106501	47060
1106502	38272
1106503	41912
1106504	51428
1106505	40248
1106506	53508
1106507	45916
1106508	53872
1106509	63076
1106510	73424
1106511	63544
1106512	44876
1106513	53508
1106514	52988
1106515	53248
1106516	61048
1106517	70408
1106518	66300
1106519	65884
1106520	74256
1106521	66768
1106522	61724
1106523	67444
1106524	87724
1106525	69836
1106526	61256
1106527	36140
1106528	47996
1106529	67132
1106601	34268
1106602	71500
1106603	67964
1106604	40976
1106605	43680
1106606	35412
1106607	39208
1106608	52520
1106609	46020
1106610	49348
1106611	59904
1106612	54600
1106613	71500
1106701	48516
1106702	88816
1106703	78676
1106704	45032
1106705	101192
1106706	89648
1106707	104676
1106708	57044
1106709	43004
1106710	72540
1106711	47476
1106712	40924
1106713	79092
1106714	50544
1106715	61724
1106716	76752
1106717	55224
1106718	85540
1106719	39312
1106720	49972
1106721	45760
1106722	44200
1106723	65468
1106724	66612
1106725	98384
1106726	62244
1106727	38844
1106728	45604
1106729	50492
1106801	55900
1106802	27560
1106803	36244
1106804	33020
1106805	39988
1106806	59540
1106807	40768
1106808	66976
1106809	59748
1106810	72332
1106811	72644
1106901	62816
1106902	56628
1106903	73112
1106904	69108
1106905	58500
1106906	42640
1106907	59384
1106908	64376
1106909	58500
1106910	78884
1106911	36868
1106912	43108
1106913	68224
1106914	52572
1106915	56680
1106916	52364
1106917	58864
1106918	67600
1106919	58084
1107001	96668
1107002	82316
1107003	37804
1107004	61724
1107005	45396
1107006	37856
1107007	39104
1107008	120224
1107009	
1107010	52884
1107011	39884
1107012	50232
1107013	52364
1107014	51220
1107015	48880
1107016	40456
1107017	110500
1107018	58084
1107019	38896
1107020	36712
1107021	36920
1107022	50440
1107023	32240
1107024	55224
1107025	54600
1107026	55588
1107027	57616
1107028	47996
1107029	44200
1107030	86320
1107031	
1107032	45396
1107101	44200
1107102	61724
1107103	46280
1107104	59384
1107105	74724
1107106	61724
1107107	42640
1107108	63180
1107109	82836
1107110	78624
1107111	61724
1107112	87048
1107113	37908
1107114	86632
1107115	92612
1107116	78676
1107117	65624
1107118	
1107119	62088
1107120	83408
1107121	70200
1107122	43524
1107123	39312
1107124	50076
1107125	55224
1107126	40092
1107127	68588
1107128	46332
1107201	55224
1107202	53196
1107203	47268
1107204	38376
1107205	54496
1107206	112268
1107207	107224
1107208	49608
1107209	53924
1107210	54912
1107211	99424
1107212	88348
1107214	83200
1107215	66612
1107216	49192
1107217	77532
1107218	75660
1107219	63856
1107220	47476
1107221	50908
1107222	114816
1107224	45448
1107225	100048
1107226	98852
1107227	104520
1107228	108472
1107301	
1107302	46800
1107303	47528
1107304	40248
1107305	36920
1107306	36036
1107307	36400
1107308	30836
1107309	38636
1107310	48724
1107311	45032
1107312	40352
1107313	46800
1107314	50232
1107401	57200
1107402	76076
1107403	52312
1107404	59176
1107405	39832
1107406	42900
1107407	60632
1107408	58500
1107409	49868
1107410	57564
1107411	63752
1107412	55692
1107413	52312
1107414	58500
1107415	56992
1107416	70564
1107417	66248
1107418	91676
1107419	54600
1107420	75244
1107421	88816
1107422	50648
1107423	34320
1107425	41860
1107426	47736
1107427	61048
1107501	
1107601	85748
1107602	68900
1107603	69316
1107604	50544
1107605	63544
1107606	41964
1107607	43888
1107608	47632
1107609	50908
1107610	66300
1107611	38012
1107612	48828
1107613	76336
1107614	110240
1107615	104676
1107616	92040
1107617	56836
1107618	59748
1107619	69524
1107620	53456
1107621	93600
1107701	82628
1107702	51220
1107703	70408
1107704	49556
1107705	71500
1107706	56524
1107707	52312
1107708	84500
1107709	76492
1107710	47580
1107711	60216
1107712	70200
1107713	41808
1107714	38688
1107715	60112
1107716	84084
1107717	83616
1107718	56212
1107719	54704
1107720	58500
1107721	60112
1107722	61048
1107723	60268
1107724	56628
1107725	78676
1107726	45240
1107727	56160
1107728	59956
1107729	67028
1107730	65520
1107731	62816
1107732	67132
1107733	36972
1107734	36712
1107735	
1107736	81224
1107737	118612
1107738	87724
1107739	97500
1107740	63076
1107741	40976
1107742	51532
1107743	43940
1107744	51012
1107745	49348
1107746	62608
1107747	35308
1107748	50076
1107749	30628
1107750	30420
1107751	39780
1107752	36556
1107753	66612
1107754	73736
1107801	53872
1107802	53092
1107804	65936
1107805	35100
1107806	67288
1107807	110916
1107808	34788
1107809	125632
1107810	93184
1107811	86892
1107812	84500
1107813	109876
1107814	84916
1107815	58084
1107816	81224
1107817	69940
1107818	106496
1107819	76648
1107820	106288
1107821	92300
1107822	84500
1107823	117884
1107824	88088
1107825	86892
1107826	75660
1107827	101816
1107828	55068
1107829	54340
1107830	47060
1107831	117728
1107833	123812
1107834	128180
1107835	119964
1107836	76336
1107837	33384
1107838	59384
1107839	48516
1107840	97500
1107841	99164
1107842	106080
1107843	104728
1107844	95316
1107845	106340
1107901	43680
1107902	55224
1107903	48672
1107904	45240
1107905	60112
1107906	42588
1107907	92092
1107908	73632
1107909	97500
1107910	59748
1107911	102076
1107912	99632
1107913	100048
1107914	79248
1107915	96564
1107916	93132
1107917	69108
1107918	67756
1107919	59072
1107920	54704
1107921	65988
1107922	101088
1107923	87724
1107924	88660
1107925	86840
1107926	95316
1107927	89076
1107928	129116
1107929	111332
1107930	103116
1107931	115128
1107932	75192
1107933	84448
1107934	62088
1107935	95836
1107936	77324
1108001	43680
1108002	71500
1108003	63232
1108004	29900
1108005	41184
1108006	51532
1108007	43108
1108008	37076
1108009	38012
1108010	41912
1108011	42744
1108012	36816
1108013	48048
1108014	40560
1108015	63960
1108016	59748
1108017	52312
1108018	33176
1108019	49712
1108020	37492
1108021	49348
1108022	54288
1108023	40248
1108024	36972
1108025	55536
1108026	
1108027	72228
1108028	57460
1108029	62816
1108030	65416
1108031	39312
1108032	43316
1108033	69628
1108034	55016
1108036	61724
1108037	45760
1108038	44460
1108039	56732
1108040	72228
1108041	49816
1108042	49348
1108043	52208
1108044	58968
1108046	38428
1108047	40560
1108048	42068
1108049	38532
1108050	46800
1108051	
1108052	39260
1108053	62192
1108054	66612
1108055	34112
1108101	48724
1108102	39676
1108103	31408
1108104	52780
1108105	49348
1108106	34788
1108107	57668
1108108	56160
1108109	52468
1108110	42744
1108111	
1108112	38792
1108113	59124
1108114	47060
1108115	72540
1108116	59748
1108117	67444
1108118	79872
1108119	40352
1108120	41912
1108121	40612
1108122	45500
1108123	46800
1108124	50388
1108125	66092
1108126	59748
1108127	61048
1108128	64428
1108129	49764
1108130	52364
1108131	56992
1108132	45812
1108133	46800
1108134	63908
1108135	54184
1108136	49920
1108137	46800
1108138	50232
1108139	69628
1108140	53092
1108141	77012
1108143	47736
1108144	40404
1108145	43472
1108146	47632
1108147	35360
1108148	38428
1108149	49088
1108150	49348
1108151	58500
1108152	78936
1108201	33748
1108202	37908
1108203	42068
1108204	43732
1108205	49348
1108206	45032
1108207	62816
1108208	70044
1108209	36764
1108210	
1108211	41808
1108212	44564
1108213	49868
1108214	59228
1108215	41132
1108216	45916
1108217	47788
1108218	43316
1108219	49036
1108220	41288
1108221	37856
1108222	33228
1108223	55224
1108224	42900
1108225	46124
1108226	37700
1108227	54444
1108228	54184
1108229	41912
1108230	41132
1108231	51064
1108232	56784
1108233	42432
1108234	46800
1108235	59020
1108236	
1108237	41860
1108238	52988
1108239	71500
1108240	56212
1108241	38844
1108242	38272
1108243	51532
1108244	39156
1108245	67860
1108301	50440
1108302	44200
1108303	50492
1108304	53768
1108305	48828
1108306	45916
1108307	52364
1108308	60476
1108309	64324
1108310	68224
1108311	40560
1108312	47424
1108313	55796
1108314	58812
1108315	63596
1108316	52520
1108317	57460
1108401	78468
1108402	
1108403	35256
1108404	51480
1108405	50648
1108406	67444
1108407	59800
1108408	49660
1108409	64532
1108410	65520
1108411	43316
1108412	81224
1108413	58084
1108414	54964
1108415	81536
1108416	48776
1108417	64376
1108418	42536
1108419	65520
1108420	60632
1108421	58760
1108422	45916
1108423	66612
1108424	43160
