SA1_7DIGITCODE_2016	medianTotalHouseholdIncome
1100701	48308
1100702	85072
1100703	54288
1100704	53092
1100705	54340
1100706	53300
1100707	45968
1100708	59748
1100709	101816
1100710	50856
1100801	101348
1100802	106236
1100803	51168
1100804	57460
1100805	34268
1100806	92976
1100807	69472
1100808	81640
1100809	
1100810	131196
1100811	76024
1100812	144248
1100813	129116
1100814	107900
1100815	61880
1100816	47632
1100817	72176
1100818	61256
1100819	125424
1100820	102492
1100821	124644
1100822	121316
1100823	119132
1100901	96408
1100902	108784
1100904	100724
1100905	85020
1100907	70616
1100908	65312
1100909	61620
1100910	59072
1100911	75452
1100912	73112
1100913	94900
1100914	77428
1100915	57720
1100916	83200
1100917	47944
1100918	75452
1100919	88920
1100920	49348
1100921	77688
1100923	93444
1100924	77948
1100925	80028
1100926	70928
1100927	104884
1100928	63960
1100929	72488
1101001	66612
1101002	160316
1101003	128752
1101004	115856
1101006	52260
1101007	67340
1101008	63752
1101009	75816
1101010	70512
1101011	110448
1101012	100724
1101013	
1101014	146224
1101015	56524
1101016	125320
1101017	74048
1101101	121160
1101102	139256
1101103	131248
1101104	81900
1101105	121836
1101106	127088
1101107	116064
1101108	67028
1101109	141336
1101110	99632
1101111	127504
1101112	97500
1101113	114400
1101115	169000
1101116	95628
1101117	104936
1101118	85540
1101119	170404
1101120	140244
1101122	125060
1101123	158548
1101125	106340
1101126	108108
1101127	170248
1101128	139724
1101129	153608
1101130	163592
1101131	146224
1101132	169000
1101133	140816
1101134	131612
1101135	126360
1101136	131404
1101137	151632
1101139	180336
1101140	122148
1101141	117000
1101142	156884
1101143	148356
1101144	148512
1101145	144404
1101146	150072
1101147	141908
1101148	151632
1101149	152932
1101150	158600
1101151	158184
1101152	160108
1101201	126048
1101202	196040
1101203	154492
1101204	191724
1101205	199836
1101206	180492
1101207	114972
1101208	88088
1101209	162864
1101210	130780
1101211	175032
1101212	127088
1101213	137904
1101214	150748
1101215	133224
1101216	149448
1101217	58500
1101218	98020
1101219	84188
1101220	104468
1101221	122512
1101222	130676
1101223	106028
1101224	162084
1101225	
1101226	
1101227	234988
1101228	110500
1101229	83668
1101230	60632
1101231	118716
1101232	166400
1101301	36712
1101302	56628
1101303	48048
1101304	56940
1101305	67444
1101306	49348
1101307	57408
1101308	56316
1101401	49608
1101402	52416
1101403	47008
1101404	41860
1101405	41964
1101406	54444
1101407	67964
1101408	64220
1101409	69524
1101410	40820
1101411	47996
1101412	61880
1101413	39624
1101414	71500
1101415	53872
1101417	61724
1101418	80184
1101419	56836
1101501	
1101502	
1101503	36192
1101505	88816
1101511	37700
1101512	47788
1101514	85384
1101515	59280
1101516	97500
1101517	53924
1101518	71500
1101519	92872
1101520	72540
1101521	56732
1101522	87412
1101523	86320
1101524	53092
1101601	37700
1101602	47684
1101603	64324
1101604	76648
1101605	92612
1101606	85020
1101607	50232
1101608	92092
1101609	107224
1101610	80860
1101611	73840
1101612	56524
1101613	89336
1101614	66976
1101615	81900
1101616	58032
1101617	79924
1101618	87048
1101619	59904
1101620	59748
1101701	39312
1101702	54444
1101703	45032
1101704	40820
1101705	31616
1101706	35880
1101707	
1101708	52988
1101709	62660
1101710	66508
1101711	70200
1101712	48204
1101713	48204
1101714	
1101715	
1101716	46020
1101717	38064
1101718	34788
1101719	52936
1101720	58500
1101721	46800
1101722	52312
1101801	67600
1101802	61412
1101803	67704
1101804	49348
1101805	70928
1101806	44044
1101807	47840
1101808	39832
1101809	61724
1101810	51428
1101811	49348
1101812	42900
1101813	62816
1101814	61048
1101815	54340
1101816	53300
1101817	60736
1101818	56732
1101819	58500
1101820	40976
1101821	55224
1101822	48516
1101823	37492
1101824	
1101901	40716
1101902	40092
1101903	36660
1101904	52728
1101905	44668
1101906	65312
1101907	57408
1101909	43888
1101911	59228
1101912	56316
1101913	57408
1101914	65364
1101915	61048
